COMPUTE_CENTROID	WOZ	BEDR_KLAS	P_WW_UIT	AO_UIT_TOT	P_15_24_JR	P_ANT_ARU	P_MARROK	MOTOR_2W	P_OVER_NW	P_SURINAM	P_65_EO_JR	P_EENP_HH	DEK_PERC	P_0_14_JR	P_HH_M_K	AUTO_LAND	OPP_TOT	P_TURKIJE	AANTAL_HH	OAD	OPP_WATER	GM_CODE	AO_UIT_MUT	P_AO_UIT	GM_NAAM	POSTCODE	BEV_DICHTH	OPP_LAND	P_GEWASSEN	WW_UIT_TOT	P_INDUSTRI	AUTO_TOT	P_45_64_JR	AUTO_HH	BEDR_AUTO	GEM_HH_GR	P_COMBI	P_VEETEELT	P_COM_DV	WONINGEN	P_WEST_AL	AANT_MAN	AUTO_MUT	STED	P_N_COM_DV	AGRA_BEDR	P_25_44_JR	AANT_VROUW	P_N_W_AL	P_HH_Z_K	AANT_INW
537.4713553990462 713.9204223911265	76	6	42	800	11	0	0	440	1	1	18	31	-999999999	16	34	201	2462	2	5530	954	78	GM0003	-1	99	Appingedam		521	2384	8	340	14	4795	27	0.8	485	2.2	2	90	63	5630	8	6020	1	4	23	40	27	6390	4	35	12420
499.7098695285156 707.6447662053062	101	6	23	650	12	0	0	380	1	0	12	26	-999999999	21	42	95	4496	0	4170	586	38	GM0005	-5	90	Bedum		243	4458	16	170	21	4255	28	1.0	710	2.5	6	77	55	4160	4	5420	1	4	24	95	27	5400	1	32	10820
579.4954103711204 660.1240697389303	95	6	39	860	9	0	0	485	2	0	18	28	-999999999	16	35	42	11007	0	4180	153	168	GM0007	0	134	Bellingwedde		90	10840	65	250	21	4550	32	1.0	910	2.3	7	28	54	4110	9	4840	0	5	25	155	25	4860	3	38	9700
513.9252185374087 703.8743490105779	98	6	29	300	11	0	0	335	1	0	12	22	-999999999	22	45	65	4571	0	2690	299	46	GM0009	-7	62	Ten Boer	.	158	4525	13	140	27	2960	27	1.1	510	2.7	6	81	51	2700	4	3620	2	5	22	105	29	3550	2	32	7170
549.4728370949814 714.9072946422447	78	8	41	1630	11	2	0	1010	3	1	17	30	-999999999	17	35	86	22748	2	12420	718	9502	GM0010	-7	87	Delfzijl	.	217	13247	45	760	16	11345	28	0.9	1595	2.3	10	45	63	12590	8	14420	0	4	21	170	26	14380	9	34	28810
494.96564136241403 689.3485131725363	78	9	32	9060	21	2	1	3985	4	2	12	57	-999999999	13	20	806	8369	1	102630	3012	410	GM0014	-2	67	Groningen	.	2251	7959	13	4320	14	64150	21	0.6	10985	1.7	1	86	66	82935	9	88630	0	1	20	70	33	90560	9	24	179180
451.40999705829273 685.3403368709372	116	6	31	690	11	0	0	555	1	0	13	23	-999999999	22	45	59	8778	0	4470	193	90	GM0015	-6	90	Grootegast	.	137	8688	3	240	31	5115	24	1.1	1045	2.7	3	94	54	4385	2	6100	2	5	15	275	29	5830	1	32	11930
505.3998203575749 672.6040327109826	159	7	24	790	9	0	0	495	3	0	22	33	-999999999	19	32	186	5070	0	8310	813	500	GM0017	-4	70	Haren	.	417	4569	13	270	11	8510	29	1.0	720	2.2	4	83	61	8275	8	8950	1	4	28	70	21	10100	3	35	19050
522.8437479514495 671.1122586273513	82	8	48	2840	11	1	1	980	2	4	16	32	-999999999	18	35	206	7305	3	14700	1090	552	GM0018	-2	126	Hoogezand-Sappemeer	.	504	6753	62	1070	19	13930	27	0.9	1670	2.3	5	33	58	14855	7	16730	2	3	22	80	28	17280	10	33	34000
465.9724417920669 674.177957371127	119	7	34	1230	12	0	0	675	3	1	13	26	-999999999	20	41	129	6427	0	7640	701	70	GM0022	1	94	Leek	.	306	6357	4	450	24	8220	27	1.0	1500	2.5	2	94	58	7430	5	9720	1	4	18	190	28	9760	4	34	19480
519.1505785452761 719.4798409769004	88	6	35	620	12	0	0	615	1	0	13	27	-999999999	20	40	41	11199	0	4420	186	97	GM0024	-4	84	Loppersum	.	100	11102	39	260	21	4560	28	1.0	965	2.5	4	57	55	4460	4	5580	1	5	24	185	27	5480	1	32	11060
452.0537289776005 670.509691318915	135	6	36	610	11	0	0	440	3	0	12	24	-999999999	22	43	70	6488	0	3990	278	37	GM0025	-6	89	Marum	.	161	6451	4	250	30	4545	25	1.1	945	2.6	2	94	50	3855	5	5360	1	5	20	205	30	5040	4	33	10400
296.6488151080048 473.85934241545	123	9	31	9950	13	2	3	4605	7	10	7	27	-999999999	24	47	869	24877	1	67780	1560	11829	GM0034	1	84	Almere	.	1308	13047	76	3640	16	113320	21	1.6	15715	2.5	8	15	64	66300	10	84990	3	2	20	70	35	85710	23	26	170700
563.3341207106422 635.5893539603762	91	8	47	2690	11	0	0	1175	2	0	18	29	-999999999	17	36	125	11996	0	14260	685	211	GM0037	-3	123	Stadskanaal	.	286	11785	69	1030	19	14725	27	1.0	2535	2.3	11	20	62	14195	5	16640	0	4	20	200	27	17070	3	35	33710
559.3206167641662 685.307218384629	90	6	43	1000	10	0	0	695	1	0	15	24	-999999999	18	41	54	11746	0	5820	321	302	GM0039	-3	104	Scheemda	.	125	11444	63	410	18	6225	29	1.0	1060	2.4	7	30	60	5940	5	7170	0	5	22	115	28	7160	1	35	14330
528.0996870485312 693.3709901555571	109	7	35	890	10	0	0	905	1	0	13	24	-999999999	20	41	45	15884	0	5930	183	656	GM0040	-2	89	Slochteren	.	98	15228	44	350	26	6915	28	1.1	1515	2.5	9	47	51	5835	4	7620	0	5	22	230	29	7290	1	35	14910
543.2285433514542 656.8802797200352	90	8	43	2110	11	0	0	1145	1	1	16	29	-999999999	17	37	160	7871	3	12100	857	247	GM0047	-2	111	Veendam	.	371	7624	68	820	18	12180	28	1.0	1890	2.3	8	24	63	12170	5	13960	1	4	19	85	28	14310	6	34	28280
580.0921069127936 625.2722679734262	96	7	42	1460	10	0	0	830	3	0	19	29	-999999999	17	35	46	17051	0	7320	350	278	GM0048	-2	133	Vlagtwedde	.	101	16774	67	460	23	7785	28	1.0	1535	2.3	10	23	56	7065	6	8520	0	5	21	270	27	8460	3	36	16970
327.97478820329474 468.5367121590475	158	7	22	860	11	0	0	750	3	1	7	22	-999999999	27	49	32	26897	0	7060	802	2020	GM0050	2	69	Zeewolde	.	77	24876	55	270	18	7895	19	1.1	1485	2.7	13	33	64	6580	8	9800	2	4	18	270	35	9380	5	29	19180
