COMPUTE_CENTROID	P_WWB_UIT	WWB_UITMUT	INW_MUT	BEDR_KLAS	AO_UIT_TOT	P_WW_UIT	P_15_24_JR	P_ANT_ARU	P_MARROK	HH_MUT	MOTOR_2W	P_OVER_NW	BU_CODE	WWB_UITTOT	P_SURINAM	P_65_EO_JR	WEST_MUT	P_EENP_HH	DEK_PERC	P_HH_M_K	AUTO_LAND	P_HOOG_INK	OPP_TOT	P_TURKIJE	N_W_MUT	INW_5JMUT	AANTAL_HH	N_W_5JMUT	OAD	OPP_WATER	RECSRT	GM_CODE	AO_UIT_MUT	P_AO_UIT	GM_NAAM	POSTCODE	BEV_DICHTH	P_NIET_ACT	P_GEWASSEN	OPP_LAND	BU_NAAM	INK_ONTV	WW_UIT_TOT	P_INDUSTRI	P_00_14_JR	AGRA_5MUT	AUTO_TOT	P_45_64_JR	AUTO_HH	INK_INW	P_LAAG_INK	WW_UIT_MUT	WEST_5JMUT	BEDR_AUTO	GEM_HH_GR	P_COMBI	P_VEETEELT	P_COM_DV	WONINGEN	P_WEST_AL	STED	AANT_MAN	P_N_COM_DV	AUTO_MUT	HH_5JMUT	AANT_INK	WK_CODE	AGRA_BEDR	P_25_44_JR	AGRA_MUT	AANT_VROUW	P_N_W_AL	P_HH_Z_K	AANT_INW
480.13534368401525 768.7768208467377	53	6	-1	7	1070	43	11	0	0	-1	730	1		370	0	15	0	29	-99999999	38	36	14	55124	0	-1	2	6860	0	339	36100	Gemeente	GM1651	-3	98	Eemsmond	-99999999	88	23	66	19024	Eemsmond	15	470	24	19	-7	6845	28	1.0	10	46	6	0	1435	2.3	6	28	57	6895	4	5	8520	19	1	1	10700		235	27	0	8220	2	34	16740
496.3988658938037 769.1010703884326	53	6	-1	7	1070	43	11	0	0	-1	730	1		370	0	15	0	29	-99999999	38	36	14	55124	0	-1	2	6860	0	339	36100	Gemeente	GM1651	-3	98	Eemsmond	-99999999	88	23	66	19024	Eemsmond	15	470	24	19	-7	6845	28	1.0	10	46	6	0	1435	2.3	6	28	57	6895	4	5	8520	19	1	1	10700		235	27	0	8220	2	34	16740
442.1113636157447 755.5495450679822	14	-99999997	1	4	50	39	7	0	0	-1	25	1		10	0	19	-1	41	-99999999	27	8	21	19119	0	0	0	490	1	234	15126	Gemeente	GM0088	0	80	Schiermonnikoog	-99999999	25	15	0	3994	Schiermonnikoog	17	30	10	17	-99999997	315	30	0.6	12	38	-99999997	-1	90	2.0	0	100	67	520	5	5	500	22	11	-1	700		10	27	-99999997	500	2	32	1000
462.9586843584605 760.1564833780153	53	6	-1	7	1070	43	11	0	0	-1	730	1		370	0	15	0	29	-99999999	38	36	14	55124	0	-1	2	6860	0	339	36100	Gemeente	GM1651	-3	98	Eemsmond	-99999999	88	23	66	19024	Eemsmond	15	470	24	19	-7	6845	28	1.0	10	46	6	0	1435	2.3	6	28	57	6895	4	5	8520	19	1	1	10700		235	27	0	8220	2	34	16740
373.0229643823715 745.2958789840469	10	-99999997	0	6	180	42	10	0	0	0	210	1		10	0	14	0	32	-99999999	38	24	15	26850	0	-3	1	1480	0	196	20848	Gemeente	GM0060	-2	77	Ameland	-99999999	59	15	1	6002	Ameland	16	100	12	19	-10	1420	29	1.0	11	45	1	0	490	2.3	2	96	72	1805	4	5	1770	15	4	5	2400		80	27	-2	1750	1	30	3520
512.2983363665352 737.6003885118153	53	6	-1	7	1070	43	11	0	0	-1	730	1		370	0	15	0	29	-99999999	38	36	14	55124	0	-1	2	6860	0	339	36100	Gemeente	GM1651	-3	98	Eemsmond	-99999999	88	23	66	19024	Eemsmond	15	470	24	19	-7	6845	28	1.0	10	46	6	0	1435	2.3	6	28	57	6895	4	5	8520	19	1	1	10700		235	27	0	8220	2	34	16740
417.6169701054275 746.1323690092959	48	7	0	7	1560	37	12	0	0	1	865	3		470	0	15	0	30	-99999999	39	59	14	26694	0	0	4	10210	1	464	9967	Gemeente	GM0058	-4	95	Dongeradeel	-99999999	150	22	31	16727	Dongeradeel	15	600	22	20	-15	9840	25	1.0	10	47	3	1	2130	2.4	6	63	59	10185	4	5	12620	19	1	6	16200		310	27	-3	12500	3	31	25120
310.11907244221425 732.5180502070433	13	-99999997	0	6	180	27	14	0	0	1	230	1		30	0	16	-5	43	-99999999	29	19	22	67400	0	-1	0	2270	0	185	58590	Gemeente	GM0093	-5	57	Terschelling	-99999999	54	18	0	8810	Terschelling	17	90	12	16	-5	1680	27	0.7	12	38	-6	0	740	2.0	2	98	76	1955	5	5	2500	12	1	14	3100		40	27	0	2230	1	29	4730
464.32482373555405 726.9587932940798	52	17	1	6	670	39	11	0	0	1	530	3		240	0	15	3	33	-99999999	36	28	15	24031	0	-2	4	4870	3	148	7286	Gemeente	GM1663	-5	89	De Marne	-99999999	67	21	63	16745	De Marne	16	290	22	18	-6	4630	29	0.9	11	48	14	1	1210	2.2	7	30	60	4705	5	5	5770	18	2	8	7400		185	26	-1	5530	4	32	11290
486.14495793637417 716.0932096904882	40	7	0	6	640	33	12	0	0	1	495	3		220	0	13	0	27	-99999999	41	54	20	10253	0	0	3	5720	2	386	144	Gemeente	GM0053	-3	67	Winsum	-99999999	142	18	16	10109	Winsum	17	320	23	21	-2	5485	29	1.0	11	40	14	1	880	2.4	3	81	56	5605	5	5	7130	20	1	6	9200		180	26	1	7190	3	32	14320
