COMPUTE_CENTROID	P_WWB_UIT	WOZ	BEDR_KLAS	AO_UIT_TOT	P_15_24_JR	P_ANT_ARU	P_MARROK	MOTOR_2W	P_OVER_NW	BU_CODE	WWB_UITTOT	P_SURINAM	P_65_EO_JR	P_EENP_HH	DEK_PERC	P_HH_M_K	AUTO_LAND	OPP_TOT	P_TURKIJE	AANTAL_HH	OAD	OPP_WATER	RECSRT	GM_CODE	P_AO_UIT	GM_NAAM	POSTCODE	BEV_DICHTH	OPP_LAND	P_GEWASSEN	BU_NAAM	P_INDUSTRI	P_00_14_JR	AUTO_TOT	P_45_64_JR	AUTO_HH	BEDR_AUTO	GEM_HH_GR	P_COMBI	P_COM_DV	P_VEETEELT	WONINGEN	P_WEST_AL	AANT_MAN	STED	AUTO_MUT	P_N_COM_DV	WBCCODE	WK_CODE	AGRA_BEDR	P_25_44_JR	AANT_VROUW	P_N_W_AL	P_HH_Z_K	AANT_INW
441.90843034890645 755.576156179378	12	244	4	50	8	1	0	20	1		10	0	19	42	-99999999	23	8	19907	0	490	236	15828	Gemeente	GM0088	75	Schiermonnikoog	-99999999	24	4079	-99999997	Schiermonnikoog	11	16	310	31	0.6	85	2.0	-99999997	68	-99999997	520	5	490	5	-1	21	0088		10	26	490	2	34	990
511.00585256690806 739.2568593416992	54	126	7	1010	11	0	0	750	1		380	0	15	29	-99999999	37	37	54336	0	6880	344	35318	Gemeente	GM1651	92	Eemsmond	-99999999	88	19018	64	Eemsmond	25	19	6990	29	1.0	1365	2.4	8	55	28	6890	4	8510	5	1	20	1651		235	26	8180	2	34	16700
373.3348321835203 745.4313384270813	10	186	6	170	9	0	0	210	1		10	0	15	34	-99999999	37	25	26850	0	1480	191	20932	Gemeente	GM0060	73	Ameland	-99999999	59	5918	1	Ameland	14	19	1455	29	1.0	475	2.3	1	70	97	1815	4	1760	5	2	16	0060		80	28	1720	1	30	3480
310.19291906925616 732.6442200187103	12	273	6	170	12	1	0	235	1		30	0	16	42	-99999999	28	20	67400	0	2270	186	58689	Gemeente	GM0093	53	Terschelling	-99999999	54	8711	0	Terschelling	13	16	1745	28	0.8	710	2.1	2	76	98	1965	5	2500	5	2	11	0093		40	27	2230	1	30	4730
461.0200400384592 727.0162227541651	48	128	6	630	11	0	0	555	3		230	0	16	32	-99999999	35	28	24031	0	4800	148	7271	Gemeente	GM1663	85	De Marne	-99999999	66	16760	61	De Marne	21	18	4705	30	1.0	1110	2.3	6	59	33	4710	5	5680	5	1	20	1663		185	25	5440	3	32	11110
486.1849603865167 716.2513719402839	40	147	6	600	11	0	0	510	1		230	0	13	27	-99999999	40	55	10253	0	5610	387	148	Gemeente	GM0053	64	Winsum	-99999999	139	10105	14	Winsum	24	20	5595	30	1.0	850	2.5	5	55	81	5625	4	6940	5	2	21	0053		175	25	7080	2	33	14020
549.5736300500033 715.0367429731286	63	116	8	1400	11	2	0	1115	3		730	1	18	31	-99999999	35	86	22748	2	12160	640	9449	Gemeente	GM0010	77	Delfzijl	-99999999	210	13299	47	Delfzijl	16	17	11395	29	0.9	1525	2.3	9	63	44	12185	8	14020	4	1	21	0010		165	25	13970	9	34	27990
519.2152727016439 719.6837791695266	39	140	6	560	12	0	0	650	1		170	0	14	27	-99999999	40	43	11199	0	4390	187	96	Gemeente	GM0024	76	Loppersum	-99999999	98	11104	39	Loppersum	21	19	4735	30	1.1	855	2.5	5	55	57	4455	4	5500	5	2	23	0024		175	25	5420	2	33	10930
415.1585352201567 723.1551979869992	50	137	7	1450	12	0	0	920	3		490	0	16	31	-99999999	38	60	26694	0	10230	474	9967	Gemeente	GM0058	89	Dongeradeel	-99999999	150	16727	29	Dongeradeel	23	20	10095	26	1.0	2050	2.4	7	58	63	10185	4	12540	5	2	19	0058		310	27	12500	3	31	25030
384.18888599925475 713.3757523092356	36	142	6	440	12	0	0	420	1		130	0	14	27	-99999999	41	40	13318	0	3580	197	3553	Gemeente	GM1722	73	Ferwerderadiel	-99999999	92	9765	27	Ferwerderadiel	30	20	3910	28	1.1	980	2.5	4	48	68	3675	3	4600	5	3	21	1722		185	27	4370	2	32	8980
435.93106559187004 707.5601530183227	41	150	6	760	12	0	0	545	1		210	0	14	27	-99999999	41	52	11633	0	5190	335	644	Gemeente	GM0079	87	Kollumerland en Nieuwkruisland	-99999999	119	10989	12	Kollumerland en Nieuwkruisland	24	20	5695	26	1.1	1125	2.5	3	57	85	5255	2	6700	5	4	19	0079		200	28	6410	1	32	13120
537.5256962926948 714.0916404862786	53	116	6	710	11	0	0	475	1		270	1	19	32	-99999999	34	206	2462	2	5480	953	78	Gemeente	GM0003	90	Appingedam	-99999999	516	2384	8	Appingedam	16	16	4900	28	0.9	470	2.2	3	62	89	5585	8	6000	4	1	22	0003		40	26	6290	4	35	12290
499.74064770389515 707.8310108908371	26	162	6	610	12	0	0	445	1		110	0	13	26	-99999999	41	97	4496	0	4150	600	38	Gemeente	GM0005	85	Bedum	-99999999	239	4458	14	Bedum	21	20	4330	29	1.0	715	2.5	9	56	77	4150	4	5370	4	1	23	0005		90	26	5310	1	33	10680
466.40317724946203 701.9017160846785	21	170	7	740	11	0	0	660	1		150	0	13	25	-99999999	43	62	12837	0	7080	349	276	Gemeente	GM0056	61	Zuidhorn	-99999999	147	12561	15	Zuidhorn	23	22	7780	28	1.1	1755	2.6	2	55	83	7030	4	9210	5	3	22	0056		240	26	9250	2	33	18460
357.72545479211476 702.5493367342185	45	142	6	580	11	0	0	515	3		200	0	14	30	-99999999	39	49	11651	0	4550	264	2421	Gemeente	GM0063	81	het Bildt	-99999999	119	9230	61	het Bildt	25	20	4550	27	1.0	1155	2.4	1	57	38	4525	5	5620	5	2	18	0063		150	27	5390	4	31	11010
407.837382697445 702.9548190469118	52	163	7	1160	13	0	0	700	1		390	0	15	24	-99999999	44	96	8749	0	7480	385	183	Gemeente	GM0065	90	Dantumadeel	-99999999	228	8567	2	Dantumadeel	28	20	8235	27	1.1	1445	2.6	1	55	97	7585	2	9770	5	3	17	0065		175	25	9780	1	32	19560
514.0037639674896 704.0647233386427	21	158	6	250	11	0	0	370	1		60	0	12	23	-99999999	44	68	4571	0	2740	301	45	Gemeente	GM0009	53	Ten Boer	-99999999	158	4527	11	Ten Boer	30	21	3085	29	1.1	510	2.6	5	51	84	2775	4	3600	5	1	19	0009		100	27	3570	2	33	7160
528.1506070374736 693.5454835734412	32	171	7	810	10	0	0	1000	1		200	0	14	25	-99999999	40	47	15884	0	6000	189	722	Gemeente	GM0040	80	Slochteren	-99999999	99	15162	49	Slochteren	28	19	7115	29	1.2	1540	2.5	7	48	44	5995	4	7640	5	2	24	0040		215	27	7300	1	35	14940
256.19235673033097 697.8037588369345	13	213	5	50	9	0	0	65	1		10	0	13	41	-99999999	32	8	31579	0	530	137	27962	Gemeente	GM0096	67	Vlieland	-99999999	31	3616	-99999997	Vlieland	15	19	305	27	0.6	140	2.1	-99999997	63	-99999997	525	10	550	5	4	22	0096		0	31	580	1	27	1130
377.09406785579466 697.8860720894581	27	163	6	550	11	0	0	405	2		100	0	13	22	-99999999	42	105	4138	0	4020	494	58	Gemeente	GM0081	79	Leeuwarderadeel	-99999999	257	4080	24	Leeuwarderadeel	22	20	4295	30	1.1	580	2.6	5	54	71	4085	4	5280	5	2	25	0081		80	26	5210	2	36	10490
404.745449625835 682.8260005599589	24	173	8	1500	11	0	0	1280	2		300	0	16	26	-99999999	39	95	16142	0	12920	408	1182	Gemeente	GM0737	72	Tytsjerksteradiel	-99999999	215	14959	3	Tytsjerksteradiel	25	19	14170	28	1.1	2720	2.5	2	54	95	12900	3	16100	5	2	21	0737		320	26	16040	2	34	32140
559.3665016104502 685.467557385138	37	141	6	940	10	0	0	735	1		210	0	15	25	-99999999	40	55	11746	0	5770	320	307	Gemeente	GM0039	99	Scheemda	-99999999	123	11439	58	Scheemda	20	18	6345	30	1.1	975	2.4	7	59	35	5895	5	7060	5	1	21	0039		115	27	7050	1	35	14110
431.8410526810161 687.3242606196426	48	155	8	1760	13	0	0	1105	1		520	0	14	25	-99999999	43	120	10399	0	11170	375	138	Gemeente	GM0059	93	Achtkarspelen	-99999999	275	10261	4	Achtkarspelen	32	19	12315	27	1.1	2460	2.5	3	54	94	11270	2	14330	5	3	15	0059		260	28	13900	1	32	28220
495.0122353092458 689.5215689225062	87	129	9	8220	21	2	1	4200	4		8960	2	11	58	-99999999	20	811	8369	1	104290	3017	563	Gemeente	GM0014	60	Groningen	-99999999	2315	7806	7	Groningen	14	13	63300	21	0.6	9590	1.7	2	66	92	82720	9	89410	1	1	20	0014		60	33	91320	9	23	180730
581.1317453738357 685.622747277945	74	119	6	680	10	0	0	335	2		220	0	17	31	-99999999	34	32	15672	0	3110	197	5828	Gemeente	GM1661	144	Reiderland	-99999999	71	9844	50	Reiderland	17	15	3125	31	1.0	590	2.2	13	51	37	3165	12	3500	5	2	31	1661		80	27	3490	2	35	6990
340.61030483992306 681.6062644021915	41	139	7	1170	11	0	0	815	3		340	0	15	31	-99999999	37	82	10916	0	8740	607	641	Gemeente	GM0070	85	Franekeradeel	-99999999	203	10275	25	Franekeradeel	23	20	8430	28	1.0	1530	2.3	8	58	68	8795	5	10550	4	3	19	0070		215	27	10330	4	32	20890
451.43422452019036 685.4855227769339	26	177	6	610	12	0	0	645	1		120	0	13	23	-99999999	45	61	8778	0	4520	193	90	Gemeente	GM0015	78	Grootegast	-99999999	139	8688	3	Grootegast	31	22	5320	25	1.2	1105	2.7	3	54	94	4425	2	6180	5	1	15	0015		260	28	5920	1	32	12100
361.32060024895577 684.9653268114146	19	161	7	600	11	0	0	660	1		110	0	13	26	-99999999	41	88	7003	0	5570	248	107	Gemeente	GM0083	65	Menaldumadeel	-99999999	201	6896	27	Menaldumadeel	28	20	6085	29	1.1	1090	2.5	4	51	69	5665	3	7030	5	2	21	0083		160	27	6850	1	33	13880
380.80924719355625 680.3559550377576	88	121	9	4520	16	1	1	2280	5		4050	1	15	47	-99999999	26	420	8410	0	47020	2168	495	Gemeente	GM0080	71	Leeuwarden	-99999999	1160	7916	6	Leeuwarden	16	16	33220	24	0.7	4205	1.9	0	62	94	44320	7	44850	2	1	22	0080		70	30	46970	9	27	91820
542.6277505915709 676.5009152292132	50	153	6	890	11	0	0	700	1		260	0	12	24	-99999999	41	71	8162	0	5150	329	128	Gemeente	GM1987	102	Menterwolde	-99999999	157	8034	63	Menterwolde	24	18	5720	31	1.1	835	2.4	12	54	25	5235	4	6370	5	3	22	1987		115	28	6240	2	35	12620
466.0087706962815 674.3472823743798	38	176	7	1100	11	0	0	735	1		280	1	15	26	-99999999	40	133	6427	0	7570	710	93	Gemeente	GM0022	88	Leek	-99999999	299	6335	4	Leek	24	19	8430	29	1.1	1445	2.5	3	58	93	7500	4	9390	4	1	18	0022		180	26	9550	2	34	18940
327.89776176147757 676.3748378504403	63	143	7	790	11	0	1	540	2		420	0	16	33	-99999999	35	232	38767	0	6760	973	36265	Gemeente	GM0072	77	Harlingen	-99999999	625	2502	42	Harlingen	23	18	5815	29	0.9	1095	2.2	0	63	57	6780	8	7830	4	2	14	0072		40	26	7810	4	32	15640
476.9498308385965 657.5733684736057	31	199	8	1470	9	0	0	1395	1		390	0	18	27	-99999999	36	74	20536	0	13200	613	420	Gemeente	GM1699	73	Noordenveld	-99999999	157	20116	11	Noordenveld	17	18	14800	30	1.1	2170	2.4	6	62	83	13120	4	15740	4	0	21	1699		290	24	15830	2	37	31570
522.8778014136909 671.2742120430788	75	125	8	2620	11	1	1	1045	2		1060	4	16	32	-99999999	35	215	7305	3	14980	1119	592	Gemeente	GM0018	115	Hoogezand-Sappemeer	-99999999	514	6713	64	Hoogezand-Sappemeer	18	18	14460	28	1.0	1595	2.3	5	57	31	15100	7	16970	3	2	25	0018		75	27	17540	10	33	34510
452.1207529059597 670.7034718807064	34	204	6	540	11	0	0	510	1		130	0	13	23	-99999999	44	73	6488	0	3860	280	36	Gemeente	GM0025	80	Marum	-99999999	156	6452	6	Marum	30	21	4705	27	1.2	945	2.6	1	50	94	3895	4	5170	5	2	20	0025		195	28	4920	1	33	10080
