COMPUTE_CENTROID	WOZ	P_15_24_JR	P_ANT_ARU	MOTOR_2W	P_OVER_NW	STERT_TOT	P_SURINAM	P_65_EO_JR	P_EENP_HH	DEK_PERC	P_HH_M_K	GEBOO_TOT	AUTO_LAND	OPP_TOT	P_TURKIJE	AANTAL_HH	OAD	OPP_WATER	GM_CODE	P_GEBOO	GM_NAAM	POSTCODE	BEV_DICHTH	P_MAROKKO	P_GEWASSEN	OPP_LAND	P_INDUSTRI	P_00_14_JR	AUTO_TOT	P_45_64_JR	AUTO_HH	BEDR_AUTO	GEM_HH_GR	P_STERFT	P_COMBI	BEDR_TOT	P_VEETEELT	P_COM_DV	WONINGEN	P_WEST_AL	STED	AANT_MAN	P_N_COM_DV	AGRA_BEDR	P_25_44_JR	AGRA_MUT	AANT_VROUW	P_N_W_AL	P_HH_Z_K	AANT_INW
537.5256962927083 714.0916404862908	137	10	0	505	1	150	1	19	32	-99999999	33	120	207	2462	2	5440	954	78	GM0003	10	Appingedam	-99999999	511	0	8	2384	18	16	4925	29	0.9	455	2.2	12	3	385	89	66	5515	8	4	5930	16	35	25	-3	6260	4	35	12190
499.74063916562557 707.8310112645632	179	12	0	440	1	65	0	14	26	-99999999	40	80	98	4496	0	4170	600	38	GM0005	8	Bedum	-99999999	238	0	14	4458	20	20	4350	30	1.0	660	2.5	6	5	350	82	61	4275	4	4	5330	19	90	25	-4	5270	1	34	10600
579.5603532498751 660.2629851214251	172	10	0	570	2	90	0	19	28	-99999999	34	70	44	11007	0	4170	155	175	GM0007	7	Bellingwedde	-99999999	88	0	62	10832	25	15	4750	33	1.1	850	2.3	9	6	320	32	56	4085	8	5	4750	18	140	24	-10	4760	3	38	9510
514.0068876576423 704.0685152128127	175	11	0	395	1	55	0	12	24	-99999999	44	100	71	4571	0	2780	311	45	GM0009	14	Ten Boer	-99999999	160	0	10	4527	29	22	3220	29	1.2	475	2.6	8	5	230	85	55	2785	4	5	3640	16	95	27	-3	3600	2	33	7250
549.5681932885205 715.0296228895462	134	11	2	1165	3	270	1	18	31	-99999999	35	250	87	22748	2	12020	626	9449	GM0010	9	Delfzijl	-99999999	208	0	48	13299	16	17	11555	29	1.0	1465	2.3	10	10	1005	42	69	12070	8	4	13830	15	165	25	-1	13820	9	34	27650
495.0122363110384 689.5215714953233	149	22	2	4280	4	1310	2	11	58	-99999999	19	1975	818	8369	1	105770	3031	563	GM0014	11	Groningen	-99999999	2327	1	7	7806	14	13	63815	22	0.6	9360	1.7	7	3	7810	90	68	82850	10	1	89800	18	60	32	0	91810	9	23	181610
451.42902508815627 685.4840385768799	197	11	0	690	1	95	0	13	23	-99999999	46	125	63	8778	0	4550	193	90	GM0015	10	Grootegast	-99999999	140	0	3	8688	34	22	5515	25	1.2	1130	2.6	8	3	455	94	53	4480	2	5	6210	13	265	28	1	5940	1	31	12150
505.41355404425036 672.7431580902404	273	9	0	545	2	255	0	23	34	-99999999	32	115	190	5070	0	8260	812	501	GM0017	6	Haren	-99999999	412	0	8	4568	12	18	8670	30	1.0	755	2.2	14	0	825	92	66	8380	8	4	8830	22	60	20	-10	9980	3	35	18810
522.8777858001974 671.2742079349215	138	11	1	1060	2	295	4	17	32	-99999999	35	325	219	7305	3	15000	1114	592	GM0018	9	Hoogezand-Sappemeer	-99999999	512	1	61	6713	21	17	14685	28	1.0	1525	2.2	9	9	1075	30	63	15060	7	3	16930	16	80	27	3	17470	10	33	34390
466.0077560521478 674.3469210292672	198	11	0	785	1	150	1	15	26	-99999999	40	210	137	6427	0	7700	706	93	GM0022	11	Leek	-99999999	303	0	4	6335	26	19	8680	29	1.1	1430	2.4	8	3	850	93	60	7625	4	4	9530	13	175	26	-3	9660	2	34	19190
519.2149399905006 719.6850624165565	156	12	0	670	1	105	0	14	28	-99999999	38	110	44	11199	0	4400	186	96	GM0024	10	Loppersum	-99999999	97	0	39	11104	23	18	4880	31	1.1	800	2.4	10	6	345	56	60	4465	4	5	5450	16	175	25	0	5340	2	34	10780
452.11940862757785 670.6992055381751	224	11	0	535	1	65	0	13	24	-99999999	43	95	75	6488	0	3890	282	36	GM0025	9	Marum	-99999999	156	0	7	6452	30	20	4835	28	1.2	860	2.6	7	1	420	92	54	3920	4	5	5180	16	190	27	-2	4880	1	33	10070
296.6563147244506 473.9777553905937	189	13	2	5255	8	790	11	7	28	-99999999	47	2560	-99999997	24877	2	72810	1582	11844	GM0034	14	Almere	-99999999	1388	3	80	13033	16	23	189275	24	-9.9999997E7	30435	2.5	4	3	6815	17	67	70180	10	2	89700	17	65	33	-2	91230	26	25	180920
563.3890719985127 635.7099379836964	157	11	0	1280	2	360	0	18	30	-99999999	35	350	131	11996	0	14700	725	211	GM0037	10	Stadskanaal	-99999999	290	0	64	11785	22	17	15440	28	1.1	2550	2.3	11	13	1255	23	62	14585	5	4	16790	16	180	26	-5	17330	3	34	34120
559.3665016104248 685.4675573851224	154	11	0	745	1	120	0	15	25	-99999999	39	120	57	11746	0	5800	318	307	GM0039	9	Scheemda	-99999999	123	0	61	11439	19	18	6530	31	1.1	920	2.4	9	5	440	34	67	5925	5	5	7070	13	110	26	-6	7050	1	35	14120
528.1429081264306 693.540190707329	185	10	0	1045	1	100	0	14	25	-99999999	40	150	49	15884	0	6120	195	722	GM0040	10	Slochteren	-99999999	100	0	46	15162	29	19	7395	30	1.2	1545	2.5	7	10	575	44	52	6010	4	5	7780	19	205	27	-5	7400	1	35	15190
543.2717133841494 657.0148161134553	144	11	0	1285	1	305	1	17	30	-99999999	37	265	167	7871	3	12230	869	257	GM0047	9	Veendam	-99999999	369	0	65	7614	19	17	12730	29	1.0	1725	2.3	11	10	1080	25	66	12240	5	4	13890	15	80	27	-8	14230	6	34	28120
580.1113728161484 625.380316060846	170	10	0	865	2	190	0	19	29	-99999999	35	145	48	17051	0	7160	355	284	GM0048	9	Vlagtwedde	-99999999	99	0	64	16767	27	16	8060	30	1.1	1340	2.3	12	12	615	24	58	7100	6	5	8250	15	260	24	-4	8350	2	36	16600
327.97370833443597 468.6392174937059	244	12	0	830	2	65	1	8	21	-99999999	50	245	35	26897	0	7170	814	2021	GM0050	12	Zeewolde	-99999999	79	0	52	24875	20	26	8750	23	1.2	1755	2.7	3	14	1050	34	65	6910	7	4	10020	16	275	31	-1	9680	4	29	19700
379.67844614783627 621.1761901300221	216	11	0	1245	1	240	0	15	27	-99999999	39	290	65	21689	0	10910	564	3089	GM0051	11	SkarsterlÂƒn	-99999999	145	0	3	18600	28	20	12100	28	1.1	2385	2.5	9	1	1400	97	59	11210	4	4	13610	12	355	26	1	13440	1	34	27050
566.3835968904933 670.9571976636763	141	10	0	645	2	230	1	21	37	-99999999	31	160	374	2224	0	8590	1247	60	GM0052	9	Winschoten	-99999999	854	0	59	2163	15	15	8095	28	0.9	1075	2.1	13	14	855	27	70	8580	8	3	8900	15	20	26	-9	9580	4	32	18480
486.1849554164279 716.2513795207508	165	11	0	540	1	110	0	13	27	-99999999	40	140	57	10253	0	5630	396	148	GM0053	10	Winsum	-99999999	139	0	15	10105	23	20	5730	31	1.0	835	2.5	8	4	485	82	57	5705	4	5	6940	19	165	25	-6	7060	2	34	14000
385.9462150638015 655.2220400224428	187	10	0	820	1	130	0	13	29	-99999999	38	220	57	16859	0	8050	394	1688	GM0055	11	Boarnsterhim	-99999999	127	0	3	15171	25	20	8655	28	1.1	1710	2.4	7	1	955	96	61	8055	4	5	9700	13	250	28	-2	9620	2	33	19310
466.4092474837991 701.8926846008059	191	11	0	705	1	140	0	13	25	-99999999	43	200	64	12837	0	7120	354	276	GM0056	11	Zuidhorn	-99999999	147	0	14	12561	25	22	7975	28	1.1	1755	2.6	8	2	670	84	58	7080	4	5	9230	18	245	26	0	9230	2	32	18460
415.15604090388905 723.1554416800726	158	12	0	910	3	170	0	16	30	-99999999	38	290	62	26694	0	10160	477	9967	GM0058	12	Dongeradeel	-99999999	149	0	29	16727	24	19	10385	26	1.0	1965	2.4	7	8	960	63	60	10205	4	5	12430	15	305	26	-2	12420	3	32	24860
