COMPUTE_CENTROID	P_WWB_UIT	WOZ	WWB_UITMUT	AV3_RESTAU	AF_BIOS	P_15_24_JR	AV20ZIEK_E	P_ANT_ARU	MOTOR_2W	P_OVER_NW	AF_OPRITH	WWB_UITTOT	AV10BIOS	P_SURINAM	P_65_EO_JR	P_EENP_HH	AF_RESTAU	DEK_PERC	P_GEHUWD	P_HH_M_K	GEBOO_TOT	P_VERWEDUW	AUTO_LAND	OPP_TOT	P_TURKIJE	AANTAL_HH	AF_ARTSPO	OAD	AF_ARTSPR	OPP_WATER	P_ONGEHUWD	AV3_ARTSPR	AF_BIBLIO	GM_CODE	P_GEBOO	AF_ONDHV	GM_NAAM	POSTCODE	BEV_DICHTH	P_MAROKKO	P_GEWASSEN	OPP_LAND	P_INDUSTRI	P_00_14_JR	AUTO_TOT	P_45_64_JR	AUTO_HH	BEDR_AUTO	GEM_HH_GR	P_GESCHEID	P_STERFT	P_COMBI	BEDR_TOT	P_VEETEELT	P_COM_DV	WONINGEN	P_WEST_AL	STERFT_TOT	STED	AANT_MAN	P_N_COM_DV	AGRA_BEDR	AF_ZIEK_E	AV5_ONDVMB	P_25_44_JR	AF_ONDBAS	AGRA_MUT	AANT_VROUW	AV3_SUPERM	P_HH_Z_K	P_N_W_AL	AV3_ONDBAS	AF_ZWEMB	AF_SUPERM	AF_ONDVMB	AV5_ONDHV	AANT_INW
537.527726861104 714.0908993528682	47	145	-14	8.9	23.4	11	1.0	0	515	1	0.7	240	0.0	1	20	32	0.7	-99999999	45	33	115	8	211	2462	2	5420	3.9	927	0.8	78	41	5.0	1.3	GM0003	10	1.6	Appingedam	-99999999	509	0	8	2384	19	16	5030	29	0.9	445	2.2	6	10	3	405	89	65	5515	8	125	4	5870	16	40	3.9	4.0	25	0.7	3	6260	4.0	35	5	7.4	1.9	0.8	1.3	2.0	12130
499.7413846915223 707.8364596715148	19	191	-4	6.5	10.5	12	3.0	0	485	1	0.8	80	0.6	0	14	27	1.1	-99999999	47	39	120	5	99	4496	0	4200	8.6	607	1.1	38	44	1.0	1.2	GM0005	11	7.5	Bedum	-99999999	237	0	15	4458	20	19	4420	31	1.1	690	2.4	4	8	6	370	80	62	4280	4	85	4	5300	18	90	10.3	0.3	24	0.7	0	5250	2.7	34	2	4.1	2.1	1.2	7.5	0.2	10550
579.5603532601364 660.2629851706633	38	183	5	1.6	9.5	10	1.6	0	570	2	1.2	160	0.5	0	19	28	1.5	-99999999	50	34	80	7	45	11007	0	4140	10.2	154	1.8	175	37	1.1	2.6	GM0007	8	8.8	Bellingwedde	-99999999	88	0	60	10832	25	15	4860	34	1.2	865	2.3	6	12	6	350	34	58	4085	8	110	5	4730	18	140	10.2	0.4	23	0.9	-1	4770	0.9	39	2	2.4	9.5	1.8	4.5	0.0	9500
514.0039031291456 704.0645717908228	13	185	-99999997	2.2	11.8	11	3.8	0	420	1	0.7	30	0.4	0	12	24	1.3	-99999999	46	44	85	5	73	4571	0	2800	11.0	318	1.5	45	45	1.4	2.0	GM0009	12	9.8	Ten Boer	-99999999	161	0	11	4527	27	21	3295	30	1.2	475	2.6	4	7	6	260	83	56	2860	4	50	5	3660	18	100	11.2	0.0	26	0.6	3	3620	1.3	32	2	2.6	2.3	1.9	9.8	0.0	7280
549.5642472343183 715.0306341947411	55	146	-10	9.7	25.3	11	1.1	2	1170	3	1.0	630	0.0	1	19	31	1.6	-99999999	47	35	235	7	88	22748	2	11930	4.2	616	1.4	9449	40	2.3	3.0	GM0010	9	5.1	Delfzijl	-99999999	205	0	45	13299	17	16	11700	29	1.0	1530	2.3	6	10	9	1005	45	69	12010	8	275	4	13680	15	175	4.2	2.7	24	0.6	4	13640	3.5	34	9	8.1	5.7	1.1	3.7	1.3	27310
495.013338994735 689.5241128499806	72	169	-9	117.7	2.7	22	3.0	2	4370	5	1.1	7460	4.0	2	11	58	0.6	-99999999	25	19	2005	4	833	8369	1	106510	3.2	3039	0.7	563	64	16.8	1.1	GM0014	11	1.6	Groningen	-99999999	2338	1	8	7806	14	13	65005	22	0.6	9230	1.7	7	8	5	8100	88	68	83640	10	1445	1	90170	18	65	2.6	10.1	32	0.7	8	92320	17.5	23	9	11.5	10.8	0.6	1.4	8.0	182480
451.4289571710645 685.4839700143962	20	212	-19	1.4	16.9	12	1.1	0	695	1	0.7	90	0.0	0	14	23	2.5	-99999999	45	45	155	5	66	8778	0	4600	11.4	198	2.0	90	46	1.2	1.8	GM0015	13	7.7	Grootegast	-99999999	141	0	3	8688	35	21	5695	26	1.2	1145	2.6	4	8	3	475	94	51	4615	2	95	5	6230	13	265	17.9	1.5	28	0.8	0	5980	1.3	32	1	3.2	3.8	1.6	2.1	0.2	12210
505.41478633978215 672.7425478188629	19	307	-5	11.1	6.8	9	3.1	0	535	2	1.2	150	3.7	0	23	34	1.0	-99999999	46	32	140	8	190	5070	0	8260	7.7	812	0.9	501	40	3.9	1.9	GM0017	7	3.2	Haren	-99999999	409	0	8	4568	12	18	8670	30	1.0	755	2.2	6	12	3	870	88	64	8390	8	230	4	8790	24	60	4.9	2.1	20	0.7	-3	9910	3.7	34	3	6.9	10.4	1.2	3.4	1.8	18710
522.8777980899118 671.274213629918	56	153	-24	13.4	2.3	11	3.0	1	1090	2	1.4	770	1.1	4	17	32	0.9	-99999999	43	35	360	6	223	7305	3	15040	2.5	1116	1.2	592	44	6.5	1.7	GM0018	11	2.0	Hoogezand-Sappemeer	-99999999	513	1	64	6713	22	17	15000	28	1.0	1550	2.2	7	10	4	1135	32	61	15115	7	350	3	16960	17	75	14.6	2.8	27	0.7	-4	17460	5.2	33	10	9.3	2.3	1.1	1.7	1.9	34420
466.01625572972614 674.3548166937343	31	217	-5	6.0	16.8	11	2.8	0	800	1	1.1	230	0.1	1	16	27	1.6	-99999999	46	39	220	5	140	6427	0	7830	2.7	708	1.4	93	44	2.2	1.7	GM0022	11	2.4	Leek	-99999999	305	0	4	6335	26	19	8870	29	1.1	1435	2.4	5	6	3	870	92	60	7785	5	125	4	9560	14	180	16.4	1.0	26	0.8	3	9730	5.3	34	2	6.9	3.2	1.3	2.3	0.9	19290
