COMPUTE_CENTROID	P_GAS_21K	WWB_UITMUT	AV3_RESTAU	AF_BIOS	P_GAS_TUS	P_WW_UIT	AV20ZIEK_E	MOTOR_2W	P_ELEK_VRY	P_ELEK_HOE	AF_OPRITH	P_SURINAM	P_65_EO_JR	P_EENP_HH	P_ELEK_TUS	AF_RESTAU	DEK_PERC	P_HH_M_K	P_VERWEDUW	P_ELEK_21K	P_ELEK_APP	P_STADVERW	OPP_WATER	P_ONGEHUWD	AF_BIBLIO	GM_CODE	P_AO_UIT	GM_NAAM	POSTCODE	BEV_DICHTH	P_MAROKKO	P_GEWASSEN	P_HUURWON	P_INDUSTRI	P_00_14_JR	GEM_HH_GR	P_COMBI	P_VEETEELT	P_COM_DV	AF_TREINST	P_HOOGINKH	P_WEST_AL	P_N_COM_DV	P_HOOGINKP	P_LKOOPKRH	AV5_ONDVMB	P_SOCMINH	P_25_44_JR	AF_ONDBAS	AANT_VROUW	AV3_SUPERM	P_HH_Z_K	P_N_W_AL	AV3_ONDBAS	AF_SUPERM	AANT_INW	P_WWB_UIT	P_HUUROVVH	WOZ	AANT_INK2	AO_UIT_TOT	P_15_24_JR	P_ANT_ARU	P_KOOPWON	P_OVER_NW	WWB_UITTOT	AV10BIOS	P_GEHUWD	AUTO_LAND	P_LAAGINKP	OPP_TOT	P_TURKIJE	P_NIETACT2	AANTAL_HH	P_LAAGINKH	P_GAS_TOT	OAD	P_WONV2000	P_GAS_ONB	AF_ONDHV	OPP_LAND	AV3_KDV	INK_INW2	WW_UIT_TOT	P_ELEK_ONB	AUTO_TOT	P_45_64_JR	INK_ONTV2	AUTO_HH	P_WONT2000	BEDR_AUTO	P_GESCHEID	P_HUKO_ONB	P_GAS_VRY	BEDR_TOT	WONINGEN	STED	AANT_MAN	AGRA_BEDR	P_HUURCORP	AF_ZIEK_E	AF_KDV	AGRA_MUT	P_ELEK_TOT	P_GAS_APP	AF_ZWEMB	AF_ONDVMB	P_GAS_HOEK	AV5_ONDHV
537.5297178911314 714.0812097734616	1900	-8	10.9	23.4	1550	30	1.0	545	3950	2850	0.7	1	20	32	2750	0.7	-99999999	32	8	3200	2000	0	82	41	1.3	GM0003	85	Appingedam	-99999999	509	0	8	50	18	16	2.2	3	90	65	1.5	12	8	18	13	7	4.0	8	24	0.7	6260	4.0	35	5	6.4	0.8	12110	44	6	150	8600	660	10	0	50	1	220	0.0	45	214	44	2462	2	20	5440	50	1800	930	8	2800	1.6	2380	1.0	18.6	240	3750	5085	30	25.4	0.9	92	440	7	0	2350	395	5520	4	5850	40	44	3.9	1.3	3	3000	1350	1.7	1.3	1750	2.0
499.73919685180067 707.8399124769559	1900	6	6.5	10.5	1650	15	3.0	480	3900	3150	0.9	0	15	27	3000	1.1	-99999999	38	5	3300	2000	0	38	44	1.2	GM0005	85	Bedum	-99999999	235	0	14	30	21	18	2.4	6	80	61	2.2	17	4	19	17	4	0.3	5	24	0.7	5190	2.7	34	2	4.1	1.2	10460	20	9	196	7100	590	12	0	69	1	80	0.6	47	101	41	4496	0	19	4200	38	1950	592	5	2850	7.6	4458	2.3	18.7	120	4100	4495	31	26.6	1.1	95	670	4	1	2400	380	4280	4	5270	85	21	10.3	0.9	-1	3300	1150	2.1	7.5	1850	0.2
579.5591614784743 660.2615753710878	2050	-13	1.4	20.0	1700	27	1.6	590	4000	2700	1.2	0	20	27	2500	1.6	-99999999	33	7	3250	2300	0	174	37	2.6	GM0007	113	Bellingwedde	-99999999	86	0	58	28	24	15	2.3	8	35	56	8.9	12	8	19	13	7	0.4	9	21	0.9	4650	0.9	40	2	2.4	1.9	9270	34	8	189	6600	680	9	0	72	1	140	0.0	50	46	48	11007	0	24	4050	45	2300	154	4	2600	8.8	10833	0.1	18.0	170	3500	4930	34	24.6	1.2	96	870	6	0	2550	370	4085	5	4620	135	20	10.2	4.7	-4	3600	1250	7.4	4.5	1950	0.0
514.0041796926907 704.0662778041681	1900	-99999997	2.2	11.8	1750	20	3.8	460	4000	3150	0.7	0	13	24	3050	1.2	-99999999	43	5	3400	2000	0	44	45	1.9	GM0009	46	Ten Boer	-99999999	164	0	13	20	26	21	2.5	4	82	57	7.9	20	4	17	17	4	0.0	6	26	0.6	3710	1.3	33	2	2.6	1.8	7450	13	4	194	5000	230	11	0	79	1	40	0.4	46	76	38	4571	0	15	2890	37	2050	335	10	3550	9.9	4527	0.6	19.0	100	4100	3420	29	27.8	1.2	90	475	4	1	2350	285	2940	5	3740	95	16	11.2	1.9	-3	3500	900	9.5	9.9	2000	0.0
549.5712154462773 715.0278173269936	1950	-5	9.2	27.1	1650	30	1.1	1240	4000	3150	1.0	1	20	31	3000	1.6	-99999999	34	7	3350	2000	0	9434	40	3.0	GM0010	70	Delfzijl	-99999999	201	0	46	37	17	16	2.2	7	48	68	3.9	13	7	14	15	7	2.6	8	24	0.6	13390	3.5	35	8	8.0	1.1	26740	54	8	150	19100	1200	11	2	63	3	590	0.0	47	89	45	22748	2	22	11820	44	1900	586	7	2400	5.1	13315	1.3	18.9	520	3450	11870	30	25.9	1.0	93	1570	6	0	2400	1090	11945	4	13360	165	29	4.3	3.9	-5	3200	1200	5.9	3.8	1850	1.3
495.0222169868859 689.5248870943419	1850	-3	117.7	2.7	1500	20	3.0	4565	4450	3100	1.1	2	11	59	2850	0.6	-99999999	19	4	3800	2100	0	543	64	1.1	GM0014	56	Groningen	-99999999	2353	1	6	59	14	13	1.7	3	91	67	2.3	12	10	18	14	12	10.1	13	31	0.7	93210	17.2	22	10	10.5	0.6	184230	69	17	177	133100	7790	23	2	41	5	7240	4.0	25	841	48	8372	1	35	107880	54	1450	3076	9	2100	1.5	7828	26.2	18.6	2610	3150	65800	22	24.8	0.6	91	9355	7	0	2550	8590	84180	1	91020	65	42	2.6	0.5	-2	2600	1250	10.9	1.3	1750	8.0
451.42025726090867 685.48303827474	1850	-12	2.0	16.9	1600	20	1.1	720	4100	2800	0.7	0	14	24	2500	2.5	-99999999	45	5	3650	1950	0	96	46	1.8	GM0015	68	Grootegast	-99999999	140	0	2	28	37	22	2.6	3	95	50	7.9	17	2	13	14	5	1.5	6	27	1.3	5970	1.3	31	1	2.4	1.6	12190	18	7	220	8100	540	12	0	72	1	80	0.0	45	67	45	8778	0	17	4620	37	2150	192	10	2050	6.6	8682	0.7	17.0	160	3050	5840	26	25.1	1.3	90	1195	4	0	2400	500	4635	5	6230	255	21	17.9	2.2	-3	3600	1150	4.9	2.1	1800	0.3
505.41479300479875 672.7425295695023	2500	-7	11.1	6.8	1750	15	3.1	545	4550	2900	1.2	0	24	34	2850	1.0	-99999999	31	8	3600	2150	0	505	41	1.9	GM0017	55	Haren	-99999999	408	0	7	32	13	17	2.2	2	91	64	2.0	31	8	23	30	4	2.1	3	19	0.7	9870	3.6	34	3	6.0	1.2	18630	18	18	311	12900	600	9	0	66	2	140	3.7	46	192	33	5070	0	18	8240	30	2250	812	5	1200	3.2	4564	5.3	25.8	170	-99999997	8775	30	36.3	1.1	95	730	6	2	3400	920	8395	4	8770	55	14	4.9	1.2	-7	3250	1350	10.4	3.4	2050	1.8
522.8776406463736 671.2728766820475	2000	2	12.9	2.3	1550	30	3.0	1135	4250	3300	1.4	4	17	32	2950	1.0	-99999999	35	6	3600	2050	0	643	44	1.7	GM0018	105	Hoogezand-Sappemeer	-99999999	519	1	65	44	23	17	2.2	1	38	59	1.5	11	7	18	12	9	2.8	9	26	0.7	17530	5.9	33	11	9.3	1.1	34560	57	8	158	24000	2370	11	1	56	2	790	1.1	43	230	47	7305	3	25	15180	50	1800	1137	13	2850	2.0	6662	1.1	17.7	680	4550	15305	29	24.8	1.0	87	1575	7	0	2700	1200	15415	3	17030	70	36	14.6	1.6	-4	3150	1050	2.3	1.7	1850	1.9
466.00694903125566 674.348817953722	2000	-3	5.9	16.8	1700	25	2.8	835	4300	3250	1.1	1	16	27	3000	1.6	-99999999	39	5	3550	2200	0	95	43	1.7	GM0022	79	Leek	-99999999	307	0	4	33	27	19	2.4	4	92	59	12.6	17	5	14	16	5	1.1	6	25	0.9	9800	5.2	34	3	6.1	1.3	19450	30	8	222	13400	1000	11	0	67	1	220	0.1	46	144	43	6427	0	18	7910	39	2050	704	11	2400	2.3	6332	3.1	19.5	310	4500	9105	29	27.7	1.2	89	1445	5	0	2550	940	7870	4	9650	170	25	16.3	1.3	-5	3550	1200	3.1	2.3	1900	0.8
