COMPUTE_CENTROID	P_GAS_21K	P_NIETACT	AV1_RESTAU	AV3_RESTAU	AF_BIOS	P_GAS_TUS	AV20ZIEK_E	AV10ZIEK_E	AV20ZIEK_I	MOTOR_2W	AV10ZIEK_I	AV20WARENH	P_ELEK_VRY	P_ELEK_HOE	AV5_RESTAU	AF_OPRITH	P_SURINAM	AV1_CAFE	P_65_EO_JR	AV10WARENH	WATER	P_EENP_HH	P_ELEK_TUS	AF_RESTAU	P_HH_M_K	GEBOO_TOT	P_VERWEDUW	P_ELEK_21K	AF_APOTH	P_ELEK_APP	P_STADVERW	AF_ARTSPO	AF_ARTSPR	OPP_WATER	AF_CAFE	P_ONGEHUWD	AV20_MUS	AF_ATTRAC	AV10ONDVMB	GM_CODE	P_GEBOO	GM_NAAM	BEV_DICHTH	P_MAROKKO	P_GEWASSEN	P_HUURWON	AV3_ONDHV	P_00_14_JR	AV3_DAGLMD	GEM_HH_GR	AF_CAFTAR	P_COMBI	AV3_ONDVRT	P_VEETEELT	AF_TREINST	AF_MUS	P_HOOGINKH	P_WEST_AL	STERFT_TOT	AV3_CAFTAR	AANT_INK	P_HOOGINKP	P_LKOOPKRH	AF_IJSBAAN	AV5_ONDVMB	AV5_ZIEK_E	P_SOCMINH	AV5_ZIEK_I	P_25_44_JR	AF_ONDBAS	AV5_PODIUM	AANT_VROUW	AV3_SUPERM	P_HH_Z_K	P_N_W_AL	AV3_ONDBAS	AF_SUPERM	AV3_CAFE	AV50ATTRAC	AANT_INW	AV10ATTRAC	P_WWB_UIT	P_HUUROVVH	AF_OVERST	WOZ	AV20_HOTEL	AV20PODIUM	P_15_24_JR	P_ANT_ARU	P_KOOPWON	AF_ONDVRT	AV5_CAFE	AV10PODIUM	P_OVER_NW	AV5_WARENH	WWB_UITTOT	AF_HOTEL	P_GEHUWD	AUTO_LAND	P_LAAGINKP	AV10_ONDHV	OPP_TOT	P_TURKIJE	AANTAL_HH	P_LAAGINKH	P_GAS_TOT	AF_DAGLMD	AV5_KDV	OAD	AV5_BSO	P_WONV2000	AV5_ARTSPR	AV10_HOTEL	AV1_ARTSPR	AV3_ARTSPR	P_GAS_ONB	AV20ATTRAC	AV5_MUS	AF_WARENH	AF_ONDHV	AV5_DAGLMD	AV20_BIOS	OPP_LAND	AV3_KDV	INK_ONTV	AV3_BSO	AF_SAUNA	P_ELEK_ONB	AV5_HOTEL	AUTO_TOT	P_45_64_JR	AUTO_HH	AV1_CAFTAR	P_WONT2000	INK_INW	AV1_DAGLMD	BEDR_AUTO	AV5_ONDVRT	P_GESCHEID	P_STERFT	P_HUKO_ONB	P_GAS_VRY	WONINGEN	AF_ZIEK_I	AV5_BIOS	AV5_ONDBAS	STED	AANT_MAN	AV10ONDVRT	AF_POP	AV5_CAFTAR	AF_PODIUM	AGRA_BEDR	P_HUURCORP	AF_ZIEK_E	AV1_KDV	AV3_ONDVMB	AV1_BSO	AV10_BIOS	AF_KDV	AV10_MUS	AV1_ONDBAS	AF_ZONBNK	AF_BSO	AGRA_MUT	AV1_SUPERM	AV5_SUPERM	P_ELEK_TOT	P_GAS_APP	AF_ZWEMB	AF_ONDVMB	P_GAS_HOEK	AV5_ONDHV
537.4671550790785 713.9495432302609	1800	23	4.0	9.9	23.4	1400	1.0	1.0	1.0	565	1.0	3.9	4000	2850	13.7	0.7	1	2.5	20	2.7	NEE	35	2650	0.9	31	85	8	3150	1.3	1950	0	3.9	1.1	81	0.9	41	8.1	17.3	3.7	GM0003	7	Appingedam	509	0	17	51	1.7	16	18.8	2.1	0.7	3	3.6	81	1.5	1.0	12	7	155	8.9	8600	14	8	22.3	3.0	0.9	10	0.9	24	0.7	0.2	6220	4.9	34	5	7.3	0.8	6.1	11.2	12090	0.0	56	7	25.2	157	16.3	1.0	10	0	49	1.3	11.3	1.0	1	1.2	290	1.1	44	220	46	2.0	2458	3	5530	49	1600	0.7	2.2	960	4.2	9	6.1	7.6	1.1	5.0	1250	1.0	2.1	1.2	1.6	25.7	0.0	2377	1.0	0.0	2.6	21.7	2550	2.9	5220	30	0.9	3.5	91	0.0	7.9	415	4.0	7	12	0	2250	5525	3.9	0.0	15.2	4	5870	4.7	24.5	11.3	5.5	35	43	3.9	0.4	2.7	0.7	0.0	1.3	3.0	1.9	21.5	0.9	-99999996	2.0	7.1	2950	1050	1.7	1.4	1600	2.0
499.7200125181331 707.6627562396588	1750	19	3.3	6.6	10.4	1550	2.0	0.3	2.0	515	0.3	12.1	3950	3050	10.7	0.9	0	0.0	16	2.9	NEE	29	2950	0.8	38	100	5	3300	1.3	1900	0	8.7	1.1	39	6.2	43	16.0	7.6	6.0	GM0005	9	Bedum	235	0	17	32	0.0	18	7.8	2.4	1.1	5	0.0	78	2.2	10.0	17	4	80	1.7	7300	17	5	7.9	0.3	0.0	6	0.0	22	0.7	0.1	5215	2.7	33	2	4.1	1.1	0.2	15.6	10495	0.9	25	8	11.3	189	36.6	8.1	12	0	68	7.6	2.1	2.7	1	1.0	110	1.6	47	104	41	4.2	4496	0	4325	38	1850	0.9	6.9	612	7.0	7	2.4	5.9	0.6	1.0	-99999997	1.7	0.0	1.6	7.6	11.8	4.1	4457	3.5	0.0	4.2	10.8	-99999997	1.0	4630	32	1.1	0.9	93	0.0	4.2	650	0.3	5	7	1	2300	4355	10.3	0.0	7.4	4	5280	6.5	9.6	3.7	8.8	85	23	10.3	1.5	0.0	2.1	0.6	0.9	0.8	2.2	8.6	0.9	-99999996	1.3	4.2	3250	1000	2.0	7.6	1750	0.2
579.5036887676803 660.144364967247	1950	25	0.5	1.4	20.1	1500	1.6	0.3	2.0	590	0.3	3.0	4100	2700	4.2	1.3	0	0.5	21	0.9	NEE	31	2450	1.6	31	75	7	3300	1.8	2000	0	10.2	1.8	169	1.3	37	13.9	19.0	3.1	GM0007	7	Bellingwedde	87	0	60	29	0.0	15	1.4	2.2	3.7	5	0.3	35	8.9	4.1	14	8	115	0.3	6600	13	8	44.3	0.6	0.0	10	0.0	21	0.9	0.0	4665	0.9	38	4	2.4	1.9	2.0	11.9	9400	0.0	43	8	42.4	190	17.1	1.0	10	0	71	4.2	4.4	0.0	4	0.1	180	4.3	49	46	46	1.2	11008	0	4230	44	2150	1.3	0.6	156	1.4	5	1.9	4.7	0.4	1.1	-99999997	0.9	0.8	9.2	8.9	3.9	0.6	10839	0.1	0.0	0.7	12.9	-99999997	0.9	5020	34	1.2	0.1	95	0.0	0.5	845	0.6	7	12	0	2350	4090	10.1	0.0	4.0	5	4740	3.5	46.0	2.1	19.2	130	21	10.1	0.0	0.3	0.4	0.0	4.8	4.7	0.9	9.5	2.0	-99999996	0.5	2.1	3650	1150	7.5	4.2	1750	0.0
513.9336889457944 703.9043587278728	1700	15	1.3	2.2	11.8	1600	2.8	0.1	2.8	445	0.1	13.9	4000	3150	3.9	0.7	0	0.8	14	2.3	NEE	25	3000	1.2	41	65	5	3350	1.8	1950	0	11.0	1.5	43	0.9	45	14.2	10.1	1.4	GM0009	8	Ten Boer	165	0	17	21	0.0	21	3.3	2.5	1.9	0	0.0	83	7.9	10.9	18	4	45	1.3	5100	18	5	9.8	0.0	0.0	6	0.0	25	0.6	0.0	3710	1.3	34	2	2.6	1.8	1.3	13.3	7455	0.4	19	5	12.7	192	35.5	9.0	11	0	78	9.9	4.5	0.7	1	0.1	50	2.0	46	78	38	1.2	4573	0	2945	34	1900	1.4	1.8	336	3.8	11	2.4	5.1	0.9	1.4	-99999997	1.6	0.0	7.6	9.9	5.7	4.2	4530	0.7	0.0	1.6	12.6	-99999997	1.0	3530	30	1.2	1.1	89	0.0	2.5	470	0.0	5	6	0	2250	2975	11.2	0.0	7.2	5	3740	1.6	11.9	2.2	11.8	95	16	11.2	0.5	0.0	1.0	0.4	2.0	0.7	1.7	11.5	1.0	-99999996	1.0	2.2	3500	750	9.4	9.9	1900	0.0
549.5556091381997 714.9157261110895	1850	24	1.7	9.6	27.1	1550	1.1	0.8	1.1	1280	0.8	3.3	4000	3100	15.3	1.3	1	1.9	21	1.8	NEE	34	2950	1.6	33	225	7	3300	1.5	1950	0	4.2	1.5	9444	1.0	40	6.6	15.1	2.7	GM0010	8	Delfzijl	200	0	45	37	0.4	16	14.7	2.2	1.6	4	0.9	52	3.9	4.4	13	8	315	4.9	18800	15	8	27.1	2.0	0.7	10	0.7	22	0.6	0.7	13270	4.0	34	9	8.1	1.2	9.0	8.6	26565	0.1	63	8	30.1	147	14.3	1.1	11	2	63	3.8	13.8	0.9	3	1.0	710	2.2	46	91	46	1.6	22750	2	11960	45	1750	1.4	4.1	605	4.8	8	3.6	6.5	0.3	1.5	-99999997	1.0	1.2	4.1	5.1	23.7	0.1	13306	2.8	0.0	2.8	19.1	-99999997	4.0	12080	30	1.0	0.7	92	0.0	2.6	1535	2.5	7	11	0	2250	11820	4.2	0.0	12.9	4	13295	3.5	29.3	9.1	4.5	160	29	4.2	0.5	0.7	0.6	0.0	3.1	2.5	1.8	20.2	2.7	-99999996	0.9	6.8	3150	1100	5.9	3.8	1750	1.3
494.95278140647605 689.4032009754529	1750	36	20.6	120.7	2.7	1350	2.0	2.0	2.0	4810	2.0	15.8	4500	3100	194.8	1.0	2	16.7	11	9.4	NEE	61	2850	0.6	18	2145	4	3850	0.9	2050	0	3.2	0.7	570	0.6	65	20.6	4.6	14.3	GM0014	11	Groningen	2434	1	15	59	4.4	13	80.6	1.7	0.7	5	6.2	81	2.4	2.5	13	11	1390	69.3	134300	15	13	4.7	10.1	1.4	14	1.4	31	0.7	6.0	95925	18.7	21	10	11.9	0.6	98.1	20.2	189990	1.0	76	18	3.1	176	43.1	8.8	23	2	41	1.3	155.7	7.0	5	6.1	8310	2.0	24	866	48	11.0	8375	1	113105	54	1350	0.6	77.0	3138	49.5	12	31.2	22.5	2.7	17.0	2200	4.6	4.2	1.6	1.5	137.1	4.9	7805	38.6	0.0	23.3	2.7	2700	13.9	67555	22	0.6	11.5	88	0.0	13.6	9295	11.8	7	7	0	2400	85785	2.7	3.2	25.5	1	94065	16.3	2.6	111.7	2.1	60	41	2.7	5.7	5.2	3.3	4.0	0.4	6.4	1.8	1.5	0.5	-99999996	3.0	34.9	2550	1150	3.3	1.3	1600	8.0
451.38446151301093 685.3720364343803	1750	18	0.6	2.1	17.0	1550	0.9	0.0	0.9	780	0.0	9.6	4150	2750	4.6	0.7	0	0.5	14	1.7	NEE	24	2550	2.4	44	125	5	3650	3.4	1950	0	11.4	2.1	95	1.3	46	18.1	11.5	4.4	GM0015	10	Grootegast	141	0	4	29	0.1	21	3.8	2.6	2.4	1	0.9	94	8.0	4.5	16	3	75	1.1	8300	13	6	25.2	1.5	0.0	8	0.0	25	0.8	0.0	5955	1.5	32	1	3.2	1.4	2.0	21.0	12210	0.5	27	10	22.7	221	21.2	2.7	12	0	71	2.1	3.4	0.0	1	0.3	120	5.5	45	70	45	1.3	8774	0	4670	39	2000	1.6	3.8	194	2.1	9	1.9	3.3	0.5	1.0	-99999997	2.6	0.8	6.8	6.6	7.8	1.5	8678	2.0	0.0	1.1	10.6	-99999997	0.5	6095	28	1.3	0.3	91	0.0	1.6	1140	1.5	4	6	0	2250	4655	17.9	0.0	6.9	5	6255	4.7	17.3	2.5	17.1	255	20	17.9	0.8	0.9	0.5	0.0	1.5	3.8	1.2	3.3	1.6	-99999996	0.8	3.0	3600	1000	5.9	2.1	1650	0.3
505.41320406029627 672.6244762618902	2350	18	2.9	11.7	6.8	1650	2.1	1.8	2.7	570	1.8	16.0	4750	3000	29.7	1.2	0	0.8	25	8.7	NEE	35	2850	0.9	31	145	8	3700	1.3	2150	0	7.7	0.9	515	1.0	40	19.3	9.1	12.3	GM0017	7	Haren	406	0	9	34	0.5	17	16.8	2.2	1.1	0	0.5	91	2.0	5.9	30	8	235	5.8	13000	30	5	11.0	2.1	0.1	6	0.1	18	0.7	0.2	9780	4.4	34	3	6.9	1.2	3.4	19.9	18515	0.8	23	19	7.0	295	51.3	8.0	10	0	64	3.2	14.2	6.4	2	1.9	180	2.0	45	198	34	9.7	5073	0	8250	32	2100	1.1	14.5	801	20.5	5	9.2	24.0	1.1	3.9	-99999997	4.9	0.3	1.9	3.2	31.8	5.2	4558	5.6	0.0	10.8	1.9	-99999997	3.1	9005	31	1.1	1.8	95	0.0	5.3	685	2.1	6	12	1	3200	8440	6.7	0.2	12.7	4	8735	14.5	7.2	13.3	6.8	45	15	6.7	1.4	0.5	2.8	3.8	1.0	7.8	1.8	6.2	0.6	-99999996	1.4	8.6	3300	1200	8.6	3.3	1850	1.8
522.8657354613575 671.1350629825297	1850	27	2.4	13.1	2.3	1450	2.0	0.0	3.0	1205	0.1	13.6	4250	3250	18.1	1.4	4	1.7	18	1.5	NEE	34	2900	0.9	34	355	6	3600	1.4	2050	0	2.5	1.2	628	1.0	43	16.4	2.2	3.3	GM0018	10	Hoogezand-Sappemeer	522	1	57	45	1.5	17	20.8	2.2	1.0	5	2.3	38	1.5	3.4	11	7	320	11.2	24400	13	9	16.5	2.8	0.0	11	0.0	25	0.7	1.0	17665	8.0	32	11	9.3	1.1	9.0	18.1	34815	1.5	77	10	16.4	159	41.8	8.8	11	1	55	1.6	14.9	1.1	2	1.0	1110	1.9	42	237	46	2.5	7299	3	15575	49	1650	0.9	4.3	1150	3.8	14	9.3	7.2	1.5	7.1	1600	3.8	0.9	2.2	2.0	27.9	4.9	6671	2.3	0.0	2.7	12.7	3250	2.9	15825	29	1.0	2.4	86	0.0	4.0	1710	2.8	8	9	0	2500	15555	11.5	1.0	15.8	3	17150	3.5	16.4	14.9	2.3	65	35	16.1	0.7	2.3	0.6	1.1	1.4	4.2	2.4	1.9	1.4	-99999996	1.8	11.2	3150	950	2.3	1.6	1700	1.9
465.9732533934547 674.2128780074887	1850	20	0.8	5.9	16.9	1550	1.9	0.0	1.9	855	0.0	14.3	4300	3250	10.0	1.1	1	0.6	17	4.0	NEE	27	3000	1.6	39	195	6	3600	2.2	2150	0	2.8	1.4	95	1.4	43	20.1	2.9	3.2	GM0022	10	Leek	305	0	6	34	0.8	19	12.9	2.4	2.0	1	1.5	93	12.6	2.7	18	5	120	5.7	13300	17	6	21.0	1.1	0.0	8	0.0	24	0.8	0.0	9770	5.2	34	3	6.7	1.2	4.0	22.2	19335	2.0	38	10	17.2	215	36.8	6.4	11	0	66	2.2	6.5	0.2	2	1.5	280	4.9	46	148	42	1.3	6428	0	7865	39	1900	1.2	5.1	696	6.2	11	3.8	6.9	0.5	2.2	-99999997	2.3	2.1	2.3	2.3	18.4	3.5	6333	3.8	0.0	4.4	6.6	-99999997	0.6	9355	30	1.2	0.8	89	0.0	2.4	1430	1.9	6	6	0	2350	7875	16.1	0.0	11.7	4	9565	4.3	17.3	7.7	16.0	160	24	16.1	1.0	0.8	1.1	0.1	1.2	6.7	1.6	11.4	1.2	-99999996	1.1	7.0	3550	1150	3.2	2.3	1750	0.8
