COMPUTE_CENTROID	G_GAS_HOEK	P_NIETACT	AV1_RESTAU	AV3_RESTAU	AF_BIOS	P_WW_UIT	AV20ZIEK_E	AV10ZIEK_E	AV20ZIEK_I	MOTOR_2W	AV10ZIEK_I	AV20WARENH	AV5_RESTAU	A_BED_GI	A_BEDV	AF_OPRITH	P_SURINAM	AV1_CAFE	P_65_EO_JR	AV10WARENH	WATER	P_EENP_HH	AF_RESTAU	P_HH_M_K	GEBOO_TOT	P_LEEGSW	AV3_FYSIO	P_VERWEDUW	AF_APOTH	AF_FYSIO	P_STADVERW	AF_ARTSPO	AF_ARTSPR	OPP_WATER	AF_CAFE	A_BED_A	P_ONGEHUWD	AF_BIBLIO	AF_ATTRAC	AV10ONDVMB	GM_CODE	P_AO_UIT	P_GEBOO	GM_NAAM	BEV_DICHTH	P_MAROKKO	P_HUURWON	AV3_ONDHV	P_00_14_JR	AV3_DAGLMD	GEM_HH_GR	AF_CAFTAR	AV3_ONDVRT	AF_TREINST	G_GAS_21K	P_HOOGINKH	P_WEST_AL	STERFT_TOT	AV3_CAFTAR	AANT_INK	P_HOOGINKP	P_LKOOPKRH	AF_IJSBAAN	AV5_ONDVMB	AV5_ZIEK_E	P_SOCMINH	AV5_ZIEK_I	P_25_44_JR	AF_ONDBAS	AV5_PODIUM	A_BED_HJ	AANT_VROUW	AV5_FYSIO	AV3_SUPERM	P_HH_Z_K	P_N_W_AL	AV3_ONDBAS	G_GAS_TUS	AF_SUPERM	AV3_CAFE	AV50ATTRAC	AANT_INW	AV10ATTRAC	P_WWB_UIT	P_HUUROVVH	AF_OVERST	WOZ	A_BED_BF	AV20_HOTEL	AO_UIT_TOT	AV20PODIUM	P_15_24_JR	G_GAS_APP	AF_BRANDW	P_ANT_ARU	P_KOOPWON	AF_ONDVRT	G_GAS_VRY	AV5_CAFE	AV1_FYSIO	AV10PODIUM	A_BED_KL	P_OVER_NW	AV5_WARENH	WWB_UITTOT	G_ELEK_APP	AF_HOTEL	P_GEHUWD	G_ELEK_TOT	AUTO_LAND	P_LAAGINKP	AV10_ONDHV	P_HOOGBW	OPP_TOT	P_TURKIJE	AANTAL_HH	P_LAAGINKH	AF_DAGLMD	AV5_KDV	OAD	AV5_BSO	P_WONV2000	G_GAS_TOT	AV5_ARTSPR	AV10_HOTEL	A_BED_RU	AV1_ARTSPR	AV3_ARTSPR	G_ELEK_VRY	G_ELEK_HOE	AV20ATTRAC	AF_WARENH	AF_ONDHV	AV5_DAGLMD	AV20_BIOS	OPP_LAND	AV3_KDV	INK_ONTV	WW_UIT_TOT	AV3_BSO	AF_SAUNA	AV5_HOTEL	AUTO_TOT	P_45_64_JR	A_BED_MN	AUTO_HH	AV1_CAFTAR	P_WONT2000	INK_INW	AV1_DAGLMD	BEDR_AUTO	AV5_ONDVRT	P_GESCHEID	P_STERFT	P_HUKO_ONB	WONINGEN	G_ELEK_TUS	AF_ZIEK_I	AV5_BIOS	AV5_ONDBAS	STED	AANT_MAN	AV10ONDVRT	AF_POP	AV5_CAFTAR	AF_PODIUM	G_ELEK_21K	P_HUURCORP	AF_ZIEK_E	AV1_KDV	AV3_ONDVMB	AV1_BSO	AV10_BIOS	AF_KDV	AV1_ONDBAS	AF_ZONBNK	AF_BSO	AV1_SUPERM	AV5_SUPERM	AF_ZWEMB	AF_ONDVMB	AV5_ONDHV
537.4671550210038 713.9495431793559	1700	23	3.9	9.9	23.5	42	1.0	1.0	1.0	560	1.0	3.9	13.3	185	525	1.0	1	2.1	21	2.7	NEE	35	1.0	32	110	6	4.0	8	1.5	0.7	0	3.9	1.1	81	1.0	35	41	1.3	17.0	3.7	GM0003	99	9	Appingedam	507	0	51	1.7	16	14.8	2.1	0.7	3.6	1.5	1950	12	8	135	9.8	8700	14	9	22.3	3.0	0.9	11	0.9	23	0.7	0.2	30	6230	5.8	4.0	34	5	7.2	1500	0.9	5.1	12.3	12055	0.0	59	8	25.3	155	80	18.9	760	1.0	10	1100	1.3	0	49	1.3	2450	9.8	1.1	1.0	45	2	1.3	300	2000	1.1	44	2950	223	46	2.0	16	2458	2	5515	49	0.7	3.2	1001	4.7	11	1750	3.4	8.6	70	0.5	2.0	3950	2850	1.0	1.2	1.6	21.6	0.0	2377	1.0	26.4	320	2.5	21.7	3.2	5290	30	80	1.0	3.9	89	19.6	6.1	440	4.0	8	11	0	5600	2700	3.9	0.0	14.5	3	5820	4.7	24.5	12.5	5.5	3100	43	3.9	0.4	2.7	0.7	0.0	1.3	1.9	21.5	0.9	1.7	6.1	2.3	1.4	2.0
499.72001246936986 707.662756287779	1850	20	2.6	5.8	10.9	25	2.0	0.3	2.0	515	0.3	12.1	9.7	130	585	0.9	0	0.6	17	2.9	NEE	29	0.9	38	105	5	2.1	5	1.3	0.9	0	8.7	1.1	39	1.3	70	44	1.2	7.6	7.3	GM0005	95	10	Bedum	236	0	31	0.0	17	7.8	2.4	1.2	0.0	2.2	1900	18	4	90	1.7	7400	17	5	7.9	0.5	0.0	6	0.0	22	0.7	0.1	50	5225	4.1	2.7	33	2	4.1	1650	1.1	1.0	19.4	10510	0.9	25	8	11.3	190	95	37.4	650	7.1	12	1150	1.9	0	68	7.4	2500	2.9	0.9	2.5	55	2	1.0	100	2050	1.6	46	3200	107	40	4.4	6	4496	0	4345	37	0.9	7.9	621	8.3	8	1950	2.4	5.9	75	0.6	1.0	3850	3050	1.8	1.6	7.5	11.9	3.1	4457	4.4	28.1	170	4.5	10.9	1.0	4760	31	110	1.1	0.9	92	20.3	4.2	665	0.5	5	8	1	4410	2900	10.3	0.0	7.3	4	5280	7.9	9.6	3.8	8.8	3250	23	10.3	1.8	0.0	2.2	0.4	0.9	2.2	8.6	0.7	1.3	4.3	2.0	7.4	0.2
579.503688492156 660.1443649906797	1900	24	0.6	1.6	20.1	33	1.6	0.3	2.0	605	0.3	3.0	4.4	125	620	1.5	0	0.6	22	0.9	NEE	30	1.5	31	65	6	1.2	7	2.9	1.8	0	10.2	1.8	169	1.3	125	37	2.6	19.0	3.1	GM0007	113	7	Bellingwedde	86	0	28	0.0	14	1.4	2.2	3.7	0.3	8.9	2100	14	8	110	0.3	6600	14	9	44.2	0.6	0.0	10	0.0	20	1.0	0.0	35	4640	1.8	0.9	38	4	2.4	1650	2.0	1.9	14.2	9285	0.0	41	8	42.3	182	115	14.7	670	1.0	10	1200	4.1	0	72	4.2	2550	4.4	0.5	0.0	40	3	0.1	170	1950	4.4	49	3600	47	46	1.2	1	11008	0	4165	44	1.2	0.5	156	1.4	5	2300	1.9	3.7	75	0.4	1.1	4050	2600	0.9	9.2	9.0	3.9	0.6	10839	0.1	26.3	200	0.7	12.9	0.6	5145	34	95	1.2	0.1	95	19.2	0.5	860	0.6	7	11	0	4090	2450	10.0	0.0	4.0	5	4645	3.5	46.0	2.0	19.3	3250	20	10.0	0.0	0.3	0.4	0.0	4.7	0.8	15.2	2.0	0.5	2.0	7.5	4.2	0.0
513.9336892719679 703.9043588094787	2050	15	1.4	2.3	12.2	26	2.8	0.1	2.8	445	0.1	13.9	3.8	95	505	0.8	0	1.3	15	2.2	NEE	25	1.3	41	90	4	0.7	6	1.8	1.9	0	11.0	1.5	43	0.9	85	44	1.9	10.1	2.8	GM0009	47	12	Ten Boer	165	0	21	0.0	21	3.4	2.5	1.8	0.0	8.0	1850	19	4	90	1.3	5100	19	5	9.8	0.1	0.0	6	0.0	24	0.6	0.0	35	3735	1.2	1.3	34	2	2.6	1700	1.8	1.8	17.3	7475	0.4	17	4	12.7	188	95	38.3	230	8.0	10	800	2.1	0	78	9.0	2450	4.7	0.5	0.5	40	2	0.1	50	1950	2.0	45	3400	78	38	1.3	4	4573	0	2930	33	1.4	1.8	340	3.7	12	2050	2.4	5.1	60	0.9	1.4	3950	3100	1.8	7.6	10.0	5.8	3.2	4530	0.7	29.1	120	1.6	12.6	1.0	3535	30	95	1.2	1.1	88	20.4	2.6	450	0.1	5	12	0	3000	2950	11.2	0.0	7.2	5	3745	3.2	12.0	2.2	11.9	3300	17	11.2	0.5	0.0	1.0	0.3	2.0	1.7	11.5	1.0	1.0	2.1	9.4	9.0	0.0
549.5556091421967 714.9157261050898	1900	23	1.5	9.2	27.2	34	1.1	0.8	1.1	1340	0.8	3.3	15.3	355	1505	1.3	1	1.8	22	1.8	NEE	34	1.5	32	225	5	2.0	7	1.4	1.6	0	4.2	1.4	9444	1.2	155	40	2.6	14.8	2.7	GM0010	75	8	Delfzijl	198	0	37	0.4	16	14.3	2.2	1.6	0.9	3.9	2000	13	8	330	5.5	18800	15	9	27.1	2.0	0.7	10	0.7	22	0.7	0.7	295	13150	3.5	3.9	34	9	7.5	1650	1.2	9.2	9.8	26305	0.1	65	8	30.1	143	230	16.4	1240	1.1	11	1400	2.1	2	63	3.8	2450	13.5	0.5	0.9	95	3	1.0	720	1950	2.2	46	3150	92	45	1.6	17	22750	2	11905	45	1.7	5.0	605	5.6	8	1950	2.7	7.8	165	0.4	1.5	3950	3050	1.0	4.1	5.1	21.8	0.1	13306	3.6	26.8	570	3.5	19.1	4.8	12200	30	205	1.0	0.8	92	19.6	2.6	1520	2.6	7	12	0	11850	2950	4.2	0.0	12.0	4	13155	3.5	29.3	10.1	4.5	3250	29	4.2	0.8	0.7	0.8	0.0	2.1	1.7	23.2	2.1	0.9	6.3	5.2	3.8	1.3
494.9527809296443 689.4032004842209	1750	36	21.6	127.2	2.9	26	2.0	2.0	2.0	4875	2.0	15.8	204.7	2935	12835	1.0	2	15.6	11	9.4	NEE	60	0.6	18	2060	5	25.0	4	0.9	0.6	0	3.2	0.7	570	0.6	40	66	1.1	4.6	17.3	GM0014	59	10	Groningen	2474	1	58	4.8	13	79.5	1.7	0.7	7.2	2.4	1900	13	11	1380	74.7	136100	15	14	4.7	11.8	1.4	15	1.4	31	0.7	5.1	1530	97500	47.7	19.7	21	10	11.6	1500	0.6	92.4	24.2	193125	1.0	78	17	3.1	172	1335	44.0	8680	7.8	24	1300	2.9	2	42	1.3	2650	146.1	3.6	6.0	1145	6	6.0	8610	2100	2.0	24	2600	880	48	13.6	49	8375	1	115045	54	0.6	79.2	3190	52.9	13	1500	32.0	22.6	2270	2.7	17.4	4500	3100	5.4	1.6	1.5	135.2	3.9	7805	39.5	26.7	3840	24.8	2.7	13.9	68695	22	3580	0.6	12.2	87	19.6	13.3	9195	14.6	7	7	0	86385	2850	2.7	2.4	24.9	1	95630	21.9	2.6	120.7	2.1	3800	41	2.7	5.8	5.7	3.7	3.0	0.4	1.8	1.5	0.5	3.1	36.6	3.3	1.3	9.1
451.3844643358472 685.3720398542532	1800	17	0.6	2.1	17.0	30	0.9	0.0	0.9	820	0.0	9.5	4.5	225	855	0.7	0	0.5	15	1.7	NEE	24	2.4	44	140	4	0.7	4	3.1	2.1	0	11.4	2.1	96	1.4	125	46	3.0	11.3	4.4	GM0015	66	11	Grootegast	141	0	28	0.0	20	4.1	2.6	2.4	0.9	8.0	1900	16	3	110	1.5	8400	13	7	25.2	1.5	0.0	8	0.0	25	0.8	0.0	50	5995	1.6	1.5	32	1	3.2	1600	1.4	2.0	25.5	12275	0.5	25	9	22.7	211	230	22.0	530	2.5	12	1150	3.1	0	71	2.1	2400	3.4	0.3	0.0	55	1	0.3	120	2100	5.5	45	3600	72	45	0.7	1	8774	0	4725	38	1.6	2.9	199	2.3	11	2100	2.2	3.3	70	0.5	1.1	4100	2750	3.2	6.8	9.2	8.2	1.2	8678	1.5	25.6	240	1.1	10.6	0.5	6220	28	100	1.3	0.6	89	17.8	1.6	1125	1.5	4	8	1	4760	2500	17.9	0.0	6.8	5	6280	4.7	17.3	3.1	17.1	3600	20	17.9	0.6	0.9	0.4	0.0	1.6	1.3	8.6	1.6	0.8	3.0	6.0	2.1	0.1
505.41320372001337 672.62447538694	2000	17	2.7	11.7	6.9	20	2.1	1.8	2.7	585	1.8	16.0	30.1	255	1360	1.2	0	1.1	26	8.6	NEE	35	0.9	31	135	6	7.6	8	1.3	0.7	0	7.7	0.9	515	1.0	20	41	1.8	9.1	13.5	GM0017	58	7	Haren	405	0	34	2.2	17	15.2	2.2	1.1	2.2	2.0	2550	29	8	260	5.0	13000	29	6	11.0	2.3	0.1	6	0.1	18	0.7	0.2	80	9730	14.3	4.4	33	3	6.9	1750	1.2	4.2	23.9	18455	0.8	22	19	7.1	286	110	52.2	620	7.1	10	1300	2.0	0	64	1.4	3650	14.6	2.0	5.4	255	2	1.9	170	2150	2.0	45	3350	198	34	12.3	17	5073	0	8260	32	1.1	14.6	802	20.7	6	2300	9.1	24.2	165	1.1	3.9	4800	3000	5.9	1.9	1.4	29.9	4.1	4558	5.7	38.1	200	11.2	1.9	3.1	9045	30	470	1.1	1.5	94	27.6	4.7	680	4.3	7	14	1	8460	2850	6.7	0.2	12.7	4	8730	18.5	7.2	13.1	6.9	3700	15	6.7	1.4	0.5	2.5	2.8	0.8	1.8	6.1	0.6	1.4	8.5	8.6	3.4	3.7
522.8657344253264 671.1350619473754	1850	27	2.3	12.3	2.3	36	2.0	0.0	3.0	1225	0.1	13.6	17.3	520	1670	1.4	4	1.7	19	1.5	NEE	34	0.9	34	315	4	5.5	6	1.4	1.1	0	2.5	1.2	628	1.0	70	44	2.1	1.8	3.3	GM0018	112	9	Hoogezand-Sappemeer	521	1	45	1.5	17	21.2	2.2	1.0	2.3	1.7	2000	11	7	340	11.2	24600	13	10	16.5	2.8	0.0	11	0.0	25	0.7	1.0	110	17615	8.1	8.0	32	11	9.3	1550	1.1	9.0	22.1	34780	2.5	73	10	16.4	155	305	43.5	2490	7.8	11	1050	2.7	1	55	1.6	2700	14.9	1.2	1.1	180	2	1.0	1050	2050	1.9	42	3100	239	46	2.5	24	7299	3	15565	49	0.9	7.3	1146	2.9	14	1750	8.4	8.2	215	1.3	6.5	4200	3200	4.8	2.2	2.0	28.4	4.0	6671	4.5	26.0	790	2.0	12.7	2.9	15940	29	270	1.0	2.3	86	18.9	3.9	1655	2.8	8	9	0	15585	2900	11.5	1.0	15.8	3	17160	3.6	16.4	14.9	2.3	3550	35	16.1	0.8	2.3	0.4	1.0	1.0	2.3	1.9	1.4	1.8	11.2	2.3	1.7	1.9
465.9732555395304 674.2128770236131	1900	19	0.6	5.0	16.9	34	1.9	0.0	1.9	915	0.0	14.3	8.8	370	1425	1.1	0	0.7	18	4.0	NEE	29	2.3	38	175	3	4.5	6	2.2	1.2	0	2.7	1.4	95	1.4	90	43	1.7	2.8	3.2	GM0022	80	9	Leek	307	0	34	0.8	18	13.6	2.4	2.0	1.5	13.1	1950	17	5	165	6.4	13500	17	7	21.0	1.0	0.0	8	0.0	23	0.9	0.0	90	9805	6.3	5.2	33	3	6.4	1700	1.2	4.1	27.1	19465	2.1	39	10	17.2	208	285	38.5	1000	5.5	10	1150	2.7	0	66	2.2	2600	7.0	1.3	0.2	165	2	1.5	300	2150	4.8	46	3500	151	43	1.3	5	6428	0	8030	39	1.3	4.9	700	6.4	13	2000	3.8	7.3	155	0.5	2.2	4300	3200	3.2	2.3	2.3	19.3	2.6	6333	3.2	28.3	420	4.4	6.6	0.6	9550	30	275	1.2	1.0	87	20.2	2.5	1440	2.1	6	8	0	7955	2950	16.1	0.0	11.5	4	9660	5.3	17.3	8.5	16.1	3550	24	16.1	0.9	0.8	1.1	0.1	1.1	1.5	12.5	1.2	1.0	7.0	3.3	2.3	0.8
