COMPUTE_CENTROID	G_GAS_HOEK	P_NIETACT	AV1_RESTAU	AV3_RESTAU	AF_BIOS	AV20ZIEK_E	AV10ZIEK_E	AV20ZIEK_I	MOTOR_2W	AV10ZIEK_I	AV20WARENH	AV5_RESTAU	A_BED_GI	A_BEDV	AF_OPRITH	P_SURINAM	AV1_CAFE	P_65_EO_JR	AV10WARENH	WATER	P_EENP_HH	AF_RESTAU	P_HH_M_K	GEBOO_TOT	P_LEEGSW	P_VERWEDUW	AF_APOTH	P_STADVERW	AF_ARTSPR	OPP_WATER	AF_CAFE	A_BED_A	P_ONGEHUWD	AF_BIBLIO	AV20_MUS	AF_ATTRAC	AV10ONDVMB	GM_CODE	P_GEBOO	GM_NAAM	BEV_DICHTH	P_MAROKKO	G_ELE_KO	A_LFTJ6J	P_HUURWON	AV3_ONDHV	P_00_14_JR	AV3_DAGLMD	GEM_HH_GR	AF_CAFTAR	AV3_ONDVRT	P_BEWNDW	AF_TREINST	AF_MUS	G_GAS_21K	P_HOOGINKH	P_WEST_AL	G_GAS_KO	STERFT_TOT	AV3_CAFTAR	AANT_INK	P_HOOGINKP	P_LKOOPKRH	AF_IJSBAAN	AV5_ONDVMB	AV5_ZIEK_E	P_SOCMINH	AV5_ZIEK_I	P_25_44_JR	AF_ONDBAS	AV5_PODIUM	A_BED_HJ	AANT_VROUW	AV3_SUPERM	P_HH_Z_K	P_N_W_AL	AV3_ONDBAS	G_GAS_TUS	AF_SUPERM	AV3_CAFE	AV50ATTRAC	AANT_INW	AV10ATTRAC	P_1GEZW	P_HUUROVVH	AF_OVERST	WOZ	A_BED_BF	A_LFTO6J	AV20_HOTEL	AO_UIT_TOT	AV20PODIUM	P_15_24_JR	G_GAS_HU	G_GAS_APP	AF_BRANDW	P_ANT_ARU	P_KOOPWON	AF_ONDVRT	G_GAS_VRY	AV5_CAFE	AV10PODIUM	A_BED_KL	P_OVER_NW	G_ELE_HU	AV5_WARENH	WWB_UITTOT	G_ELEK_APP	AF_HOTEL	P_GEHUWD	G_ELEK_TOT	AUTO_LAND	P_LAAGINKP	AV10_ONDHV	OPP_TOT	P_TURKIJE	AANTAL_HH	P_LAAGINKH	AF_DAGLMD	AV5_KDV	OAD	AV5_BSO	P_WONV2000	G_GAS_TOT	AV5_ARTSPR	AV10_HOTEL	A_BED_RU	AV1_ARTSPR	AV3_ARTSPR	G_ELEK_VRY	G_ELEK_HOE	AV20ATTRAC	AV5_MUS	AF_WARENH	AF_ONDHV	A_SOZ_OW	AV5_DAGLMD	AV20_BIOS	OPP_LAND	AV3_KDV	INK_ONTV	WW_UIT_TOT	AV3_BSO	AF_SAUNA	AV5_HOTEL	AUTO_TOT	P_45_64_JR	P_MGEZW	A_BED_MN	AUTO_HH	AV1_CAFTAR	P_WONT2000	INK_INW	AV1_DAGLMD	BEDR_AUTO	AV5_ONDVRT	P_GESCHEID	P_STERFT	P_HUKO_ONB	WONINGEN	G_ELEK_TUS	AF_ZIEK_I	AV5_BIOS	AV5_ONDBAS	STED	AANT_MAN	AV10ONDVRT	AF_POP	AV5_CAFTAR	AF_PODIUM	G_ELEK_21K	P_HUURCORP	AF_ZIEK_E	AV1_KDV	AV3_ONDVMB	AV1_BSO	AV10_BIOS	A_BST_B	AF_KDV	AV10_MUS	AV1_ONDBAS	AF_ZONBNK	AF_BSO	AV1_SUPERM	AV5_SUPERM	AF_ZWEMB	A_BST_NB	AF_ONDVMB	AV5_ONDHV
537.4671540678804 713.9495424037254	1900	24	4.5	10.9	23.5	1.0	1.0	1.0	555	1.0	3.9	14.5	185	555	1.0	1	2.1	22	2.6	NEE	35	0.9	32	95	6	8	1.3	0	1.4	81	1.0	40	41	1.3	8.1	17.0	1.7	GM0003	7	Appingedam	507	0	3450	1595	51	1.0	15	12.9	2.1	0.7	2.7	94	1.5	1.0	2000	12	8	2100	145	8.9	8700	14	10	22.3	1.0	0.9	10	0.9	22	0.7	0.2	35	6215	4.0	33	5	7.3	1700	0.9	5.1	12.2	12050	0.0	73	9	25.3	149	80	3720	18.9	740	1.0	10	1600	1200	1.3	0	47	1.3	2550	9.8	1.0	50	2	2350	1.3	390	1900	1.1	44	2850	224	46	1.0	2458	2	5525	49	0.7	3.3	1016	4.8	13	1800	2.5	8.6	85	0.2	1.0	3900	3000	1.0	2.1	1.2	1.6	2640	18.8	0.0	2377	1.0	26.4	340	2.5	21.6	3.2	5315	30	27	85	1.0	3.4	87	19.7	5.4	415	3.0	8	12	2	5785	2850	3.9	0.0	14.9	3	5835	3.7	24.6	11.3	5.5	3050	42	3.9	0.4	0.8	0.7	0.0	4455	1.2	3.0	1.9	22.6	0.9	1.7	5.8	2.3	860	2.5	1.0
499.7200124954531 707.6627565130942	2000	19	2.7	5.5	10.9	2.0	0.3	4.0	515	0.3	12.1	9.0	135	635	0.9	0	0.0	18	2.9	NEE	29	0.9	38	85	4	5	1.3	0	1.1	41	6.3	80	44	1.4	15.1	7.6	7.0	GM0005	8	Bedum	237	0	3500	1465	32	0.0	17	7.0	2.4	1.2	0.0	96	2.2	10.0	2000	18	4	2200	75	1.9	7400	17	7	7.9	0.5	0.0	6	0.0	22	0.7	0.0	60	5270	2.7	33	2	4.1	1800	1.1	0.2	19.5	10550	1.1	87	9	11.4	184	100	3350	39.4	620	5.1	12	1750	1150	1.9	0	67	7.4	2650	2.0	1.4	60	2	2400	1.0	120	1850	1.6	46	3150	108	40	5.1	4496	0	4370	37	0.9	7.6	621	7.5	9	2050	2.4	6.7	90	0.6	1.0	3800	3050	2.7	0.0	1.6	7.5	1890	11.0	3.1	4454	4.3	28.6	240	4.4	10.9	1.0	4815	31	13	110	1.1	0.9	91	20.6	3.8	640	0.7	5	7	1	4464	3000	10.3	0.0	7.2	4	5280	9.5	9.6	4.0	9.6	3200	23	10.3	1.8	0.0	2.2	0.4	3885	0.9	0.8	2.2	9.3	0.9	1.3	4.3	1.9	935	7.4	0.3
579.5036885498354 660.1443652160016	2000	25	0.5	1.6	20.0	1.6	0.4	2.4	615	0.4	3.0	4.6	130	670	1.5	0	0.6	23	0.9	NEE	29	1.6	31	55	6	7	1.8	0	1.8	172	1.3	150	36	2.6	12.5	18.9	3.2	GM0007	6	Bellingwedde	83	0	3950	1400	28	0.0	14	1.4	2.2	3.7	0.3	94	8.9	4.8	2200	14	8	2550	110	0.3	6600	14	10	44.2	0.6	0.0	10	0.0	19	1.1	0.0	40	4495	0.9	40	2	2.3	1850	2.0	1.9	15.2	8985	0.0	93	9	42.2	170	120	3735	14.7	640	1.0	9	2100	1100	4.1	0	70	4.2	2650	4.5	0.0	35	1	2600	0.1	190	1700	4.5	49	3550	47	46	1.2	11008	0	4010	44	1.3	0.6	156	1.5	6	2400	1.9	3.7	80	0.4	1.1	4000	2700	0.9	0.6	9.2	8.9	2090	3.9	0.6	10836	0.1	26.5	220	0.7	13.0	0.6	5135	34	7	110	1.3	0.1	94	19.9	0.5	830	0.6	7	12	1	4136	2550	10.0	0.0	3.8	5	4490	3.5	45.2	2.0	19.2	3250	20	10.0	0.0	0.3	0.4	0.0	3885	4.7	4.2	0.8	9.7	2.1	0.4	2.1	7.4	1250	4.2	0.0
513.9336893014017 703.904359045581	2100	15	1.4	2.3	12.2	2.8	0.1	4.8	475	0.1	13.9	3.9	100	530	0.7	0	1.3	16	2.2	NEE	26	1.3	41	75	3	6	1.7	0	1.5	42	0.9	95	44	1.8	14.5	10.1	2.7	GM0009	9	Ten Boer	166	0	3600	1020	21	0.0	20	3.4	2.5	1.8	0.0	97	8.0	10.9	1900	19	4	2250	75	0.7	5100	18	6	9.8	0.1	0.0	7	0.0	23	0.6	0.0	35	3745	1.3	33	2	2.7	1900	1.8	1.9	17.3	7500	0.5	94	4	12.7	183	90	2555	40.3	220	6.0	10	1750	900	2.1	0	78	9.0	2550	4.8	0.5	40	2	2250	0.1	80	1700	2.0	45	3350	79	39	1.6	4573	0	2950	33	1.4	1.6	324	3.9	12	2150	2.4	5.2	70	0.9	1.4	3900	3000	2.3	0.0	7.6	10.0	1250	5.8	3.2	4531	0.7	29.1	160	1.7	12.6	1.0	3580	30	6	105	1.2	0.5	88	20.3	2.5	450	0.1	5	10	0	2964	3050	11.3	0.0	7.2	5	3755	4.0	12.0	1.2	11.9	3200	17	11.3	0.5	0.0	1.0	0.3	2830	1.9	0.6	1.7	11.5	1.0	1.0	2.2	9.1	750	9.2	0.0
549.555608872934 714.9157262398389	2000	23	1.6	9.8	27.2	1.1	0.8	1.1	1345	0.8	3.3	16.5	370	1565	1.3	1	1.8	22	1.8	NEE	34	1.4	32	195	7	7	1.4	0	1.4	9437	1.2	180	40	2.6	6.4	14.8	1.0	GM0010	7	Delfzijl	195	0	3450	3840	38	0.1	15	13.9	2.2	1.6	0.7	93	3.9	4.4	2050	13	8	2150	320	4.6	18500	15	10	27.2	0.8	0.7	11	0.7	22	0.7	0.7	310	12990	3.3	34	9	7.5	1750	1.2	9.2	9.8	26025	0.1	79	9	30.1	139	230	8255	16.4	1210	1.1	11	1750	1250	2.2	2	62	3.8	2600	13.5	0.9	90	3	2400	1.0	890	1900	2.2	45	3100	91	45	0.8	22750	2	11855	45	1.8	5.0	607	5.7	7	2000	2.4	7.7	165	0.4	1.5	3850	3000	1.0	1.2	4.1	6.1	5820	21.1	0.1	13313	3.6	27.0	640	3.5	18.9	4.8	12095	30	21	220	1.0	0.7	93	19.7	2.3	1545	1.9	7	12	0	12027	3050	4.2	0.0	12.0	4	13030	2.7	29.4	8.6	4.5	3200	28	4.2	0.8	0.4	0.8	0.0	9770	2.1	2.5	1.7	23.5	2.1	0.7	5.6	5.2	2325	4.0	0.6
494.9527812204905 689.4032005617146	1900	35	21.1	126.3	2.8	2.0	2.0	4.0	4985	4.0	15.8	203.9	3045	13920	1.0	2	15.2	12	9.4	NEE	61	0.5	18	2005	6	4	0.9	0	0.7	548	0.6	50	66	1.1	20.8	2.6	15.3	GM0014	10	Groningen	2497	1	3000	25045	58	4.9	13	79.2	1.7	0.6	7.4	94	2.4	2.5	2000	13	11	1750	1310	79.0	135600	16	16	4.6	10.5	1.4	16	2.2	30	0.7	4.3	1735	98435	19.4	21	11	11.5	1650	0.6	90.9	24.2	195415	2.0	37	20	3.1	166	1355	43775	46.0	8440	5.9	24	1400	1350	2.9	2	39	1.3	2850	143.8	5.0	1200	6	2200	6.1	10170	2050	1.9	23	2550	879	48	14.6	8375	1	116900	54	0.6	74.6	3244	50.0	10	1550	32.7	24.6	2480	2.8	18.0	4400	3200	5.5	4.3	1.6	1.5	22560	134.4	3.9	7827	37.2	26.9	4290	23.0	2.7	15.7	68825	22	63	4060	0.6	12.8	90	19.3	13.2	9040	15.1	7	6	4	95291	3050	2.6	2.4	24.9	1	96980	22.9	2.6	127.8	2.3	3750	38	2.7	5.4	5.1	3.4	3.0	50990	0.4	6.6	1.7	1.7	0.5	3.1	35.9	2.1	17835	1.3	9.6
451.38446432857535 685.3720401322562	1900	18	0.9	2.4	17.0	0.9	0.0	1.1	830	0.0	9.5	5.1	230	945	0.7	0	0.5	16	1.7	NEE	26	2.4	43	105	3	5	3.1	0	2.1	104	1.4	165	46	3.0	17.9	11.3	4.4	GM0015	8	Grootegast	141	0	3900	1265	30	0.1	20	4.1	2.5	2.4	0.9	97	8.0	4.6	1950	16	3	2350	95	1.4	8500	13	8	25.2	1.5	0.0	9	0.0	24	0.8	0.0	50	5990	1.5	32	1	3.2	1750	1.4	1.9	25.7	12220	0.5	94	10	22.7	203	235	4975	22.6	520	2.2	12	1950	1150	3.1	0	69	2.1	2550	3.2	0.0	65	1	2650	0.3	160	1950	5.5	45	3500	72	45	1.3	8774	0	4815	39	1.6	2.1	209	2.6	12	2250	2.3	3.3	80	0.5	1.1	4000	2750	3.5	0.8	6.8	6.6	1940	8.4	1.2	8670	1.0	25.9	320	1.4	14.5	0.5	6235	28	6	120	1.3	0.6	88	18.1	1.6	1125	1.5	5	7	0	4825	2500	17.8	0.0	6.6	5	6230	4.7	17.3	3.4	17.3	3550	20	17.9	0.3	0.9	0.6	0.0	4305	2.0	3.5	1.3	8.9	1.6	0.8	3.1	6.0	1930	2.1	0.3
505.41320397205897 672.6244742546138	2100	17	3.1	12.5	6.8	2.1	1.8	4.8	590	3.8	16.1	30.4	270	1450	1.2	0	1.1	26	8.7	NEE	36	0.9	31	160	5	8	1.3	0	0.8	522	1.0	30	41	1.8	19.8	7.3	12.5	GM0017	8	Haren	410	0	3650	2865	36	2.2	17	14.3	2.2	1.1	2.2	95	2.0	6.0	2650	29	8	2650	280	5.8	13200	29	6	11.0	2.1	0.1	6	1.1	18	0.7	0.1	95	9825	4.5	33	3	6.4	1950	1.2	4.1	24.1	18640	1.7	77	21	7.0	274	110	6240	54.2	610	6.1	10	1950	1350	2.0	0	64	1.4	3800	13.7	4.6	240	2	2550	1.9	230	2050	2.0	44	3250	200	34	13.0	5073	0	8405	32	1.1	14.7	803	18.6	6	2350	9.0	26.1	185	1.1	3.8	4700	3000	5.9	0.3	1.9	1.5	4850	27.3	4.1	4551	5.7	38.5	310	10.3	1.9	3.1	9105	30	23	520	1.1	1.8	94	28.0	4.4	640	4.6	7	14	0	8531	2950	3.1	0.2	11.8	4	8815	19.2	7.2	13.9	6.8	3600	15	6.7	1.4	0.5	2.3	2.8	7230	0.8	9.0	1.8	6.0	0.6	1.4	8.4	4.6	1875	3.2	4.0
522.8657334354943 671.1350611944698	2000	26	2.1	11.9	2.3	2.0	0.0	6.0	1245	0.2	13.6	17.1	545	1770	1.4	4	1.6	20	1.5	NEE	35	0.8	33	330	4	6	1.2	0	1.2	637	1.0	75	44	2.1	14.6	2.5	2.5	GM0018	9	Hoogezand-Sappemeer	518	1	3500	4335	46	1.5	16	19.9	2.2	1.0	1.5	96	1.7	2.3	2100	11	7	2150	370	10.4	24400	13	12	16.5	1.9	0.0	12	0.0	24	0.7	1.0	120	17480	8.0	32	11	9.5	1750	1.1	8.5	22.1	34520	1.5	71	11	16.5	147	310	11490	45.3	2430	6.9	11	1600	1150	2.7	1	54	2.0	2900	13.5	1.1	180	2	2500	1.0	1350	2050	1.9	42	3050	238	47	2.5	7299	3	15585	49	0.9	9.0	1140	4.7	13	1850	8.4	8.2	240	1.3	6.5	4150	3250	4.8	1.9	2.2	2.0	6920	26.6	4.0	6662	5.6	26.0	1010	3.1	12.7	2.9	15825	29	29	300	1.0	2.2	87	19.0	3.6	1600	1.9	8	10	0	15814	3050	11.4	1.0	15.8	3	17040	2.6	16.4	14.0	2.3	3500	35	16.2	1.1	1.5	0.8	1.0	12945	0.9	3.9	2.3	2.2	1.3	1.7	11.2	2.2	2880	2.0	1.9
465.97325574306564 674.2128768084347	2000	19	0.8	5.8	16.9	1.9	0.0	3.5	935	0.1	14.3	9.7	400	1555	1.1	0	0.7	19	4.0	NEE	30	2.3	37	150	3	6	2.2	0	1.4	106	1.4	115	43	1.7	21.1	2.8	3.2	GM0022	7	Leek	310	0	3800	2630	37	0.8	18	12.1	2.3	2.0	1.5	97	13.1	2.5	2050	17	6	2250	150	6.4	13800	17	8	21.0	1.0	0.0	9	0.0	23	1.0	0.0	100	9890	5.2	33	3	6.2	1800	1.2	4.1	27.1	19610	2.1	86	11	17.2	196	290	6965	40.2	980	4.6	10	1900	1150	2.7	0	63	2.2	2700	7.0	0.1	170	2	2700	1.5	370	2100	4.8	45	3400	152	43	2.2	6428	0	8300	40	1.5	5.0	713	6.5	14	2100	3.9	7.3	165	0.5	2.2	4200	3150	4.1	2.5	2.3	2.3	3710	17.8	2.6	6322	3.2	28.3	510	4.4	6.6	0.7	9595	30	14	320	1.2	1.0	86	20.4	2.1	1420	2.1	6	7	0	8308	3000	16.0	0.0	10.3	4	9720	5.2	17.3	8.7	16.1	3550	26	16.1	0.9	0.8	1.2	0.1	7225	1.0	7.6	1.5	15.0	1.1	1.1	7.1	3.3	2375	2.3	1.0
