COMPUTE_CENTROID	G_GAS_HOEK	P_NIETACT	AV1_RESTAU	AV3_RESTAU	AF_BIOS	AV20ZIEK_E	AV10ZIEK_E	AV20ZIEK_I	MOTOR_2W	AV10ZIEK_I	AV20WARENH	AV5_RESTAU	A_BED_GI	A_BEDV	AF_OPRITH	P_SURINAM	AV1_CAFE	P_65_EO_JR	AV10WARENH	WATER	P_EENP_HH	AF_RESTAU	P_HH_M_K	GEBOO_TOT	P_LEEGSW	P_VERWEDUW	AF_APOTH	P_STADVERW	AF_ARTSPR	OPP_WATER	AF_CAFE	A_BED_A	P_ONGEHUWD	AF_BIBLIO	AF_ATTRAC	AV10ONDVMB	GM_CODE	P_GEBOO	GM_NAAM	BEV_DICHTH	P_MAROKKO	G_ELE_KO	A_LFTJ6J	P_HUURWON	AV3_ONDHV	P_00_14_JR	AV3_DAGLMD	GEM_HH_GR	AF_CAFTAR	AV3_ONDVRT	P_BEWNDW	AF_TREINST	G_GAS_21K	P_HOOGINKH	P_WEST_AL	G_GAS_KO	STERFT_TOT	AV3_CAFTAR	AANT_INK	P_HOOGINKP	P_LKOOPKRH	AF_IJSBAAN	AV5_ONDVMB	AV5_ZIEK_E	P_SOCMINH	AV5_ZIEK_I	P_25_44_JR	AF_ONDBAS	AV5_PODIUM	A_BED_HJ	AANT_VROUW	AV3_SUPERM	P_HH_Z_K	P_N_W_AL	AV3_ONDBAS	G_GAS_TUS	AF_SUPERM	AV3_CAFE	AV50ATTRAC	AANT_INW	AV10ATTRAC	P_1GEZW	P_HUUROVVH	AF_OVERST	WOZ	A_BED_BF	A_LFTO6J	AV20_HOTEL	AO_UIT_TOT	AV20PODIUM	P_15_24_JR	G_GAS_HU	G_GAS_APP	AF_BRANDW	P_ANT_ARU	P_KOOPWON	AF_ONDVRT	G_GAS_VRY	AV5_CAFE	AV10PODIUM	A_BED_KL	P_OVER_NW	G_ELE_HU	AV5_WARENH	WWB_UITTOT	G_ELEK_APP	AF_HOTEL	P_GEHUWD	G_ELEK_TOT	AUTO_LAND	P_LAAGINKP	AV10_ONDHV	OPP_TOT	P_TURKIJE	AANTAL_HH	P_LAAGINKH	AF_DAGLMD	AV5_KDV	OAD	AV5_BSO	P_WONV2000	G_GAS_TOT	AV5_ARTSPR	AV10_HOTEL	A_BED_RU	AV1_ARTSPR	AV3_ARTSPR	G_ELEK_VRY	G_ELEK_HOE	AV20ATTRAC	AF_WARENH	AF_ONDHV	A_SOZ_OW	AV5_DAGLMD	AV20_BIOS	OPP_LAND	AV3_KDV	INK_ONTV	WW_UIT_TOT	AV3_BSO	AF_SAUNA	AV5_HOTEL	AUTO_TOT	P_45_64_JR	P_MGEZW	A_BED_MN	AUTO_HH	AV1_CAFTAR	P_WONT2000	INK_INW	AV1_DAGLMD	BEDR_AUTO	AV5_ONDVRT	P_GESCHEID	P_STERFT	P_HUKO_ONB	WONINGEN	G_ELEK_TUS	AF_ZIEK_I	AV5_BIOS	AV5_ONDBAS	STED	AANT_MAN	AV10ONDVRT	AF_POP	AV5_CAFTAR	AF_PODIUM	G_ELEK_21K	P_HUURCORP	AF_ZIEK_E	AV1_KDV	AV3_ONDVMB	AV1_BSO	AV10_BIOS	A_BST_B	AF_KDV	AV1_ONDBAS	AF_ZONBNK	AF_BSO	AV1_SUPERM	AV5_SUPERM	AF_ZWEMB	A_BST_NB	AF_ONDVMB	AV5_ONDHV
537.4671714581077 713.9361821664893	1550	53	4.5	10.9	5.6	1.0	1.0	1.0	550	1.0	3.9	14.7	175	555	1.0	1	2.2	23	2.6	NEE	36	0.9	31	94	5	7	1.3	-99999999	1.3	81	1.0	35	42	1.3	17.3	1.7	GM0003	7	Appingedam	505	0	3160	1565	52	1.0	15	12.9	2.1	0.7	2.7	95	1.5	1550	12	7	1670	164	9.8	9200	14	11	22.4	1.0	0.9	10	0.9	21	0.9	0.2	40	6204	4.0	33	6	6.3	1360	0.9	5.1	11.2	12011	0.0	72	8	25.3	134	75	3700	18.9	770	1.0	10	1240	980	1.3	1	48	1.3	2010	9.6	1.0	50	2	2180	1.2	470	1800	1.1	43	2660	222	45	1.0	2458	2	5550	46	0.7	3.0	1020	4.5	14	1450	2.3	8.6	85	0.2	1.0	3510	2820	1.0	1.1	1.6	2710	19.3	1.0	2377	1.0	26.1	380	2.5	21.6	3.1	5265	30	28	90	0.9	3.8	86	20.6	5.4	385	3.0	8	13	0	5850	2690	3.9	0.2	13.0	3	5807	3.7	24.6	12.3	5.6	2790	44	3.9	0.3	0.8	0.6	1.0	4470	1.4	1.3	21.9	1.0	1.7	5.8	2.3	800	2.5	1.0
499.72004117716915 707.6494056350671	1560	58	2.7	5.7	9.7	2.0	0.3	4.0	490	0.3	11.9	9.7	140	650	0.9	0	0.0	20	2.9	NEE	28	0.7	37	96	4	5	1.3	-99999999	1.1	41	6.2	80	44	1.4	7.6	6.0	GM0005	9	Bedum	234	0	3220	1375	32	0.0	17	6.1	2.4	1.2	0.0	96	2.2	1540	19	4	1730	81	3.4	7800	18	7	8.0	0.4	0.0	6	0.0	21	0.7	0.0	55	5218	2.7	35	3	4.0	1410	1.1	0.2	18.3	10441	1.1	85	8	11.4	171	110	3400	40.9	590	6.1	12	1350	1010	1.9	0	68	7.5	2070	2.0	1.6	60	2	2160	1.0	150	1810	1.6	46	2880	107	40	5.7	4496	0	4309	34	0.9	6.1	673	5.2	12	1600	2.3	7.0	80	0.6	1.0	3460	2830	2.5	1.6	7.5	2020	9.8	4.1	4454	3.5	27.7	250	2.8	10.8	1.0	4770	31	15	125	1.1	1.9	88	21.4	3.4	605	0.6	6	7	0	4529	2750	10.4	0.0	6.9	4	5223	9.1	9.6	5.3	9.6	2890	24	10.4	1.3	0.0	1.1	0.9	3865	1.0	2.1	9.3	1.0	1.3	4.2	2.1	910	7.5	0.3
579.5037113644013 660.1310050590881	1640	50	0.6	2.1	10.2	1.6	0.3	2.4	595	0.3	3.0	5.4	135	680	1.5	0	0.4	25	0.9	NEE	31	1.1	30	60	6	7	1.8	-99999999	1.8	172	1.4	145	38	2.7	18.9	3.1	GM0007	6	Bellingwedde	84	0	3670	1300	27	0.0	14	1.5	2.2	4.6	0.3	94	8.9	1710	15	8	2020	118	0.4	7000	14	10	44.2	0.6	0.0	8	0.0	18	1.1	0.0	35	4539	0.6	38	4	2.1	1470	2.6	1.7	14.5	9154	0.0	93	8	42.4	156	125	3875	14.6	590	2.0	10	1610	1150	4.1	0	72	4.2	2100	4.1	0.3	35	3	2380	0.1	260	2030	4.4	47	3280	48	44	1.2	11008	0	4154	42	1.2	0.9	151	1.4	6	1890	1.8	3.7	85	0.4	1.1	3740	2500	0.9	9.2	9.0	2260	3.9	1.6	10836	0.4	25.8	220	0.7	12.9	0.6	5175	33	7	115	1.2	0.2	94	20.6	0.5	795	0.6	8	12	1	4128	2370	10.3	0.0	3.4	5	4615	3.5	45.2	2.0	10.2	2900	20	10.3	0.2	0.3	0.3	0.3	3980	3.4	0.7	9.8	2.0	0.3	1.2	7.6	1195	4.2	0.0
513.9337180309227 703.8910109803683	1610	62	2.0	3.2	12.0	2.8	0.1	4.8	460	0.1	13.9	5.6	95	545	0.7	0	0.7	18	2.2	NEE	26	1.0	40	68	3	6	1.7	-99999999	1.5	42	1.1	95	44	1.8	10.1	2.4	GM0009	9	Ten Boer	164	0	3260	950	23	0.0	19	2.8	2.5	1.8	0.0	97	8.0	1440	21	4	1750	108	0.7	5400	19	7	9.8	0.1	0.0	6	0.0	22	0.6	0.0	35	3753	1.4	34	3	2.6	1480	1.8	1.0	16.2	7452	0.5	91	4	12.7	166	90	2610	42.9	210	7.0	11	1340	800	2.0	0	77	9.0	2020	3.1	0.6	40	2	2070	0.1	110	1710	2.0	44	2980	79	38	1.6	4573	0	2958	31	1.4	2.7	367	4.8	14	1670	2.4	5.4	70	1.0	1.4	3450	2760	2.3	7.6	10.0	1340	4.8	5.0	4531	1.4	28.6	160	2.4	12.6	1.0	3560	30	9	115	1.2	0.5	86	21.4	2.2	465	0.1	6	14	0	3033	2830	11.3	0.0	6.3	5	3699	3.6	11.9	1.3	11.8	2900	19	11.3	0.9	0.0	1.5	0.4	2840	1.7	1.6	11.5	0.9	1.0	2.1	9.2	720	9.1	0.0
549.5481627814858 714.9026044512394	1580	51	1.5	8.5	4.5	1.1	0.8	1.1	1320	0.8	3.3	15.0	355	1510	1.3	1	1.8	24	1.7	NEE	35	1.4	32	191	7	7	1.4	-99999999	1.4	9437	1.3	165	40	3.2	15.1	1.0	GM0010	7	Delfzijl	191	0	3180	3590	38	0.1	15	14.2	2.1	1.8	0.7	93	3.9	1610	13	8	1700	335	5.7	19500	15	12	27.2	0.8	0.7	10	0.7	21	0.7	0.7	265	12638	3.3	34	9	6.8	1410	1.3	9.1	8.7	25409	0.1	78	9	30.2	124	230	8485	16.8	1250	1.2	11	1360	1020	2.2	2	61	3.9	2030	13.5	0.9	105	4	2210	1.1	1050	1790	2.3	45	2820	91	44	0.8	22750	2	11552	44	1.9	4.2	676	5.0	8	1550	2.4	7.7	175	0.4	1.5	3500	2850	1.0	4.2	6.2	5870	21.8	1.2	13313	3.0	26.1	790	3.0	19.0	4.8	12075	31	22	215	1.0	0.9	92	20.7	2.5	1460	1.9	8	13	1	12232	2800	4.2	0.7	10.5	4	12771	2.6	29.4	10.3	4.5	2910	29	4.2	0.7	0.4	0.7	0.8	9880	2.0	1.6	20.4	2.1	0.7	5.6	5.2	2195	4.0	0.5
494.9527949070356 689.389846962178	1530	48	22.9	136.4	2.5	2.0	2.0	4.0	5160	4.0	15.8	216.5	3170	14720	1.1	2	14.6	12	9.4	NEE	62	0.5	18	2051	4	3	0.9	-99999999	0.7	548	0.6	60	67	1.3	2.7	15.3	GM0014	10	Groningen	2559	1	2830	24510	61	5.4	12	80.1	1.6	0.6	8.1	96	2.4	1590	10	12	1370	1336	82.3	159200	15	18	4.6	10.2	1.4	14	2.2	30	0.7	5.1	1875	100679	20.3	21	11	10.8	1330	0.6	86.5	24.1	200336	2.0	36	23	3.1	152	1395	44795	46.7	8720	7.8	24	1110	1050	2.7	2	38	1.2	2260	134.4	6.0	1195	6	2060	6.0	11030	1960	2.0	22	2390	885	51	15.6	8375	1	120764	64	0.6	71.2	3325	43.0	11	1220	33.3	26.4	2595	2.9	18.4	4100	3030	4.6	1.6	1.5	23380	132.7	4.9	7827	35.0	24.5	4870	19.1	2.7	17.3	69305	21	64	4430	0.6	13.6	89	20.5	13.4	9120	16.4	7	6	1	97905	2850	2.7	3.2	23.4	1	99657	24.8	2.6	130.7	2.3	3530	37	2.7	5.3	5.0	2.9	4.0	50905	0.4	1.6	1.6	0.5	3.2	37.1	2.1	18400	1.3	10.3
451.38448009488445 685.3586939573291	1500	61	0.9	2.4	16.9	0.9	0.0	1.1	830	0.0	10.3	5.1	230	980	0.7	0	0.3	17	2.0	NEE	25	2.1	43	127	4	5	3.1	-99999999	2.1	104	1.8	170	46	3.0	12.3	4.3	GM0015	10	Grootegast	140	0	3620	1160	26	0.0	19	5.1	2.5	2.8	0.9	96	8.0	1540	18	3	1880	93	1.3	8900	14	8	25.2	1.5	0.0	6	0.0	23	0.8	0.0	50	5954	1.4	32	1	3.1	1380	1.6	1.4	25.6	12123	0.2	92	6	22.7	187	250	5135	22.8	520	3.2	12	1470	990	3.1	0	72	2.1	2030	2.3	0.0	60	1	2300	0.3	180	1920	6.7	44	3290	73	43	0.7	8774	0	4743	35	1.0	2.3	227	2.4	14	1760	2.3	3.1	90	0.5	1.1	3730	2580	2.4	6.8	9.2	2000	10.4	1.5	8670	1.1	25.9	340	1.2	15.2	0.3	6295	29	8	135	1.3	0.5	86	19.2	2.0	1150	1.5	5	7	2	4938	2340	17.8	0.0	6.3	5	6169	4.7	17.3	2.9	15.4	3340	20	17.9	0.3	0.9	0.5	0.0	4440	1.9	1.3	8.9	1.9	0.7	2.8	5.9	1860	2.1	0.1
505.4132210027781 672.6111239300749	1680	57	2.6	9.7	6.8	2.0	1.9	4.4	570	3.8	16.0	27.8	255	1540	1.3	0	1.1	27	8.7	NEE	36	1.1	31	168	5	7	1.7	-99999999	0.8	522	1.0	35	42	1.8	7.5	12.6	GM0017	8	Haren	416	0	3450	2690	31	2.2	16	15.1	2.2	1.0	2.3	95	2.0	2080	30	8	2110	264	6.7	14300	30	7	10.9	2.5	0.1	6	1.1	18	0.8	0.2	100	9918	4.5	33	4	6.3	1510	1.2	4.2	23.0	18924	1.7	77	16	7.0	254	125	6535	54.0	590	8.1	9	1390	1080	2.0	0	69	1.4	3000	14.2	5.5	235	3	2170	2.0	260	1960	2.0	43	3060	203	34	13.8	5073	0	8553	32	1.0	15.7	864	17.1	8	1830	9.2	26.5	225	1.1	3.9	4430	2840	5.2	1.8	1.4	5010	28.0	5.1	4551	5.9	38.0	370	10.2	6.1	3.2	9225	29	23	565	1.1	1.8	92	29.6	4.6	645	5.5	7	13	0	8615	2730	3.1	0.2	10.9	4	9006	21.3	7.1	16.9	6.8	3370	15	6.6	1.4	0.5	2.2	3.7	7250	0.8	1.7	4.6	0.7	1.4	8.7	2.1	1975	3.2	4.0
522.8657450061461 671.121714149785	1600	52	2.4	13.5	2.3	2.0	0.0	6.0	1265	0.2	13.5	18.9	535	1815	1.4	4	1.7	21	1.5	NEE	36	0.9	33	293	3	6	1.2	-99999999	1.2	637	1.0	70	44	2.1	2.5	2.7	GM0018	8	Hoogezand-Sappemeer	515	1	3300	4005	43	1.5	16	17.4	2.2	1.0	2.3	97	1.5	1660	12	7	1720	370	11.1	26000	14	13	16.5	1.9	0.0	11	0.0	23	0.7	0.9	140	17379	7.2	31	12	9.4	1380	1.1	8.8	20.5	34334	1.5	70	11	16.5	145	315	11880	45.5	2460	7.9	11	1240	960	2.7	1	56	1.6	2270	13.4	1.1	170	2	2280	1.0	1340	2000	1.9	41	2830	238	45	2.5	7299	3	15599	47	1.0	9.9	1246	5.4	14	1490	8.4	7.5	250	1.3	6.5	3860	3020	4.7	2.3	2.0	7060	23.8	5.0	6662	6.3	25.6	1090	3.7	15.2	2.9	15885	29	30	335	1.0	2.4	86	19.9	3.1	1525	2.8	9	10	1	15908	2830	11.4	1.0	15.8	3	16955	3.8	16.4	15.0	2.4	3210	32	16.2	1.3	1.5	0.6	1.0	13165	0.8	2.3	2.2	1.1	1.6	10.2	2.1	2720	2.0	1.9
465.97327076605654 674.1995278704492	1550	58	1.1	8.0	17.0	1.9	0.0	3.5	915	0.1	15.3	12.2	395	1580	1.1	1	0.9	20	4.1	NEE	29	2.3	37	174	2	6	2.2	-99999999	1.4	106	1.4	115	43	2.1	3.6	3.1	GM0022	8	Leek	308	0	3520	2485	35	0.8	17	13.5	2.3	2.0	1.5	98	13.2	1590	18	5	1780	192	5.1	14500	17	8	21.0	1.0	0.0	7	0.0	21	1.0	0.1	115	9878	5.2	33	3	6.2	1410	1.2	4.7	27.1	19478	1.0	86	10	17.3	180	305	7215	40.9	990	6.5	11	1420	950	2.7	0	64	2.2	2130	6.7	1.1	155	2	2420	1.6	390	2040	2.5	45	3140	153	42	2.3	6428	0	8168	37	1.3	4.9	726	5.5	15	1650	3.9	8.2	165	0.5	2.2	3880	2900	2.3	2.2	2.3	3890	18.7	3.5	6322	3.2	27.9	550	3.8	6.6	1.5	9700	30	14	330	1.2	0.8	85	21.4	2.4	1425	2.1	7	9	0	8412	2790	16.0	0.0	10.2	4	9600	5.2	17.4	7.2	6.8	3290	25	16.1	0.9	0.8	1.0	0.1	7345	1.0	1.5	15.0	1.1	1.0	7.1	3.3	2355	2.3	1.0
