COMPUTE_CENTROID	AV1_RESTAU	AV3_RESTAU	AF_BIOS	AV20ZIEK_E	AV10ZIEK_E	AV20ZIEK_I	MOTOR_2W	AV10ZIEK_I	AV20WARENH	AV5_RESTAU	A_BED_GI	A_BEDV	AF_OPRITH	P_SURINAM	AV1_CAFE	P_65_EO_JR	AV10WARENH	WATER	P_EENP_HH	AF_RESTAU	P_HH_M_K	GEBOO_TOT	P_VERWEDUW	OPP_WATER	AF_CAFE	A_BED_A	P_ONGEHUWD	AF_BIBLIO	AF_ATTRAC	GM_CODE	P_GEBOO	GM_NAAM	BEV_DICHTH	P_MAROKKO	A_LFTJ6J	P_00_14_JR	AV3_DAGLMD	GEM_HH_GR	AF_CAFTAR	AF_TREINST	P_WEST_AL	STERFT_TOT	AV3_CAFTAR	AF_IJSBAAN	AV5_ZIEK_E	AV5_ZIEK_I	P_25_44_JR	A_BED_HJ	AANT_VROUW	AV3_SUPERM	P_HH_Z_K	P_N_W_AL	AF_SUPERM	AV3_CAFE	AV50ATTRAC	AANT_INW	AV10ATTRAC	P_1GEZW	AF_OVERST	WOZ	A_BED_BF	A_LFTO6J	AV20_HOTEL	P_15_24_JR	AF_BRANDW	P_ANT_ARU	AV5_CAFE	A_BED_KL	P_OVER_NW	AV5_WARENH	AF_HOTEL	P_GEHUWD	AUTO_LAND	OPP_TOT	P_TURKIJE	AANTAL_HH	AF_DAGLMD	AV5_KDV	OAD	AV5_BSO	P_WONV2000	AV10_HOTEL	A_BED_RU	AV20ATTRAC	AF_WARENH	AV5_DAGLMD	AV20_BIOS	OPP_LAND	AV3_KDV	AV3_BSO	AF_SAUNA	AV5_HOTEL	AUTO_TOT	P_45_64_JR	P_MGEZW	A_BED_MN	AUTO_HH	AV1_CAFTAR	P_WONT2000	AV1_DAGLMD	BEDR_AUTO	P_GESCHEID	P_STERFT	WONINGEN	AF_ZIEK_I	AV5_BIOS	STED	AANT_MAN	AV5_CAFTAR	AF_ZIEK_E	AV1_KDV	AV1_BSO	AV10_BIOS	A_BST_B	AF_KDV	AF_ZONBNK	AF_BSO	AV1_SUPERM	AV5_SUPERM	AF_ZWEMB	A_BST_NB
537.467171426692 713.9361819694782	3.6	8.9	23.5	1.0	1.0	1.2	555	1.0	3.9	13.3	180	570	1.0	1	2.2	24	2.6	NEE	36	0.9	31	108	7	80	1.0	35	42	1.3	17.3	GM0003	9	Appingedam	505	0	1610	15	12.8	2.1	0.7	1.5	7	173	10.8	22.8	0.9	0.9	21	40	6199	4.0	33	6	0.9	5.1	11.2	12001	0.0	72	25.3	131	80	3705	18.8	10	1.3	1	9.4	45	2	1.2	1.1	42	223	2458	2	5594	0.7	5.3	1041	5.5	15	8.6	90	1.0	1.1	19.1	0.0	2378	2.2	3.1	21.6	3.1	5315	30	28	105	0.9	4.5	85	5.5	390	8	14	5881	3.9	0.0	3	5802	13.1	3.9	0.3	1.7	0.0	4520	1.4	21.9	1.0	1.7	5.8	2.3	795
499.72004114694977 707.6494054382889	2.7	5.5	9.7	2.0	0.3	5.0	495	1.3	9.9	9.6	145	700	0.9	0	0.0	20	2.6	NEE	28	0.7	36	96	5	41	6.2	80	44	1.4	7.6	GM0005	9	Bedum	234	0	1420	17	6.1	2.3	1.1	2.1	4	108	3.4	7.9	0.0	0.9	21	55	5203	2.7	35	3	1.1	0.2	20.1	10433	1.1	85	11.4	171	120	3435	42.9	11	1.9	0	1.8	60	2	1.0	1.6	46	109	4496	0	4350	0.9	6.1	681	5.0	13	7.3	90	2.5	1.6	9.4	4.1	4454	3.5	2.7	10.8	1.0	4855	31	15	145	1.1	1.9	87	3.4	625	6	10	4570	1.6	0.0	4	5230	5.4	10.4	1.4	1.6	0.9	3925	1.0	9.5	0.9	1.3	4.3	2.1	930
579.5037113334465 660.1310048733892	0.6	2.1	10.3	1.6	0.3	2.4	610	0.3	3.0	5.5	140	700	1.5	0	0.4	26	0.9	NEE	29	1.2	30	61	7	172	1.4	150	37	2.6	18.9	GM0007	7	Bellingwedde	83	0	1345	13	1.5	2.2	4.6	8.9	8	121	0.4	44.6	0.0	0.0	18	40	4434	0.6	40	3	2.6	1.7	15.8	8971	0.0	94	42.3	160	130	3865	14.6	10	4.1	0	4.0	40	3	0.1	4.4	48	48	11009	0	3963	1.2	1.0	151	1.4	6	3.7	85	0.9	9.2	3.9	1.6	10837	0.4	0.7	12.8	0.6	5210	33	6	120	1.3	0.2	94	0.5	785	8	13	4116	10.3	0.0	5	4537	1.9	10.3	0.2	0.6	0.3	4030	3.3	9.8	2.1	0.3	1.2	7.7	1185
513.9337179998533 703.8910107839328	2.5	3.9	12.1	2.8	0.1	5.8	455	0.9	11.9	6.6	95	555	0.7	0	0.7	19	2.0	NEE	27	1.0	40	60	6	42	1.1	95	44	1.8	10.1	GM0009	8	Ten Boer	162	0	995	18	2.7	2.4	1.8	8.0	4	107	0.7	10.1	0.0	0.0	21	30	3692	1.4	33	3	1.8	1.0	17.1	7352	0.5	91	12.7	165	100	2620	44.9	11	2.1	0	3.1	40	2	0.1	2.0	43	80	4573	0	2963	1.4	2.7	367	4.8	14	5.5	75	2.3	7.6	4.9	4.2	4531	1.5	2.3	12.6	1.0	3615	30	9	120	1.2	0.5	86	2.2	470	6	15	3017	8.2	0.0	5	3660	1.3	11.3	0.9	0.6	0.4	2900	1.7	11.5	1.0	1.0	2.2	9.2	710
549.548159455185 714.9026369844453	1.7	9.5	25.0	1.1	0.8	1.1	1300	0.8	3.3	15.6	370	1565	1.3	1	1.7	24	1.7	NEE	35	1.4	31	234	7	9436	1.3	170	41	3.3	15.1	GM0010	9	Delfzijl	188	0	3615	14	13.2	2.1	1.8	3.9	8	329	5.3	27.6	0.7	0.7	20	260	12497	3.3	34	9	1.3	8.5	8.8	25068	0.1	78	30.2	122	250	8430	16.7	11	2.2	2	12.8	100	3	1.0	2.3	44	90	22750	2	11564	1.9	6.5	681	5.6	8	7.6	190	1.0	4.2	20.4	0.2	13313	4.4	3.5	19.0	4.8	12045	31	22	230	1.0	0.8	92	2.4	1505	8	13	12273	4.2	0.0	4	12571	10.1	4.2	1.1	0.8	0.0	9915	1.1	20.4	2.0	0.7	5.6	5.2	2125
494.9498797179688 689.3874525326348	23.7	141.4	2.5	2.0	2.0	5.0	5090	4.3	13.8	224.1	3225	15330	1.1	2	13.5	12	7.4	NEE	62	0.5	18	1991	3	493	0.6	70	67	1.3	2.7	GM0014	10	Groningen	2549	1	25360	12	75.0	1.6	0.6	2.4	12	1319	83.1	4.4	1.4	2.2	30	1985	100793	20.8	21	11	0.6	80.3	25.8	200952	2.0	36	3.1	154	1440	45055	49.5	24	2.7	2	124.1	1210	7	4.3	2.0	22	893	8378	1	121157	0.6	72.6	3379	42.3	12	28.4	2725	4.6	1.7	124.7	4.9	7885	35.8	19.0	2.7	18.9	70415	21	64	4675	0.6	13.7	88	12.5	9235	7	7	99250	2.7	3.2	1	100159	132.5	2.7	5.3	4.2	4.0	51395	0.4	1.6	0.5	3.3	38.0	2.1	19015
451.38448006361375 685.3586937585931	0.9	2.4	16.9	0.9	0.0	1.1	825	0.0	9.9	5.1	240	1035	0.9	0	0.3	17	2.0	NEE	26	2.1	42	108	5	103	1.8	195	47	3.0	12.3	GM0015	9	Grootegast	140	0	1210	19	5.5	2.5	2.6	8.0	2	90	1.5	24.9	0.0	0.0	22	50	5961	1.4	32	1	1.6	1.4	26.5	12155	0.2	92	22.7	191	245	5135	23.3	13	3.2	0	2.3	60	1	0.3	6.7	44	73	8774	0	4802	1.0	2.9	227	2.5	14	3.1	95	2.4	6.8	11.1	1.5	8671	1.4	1.3	15.3	0.3	6350	29	8	150	1.3	0.5	86	2.3	1165	5	7	4946	17.8	0.0	5	6194	3.3	17.9	0.5	1.8	0.0	4560	1.6	12.8	1.9	0.7	2.8	5.9	1790
505.41322097268704 672.611123737244	3.0	10.8	6.7	2.0	1.9	5.3	575	3.8	13.9	31.6	275	1605	1.3	0	0.8	27	6.9	NEE	36	0.9	32	164	7	532	1.3	35	42	1.8	7.5	GM0017	9	Haren	420	0	2740	16	13.6	2.2	1.0	2.0	8	293	5.9	10.5	0.2	1.1	18	100	9962	4.5	33	5	1.2	3.1	24.2	19076	1.6	77	7.0	261	150	6540	56.5	9	2.0	0	12.7	240	4	1.9	2.0	43	204	5073	0	8547	1.0	15.9	862	17.4	8	28.7	230	5.2	1.8	27.8	5.1	4542	6.0	10.2	6.1	3.5	9285	29	23	575	1.1	1.5	92	4.0	675	7	15	8612	3.1	0.2	4	9114	17.4	6.6	1.4	1.0	3.7	7280	0.8	4.8	0.7	1.4	8.9	2.1	2005
522.8657449879411 671.1217139476155	2.7	15.3	2.3	2.0	0.0	6.0	1320	0.2	11.6	21.7	540	1890	1.4	4	1.6	21	1.5	NEE	36	0.8	33	325	7	653	0.9	70	44	2.2	2.5	GM0018	10	Hoogezand-Sappemeer	514	1	4005	16	17.4	2.1	0.9	1.5	7	371	11.3	16.9	0.0	0.0	23	145	17264	7.2	31	12	1.1	8.6	21.5	34177	1.5	70	16.5	134	330	11895	48.2	11	2.7	1	13.8	175	3	1.0	1.9	40	239	7299	3	15654	1.0	14.5	1248	5.4	14	7.9	260	4.7	2.3	23.8	5.0	6646	9.2	3.6	15.2	2.9	15905	29	30	370	1.0	2.4	86	3.1	1555	9	11	15971	11.4	1.0	3	16913	15.7	16.2	2.1	1.4	1.0	13235	0.7	2.2	1.1	1.6	10.2	2.3	2670
465.97327073717224 674.1995276749827	1.1	8.0	17.0	1.9	0.0	3.5	935	0.1	13.6	12.1	405	1650	1.1	1	0.9	21	4.0	NEE	30	2.3	37	157	6	110	1.4	120	43	2.1	3.6	GM0022	8	Leek	309	0	2540	17	13.5	2.3	1.6	13.2	5	151	4.5	20.6	0.0	0.0	21	125	9935	5.2	33	3	1.2	4.7	28.9	19536	1.0	86	17.3	183	315	7290	42.7	11	2.7	0	7.1	155	2	1.6	2.5	44	156	6428	0	8215	1.3	5.6	734	6.4	16	8.3	170	2.3	2.2	18.7	3.5	6318	3.7	4.4	6.6	1.5	9830	30	14	360	1.2	0.8	84	2.4	1435	7	8	8498	16.0	0.0	4	9601	6.8	16.1	0.9	2.3	0.1	7540	0.9	15.2	0.9	1.0	7.1	3.3	2290
