Code	X	Y	Width	Height
WA	104.5374	552.1955	61.1173	44.633
OR	93.688	514.392	74.7221	63.74
MT	188.708	530.5015	96.65	60.367
ID	144.4345	517.3855	55.771	90.633
WY	198.7495	479.509	66.039	55.192
NV	111.5155	443.308	60.6591	91.034
CA	85.5627	434.3795	71.7766	129.897
UT	156.468	443.3005	52.948	67.043
CO	210.8965	429.9745	68.975	54.395
NM	199.692	376.094	66.174	67.37
AZ	144.203	380.547	64.412	74.584
KS	277.3825	419.2215	69.599	38.537
NE	266.1275	456.057	77.445	39.522
SD	263.347	489.5105	65.828	43.077
ND	264.931	526.1855	60.916	38.273
MN	320.4425	512.744	59.475	69.144
IA	322.235	460.035	57.048	37.508
MO	332.957	416.5645	61.6	54.337
OK	272.918	381.629	81.502	42.996
TX	257.08	332.852	131.868	128.918
MI	382.0325	494.233	69.989	66.18
IN	387.4075	437.2385	28.619	48.545
IL	358.284	435.2185	36.958	65.241
WI	349.7695	492.6935	48.215	52.319
PA	462.736	460.5965	54.134	35.003
OH	418.2025	446.708	39.347	44.378
KY	395.8	413.5585	67.48	34.181
AL	392.238	351.585	35.054	58.714
MS	359.248	350.591	33.2	56.532
AR	335.473	373.9025	46.508	42.681
LA	343.602	330.148	51.466	45.972
FL	426.126	302.9815	84.434	64.973
GA	424.352	356.925	50.182	52.91
SC	445.3945	370.3525	46.725	35.779
NC	451.794	395.2835	80.288	37.631
VA	454.651	423.287	67.708	39.616
WV	445.769	429.9455	46.188	37.447
NY	469.1055	492.2025	57.213	47.651
ME	524.9935	526.7465	35.857	54.025
NH	509.1165	507.9875	15.339	31.621
VT	497.2965	505.064	16.381	29.708
CT	504.196	478.0185	16.156	13.705
MA	511.686	489.32	31.774	14.794
RI	512.1145	481.445	10.199	9.722
NJ	490.8395	457.9785	13.227	27.491
DE	487.264	443.3825	10.01	17.319
MD	466.4485	440.3055	50.659	21.217
TN	394.7215	391.734	79.497	27.26
