Code	X	Y	Width	Height
MAR	273.756	472.3423	17.034	13.2908
DZA	285.807	466.339	28.636	29.364
TUN	296.7103	475.6426	5.534	11.433
LBY	307.448	463.57	21.938	22.126
EGY	325.465	464.131	15.808	16.062
MRT	267.8835	454.8725	17.111	20.253
MLI	277.6435	449.4255	23.523	24.111
SEN	262.6755	444.3505	8.527	7.025
GMB	261.446	442.711	4.28	1.03
GNB	261.5005	440.0555	4.389	2.743
GIN	266.8855	436.9835	10.363	8.873
SLE	266.362	434.5795	4.278	4.999
LBR	269.573	431.301	5.7	6.718
CIV	275.109	433.0655	8.764	10.247
BFA	280.902	440.7345	11.284	9.121
GHA	281.6045	433.744	6.287	10.408
TGO	284.325	434.827	2.642	8.032
BEN	286.412	435.9895	4.438	9.881
NER	294.576	449.4445	22.404	19.037
NGA	295.4365	435.583	17.045	15.568
TCD	309.732	445.9425	14.882	25.915
SDN	325.966	442.444	23.562	31.75
ERI	339.6665	445.4765	9.643	9.063
ETH	340.864	435.706	21.326	18.514
DJI	343.729	440.0075	2.322	2.857
SOM	348.88	429.24	14.356	22.152
CMR	300.683	432.826	11.042	18.452
CAF	312.86	431.604	18.432	14.096
KEN	337.267	420.7765	11.328	15.157
UGA	329.216	423.103	7.59	9.164
GNQ	297.838	423.5545	2.832	2.125
GAB	299.7115	419.562	8.163	10.15
COG	304.3515	419.718	10.681	14.208
COD	314.3795	414.3505	26.891	30.505
RWA	325.7645	417.8	2.885	2.816
BDI	325.85	415.345	2.644	3.4
TZA	332.913	410.549	15.85	17.388
AGO	308.5605	402.7255	17.397	22.045
ZMB	322.7435	399.569	16.743	15.912
MWI	331.8065	399.2565	4.241	12.339
MOZ	333.579	390.5695	15.018	26.499
ZWE	324.4815	390.0765	10.615	11.021
NAM	309.255	383.5905	19.018	19.349
BWA	317.8445	384.6405	13.119	14.717
ZAF	317.652	374.689	22.762	20.434
MDG	349.3714	390.4011	10.9212	22.117
SWZ	327.114	377.8315	1.916	2.541
LSO	322.412	372.8005	3.228	3.469
CAN	180.324	517.815	112.532	58.502
USA	142.6518	497.597	111.9025	71.744
GRL	249.835	532.1355	57.372	31.015
MEX	142.6675	459.0965	37.757	29.545
CUB	171.79	455.669	14.062	5.524
GTM	155.0795	446.5195	6.191	6.643
BLZ	157.9705	448.678	2.493	4.042
SLV	156.7525	443.2535	3.515	2.343
HND	160.77	444.342	8.426	5.078
NIC	161.635	441.6915	6.696	6.919
CRI	162.667	436.39	4.52	5.022
PAN	168.5815	434.4655	8.091	4.073
JAM	174.0775	450.284	3.125	1.116
HTI	180.2155	451.735	4.129	3.348
DOM	184.2885	451.261	5.245	3.85
PRI	189.506	450.368	2.288	0.948
SUR	202.9015	427.184	5.885	6.782
GUY	198.5645	428.579	6.739	11.718
VEN	188.027	431.176	19.314	18.8
COL	178.2835	427.463	17.083	27.17
ECU	171.051	417.72	8.284	10.258
PER	176.103	405.783	19.014	29.668
BRA	205.4455	397.549	55.895	63.304
BOL	193.0145	394.233	18.071	21.418
PRY	201.577	382.6865	12.104	13.263
URY	207.712	367.914	7.078	7.898
CHL	194.897	361.5455	22.178	61.125
ARG	197.971	358.611	21.834	53.516
ISL	265.9985	524.386	11.997	4.576
IRL	275.2535	507.0985	5.537	6.009
GBR	281.649	508.424	11.718	13.402
NLD	291.7005	505.036	4.893	4.292
BEL	290.7225	502.5195	4.703	3.059
LUX	292.58	501.453	0.816	1.072
FRA	287.919	495.729	18.1	15.454
ESP	280.5005	485.6115	16.321	12.331
PRT	273.936	485.176	4.642	8.414
ITA	300.952	488.8055	15.756	16.745
CHE	295.558	496.7055	5.234	2.833
AUT	301.7805	498.165	9.701	4.206
DEU	298.1875	503.4925	11.087	11.857
DNK	297.938	511.2255	5.382	4.787
CZE	304.425	501.4635	8.586	3.765
POL	308.809	504.8415	12.466	9.045
SVK	309.9275	499.705	7.453	2.978
HUN	309.692	497.324	8.784	4.446
SVN	303.827	495.6255	3.708	1.989
HRV	305.5635	493.353	7.995	6.212
BIH	307.382	492.0135	4.952	4.391
SRB	311.6575	492.608	5.447	6.24
MNE	309.825	490.1975	2.576	2.939
MKD	312.978	488.382	3.268	2.344
ALB	310.997	487.639	2.608	4.952
GRC	315.2235	483.248	8.617	11.226
ROU	316.7585	495.431	12.085	7.33
MDA	320.8695	497.0155	4.325	4.755
UKR	324.012	499.2115	22.604	12.645
BLR	319.433	507.5315	11.424	7.561
LTU	314.051	509.859	7.066	3.896
LVA	314.8105	512.402	8.651	3.698
EST	314.7915	514.9935	7.103	3.203
NOR	305.5415	529.3085	27.437	30.469
SWE	305.7565	520.1155	14.197	20.141
FIN	315.2485	524.309	12.579	14.594
TUR	331.378	484.2215	25.54	10.071
RUS	404.496	516.58	175.16	57.604
YEM	351.2655	446.3525	14.637	10.593
OMN	362.219	454.6195	10.67	13.649
ARE	359.1075	460.5165	6.421	5.717
QAT	355.0725	462.1045	1.357	2.627
SAU	346.647	460.2905	29.83	25.781
ISR	331.5025	471.57	2.079	6.124
JOR	334.775	471.683	5.702	6.79
LBN	332.799	475.8595	1.842	2.455
SYR	336.6435	477.4175	8.933	8.027
IRQ	343.6665	474.8255	13.867	13.475
KWT	349.4155	468.522	2.575	2.584
IRN	357.144	473.5335	28.898	23.767
ARM	344.0535	485.8465	4.567	3.863
GEO	341.1015	489.581	9.357	4.12
AZE	347.153	485.9965	7.726	5.537
TKM	363.195	484.1645	20.144	12.331
UZB	368.663	487.8755	23.938	13.615
KAZ	368.76	498.483	50.498	23.336
KGZ	382.752	487.7915	13.392	6.529
TJK	379.2925	483.8855	11.271	6.975
AFG	375.2065	475.9625	18.165	14.675
PAK	378.121	470.131	20.868	21.65
LKA	398.9145	433.4425	3.337	6.311
IND	398.902	456.1775	39.776	44.639
NPL	400.329	466.9915	11.824	6.529
BTN	409.3595	465.558	4.687	2.578
BGD	410.113	459.442	7.422	8.872
MMR	419.459	451.965	12.61	30.41
LAO	430.396	450.347	11.718	14.228
VNM	433.046	446.7475	12.22	24.105
KHM	432.7675	441.0565	7.533	6.807
THA	427.1595	441.949	12.387	23.882
CHN	418.8165	478.7985	73.803	57.071
BRN	447.6945	428.167	1.741	1.814
IDN	452.591	417.0685	65.938	25.897
PHL	457.5675	440.4845	13.649	21.161
TLS	463.5805	406.333	3.337	1.958
PNG	493.2485	409.96	16.829	13.13
AUS	468.538	376.6145	56.942	53.461
NZL	510.3205	354.889	25.461	19.73
MNG	416.251	496.771	42.24	16.684
PRK	452.0455	486.4205	6.585	8.481
KOR	456.119	480.0315	5.468	6.863
JPN	467.2505	482.905	13.671	23.324
CYP	329.1835	477.979	3.069	1.898
BGR	317.584	490.2635	8.122	4.655
AGO	308.5605	402.7255	17.397	22.045
MYS	440.3845	427.115	27.677	10.156
XKX	311.74	490.132	2.378	1.75
-A	257.638	527.4785	8.742	4.289
-B	225.461	482.1485	94.918	13.367
-C	234.771	430.829	49.76	30.626
-D	248.73	420.6205	33.14	25.153
-E	265.241	398.9765	74.868	14.651
-F	255.622	350.0835	106.242	35.027
-H	285.2205	502.3185	2.385	1.643
-I	329.044	478.802	2.79	1.758
-J	338.67	383.7055	11.374	3.019
-K	460.973	477.967	4.464	2.622
-L	396.331	435.5655	2.846	2.723
-M	461.979	400.686	4.196	7.16
-N	493.999	355.5415	16.902	16.829
-O	281.7675	522.2235	22.555	5.999
-G	295.7305	513.698	2.401	1.808
