Code	X	Y	Width	Height
GM0003	536.9366	714.3539	12.698	14.3602
GM0005	500.4397	708.5634	15.4314	24.418
GM0007	578.0068	660.5028	28.566	30.5034
GM0009	515.1269	702.6646	21.9085	19.7007
GM0010	550.6916	717.2096	48.8569	46.0952
GM0014	495.2046	689.2532	30.5578	21.6185
GM0015	454.1078	681.9831	34.4868	30.3986
GM0017	504.0659	671.7955	22.3486	22.5276
GM0018	520.5918	668.4034	28.0385	32.3811
GM0022	467.2416	672.3937	26.5961	34.5115
GM0024	517.3168	721.2043	36.9198	32.0009
GM0025	449.8345	671.0837	25.7197	26.5144
GM0034	297.2711	474.45	39.4051	32.9548
GM0037	558.7389	634.2066	36.1276	38.6308
GM0040	526.9681	692.8496	40.8573	32.9515
GM0047	543.3524	654.8231	24.1793	24.0065
GM0048	579.7003	622.7849	29.7553	55.8497
GM0050	329.657	468.9978	49.2231	47.5676
GM0051	379.0017	624.2965	45.0915	39.7373
GM0053	484.7776	719.1825	23.1315	42.5053
GM0055	384.687	656.5221	39.0549	37.9441
GM0056	466.026	702.0259	41.9379	33.0378
GM0058	412.8306	730.5878	51.2335	44.8313
GM0059	429.3746	684.9033	32.281	31.3905
GM0060	381.142	743.8952	58.6213	12.4867
GM0063	356.6784	702.5219	31.6547	27.4224
GM0070	339.5075	681.8506	27.626	34.1356
GM0072	321.5891	667.8816	26.068	33.7677
GM0074	417.3544	626.7937	48.6445	32.3607
GM0079	435.5365	708.0912	37.3318	28.6652
GM0080	383.0052	678.2677	26.6559	30.4053
GM0081	377.0414	697.4184	17.7233	17.6101
GM0082	375.0512	595.7671	36.5407	24.8612
GM0085	449.6238	630.9536	51.6208	42.276
GM0086	430.1766	644.5616	60.9913	41.4512
GM0088	441.8057	753.6388	46.4348	16.9277
GM0090	414.7536	661.7268	47.4098	22.3501
GM0093	313.1964	719.4251	60.5451	50.2511
GM0096	260.6982	696.7696	46.7436	26.133
GM0098	415.9451	600.6802	64.7458	35.9946
GM0106	495.1211	633.0351	22.1429	32.4729
GM0109	520.8437	572.2466	43.7507	63.0796
GM0114	556.8347	573.2968	39.801	60.1215
GM0118	490.202	565.4038	34.8636	36.3526
GM0119	442.264	563.0325	25.4507	26.0554
GM0140	357.1185	663.7266	36.0675	29.3074
GM0141	513.2681	469.8438	18.9006	27.249
GM0147	526.6429	462.0037	17.256	14.4248
GM0148	453.7135	511.0562	33.9839	43.6079
GM0150	449.4026	450.0442	43.2097	25.9983
GM0153	545.9342	440.3145	34.5617	31.1658
GM0158	529.05	424.4714	40.8998	22.03
GM0160	493.2388	526.2135	70.8387	52.1331
GM0163	483.3628	480.6788	40.1965	36.1056
GM0164	531.7486	447.2194	22.7022	30.6868
GM0166	397.2718	519.9099	38.9415	37.7976
GM0168	566.0033	459.7691	20.9647	39.6912
GM0171	381.8463	563.7724	64.5488	59.1037
GM0173	551.129	461.4708	13.8106	12.7299
GM0175	482.9446	510.7383	43.9333	41.0116
GM0177	454.0116	479.6789	39.9474	43.2403
GM0180	443.8715	541.9801	35.3802	27.7928
GM0183	535.848	485.0133	42.6992	37.0395
GM0184	354.1641	548.7825	9.7215	8.2653
GM0189	496.5988	469.4081	25.1951	37.0982
GM0193	428.028	511.3289	31.4375	36.9488
GM0196	425.0881	352.1712	28.0214	18.8338
GM0197	500.8298	361.8414	31.2299	30.3596
GM0200	397.5127	427.2594	54.2894	53.1519
GM0202	396.9424	383.6978	29.0093	36.1821
GM0203	357.4506	424.9702	52.2166	35.6259
GM0209	373.9495	348.0636	24.4317	15.7871
GM0213	430.0112	410.3167	32.6529	25.742
GM0214	322.433	364.385	53.2383	28.1505
GM0216	290.2621	369.3107	19.7637	14.8324
GM0221	435.0527	387.2831	10.3257	11.7087
GM0222	456.2385	372.5552	41.8679	17.7759
GM0225	352.4084	349.2489	23.8386	16.3628
GM0226	415.6228	369.1714	15.8044	17.4871
GM0228	373.9991	400.0292	62.3884	40.4017
GM0230	387.6372	485.8697	25.6548	28.116
GM0232	407.2379	464.1484	38.8395	35.8027
GM0233	359.2746	453.139	32.8461	22.2907
GM0236	293.3959	354.8287	34.8552	22.0273
GM0241	403.3018	328.4706	17.5406	21.9775
GM0243	357.6389	467.2211	21.0133	19.3538
GM0244	419.8626	501.7421	15.7929	16.4681
GM0246	418.2677	484.0064	27.4533	24.6396
GM0252	384.0643	327.3846	25.3287	14.5994
GM0262	462.5396	426.0053	52.1131	37.2512
GM0263	303.8769	328.3242	37.6658	26.0316
GM0265	416.983	347.2117	12.0505	11.1229
GM0267	337.6993	435.7277	37.1349	24.4499
GM0268	387.3697	342.7903	23.2321	26.0502
GM0269	402.6315	496.5747	29.8079	32.5827
GM0273	347.6702	443.8372	32.1501	22.3547
GM0274	380.8315	380.0295	24.2884	16.3075
GM0275	419.6898	390.2812	28.564	28.5498
GM0277	408.5974	392.1962	11.0387	19.9448
GM0279	335.5001	404.5943	12.237	10.3559
GM0281	319.9778	353.7579	21.8795	17.7546
GM0282	406.0841	342.9993	22.8563	15.8075
GM0285	429.3169	441.902	26.2251	46.7516
GM0289	361.1607	374.1977	18.2286	16.1365
GM0293	409.2673	372.2593	8.2766	10.5503
GM0294	525.9915	375.8669	31.3849	36.0192
GM0296	366.6344	337.076	31.4722	23.5716
GM0297	280.5416	327.5489	44.6782	22.3625
GM0299	426.1627	370.9228	25.864	30.5995
GM0301	448.6795	415.0206	28.9663	20.1572
GM0302	378.4085	466.511	31.0211	34.8773
GM0303	368.1316	505.3239	45.3419	61.5045
GM0304	302.186	340.3234	40.7353	14.8331
GM0307	319.4617	423.02	27.3961	27.6281
GM0308	300.7792	431.8404	18.9535	16.8274
GM0310	283.668	418.2001	20.8774	29.8482
GM0312	291.8582	391.7711	19.5506	20.6744
GM0313	313.5461	441.9345	14.252	17.0229
GM0317	301.2982	444.7476	16.5633	15.5769
GM0321	288.5901	384.0399	23.4401	24.3679
GM0327	322.1092	413.3751	31.2576	18.0702
GM0331	250.3549	377.6236	35.1464	21.7658
GM0335	249.6678	393.4627	23.0093	17.4641
GM0339	340.1007	400.1529	10.3392	16.4787
GM0340	343.7677	377.1725	23.1545	18.765
GM0342	304.2444	421.3854	16.4004	23.5178
GM0344	271.2601	403.1839	34.6391	28.8736
GM0345	343.5687	387.8518	11.9909	13.0087
GM0351	319.893	402.0813	30.7817	18.5578
GM0352	309.2327	379.6897	26.5934	17.9879
GM0353	262.7319	388.6378	15.2572	17.4893
GM0355	299.0068	410.7526	21.5541	28.2274
GM0356	273.3602	389.5515	10.5698	16.2217
GM0358	219.8882	447.7462	23.66	22.1839
GM0361	221.8784	541.8641	14.0769	22.7677
GM0362	236.0835	453.9268	17.5788	22.1996
GM0363	243.4198	471.0792	51.9877	38.4902
GM0365	231.7757	519.4742	13.2173	14.3149
GM0370	246.2475	522.9827	24.9336	25.83
GM0373	210.6476	549.0464	21.9131	45.6448
GM0375	204.817	502.3152	19.1815	11.5528
GM0376	299.5995	452.0654	19.1103	12.5565
GM0377	195.6528	476.1928	13.7716	32.1521
GM0381	284.6777	449.7176	9.7388	7.3157
GM0383	211.8416	522.5368	27.937	16.4067
GM0384	257.1423	466.0231	14.1394	10.5537
GM0385	265.4447	508.6073	13.3903	10.3872
GM0388	302.0696	561.1138	8.1208	15.7615
GM0392	204.2647	478.6116	13.3709	22.4192
GM0393	215.0923	483.9094	13.7982	14.0155
GM0394	210.3335	457.7259	41.4924	42.8731
GM0396	206.1503	509.9494	20.3055	11.3996
GM0397	199.8968	468.4528	7.8264	10.1853
GM0398	235.335	552.0279	17.5194	22.6354
GM0399	215.1321	533.0926	12.3142	11.5449
GM0400	224.6206	613.2965	18.1364	21.8343
GM0402	283.3821	440.0093	17.906	27.0213
GM0405	269.1454	546.6052	15.7704	13.5041
