GM_CODE	COMPUTE_CENTROID_x	COMPUTE_CENTROID_y
GM0003	537.4713553990462	713.9204223911265
GM0005	499.7098695285156	707.6447662053062
GM0007	579.4954103711204	660.1240697389303
GM0009	513.9252185374087	703.8743490105779
GM0010	549.4728370949814	714.9072946422447
GM0014	494.96564136241403	689.3485131725363
GM0015	451.40999705829273	685.3403368709372
GM0017	505.3998203575749	672.6040327109826
GM0018	522.8437479514495	671.1122586273513
GM0022	465.9724417920669	674.177957371127
GM0024	519.1505785452761	719.4798409769004
GM0025	452.0537289776005	670.509691318915
GM0034	296.6488151080048	473.85934241545
GM0037	563.3341207106422	635.5893539603762
GM0039	559.3206167641662	685.307218384629
GM0040	528.0996870485312	693.3709901555571
GM0047	543.2285433514542	656.8802797200352
GM0048	580.0921069127936	625.2722679734262
GM0050	327.97478820329474	468.5367121590475
GM0051	379.6534243977341	621.0081752294037
GM0052	566.3276393428818	670.7914973893608
GM0053	486.144957936351	716.0932096904554
GM0055	385.93629537937755	655.0366290331854
GM0056	466.3890410113987	701.7221479517457
GM0058	415.1249563007671	722.9873651536655
GM0059	431.8303071146583	687.1524543616425
GM0060	373.0164461319278	745.2856987981039
GM0063	357.72334843982173	702.4014803263997
GM0064	338.9541614591713	648.352192972713
GM0065	407.8543888450235	702.7947207336143
GM0070	340.60747520106565	681.4503827439218
GM0072	327.95883645281305	676.2410669690679
GM0074	413.9701103535254	626.5975128486388
GM0079	435.9426699688495	707.4345916675696
GM0080	380.80132121913897	680.1817188290428
GM0081	377.0876342333375	697.7520808441706
GM0082	375.1131891613659	598.3556796207722
GM0083	361.2985556224377	684.8077638120998
GM0085	453.5638569767816	628.7128256077307
GM0086	427.66778062249983	645.1425732504267
GM0088	442.1250094125961	755.545159202621
GM0090	416.3868287093938	661.1232037617511
GM0091	362.20568903110814	640.8291064863754
GM0093	310.01243080958955	732.2112270794929
GM0096	255.79125691990595	697.1532654741322
GM0098	413.68290600984176	601.5794072790085
GM0104	327.62894364369896	614.1975251921222
GM0106	494.18301742329254	633.986010678981
GM0109	523.1318532743057	569.1725453525638
GM0114	557.4156005588733	572.2072231229986
GM0118	489.41877627733567	564.2866623385428
GM0119	440.84744475565816	561.8166278813529
GM0140	358.5535622960182	663.7107678963873
GM0141	513.0384331976837	470.705115778779
GM0144	461.73162466617856	445.0887893080711
GM0147	526.314829465567	462.03912253432463
GM0148	454.05728367840874	511.62600488350296
GM0150	445.28346867196615	451.02074721134215
GM0153	547.3613035967529	439.5626207372446
GM0158	528.9492324950188	422.86011162524255
GM0160	499.19532277310725	530.029150534242
GM0163	481.1416915050742	479.8570854489544
GM0164	531.9021096119026	447.80750767768063
GM0166	401.595065966405	521.3043335302309
GM0168	566.1115693271249	460.4887154466304
GM0171	376.93808512469496	559.8271118080835
GM0173	551.9930294295348	461.4294120264406
GM0175	478.1790956569084	512.2938945514131
GM0177	454.8005260243922	479.8614245962383
GM0180	443.08151203010743	541.2241614219499
GM0183	530.9152403120805	486.75744392416306
GM0184	354.12809300971145	548.8068824712003
GM0189	498.10634925123037	469.61465610106444
GM0193	429.87161712093376	512.3429483559111
GM0196	426.4933156626857	352.2533153739382
GM0197	501.39189362926805	365.3785940466407
GM0199	425.4627061233683	379.4269606794918
GM0200	400.4689312112234	429.7722540257502
GM0202	396.3030106886103	382.48750189528215
GM0203	357.4112155051238	424.1533560232958
GM0207	451.1950236808774	358.9917498481036
GM0209	372.93991448663854	347.72672000293943
GM0211	493.85826520955	415.69996467085986
GM0213	430.8970170316983	409.77184920186716
GM0214	320.7263988169659	366.49517224415683
GM0216	290.85118201386257	368.40498347839053
GM0218	433.96317297640815	368.15996791099445
GM0219	490.050882988131	354.3794433663569
GM0221	435.49564010315885	387.2373206023269
GM0222	462.95756373619986	372.56300287944754
GM0225	353.0661333356825	350.68813449195625
GM0226	415.80864787640854	368.95307099611705
GM0228	370.7675999803122	401.17996203986627
GM0229	510.70356635091923	403.0625392440031
GM0230	389.0495289930467	485.2874557449256
GM0232	405.2952936540003	463.7601862990354
GM0233	361.33912050832146	454.04641834274366
GM0236	292.4343792147082	353.89417432850684
GM0237	472.09916610121945	352.7286136789229
GM0239	452.3169757228938	431.02962350335724
GM0240	508.31292768959383	394.10342730201074
GM0241	402.88080181162917	328.55193505323155
GM0243	359.34411763704156	466.92750903169673
GM0244	419.9947255703409	501.28659093266583
GM0246	419.7559247231391	484.05851949683137
GM0248	463.6942390199601	395.707587360457
GM0252	385.20351739618377	326.53722165754334
GM0256	446.43046108861523	383.93253023730335
GM0260	501.22415754305877	382.91703018102515
GM0262	474.9816220879647	425.68162076682535
GM0263	304.19530640629705	325.9099452508554
GM0265	417.6396457682954	347.88409390287126
GM0266	506.1522176781896	420.8401046308067
GM0267	333.3493187263726	434.7473622795143
GM0268	387.9074624783815	341.74758122839904
GM0269	402.40039418172285	496.57365523766214
GM0273	348.5197105074156	442.85087336654004
GM0274	379.7235334711029	379.51023268402156
GM0275	420.7083562757192	390.79948382768384
GM0277	407.82563510890594	392.9385368926762
GM0278	485.1815997475532	398.01285723139677
GM0279	335.6160688557721	404.30244538041234
GM0280	443.85336813549367	397.50994631248074
GM0281	321.0813740971312	353.0314931273514
GM0282	405.204411797128	344.18677781612047
GM0285	427.6360817985547	438.93092959272917
GM0286	463.0387408635376	408.05070386084344
GM0289	360.93166659767525	375.37385561542317
GM0291	454.7491082362485	417.2853712838105
GM0292	444.139680413006	373.0860500395836
GM0293	408.51589481195936	371.6797491889066
GM0294	525.1692952998422	376.29135618202633
GM0295	480.4038240648925	366.47552758691154
GM0296	367.04304824497206	336.15662020684914
GM0297	282.76045680653544	329.99804827085177
GM0298	471.6474706744311	384.06160211564185
GM0299	426.074818928385	364.18072826282105
GM0301	444.6324580905042	416.4102768563646
GM0302	379.43160171412444	466.97208542581643
GM0303	366.230365386479	507.72491294368973
GM0304	302.02518630978426	340.7522236814539
GM0305	255.30978850059094	448.27841101580026
GM0306	330.86474355708276	384.28371170772226
GM0307	317.82892375576296	425.39976415772645
GM0308	299.25317906815195	432.9640434519384
GM0310	285.429025875777	417.46426903062047
GM0311	254.8764607878029	423.93070990632054
GM0312	291.8828291351143	392.2208845089712
GM0313	313.7131426800391	441.6735785437165
GM0315	311.2852371254046	391.2987219260164
GM0316	302.5778009227326	394.4259823416092
GM0317	301.68690280563163	444.49778577048556
GM0321	286.456623132191	383.0087240099716
GM0326	325.27198661581554	387.7196179565602
GM0327	322.73088293045515	412.5516397615327
GM0329	261.7831448386297	439.0098647461222
GM0331	249.95201176881775	378.4797718050504
GM0332	318.19410658307584	396.77079554583554
GM0333	268.4112534448323	419.0932521227572
GM0335	249.8101477199506	394.08162795441666
GM0339	340.8948642749798	399.29751541862055
GM0340	345.17682990809396	377.1126241708613
GM0342	304.2067378209992	421.0532683780484
GM0344	270.02047004648824	404.86811283035536
GM0345	344.1948546897485	387.86623377229995
GM0351	324.2604088583687	402.2601551555469
GM0352	308.6051759464627	379.27313231951575
GM0353	262.872167464424	388.99157530429176
GM0355	297.85598281570014	407.46677050785445
GM0356	273.0400118626763	389.76035970365126
GM0358	221.0944732745175	446.8779815949244
GM0361	221.52292597829393	542.1021218175598
GM0362	235.96064309431586	454.6521899158896
GM0363	241.92177595059286	475.5345227089488
GM0364	292.2794782539062	565.8499387118252
GM0365	230.8059391554866	520.3672496361105
GM0366	235.4852443020857	596.3204315360656
GM0370	246.46084054929693	521.7730569476153
GM0372	197.26583486911986	463.0341921954373
GM0373	209.12025022181604	548.412495678061
GM0375	206.15558609226176	503.65665709297406
GM0376	298.3552828819745	451.79960921757083
GM0377	195.36329186426332	478.8670111295534
GM0381	284.08476526179044	449.6383680493157
GM0383	210.744095688895	521.8892306914818
GM0384	256.81769581137513	466.34414402652845
GM0385	265.78019218317263	508.2231899122711
GM0388	300.8531795672556	561.3553783747517
GM0392	204.89261467242218	478.5363223687545
GM0393	214.91407864901785	483.23395793208925
GM0394	210.2139305399476	456.8681895119514
GM0395	223.91618481250603	566.5665501507956
GM0396	205.31249160964077	510.67813928038845
GM0397	199.889784000986	468.89981591571654
GM0398	235.6262154099761	551.5213848192809
GM0399	214.76535337788852	532.5820338455267
GM0400	222.385304744099	613.3272732592998
GM0402	284.51635182298327	437.88483179120135
GM0405	269.82145062703876	545.9671560847305
GM0406	294.3818115305575	455.18098926327
GM0412	241.0710142474042	572.4374195345966
GM0415	247.44271704354568	494.9668822063118
GM0416	227.24905556427956	555.328707717086
