GM_CODE	COMPUTE_CENTROID_x	COMPUTE_CENTROID_y
GM0003	227.923546798528	283.745896052945
GM0005	211.140159799946	280.956631699518
GM0007	246.601465888878	259.835687414083
GM0009	217.458282570714	279.280840362145
GM0010	233.257698969801	284.184519123662
GM0014	209.031550578695	272.824719297923
GM0015	189.672904660467	271.043254070085
GM0017	213.669102837296	265.382504321811
GM0018	221.422192548221	264.719473691777
GM0022	196.145296833944	266.082047416123
GM0024	219.780734592709	286.216823015421
GM0025	189.959016334221	264.451657950597
GM0034	120.888089945353	177.048876177191
GM0037	239.418454614029	248.931041574231
GM0039	237.634621472954	271.028534300503
GM0040	223.758235685063	274.612540574941
GM0047	230.48237389947	258.393959633166
GM0048	246.866672322056	244.345532216754
GM0050	134.811163082782	174.683191634247
GM0051	157.780136119629	242.450322929566
GM0052	240.748947324507	264.576908856869
GM0053	205.111129013854	284.711608318955
GM0055	160.572607144375	257.574534701781
GM0056	196.330457607151	278.324277810658
GM0058	173.545735211493	287.775769500463
GM0059	180.97055871054	271.84866382642
GM0060	154.830279349803	297.686437853208
GM0063	148.033142768669	278.626212384441
GM0064	139.691031183772	254.603584944532
GM0065	170.314274783157	278.800991151471
GM0070	140.425859375136	269.314333610192
GM0072	134.804073202828	266.99901257266
GM0074	173.032454920488	244.93454764062
GM0079	182.798330464405	280.863217986752
GM0080	158.290327817392	268.750466035427
GM0081	156.639750663539	276.559750511356
GM0082	155.762193147344	232.382244528713
GM0083	149.62217149362	270.806547819157
GM0085	190.630204504979	245.874714899427
GM0086	179.120491336395	253.177044418859
GM0088	185.546119462846	302.246335071042
GM0090	174.106584248241	260.279760325414
GM0091	150.025354014242	251.25989046321
GM0093	126.827653202586	291.87538689504
GM0096	102.728629451087	276.293602348752
GM0098	172.90480470927	233.815055436938
GM0104	134.657449770133	239.423276386048
GM0106	208.683707263181	248.218423144113
GM0109	221.550243206709	219.411572825774
GM0114	236.787922158192	220.76035903644
GM0118	206.566203116761	217.240004002107
GM0119	184.97829588387	216.142177917043
GM0140	148.40213779411	261.429823392308
GM0141	217.064143907989	175.646955540202
GM0144	194.260432576817	164.261579389895
GM0147	222.964941807454	171.795287233411
GM0148	190.849511852081	193.834563954561
GM0150	186.94992132194	166.898084359246
GM0153	232.319211432949	161.805430655246
GM0158	224.135822786678	154.38187017276
GM0160	210.911465480277	202.013985614486
GM0163	202.887388214531	179.714619860896
GM0164	225.448252058703	165.469934979913
GM0166	167.532269896487	198.136172628799
GM0168	240.652913320418	171.106196707576
GM0171	156.573282395505	215.257921976806
GM0173	234.377818114544	171.524296641362
GM0175	201.570639376579	194.131412728119
GM0177	191.179851711284	179.71654842876
GM0180	185.971244513531	206.989695543456
GM0183	225.009630299146	182.781538019612
GM0184	146.435203443855	210.359895072062
GM0189	210.427462702655	175.162292229061
GM0193	180.100003661783	194.153215074301
GM0196	178.5984912222	123.000128727184
GM0197	211.88774853424	128.833761232492
GM0199	178.140428771975	135.077667383371
GM0200	167.031750518827	157.45402578902
GM0202	165.18017464137	136.437948804113
GM0203	147.894412850691	154.956662734955
GM0207	189.577358065751	125.995078500389
GM0209	154.796264262989	120.988248099549
GM0211	208.539368608125	151.199486997678
GM0213	180.555750651932	148.564689828221
GM0214	131.589559870416	129.330033123584
GM0216	118.311286685368	130.178863626349
GM0218	181.918527582781	130.069964546009
GM0219	206.847147875901	123.945102900907
GM0221	182.599644552924	138.549042784802
GM0222	194.805310760926	132.026927788758
GM0225	145.963207181535	122.304471873151
GM0226	173.849607266211	130.422465399622
GM0228	153.830762132933	144.745958547931
GM0229	216.026394122088	145.582684673603
GM0230	161.95630811244	182.128190305032
GM0232	169.176864960233	172.560227450819
GM0233	149.640200873626	168.242867498984
GM0236	119.014951032893	123.729421291023
GM0237	198.868367251927	123.211378767035
GM0239	190.076018403951	158.012873462986
GM0240	214.963856118244	141.600737475257
GM0241	168.10372522381	112.465865333057
GM0243	148.75350628307	173.967968749727
GM0244	175.710142155828	189.239130759495
GM0246	175.604005256175	181.581980001789
GM0248	195.132731837987	142.313718927775
GM0252	160.246918252866	111.570410246238
GM0256	187.45971104996	137.080202924244
GM0260	211.813196922038	136.628856001595
GM0262	200.149497303193	155.635911923238
GM0263	124.2421868782	111.291612353457
GM0265	174.663408564343	121.058194157506
GM0266	214.003511696322	153.484062304643
GM0267	137.19991510412	159.665251466526
GM0268	161.448707739938	118.330773223821
