GM-CODE	COMPUTE-CENTROID-x	COMPUTE-CENTROID-y	
-A	258.475619724779	527.751130717962	OB
-B	224.137859978288	482.398284864319	OB
-C	231.28601941342	430.181322335656	OB
-D	248.893348571997	420.193121365897	OB
-E	264.345175192997	398.295009058069	OB
-F	256.913591740193	350.846837424311	OB
-G	295.748741451999	513.628512708811	OB
-H	285.39996377265	502.414488598898	OB
-I	328.99842032782	478.809243769136	OB
-J	338.603580317712	383.678665536158	OB
-K	460.908884585645	478.005497285779	OB
-L	396.452130883625	435.373403382429	OB
-M	461.943650447829	400.707100740818	OB
-N	493.855657835378	355.361427389315	OB
-O	281.593741308893	522.222136228992	OB
AFG	373.677727791275	475.826792784277	AS
AGO	300.879331095081	412.660777987427	AF
ALB	310.773210725754	487.70237289053	EU
ARE	359.675300783561	459.722218956572	AS
ARG	196.498879934225	364.013730899511	SA
ARM	343.709966307506	486.241149578929	AS
AUS	470.542316976079	379.323140694388	OC
AUT	302.805207428175	497.974029329025	EU
AZE	347.308874749414	486.372038781384	AS
BDI	325.855517684869	415.432454412008	AF
BEL	290.869717456573	502.815623309545	EU
BEN	286.436693231217	436.491662684687	AF
BFA	280.616310677048	440.721245522489	AF
BGD	409.953510200022	459.595008566896	AS
BGR	317.394254758638	490.293015031122	EU
BIH	307.553612452925	492.503661795894	EU
BLR	319.410804357882	507.273658823143	EU
BLZ	157.881174534094	448.880365026504	NA
BOL	191.690789841168	393.61021940618	SA
BRA	207.668130764304	403.318884392975	SA
BRN	447.741705942238	428.23020100714	AS
BTN	409.190390201593	465.385194372812	AS
BWA	316.667440104203	384.925228701464	AF
CAF	312.304864610472	431.499112975157	AF
CAN	168.383822967054	512.623562597181	NA
CHE	295.356336029928	496.701343275639	EU
CHN	422.976330816656	479.847349157772	AS
CHL	190.20559575593	358.485960501199	SA
CIV	275.110953308849	433.207294092734	AF
CMR	301.267756984236	430.124119107755	AF
COD	316.857627068339	416.199445536335	AF
COG	304.789352225336	419.487205619915	AF
COL	178.410034033793	427.128739843033	SA
CRI	162.939964837757	436.902109396137	NA
CUB	172.479463689281	455.890404578918	NA
CYP	329.181411439342	477.802757479091	AS
CZE	304.149425566941	501.325151908388	EU
DEU	298.002890906396	503.458285732355	EU
DJI	343.640387421601	439.87047247545	AF
DNK	296.925228519525	511.25111516482	EU
DOM	183.825830999751	451.489920422875	NA
DZA	287.171295972358	466.38846157548	AF
ECU	170.62063386084	418.367855620924	SA
EGY	324.793968718447	463.885167903017	AF
