GM_CODE	COMPUTE_CENTROID_x	COMPUTE_CENTROID_y
-22	314.58813441381	516.733922246153
-21	295.757833003549	513.568003285493
-20	170.41323550316	459.844515689244
-19	287.026098606161	503.29940514386
-18	435.89326539218	422.84555940318
-17	187.504734945433	450.444613523782
-16	179.23546184759	453.287497992468
-15	445.46312088409	445.634353872754
-14	396.974019608624	435.823144385906
-13	276.280268692792	479.209260262934
-12	463.290754243371	494.003933482555
-11	459.539596221897	476.617298110626
-10	241.819465602363	428.315822664786
-9	486.032564040634	404.627831577096
-8	491.204544221742	353.185440429275
-7	395.666220605244	375.181833351951
-6	343.167580775656	394.882897105006
-5	267.879471827191	396.970160576214
-4	163.079198481325	456.057548077032
-3	243.475726009784	507.265157905216
-2	260.973953708951	527.912454829903
-1	272.130537189982	516.974854929988
AFG	373.677727791275	475.826792784277
AGO	308.10581575389	400.861643089664
AGO	300.879331095081	412.660777987427
ALB	310.773210725745	487.702372890531
ARE	359.675300783555	459.722218956573
ARG	196.498879934225	364.013730899511
ARM	343.709966307507	486.241149578922
AUS	470.542316976079	379.323140694388
AUT	302.805207428183	497.974029329022
AZE	347.308874749414	486.372038781384
BDI	325.85551768486	415.432454412011
BEL	290.869717456571	502.815623309557
BEN	286.436693231219	436.491662684686
BFA	280.616310677051	440.721245522485
BGD	409.953510200015	459.595008566892
BGR	317.394254758638	490.293015031122
BIH	307.553612452928	492.503661795901
BLR	319.410804357882	507.273658823143
BLZ	157.881174534095	448.880365026502
BOL	191.690789841169	393.61021940618
BRA	207.668130764304	403.318884392976
BRN	447.741705942246	428.230201007148
BTN	409.190390201596	465.385194372808
BWA	316.667440104204	384.925228701464
CAF	312.304864610473	431.499112975156
CAN	168.383822967054	512.623562597181
CHE	295.356336029927	496.70134327564
CHL	190.205595755932	358.485960501202
CHN	422.976330816656	479.847349157772
CIV	275.11095330885	433.207294092736
CMR	301.267756984236	430.124119107756
COD	316.857627068339	416.199445536335
COG	304.789352225335	419.487205619915
COL	178.410034033793	427.128739843032
