code	name	OAD_2008	OPP_WATER_2008	AANT_INW_2008	BEV_DICHTH_2008
GM0003	Appingedam	927.0	78.0	12130.0	509.0
GM0005	Bedum	607.0	38.0	10550.0	237.0
GM0007	Bellingwedde	154.0	175.0	9500.0	88.0
GM0009	Ten Boer	318.0	45.0	7280.0	161.0
GM0010	Delfzijl	616.0	9449.0	27310.0	205.0
GM0014	Groningen	3039.0	563.0	182480.0	2338.0
GM0015	Grootegast	198.0	90.0	12210.0	141.0
GM0017	Haren	812.0	501.0	18710.0	409.0
GM0018	Hoogezand-Sappemeer	1116.0	592.0	34420.0	513.0
GM0022	Leek	708.0	93.0	19290.0	305.0
GM0024	Loppersum	186.0	96.0	10700.0	96.0
GM0025	Marum	285.0	36.0	10220.0	158.0
GM0034	Almere	1597.0	11844.0	183270.0	1406.0
GM0037	Stadskanaal	723.0	211.0	33820.0	287.0
GM0039	Scheemda	325.0	307.0	14230.0	124.0
GM0040	Slochteren	206.0	722.0	15560.0	103.0
GM0047	Veendam	878.0	257.0	28060.0	368.0
GM0048	Vlagtwedde	349.0	284.0	16320.0	97.0
GM0050	Zeewolde	814.0	2021.0	20290.0	82.0
GM0051	Skarsterlân	566.0	3089.0	27100.0	146.0
GM0052	Winschoten	1328.0	60.0	18360.0	849.0
GM0053	Winsum	401.0	148.0	13920.0	138.0
GM0055	Boarnsterhim	401.0	1688.0	19270.0	127.0
GM0056	Zuidhorn	360.0	276.0	18370.0	146.0
GM0058	Dongeradeel	483.0	9967.0	24690.0	148.0
GM0059	Achtkarspelen	377.0	138.0	28090.0	274.0
GM0060	Ameland	188.0	20932.0	3460.0	58.0
GM0063	het Bildt	272.0	2421.0	10930.0	118.0
GM0064	Bolsward	955.0	31.0	9730.0	1069.0
GM0065	Dantumadeel	403.0	183.0	19400.0	226.0
GM0070	Franekeradeel	626.0	641.0	20540.0	200.0
GM0072	Harlingen	1023.0	36265.0	15570.0	622.0
GM0074	Heerenveen	1073.0	494.0	43030.0	318.0
GM0079	Kollumerland c.a.	338.0	644.0	13080.0	119.0
GM0080	Leeuwarden	2239.0	495.0	92860.0	1173.0
GM0081	Leeuwarderadeel	505.0	58.0	10380.0	255.0
GM0082	Lemsterland	578.0	4814.0	13430.0	176.0
GM0083	Menaldumadeel	247.0	107.0	13710.0	199.0
GM0085	Ooststellingwerf	418.0	192.0	26400.0	118.0
GM0086	Opsterland	343.0	282.0	29700.0	132.0
GM0088	Schiermonnikoog	237.0	15828.0	950.0	23.0
GM0090	Smallingerland	1133.0	769.0	54960.0	464.0
GM0091	Sneek	1462.0	394.0	33220.0	1104.0
GM0093	Terschelling	196.0	58689.0	4700.0	54.0
GM0096	Vlieland	143.0	27962.0	1120.0	31.0
GM0098	Weststellingwerf	618.0	682.0	25670.0	116.0
GM0104	Nijefurd	314.0	19256.0	11040.0	114.0
GM0106	Assen	1339.0	142.0	65490.0	798.0
GM0109	Coevorden	481.0	303.0	35990.0	121.0
GM0114	Emmen	723.0	906.0	109150.0	324.0
GM0118	Hoogeveen	1046.0	154.0	54470.0	427.0
GM0119	Meppel	1128.0	135.0	31540.0	567.0
GM0140	Littenseradiel	116.0	184.0	10880.0	83.0
GM0141	Almelo	1434.0	197.0	72290.0	1072.0
GM0144	Bathmen	null	null	null	null
GM0147	Borne	1153.0	16.0	20760.0	799.0
GM0148	Dalfsen	442.0	136.0	26740.0	162.0
GM0150	Deventer	1702.0	306.0	97340.0	741.0
GM0153	Enschede	1947.0	181.0	154750.0	1098.0
GM0158	Haaksbergen	924.0	58.0	24380.0	232.0
GM0160	Hardenberg	477.0	436.0	58210.0	186.0
GM0163	Hellendoorn	716.0	87.0	36060.0	261.0
GM0164	Hengelo (O.)	1641.0	74.0	81090.0	1329.0
GM0166	Kampen	1376.0	2039.0	49380.0	349.0
GM0168	Losser	671.0	74.0	22490.0	227.0
GM0171	Noordoostpolder	727.0	13537.0	45720.0	99.0
GM0173	Oldenzaal	1303.0	40.0	31580.0	1463.0
GM0175	Ommen	423.0	199.0	17420.0	97.0
GM0177	Raalte	618.0	106.0	37030.0	216.0
GM0180	Staphorst	313.0	143.0	15970.0	119.0
GM0183	Tubbergen	243.0	42.0	20800.0	141.0
GM0184	Urk	945.0	9839.0	17820.0	1548.0
GM0189	Wierden	644.0	56.0	23360.0	247.0
GM0193	Zwolle	1778.0	762.0	116360.0	1042.0
GM0196	Rijnwaarden	330.0	809.0	11010.0	275.0
GM0197	Aalten	721.0	51.0	27570.0	285.0
GM0199	Angerlo	null	null	null	null
GM0200	Apeldoorn	1608.0	121.0	155110.0	456.0
GM0202	Arnhem	1975.0	339.0	143580.0	1463.0
GM0203	Barneveld	764.0	74.0	51490.0	293.0
GM0207	Bergh	null	null	null	null
GM0209	Beuningen	932.0	332.0	25320.0	577.0
GM0211	Borculo	null	null	null	null
GM0213	Brummen	669.0	105.0	21200.0	252.0
GM0214	Buren	238.0	856.0	25730.0	191.0
GM0216	Culemborg	1332.0	175.0	27300.0	928.0
GM0218	Didam	null	null	null	null
GM0219	Dinxperlo	null	null	null	null
GM0221	Doesburg	788.0	138.0	11570.0	1004.0
GM0222	Doetinchem	1052.0	57.0	56250.0	711.0
GM0225	Druten	692.0	452.0	18080.0	477.0
GM0226	Duiven	1073.0	113.0	25560.0	751.0
GM0228	Ede	1425.0	43.0	107690.0	338.0
GM0229	Eibergen	null	null	null	null
GM0230	Elburg	621.0	210.0	22230.0	348.0
GM0232	Epe	626.0	104.0	32970.0	211.0
GM0233	Ermelo	850.0	173.0	26270.0	307.0
GM0236	Geldermalsen	551.0	194.0	26280.0	264.0
GM0237	Gendringen	null	null	null	null
GM0239	Gorssel	null	null	null	null
GM0240	Groenlo	null	null	null	null
GM0241	Groesbeek	634.0	null	18980.0	430.0
GM0243	Harderwijk	1260.0	980.0	42330.0	1100.0
GM0244	Hattem	754.0	113.0	11660.0	505.0
GM0246	Heerde	531.0	170.0	18210.0	231.0
GM0248	Hengelo (Gld.)	null	null	null	null
GM0252	Heumen	740.0	168.0	16630.0	417.0
