code	name	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
GM0003	Appingedam	5530	5540	5480	5440	5420	5440	5445	5530	5515	5525	5525	5550	5594	5600
GM0005	Bedum	4170	4160	4150	4170	4200	4200	4255	4325	4345	4370	4310	4309	4350	4399
GM0007	Bellingwedde	4180	4230	4300	4170	4140	4050	4115	4230	4165	4010	3995	4154	3963	3989
GM0009	Ten Boer	2690	2700	2740	2780	2800	2890	2915	2945	2930	2950	2945	2958	2963	2958
GM0010	Delfzijl	12420	12340	12160	12020	11930	11820	11910	11960	11905	11855	11610	11552	11564	11527
GM0014	Groningen	102630	103570	104290	105770	106510	107880	109975	113105	115045	116900	118680	120764	121157	122280
GM0015	Grootegast	4470	4450	4520	4550	4600	4620	4635	4670	4725	4815	4765	4743	4802	4821
GM0017	Haren	8310	8320	8360	8260	8260	8240	8175	8250	8260	8405	8505	8553	8547	8707
GM0018	Hoogezand-Sappemeer	14700	14860	14980	15000	15040	15180	15410	15575	15565	15585	15485	15599	15654	15716
GM0022	Leek	7640	7720	7570	7700	7830	7910	7950	7865	8030	8300	8250	8168	8215	8330
GM0024	Loppersum	4420	4420	4390	4400	4400	4380	4380	4440	4385	4390	4385	4402	4370	4342
GM0025	Marum	3990	3870	3860	3890	3990	4040	4125	4140	4125	4155	4135	4153	4177	4241
GM0034	Almere	67780	69750	71630	72810	74110	75400	76730	78430	79635	80655	81010	81745	82509	84009
GM0037	Stadskanaal	14260	14370	14600	14700	14610	14530	14645	14575	14530	14655	14505	14494	14489	14554
GM0039	Scheemda	5820	5770	5770	5800	5920	5960	null	null	null	null	null	null	null	null
GM0040	Slochteren	5930	5970	6000	6120	6350	6350	6350	6405	6385	6440	6485	6502	6579	6272
GM0047	Veendam	12100	12140	12210	12230	12330	12310	12320	12310	12395	12370	12215	12403	12357	12450
GM0048	Vlagtwedde	7320	7050	7130	7160	7060	7070	7110	7190	7185	7210	7135	7353	7688	7084
GM0050	Zeewolde	7060	6900	7070	7170	7470	7740	7855	8045	8140	8185	8460	8930	9108	9274
GM0051	Skarsterlân	10680	10710	10780	10910	11000	11050	11185	11360	11305	11270	null	null	null	null
GM0052	Winschoten	8560	8500	8560	8590	8600	8670	null	null	null	null	null	null	null	null
GM0053	Winsum	5660	5720	5610	5630	5670	5760	5835	5860	5845	5890	5855	5847	5828	5847
GM0055	Boarnsterhim	7960	7990	8020	8050	8080	8140	8210	8250	8360	8465	null	null	null	null
GM0056	Zuidhorn	6890	7000	7080	7120	7160	7230	7300	7465	7530	7545	7470	7473	7543	7606
GM0058	Dongeradeel	10100	10210	10230	10160	10160	10220	10130	10105	10195	10225	10210	10185	10230	10283
GM0059	Achtkarspelen	11010	11070	11170	11200	11250	11310	11355	11430	11415	11500	11545	11571	11610	11608
GM0060	Ameland	1490	1480	1480	1490	1490	1500	1520	1550	1555	1570	1590	1610	1632	1649
GM0063	het Bildt	4480	4520	4550	4530	4550	4630	4650	4730	4670	4705	4480	4494	4529	4515
GM0064	Bolsward	4040	4050	4080	4130	4200	4280	4330	null	null	null	null	null	null	null
GM0065	Dantumadeel	7450	7470	7480	7520	7560	null	null	null	null	null	null	null	null	null
GM0070	Franekeradeel	8690	8770	8740	8630	8640	8700	8795	9000	8845	8860	8935	8937	8961	8999
GM0072	Harlingen	6850	6900	6760	6670	6770	6890	6980	7075	7110	7115	7260	7365	7424	7426
GM0074	Heerenveen	18890	18950	18900	18920	19130	19340	19480	19435	19450	19440	22155	22337	22397	22534
GM0079	Kollumerland c.a.	5150	5160	5190	5240	5240	5240	5230	5190	5255	5245	5250	5263	5312	5326
GM0080	Leeuwarden	46400	46750	47020	47280	47490	48070	48415	49305	49405	49980	54935	55061	55231	56053
GM0081	Leeuwarderadeel	4010	4030	4020	4040	4090	4100	4145	4160	4180	4205	4215	4215	4203	4205
GM0082	Lemsterland	5500	5540	5560	5580	5600	5660	5695	5705	5700	5765	null	null	null	null
GM0083	Menaldumadeel	5560	5560	5570	5580	5610	5640	5680	null	null	null	null	null	null	null
GM0085	Ooststellingwerf	11060	10960	10760	10950	11090	11110	11180	11080	11045	11100	11070	11104	11062	11134
GM0086	Opsterland	11640	11630	11700	11810	11930	12040	12150	12230	12220	12250	12320	12340	12380	12419
