code	name	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
GM0003	Appingedam	12420	12440	12290	12190	12130	12110	12030	12090	12055	12050	12065	12011	12001	11971
GM0005	Bedum	10820	10730	10680	10600	10550	10460	10445	10495	10510	10550	10495	10441	10433	10479
GM0007	Bellingwedde	9700	9690	9740	9510	9500	9270	9260	9400	9285	8985	8920	9154	8971	8919
GM0009	Ten Boer	7170	7200	7160	7250	7280	7450	7425	7455	7475	7500	7480	7452	7352	7288
GM0010	Delfzijl	28810	28450	27990	27650	27310	26740	26635	26565	26305	26025	25695	25409	25068	24965
GM0014	Groningen	179180	180600	180730	181610	182480	184230	187300	189990	193125	195415	198315	200336	200952	202636
GM0015	Grootegast	11930	12050	12100	12150	12210	12190	12140	12210	12275	12220	12165	12123	12155	12166
GM0017	Haren	19050	19130	19110	18810	18710	18630	18515	18515	18455	18640	18780	18924	19076	19570
GM0018	Hoogezand-Sappemeer	34000	34360	34510	34390	34420	34560	34755	34815	34780	34520	34305	34334	34177	34232
GM0022	Leek	19480	19510	18940	19190	19290	19450	19365	19335	19465	19610	19595	19478	19536	19643
GM0024	Loppersum	11060	11030	10930	10780	10700	10540	10450	10480	10365	10290	10195	10140	10042	9914
GM0025	Marum	10400	10090	10080	10070	10220	10330	10450	10470	10415	10380	10375	10311	10305	10388
GM0034	Almere	170700	175010	178470	180920	183270	185750	188160	190655	193165	195210	196010	196932	198145	200914
GM0037	Stadskanaal	33710	33800	34150	34120	33820	33430	33415	33120	33000	32885	32800	32610	32621	32252
GM0039	Scheemda	14330	14170	14110	14120	14230	14260	null	null	null	null	null	null	null	null
GM0040	Slochteren	14910	14920	14940	15190	15560	15590	15555	15545	15535	15620	15545	15583	15698	14737
GM0047	Veendam	28280	28250	28180	28120	28060	28000	28025	27980	27920	27915	27790	27695	27467	27527
GM0048	Vlagtwedde	16970	16520	16610	16600	16320	16270	16260	16290	16260	16130	15905	16212	16422	15908
GM0050	Zeewolde	19180	19120	19420	19700	20290	20770	20905	21105	21290	21260	21500	21894	22113	22457
