code	name	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
GM0003	Appingedam	6020	6050	6000	5930	5870	5850	5790	5870	5820	5835	5845	5807	5802	5802
GM0005	Bedum	5420	5390	5370	5330	5300	5270	5245	5280	5280	5280	5245	5223	5230	5241
GM0007	Bellingwedde	4840	4860	4900	4750	4730	4620	4640	4740	4645	4490	4450	4615	4537	4534
GM0009	Ten Boer	3620	3620	3600	3640	3660	3740	3725	3740	3745	3755	3730	3699	3660	3607
GM0010	Delfzijl	14420	14270	14020	13830	13680	13360	13335	13295	13155	13030	12860	12771	12571	12560
GM0014	Groningen	88630	89300	89410	89800	90170	91020	92675	94065	95630	96980	98425	99657	100159	101315
GM0015	Grootegast	6100	6160	6180	6210	6230	6230	6210	6255	6280	6230	6210	6169	6194	6193
GM0017	Haren	8950	9010	9040	8830	8790	8770	8720	8735	8730	8815	8925	9006	9114	9329
GM0018	Hoogezand-Sappemeer	16730	16900	16970	16930	16960	17030	17160	17150	17160	17040	16950	16955	16913	16906
GM0022	Leek	9720	9770	9390	9530	9560	9650	9570	9565	9660	9720	9690	9600	9601	9694
GM0024	Loppersum	5580	5560	5500	5450	5410	5340	5315	5340	5285	5205	5155	5110	5080	5021
GM0025	Marum	5360	5160	5170	5180	5270	5330	5390	5395	5340	5310	5310	5316	5304	5364
GM0034	Almere	84990	86960	88520	89700	90850	92250	93510	94640	95875	96925	97235	97666	98240	99673
GM0037	Stadskanaal	16640	16660	16820	16790	16710	16530	16510	16350	16290	16250	16185	16182	16181	16003
GM0039	Scheemda	7170	7100	7060	7070	7100	7100	null	null	null	null	null	null	null	null
GM0040	Slochteren	7620	7620	7640	7780	7980	7960	7950	7930	7910	7935	7910	7919	7994	7515
GM0047	Veendam	13960	13950	13940	13890	13860	13870	13910	13885	13810	13815	13770	13741	13641	13627
GM0048	Vlagtwedde	8520	8200	8240	8250	8070	8040	8060	8125	8110	8025	7910	8104	8282	7939
GM0050	Zeewolde	9800	9710	9890	10020	10320	10550	10620	10720	10800	10775	10940	11199	11361	11549
GM0051	Skarsterlân	13660	13650	13650	13610	13600	13610	13685	13730	13795	13725	null	null	null	null
GM0052	Winschoten	8870	8860	8900	8900	8860	8820	null	null	null	null	null	null	null	null
GM0053	Winsum	7070	7130	6940	6940	6910	7020	7030	7005	6955	6910	6870	6826	6755	6704
GM0055	Boarnsterhim	9670	9710	9670	9700	9670	9730	9765	9700	9720	9780	null	null	null	null
GM0056	Zuidhorn	9040	9090	9210	9230	9170	9230	9240	9280	9305	9315	9375	9328	9364	9427
GM0058	Dongeradeel	12560	12620	12540	12430	12370	12350	12235	12190	12190	12140	12080	12003	11974	11947
GM0059	Achtkarspelen	14260	14270	14330	14250	14240	14290	14265	14270	14265	14280	14255	14218	14239	14185
GM0060	Ameland	1780	1770	1760	1740	1750	1750	1760	1750	1755	1750	1755	1764	1792	1799
GM0063	het Bildt	5610	5600	5620	5570	5580	5590	5595	5615	5535	5435	5435	5412	5338	5335
GM0064	Bolsward	4620	4610	4640	4660	4740	4800	4855	null	null	null	null	null	null	null
GM0065	Dantumadeel	9830	9830	9770	9730	9710	null	null	null	null	null	null	null	null	null
GM0070	Franekeradeel	10580	10600	10550	10360	10360	10370	10395	10475	10300	10270	10270	10209	10203	10167
GM0072	Harlingen	7960	8010	7830	7730	7770	7850	7905	7955	7955	7970	7935	7928	7970	7993
GM0074	Heerenveen	21010	21030	20940	20940	21050	21240	21325	21350	21400	21355	24610	24747	24890	24897
GM0079	Kollumerland c.a.	6700	6700	6700	6700	6670	6650	6660	6635	6630	6600	6620	6608	6581	6590
GM0080	Leeuwarden	44530	44850	44850	45090	45440	45670	45915	46405	46725	47115	52950	53264	53407	53831
GM0081	Leeuwarderadeel	5320	5290	5280	5250	5250	5220	5275	5225	5210	5185	5135	5097	5075	5041
GM0082	Lemsterland	6810	6840	6830	6840	6850	6920	6930	6920	6900	6890	null	null	null	null
GM0083	Menaldumadeel	7090	7060	7030	6990	6940	6940	6970	null	null	null	null	null	null	null
GM0085	Ooststellingwerf	13400	13290	13070	13070	13200	13190	13155	13025	12940	12930	12860	12799	12766	12777
GM0086	Opsterland	14740	14760	14810	14790	14880	14870	14995	14995	14945	14935	14910	14948	14912	14879
