code	name	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
GM0003	Appingedam	6390	6380	6290	6260	6260	6260	6240	6220	6230	6215	6215	6204	6199	6169
GM0005	Bedum	5400	5340	5310	5270	5250	5190	5205	5215	5225	5270	5245	5218	5203	5238
GM0007	Bellingwedde	4860	4830	4840	4760	4770	4650	4620	4665	4640	4495	4470	4539	4434	4385
GM0009	Ten Boer	3550	3580	3570	3600	3620	3710	3700	3710	3735	3745	3750	3753	3692	3681
GM0010	Delfzijl	14380	14170	13970	13820	13640	13390	13300	13270	13150	12990	12835	12638	12497	12405
GM0014	Groningen	90560	91300	91320	91810	92320	93210	94625	95925	97500	98435	99890	100679	100793	101321
GM0015	Grootegast	5830	5890	5920	5940	5980	5970	5930	5955	5995	5990	5950	5954	5961	5973
GM0017	Haren	10100	10120	10070	9980	9910	9870	9795	9780	9730	9825	9855	9918	9962	10241
GM0018	Hoogezand-Sappemeer	17280	17460	17540	17470	17460	17530	17595	17665	17615	17480	17350	17379	17264	17326
GM0022	Leek	9760	9740	9550	9660	9730	9800	9795	9770	9805	9890	9905	9878	9935	9949
GM0024	Loppersum	5480	5480	5420	5340	5290	5210	5140	5135	5080	5085	5040	5030	4962	4893
GM0025	Marum	5040	4930	4920	4880	4950	5000	5060	5075	5075	5070	5065	4995	5001	5024
GM0034	Almere	85710	88050	89950	91230	92420	93490	94650	96015	97290	98285	98775	99266	99905	101241
GM0037	Stadskanaal	17070	17150	17330	17330	17110	16900	16910	16770	16705	16635	16615	16428	16440	16249
GM0039	Scheemda	7160	7080	7050	7050	7140	7150	null	null	null	null	null	null	null	null
GM0040	Slochteren	7290	7310	7300	7400	7580	7630	7605	7615	7625	7685	7635	7664	7704	7222
GM0047	Veendam	14310	14300	14250	14230	14200	14130	14115	14095	14110	14095	14020	13954	13826	13900
GM0048	Vlagtwedde	8460	8320	8380	8350	8250	8230	8200	8165	8150	8105	7995	8108	8140	7969
GM0050	Zeewolde	9380	9410	9530	9680	9970	10230	10285	10385	10490	10485	10555	10695	10752	10908
GM0051	Skarsterlân	13440	13430	13420	13440	13490	13540	13605	13650	13725	13690	null	null	null	null
GM0052	Winschoten	9630	9600	9600	9580	9500	9510	null	null	null	null	null	null	null	null
GM0053	Winsum	7190	7190	7080	7060	7020	7070	7045	7050	7030	6995	6975	6948	6878	6892
GM0055	Boarnsterhim	9440	9520	9540	9620	9600	9580	9590	9595	9660	9725	null	null	null	null
GM0056	Zuidhorn	9120	9190	9250	9230	9200	9250	9330	9350	9375	9380	9395	9405	9430	9432
GM0058	Dongeradeel	12450	12500	12500	12420	12320	12260	12175	12100	12095	12075	12075	11980	11958	11954
GM0059	Achtkarspelen	13900	13870	13900	13890	13850	13850	13825	13855	13830	13830	13760	13765	13768	13708
GM0060	Ameland	1750	1750	1720	1720	1710	1710	1740	1750	1775	1775	1820	1826	1819	1834
GM0063	het Bildt	5340	5370	5390	5390	5360	5300	5315	5325	5260	5205	5190	5180	5187	5158
GM0064	Bolsward	4760	4800	4860	4940	5000	5030	5050	null	null	null	null	null	null	null
GM0065	Dantumadeel	9940	9850	9780	9730	9690	null	null	null	null	null	null	null	null	null
GM0070	Franekeradeel	10460	10370	10330	10210	10180	10210	10200	10280	10210	10200	10175	10119	10062	10048
GM0072	Harlingen	7880	7950	7810	7740	7800	7840	7905	7920	7885	7880	7885	7851	7843	7867
GM0074	Heerenveen	21630	21770	21810	21830	21980	22090	22090	22105	22115	21965	25285	25394	25400	25306
GM0079	Kollumerland c.a.	6430	6410	6410	6430	6420	6400	6345	6295	6275	6230	6260	6227	6230	6282
GM0080	Leeuwarden	46820	46900	46970	47250	47420	47830	48155	48435	48595	48830	54390	54427	54490	54836
GM0081	Leeuwarderadeel	5280	5250	5210	5160	5140	5140	5160	5155	5125	5125	5140	5124	5100	5067
GM0082	Lemsterland	6530	6560	6580	6590	6580	6660	6695	6700	6660	6675	null	null	null	null
GM0083	Menaldumadeel	6930	6910	6850	6820	6780	6770	6775	null	null	null	null	null	null	null
GM0085	Ooststellingwerf	13290	13200	13060	13150	13200	13100	13080	12980	12920	12900	12810	12818	12805	12763
GM0086	Opsterland	14690	14720	14760	14790	14820	14910	15045	14995	15005	14960	14950	14911	14918	14839
GM0088	Schiermonnikoog	500	500	490	470	480	490	480	485	470	475	465	454	451	458
GM0090	Smallingerland	27390	27540	27750	27780	27740	27860	27860	27945	27885	27850	27870	27945	27887	27983
GM0091	Sneek	16750	16760	16820	16840	16870	16870	16980	null	null	null	null	null	null	null
GM0093	Terschelling	2220	2230	2230	2210	2230	2250	2250	2235	2235	2260	2245	2277	2279	2280
