code	name	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
GM0003	Appingedam	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.1	2.1	2.1	2.1	2.1	2.1	2.1
GM0005	Bedum	2.5	2.5	2.5	2.5	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.3	2.3
GM0007	Bellingwedde	2.3	2.2	2.3	2.3	2.3	2.3	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2
GM0009	Ten Boer	2.7	2.6	2.6	2.6	2.6	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.4	2.4
GM0010	Delfzijl	2.3	2.2	2.3	2.3	2.3	2.2	2.2	2.2	2.2	2.2	2.2	2.1	2.1	2.1
GM0014	Groningen	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.6	1.6	1.6	1.6
GM0015	Grootegast	2.7	2.6	2.7	2.6	2.6	2.6	2.6	2.6	2.6	2.5	2.5	2.5	2.5	2.5
GM0017	Haren	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2
GM0018	Hoogezand-Sappemeer	2.3	2.2	2.3	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.1	2.1
GM0022	Leek	2.5	2.4	2.5	2.4	2.4	2.4	2.4	2.4	2.4	2.3	2.3	2.3	2.3	2.3
GM0024	Loppersum	2.5	2.4	2.5	2.4	2.4	2.4	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3
GM0025	Marum	2.6	2.5	2.6	2.6	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.4	2.4
GM0034	Almere	2.5	2.4	2.5	2.5	2.5	2.5	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4
GM0037	Stadskanaal	2.3	2.3	2.3	2.3	2.3	2.3	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2
GM0039	Scheemda	2.4	2.4	2.4	2.4	2.4	2.4	null	null	null	null	null	null	null	null
GM0040	Slochteren	2.5	2.4	2.5	2.5	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.3
GM0047	Veendam	2.3	2.3	2.3	2.3	2.3	2.3	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2
GM0048	Vlagtwedde	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.2	2.2	2.2	2.2	2.2	2.1	2.2
GM0050	Zeewolde	2.7	2.7	2.7	2.7	2.7	2.7	2.6	2.6	2.6	2.6	2.5	2.4	2.4	2.4
GM0051	Skarsterlân	2.5	2.5	2.5	2.5	2.4	2.4	2.4	2.4	2.4	2.4	null	null	null	null
GM0052	Winschoten	2.1	2.1	2.1	2.1	2.1	2.1	null	null	null	null	null	null	null	null
GM0053	Winsum	2.5	2.4	2.5	2.5	2.4	2.4	2.4	2.4	2.4	2.3	2.3	2.3	2.3	2.3
GM0055	Boarnsterhim	2.4	2.3	2.4	2.4	2.4	2.4	2.3	2.3	2.3	2.3	null	null	null	null
GM0056	Zuidhorn	2.6	2.5	2.6	2.6	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.4
GM0058	Dongeradeel	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.3	2.3	2.3	2.3	2.3	2.3
GM0059	Achtkarspelen	2.5	2.5	2.5	2.5	2.5	2.5	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4
GM0060	Ameland	2.4	2.3	2.3	2.3	2.3	2.3	2.3	2.2	2.2	2.2	2.2	2.2	2.2	2.2
GM0063	het Bildt	2.4	2.4	2.4	2.4	2.4	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3
GM0064	Bolsward	2.3	2.2	2.3	2.3	2.3	2.2	2.2	null	null	null	null	null	null	null
GM0065	Dantumadeel	2.6	2.6	2.6	2.6	2.5	null	null	null	null	null	null	null	null	null
GM0070	Franekeradeel	2.4	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.2	2.2	2.2	2.2
