code	name	OAD_2009	OPP_WATER_2009	AANT_INW_2009	BEV_DICHTH_2009
GM0003	Appingedam	930.0	82.0	12110.0	509.0
GM0005	Bedum	592.0	38.0	10460.0	235.0
GM0007	Bellingwedde	154.0	174.0	9270.0	86.0
GM0009	Ten Boer	335.0	44.0	7450.0	164.0
GM0010	Delfzijl	586.0	9434.0	26740.0	201.0
GM0014	Groningen	3076.0	543.0	184230.0	2353.0
GM0015	Grootegast	192.0	96.0	12190.0	140.0
GM0017	Haren	812.0	505.0	18630.0	408.0
GM0018	Hoogezand-Sappemeer	1137.0	643.0	34560.0	519.0
GM0022	Leek	704.0	95.0	19450.0	307.0
GM0024	Loppersum	186.0	96.0	10540.0	95.0
GM0025	Marum	294.0	38.0	10330.0	160.0
GM0034	Almere	1593.0	11895.0	185750.0	1431.0
GM0037	Stadskanaal	738.0	227.0	33430.0	284.0
GM0039	Scheemda	325.0	814.0	14260.0	130.0
GM0040	Slochteren	205.0	774.0	15590.0	103.0
GM0047	Veendam	882.0	261.0	28000.0	368.0
GM0048	Vlagtwedde	335.0	291.0	16270.0	97.0
GM0050	Zeewolde	848.0	2033.0	20770.0	84.0
GM0051	Skarsterlân	568.0	3162.0	27150.0	147.0
GM0052	Winschoten	1326.0	166.0	18320.0	890.0
GM0053	Winsum	404.0	144.0	14080.0	139.0
GM0055	Boarnsterhim	399.0	1693.0	19310.0	127.0
GM0056	Zuidhorn	365.0	280.0	18480.0	147.0
GM0058	Dongeradeel	483.0	9966.0	24610.0	147.0
GM0059	Achtkarspelen	383.0	144.0	28140.0	274.0
GM0060	Ameland	220.0	20967.0	3470.0	59.0
GM0063	het Bildt	274.0	2412.0	10890.0	118.0
GM0064	Bolsward	976.0	36.0	9820.0	1085.0
GM0065	Dantumadeel	null	null	null	null
GM0070	Franekeradeel	622.0	643.0	20580.0	200.0
GM0072	Harlingen	1032.0	36263.0	15690.0	627.0
GM0074	Heerenveen	1076.0	508.0	43330.0	321.0
GM0079	Kollumerland c.a.	341.0	652.0	13050.0	119.0
GM0080	Leeuwarden	2220.0	501.0	93500.0	1182.0
GM0081	Leeuwarderadeel	508.0	59.0	10360.0	254.0
GM0082	Lemsterland	580.0	4823.0	13580.0	178.0
GM0083	Menaldumadeel	249.0	115.0	13710.0	199.0
GM0085	Ooststellingwerf	421.0	197.0	26290.0	117.0
GM0086	Opsterland	358.0	297.0	29780.0	133.0
GM0088	Schiermonnikoog	237.0	15507.0	950.0	22.0
GM0090	Smallingerland	1148.0	786.0	55200.0	467.0
GM0091	Sneek	1480.0	395.0	33260.0	1106.0
GM0093	Terschelling	196.0	58792.0	4740.0	55.0
GM0096	Vlieland	176.0	27965.0	1150.0	32.0
GM0098	Weststellingwerf	633.0	704.0	25800.0	117.0
GM0104	Nijefurd	322.0	19267.0	10960.0	114.0
GM0106	Assen	1380.0	149.0	66370.0	810.0
GM0109	Coevorden	474.0	338.0	35890.0	121.0
GM0114	Emmen	729.0	971.0	109440.0	325.0
GM0118	Hoogeveen	1048.0	157.0	54650.0	428.0
GM0119	Meppel	1140.0	132.0	32030.0	575.0
GM0140	Littenseradiel	122.0	187.0	10930.0	84.0
GM0141	Almelo	1443.0	200.0	72430.0	1075.0
GM0144	Bathmen	null	null	null	null
GM0147	Borne	1151.0	16.0	21110.0	812.0
GM0148	Dalfsen	451.0	139.0	27040.0	164.0
GM0150	Deventer	1695.0	307.0	97890.0	746.0
GM0153	Enschede	1986.0	173.0	156070.0	1107.0
GM0158	Haaksbergen	922.0	62.0	24500.0	234.0
GM0160	Hardenberg	495.0	440.0	58650.0	187.0
GM0163	Hellendoorn	725.0	94.0	35850.0	260.0
GM0164	Hengelo (O.)	1638.0	93.0	80930.0	1330.0
GM0166	Kampen	1359.0	1931.0	49860.0	350.0
GM0168	Losser	681.0	77.0	22590.0	228.0
GM0171	Noordoostpolder	727.0	13509.0	45810.0	100.0
GM0173	Oldenzaal	1313.0	40.0	31760.0	1472.0
GM0175	Ommen	435.0	200.0	17450.0	97.0
GM0177	Raalte	620.0	111.0	36890.0	215.0
GM0180	Staphorst	314.0	147.0	16020.0	119.0
GM0183	Tubbergen	251.0	40.0	20990.0	143.0
GM0184	Urk	957.0	9837.0	18060.0	1566.0
GM0189	Wierden	655.0	59.0	23470.0	248.0
GM0193	Zwolle	1792.0	791.0	117700.0	1057.0
GM0196	Rijnwaarden	338.0	828.0	10990.0	276.0
GM0197	Aalten	723.0	52.0	27450.0	284.0
GM0199	Angerlo	null	null	null	null
GM0200	Apeldoorn	1631.0	126.0	155330.0	457.0
GM0202	Arnhem	1974.0	359.0	145570.0	1486.0
GM0203	Barneveld	771.0	73.0	52070.0	296.0
