	OAD_2012	OPP_WATER_2012	AANT_INW_2012	BEV_DICHTH_2012
0	1001.0	81.0	12055.0	507.0
1	621.0	39.0	10510.0	236.0
2	156.0	169.0	9285.0	86.0
3	340.0	43.0	7475.0	165.0
4	605.0	9444.0	26305.0	198.0
5	3190.0	570.0	193125.0	2474.0
6	199.0	96.0	12275.0	141.0
7	802.0	515.0	18455.0	405.0
8	1146.0	628.0	34780.0	521.0
9	700.0	95.0	19465.0	307.0
10	186.0	95.0	10365.0	93.0
11	301.0	38.0	10415.0	161.0
12	1563.0	11917.0	193165.0	1490.0
13	731.0	228.0	33000.0	280.0
14	null	null	null	null
15	212.0	783.0	15535.0	103.0
16	887.0	261.0	27920.0	367.0
17	342.0	294.0	16260.0	97.0
18	855.0	2032.0	21290.0	86.0
19	572.0	3154.0	27520.0	149.0
20	null	null	null	null
21	405.0	142.0	13985.0	138.0
22	404.0	1704.0	19380.0	128.0
23	387.0	282.0	18680.0	149.0
24	491.0	9971.0	24285.0	145.0
25	392.0	159.0	28090.0	274.0
26	239.0	20967.0	3525.0	60.0
27	280.0	2411.0	10800.0	117.0
28	null	null	null	null
29	null	null	null	null
30	641.0	644.0	20510.0	200.0
31	1007.0	36263.0	15845.0	633.0
32	1099.0	503.0	43515.0	322.0
33	345.0	660.0	12905.0	118.0
34	2266.0	505.0	95320.0	1208.0
35	517.0	56.0	10330.0	253.0
36	599.0	4841.0	13565.0	179.0
37	null	null	null	null
38	442.0	195.0	25860.0	115.0
39	370.0	301.0	29950.0	133.0
40	246.0	15507.0	930.0	21.0
41	1150.0	793.0	55455.0	469.0
42	null	null	null	null
43	206.0	58782.0	4750.0	55.0
44	183.0	27967.0	1105.0	31.0
45	637.0	726.0	25780.0	117.0
46	null	null	null	null
47	1393.0	151.0	67210.0	820.0
48	473.0	315.0	35880.0	121.0
49	743.0	985.0	108840.0	324.0
50	1045.0	158.0	54890.0	430.0
51	1172.0	134.0	32575.0	585.0
52	124.0	190.0	10925.0	84.0
53	1432.0	198.0	72755.0	1079.0
54	null	null	null	null
55	1176.0	16.0	21585.0	830.0
56	463.0	139.0	27430.0	166.0
57	1716.0	311.0	98670.0	752.0
58	1998.0	173.0	158050.0	1121.0
59	937.0	61.0	24420.0	233.0
60	510.0	467.0	59430.0	190.0
61	738.0	93.0	35795.0	259.0
62	1658.0	93.0	80940.0	1329.0
63	1365.0	1915.0	50705.0	355.0
64	692.0	79.0	22675.0	229.0
65	718.0	13511.0	46340.0	101.0
66	1357.0	40.0	32175.0	1493.0
67	437.0	201.0	17380.0	97.0
68	627.0	121.0	36605.0	214.0
69	328.0	148.0	16225.0	121.0
70	261.0	41.0	21205.0	144.0
71	1000.0	9838.0	18950.0	1644.0
72	669.0	62.0	23825.0	251.0
73	1826.0	798.0	121525.0	1091.0
74	358.0	824.0	11010.0	276.0
75	744.0	52.0	27305.0	283.0
76	null	null	null	null
77	1652.0	124.0	156960.0	462.0
78	2000.0	356.0	149270.0	1523.0
79	792.0	73.0	53520.0	304.0
80	null	null	null	null
81	954.0	339.0	25435.0	582.0
82	null	null	null	null
83	699.0	104.0	21325.0	254.0
84	247.0	866.0	25950.0	193.0
85	1361.0	173.0	27630.0	939.0
86	null	null	null	null
87	null	null	null	null
88	822.0	138.0	11600.0	1002.0
89	1068.0	59.0	56250.0	711.0
90	737.0	474.0	18195.0	482.0
91	1112.0	127.0	25525.0	752.0
92	1453.0	37.0	108765.0	342.0
93	null	null	null	null
94	638.0	209.0	22415.0	351.0
95	641.0	108.0	32520.0	208.0
96	898.0	171.0	26125.0	305.0
97	574.0	175.0	26335.0	263.0
98	null	null	null	null
99	null	null	null	null
100	null	null	null	null
101	693.0	null	18885.0	428.0
102	1361.0	968.0	45430.0	1177.0
103	775.0	105.0	11805.0	511.0
104	549.0	167.0	18245.0	232.0
105	null	null	null	null
106	746.0	169.0	16415.0	412.0
107	null	null	null	null
108	null	null	null	null
109	560.0	274.0	33265.0	156.0
110	445.0	944.0	24020.0	364.0
111	614.0	161.0	5905.0	682.0
112	null	null	null	null
113	991.0	262.0	40125.0	578.0
114	2250.0	398.0	165180.0	3081.0
115	587.0	115.0	22715.0	233.0
116	814.0	229.0	23860.0	280.0
117	831.0	122.0	31630.0	687.0
118	1305.0	259.0	43610.0	533.0
119	809.0	2.0	1515.0	54.0
120	null	null	null	null
121	803.0	3.0	9355.0	679.0
122	null	null	null	null
123	1270.0	254.0	41525.0	1287.0
124	354.0	512.0	9385.0	278.0
125	552.0	340.0	23720.0	193.0
126	null	null	null	null
127	1595.0	187.0	37050.0	1215.0
128	null	null	null	null
129	null	null	null	null
130	1126.0	79.0	15295.0	2168.0
131	1099.0	65.0	28945.0	210.0
132	null	null	null	null
133	1088.0	307.0	40735.0	613.0
134	576.0	943.0	26775.0	336.0
135	null	null	null	null
136	1215.0	473.0	32430.0	609.0
137	1467.0	195.0	47145.0	1150.0
138	759.0	74.0	26610.0	207.0
139	788.0	9001.0	40470.0	121.0
140	180.0	690.0	11930.0	181.0
141	null	null	null	null
142	null	null	null	null
143	2094.0	100.0	148250.0	2358.0
144	1405.0	47.0	24350.0	749.0
145	1120.0	83.0	42080.0	635.0
146	null	null	null	null
147	619.0	62.0	14450.0	391.0
148	1072.0	437.0	20200.0	664.0
149	null	null	null	null
150	null	null	null	null
151	827.0	264.0	8825.0	284.0
152	1382.0	358.0	48310.0	872.0
153	null	null	null	null
154	1161.0	26.0	28905.0	493.0
155	null	null	null	null
156	351.0	323.0	14050.0	185.0
157	null	null	null	null
158	null	null	null	null
159	691.0	51.0	13600.0	361.0
160	389.0	9.0	4820.0	262.0
161	832.0	168.0	19065.0	453.0
162	1338.0	19.0	45610.0	986.0
163	3170.0	487.0	316275.0	3353.0
164	1975.0	21.0	62870.0	3222.0
165	823.0	29.0	12035.0	329.0
166	1084.0	269.0	23065.0	485.0
167	1715.0	53.0	34270.0	1620.0
168	1488.0	14.0	61235.0	1262.0
169	1768.0	198.0	60720.0	2566.0
170	823.0	1185.0	30365.0	1486.0
171	2279.0	194.0	94270.0	3222.0
172	2042.0	263.0	83365.0	2011.0
173	6079.0	5356.0	790110.0	4767.0
174	null	null	null	null
175	410.0	173.0	6435.0	321.0
176	null	null	null	null
177	556.0	149.0	8720.0	124.0
178	null	null	null	null
179	666.0	2236.0	30680.0	316.0
180	2522.0	175.0	39845.0	2172.0
181	861.0	445.0	9040.0	813.0
182	997.0	544.0	22055.0	555.0
183	2290.0	7.0	32585.0	4029.0
184	1181.0	1070.0	34475.0	694.0
185	2210.0	205.0	24935.0	2080.0
186	1455.0	848.0	28700.0	1760.0
187	1320.0	10383.0	18270.0	1471.0
188	3296.0	287.0	151820.0	5195.0
189	587.0	195.0	5475.0	284.0
190	1450.0	664.0	143945.0	806.0
191	359.0	89.0	16195.0	300.0
192	2117.0	441.0	39270.0	1441.0
193	1519.0	43.0	26240.0	2848.0
194	1557.0	160.0	52485.0	1367.0
195	1112.0	30.0	22650.0	1211.0
196	1654.0	13355.0	57065.0	1261.0
197	2371.0	73.0	85535.0	1875.0
198	1591.0	3300.0	71255.0	3519.0
199	1865.0	751.0	41575.0	2629.0
200	null	null	null	null
201	879.0	394.0	10335.0	458.0
202	859.0	299.0	26990.0	1123.0
203	997.0	null	11360.0	915.0
204	486.0	13575.0	43115.0	354.0
205	403.0	2204.0	6465.0	447.0
206	1088.0	1151.0	17165.0	802.0
207	null	null	null	null
208	966.0	455.0	9095.0	789.0
209	475.0	37.0	11395.0	274.0
210	1279.0	166.0	13230.0	548.0
211	2226.0	117.0	79265.0	3389.0
212	1198.0	48.0	18655.0	989.0
213	396.0	30203.0	13670.0	85.0
214	989.0	310.0	12895.0	672.0
215	1384.0	118.0	28305.0	1552.0
216	1752.0	1827.0	67285.0	1503.0
217	null	null	null	null
218	1602.0	132.0	18020.0	879.0
219	134.0	300.0	5455.0	89.0
220	null	null	null	null
221	null	null	null	null
222	null	null	null	null
223	null	null	null	null
224	1463.0	1190.0	16650.0	519.0
225	196.0	1800.0	11590.0	122.0
226	246.0	1715.0	6345.0	167.0
227	1843.0	935.0	148280.0	2007.0
228	null	null	null	null
229	1438.0	128.0	19465.0	2216.0
230	null	null	null	null
231	2191.0	264.0	72855.0	1324.0
232	1621.0	190.0	47055.0	2373.0
233	486.0	296.0	9910.0	282.0
234	null	null	null	null
235	null	null	null	null
236	null	null	null	null
237	null	null	null	null
238	454.0	2164.0	19300.0	327.0
239	791.0	208.0	15085.0	1014.0
240	826.0	358.0	16070.0	583.0
241	2237.0	115.0	66120.0	4640.0
242	3370.0	124.0	98675.0	4324.0
243	442.0	1876.0	8475.0	153.0
244	2454.0	2046.0	118860.0	1504.0
245	349.0	8275.0	11380.0	160.0
246	1675.0	302.0	35085.0	1855.0
247	2404.0	125.0	71235.0	4225.0
248	null	null	null	null
249	4725.0	1624.0	502055.0	6131.0
250	919.0	244.0	17655.0	1043.0
251	null	null	null	null
252	1539.0	1470.0	39440.0	1250.0
253	1667.0	123.0	28255.0	2648.0
254	1065.0	174.0	21470.0	1467.0
255	1424.0	56.0	20830.0	1613.0
256	1954.0	659.0	62475.0	2546.0
257	1765.0	115.0	28690.0	3681.0
258	1212.0	63.0	20665.0	612.0
259	3429.0	132.0	118750.0	5409.0
260	2221.0	73.0	26705.0	2313.0
261	1457.0	36.0	22510.0	1435.0
262	1936.0	163.0	31850.0	3751.0
263	null	null	null	null
264	915.0	2606.0	18050.0	297.0
265	null	null	null	null
266	null	null	null	null
267	419.0	1112.0	12425.0	217.0
268	425.0	1229.0	26975.0	342.0
269	764.0	236.0	9520.0	916.0
270	1387.0	1597.0	25515.0	719.0
271	977.0	82.0	15650.0	692.0
272	1699.0	67.0	22790.0	3123.0
273	425.0	3277.0	10405.0	139.0
274	1276.0	86.0	23415.0	1249.0
275	629.0	632.0	28960.0	418.0
276	299.0	2321.0	10800.0	140.0
277	782.0	100.0	9850.0	252.0
278	1795.0	131.0	32030.0	3380.0
279	null	null	null	null
280	1692.0	153.0	45210.0	1904.0
281	3859.0	11700.0	616260.0	2952.0
282	null	null	null	null
283	null	null	null	null
284	3112.0	44.0	46990.0	3344.0
285	null	null	null	null
286	3368.0	183.0	76245.0	4230.0
287	1088.0	65.0	11815.0	1884.0
288	1573.0	118.0	24230.0	1888.0
289	638.0	1595.0	12780.0	235.0
290	2205.0	415.0	72170.0	2763.0
291	987.0	189.0	25005.0	1143.0
292	578.0	4425.0	13900.0	261.0
293	590.0	686.0	8850.0	174.0
294	null	null	null	null
295	843.0	293.0	19670.0	499.0
296	2824.0	305.0	71040.0	3005.0
297	419.0	280.0	9775.0	182.0
298	null	null	null	null
299	1637.0	40.0	24310.0	2179.0
300	1317.0	150.0	25280.0	906.0
301	null	null	null	null
302	1431.0	1145.0	25760.0	506.0
303	1249.0	357.0	50050.0	560.0
304	2476.0	250.0	122330.0	3540.0
305	689.0	70.0	8170.0	384.0
306	2019.0	243.0	44500.0	2187.0
307	868.0	342.0	13990.0	503.0
308	590.0	150.0	8050.0	297.0
309	null	null	null	null
310	257.0	11410.0	10195.0	107.0
311	292.0	5279.0	22675.0	160.0
312	1247.0	923.0	36920.0	398.0
313	359.0	781.0	18325.0	237.0
314	470.0	5038.0	27630.0	137.0
315	566.0	1250.0	12400.0	334.0
316	null	null	null	null
317	1714.0	450.0	47770.0	984.0
318	271.0	153.0	14510.0	228.0
319	169.0	241.0	9795.0	146.0
320	356.0	342.0	9785.0	239.0
321	449.0	14043.0	21705.0	213.0
322	273.0	277.0	13435.0	182.0
323	null	null	null	null
324	775.0	6711.0	54740.0	218.0
325	423.0	10691.0	25540.0	174.0
326	268.0	7349.0	21960.0	165.0
327	1769.0	31065.0	44500.0	1302.0
328	289.0	405.0	10895.0	216.0
329	819.0	1621.0	42975.0	426.0
330	417.0	1197.0	32165.0	215.0
331	339.0	276.0	12750.0	253.0
332	875.0	113.0	16405.0	234.0
333	293.0	3.0	6720.0	88.0
334	1626.0	1309.0	66130.0	826.0
335	1314.0	79.0	28695.0	836.0
336	467.0	1.0	9965.0	289.0
337	617.0	233.0	28395.0	255.0
338	1123.0	110.0	30285.0	475.0
339	1940.0	264.0	176400.0	1400.0
340	821.0	132.0	31760.0	271.0
341	524.0	110.0	12870.0	262.0
342	1122.0	43.0	25205.0	861.0
343	513.0	86.0	18165.0	220.0
344	2225.0	115.0	217225.0	2476.0
345	1547.0	56.0	42050.0	760.0
346	1058.0	300.0	21470.0	806.0
347	983.0	17.0	25590.0	391.0
348	1108.0	28.0	22805.0	542.0
349	589.0	85.0	12800.0	471.0
350	319.0	84.0	13620.0	236.0
351	1546.0	152.0	88800.0	1668.0
352	1962.0	734.0	141895.0	1680.0
353	982.0	235.0	43110.0	547.0
354	562.0	156.0	15045.0	159.0
355	null	null	null	null
356	977.0	56.0	23070.0	460.0
357	292.0	89.0	10925.0	209.0
358	1046.0	22.0	22550.0	669.0
359	599.0	107.0	17860.0	175.0
360	953.0	120.0	25775.0	403.0
