code	name	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
GM0003	Appingedam	954	957	953	954	927	930	943	960	1001	1016	975	1020	1041	1045
GM0005	Bedum	586	589	600	600	607	592	593	612	621	621	624	673	681	678
GM0007	Bellingwedde	153	153	154	155	154	154	154	156	156	156	154	151	151	151
GM0009	Ten Boer	299	296	301	311	318	335	336	336	340	324	323	367	367	371
GM0010	Delfzijl	718	636	640	626	616	586	605	605	605	607	607	676	681	680
GM0014	Groningen	3012	3023	3017	3031	3039	3076	3104	3138	3190	3244	3308	3325	3379	3448
GM0015	Grootegast	193	193	193	193	198	192	193	194	199	209	211	227	227	230
GM0017	Haren	813	821	822	812	812	812	815	801	802	803	803	864	862	865
GM0018	Hoogezand-Sappemeer	1090	1102	1119	1114	1116	1137	1144	1150	1146	1140	1132	1246	1248	1249
GM0022	Leek	701	709	710	706	708	704	702	696	700	713	715	726	734	735
GM0024	Loppersum	186	187	187	186	186	186	186	186	186	188	188	207	207	208
GM0025	Marum	278	278	280	282	285	294	298	300	301	302	302	331	331	336
GM0034	Almere	1560	1574	1584	1582	1597	1593	1576	1565	1563	1563	1571	1565	1570	1578
GM0037	Stadskanaal	685	707	713	725	723	738	735	717	731	725	721	838	838	839
GM0039	Scheemda	321	319	320	318	325	325	null	null	null	null	null	null	null	null
GM0040	Slochteren	183	185	189	195	206	205	208	212	212	210	211	214	214	221
GM0047	Veendam	857	871	876	869	878	882	887	888	887	889	891	988	990	995
GM0048	Vlagtwedde	350	349	356	355	349	335	337	341	342	335	335	356	355	353
GM0050	Zeewolde	802	801	805	814	814	848	840	848	855	853	857	795	787	797
GM0051	Skarsterlân	558	567	553	564	566	568	567	576	572	573	null	null	null	null
GM0052	Winschoten	1203	1176	1209	1247	1328	1326	null	null	null	null	null	null	null	null
GM0053	Winsum	381	386	387	396	401	404	404	405	405	411	407	432	432	432
GM0055	Boarnsterhim	384	391	393	394	401	399	401	400	404	380	null	null	null	null
GM0056	Zuidhorn	341	349	349	354	360	365	366	382	387	391	401	404	410	411
GM0058	Dongeradeel	457	464	474	477	483	483	490	483	491	491	493	548	546	555
GM0059	Achtkarspelen	372	374	375	373	377	383	385	386	392	396	407	419	421	426
GM0060	Ameland	195	196	191	185	188	220	222	238	239	242	247	247	249	250
GM0063	het Bildt	257	263	264	265	272	274	276	279	280	280	295	289	295	293
GM0064	Bolsward	892	896	912	936	955	976	940	null	null	null	null	null	null	null
GM0065	Dantumadeel	384	384	385	396	403	null	null	null	null	null	null	null	null	null
GM0070	Franekeradeel	596	605	607	620	626	622	633	641	641	633	639	691	693	695
GM0072	Harlingen	960	971	973	974	1023	1032	1035	1001	1007	979	983	1028	1032	1033
GM0074	Heerenveen	1100	1081	1091	1076	1073	1076	1079	1097	1099	1099	996	1085	1086	1073
GM0079	Kollumerland c.a.	325	326	335	335	338	341	341	344	345	351	352	361	355	366
GM0080	Leeuwarden	2174	2177	2168	2198	2239	2220	2229	2259	2266	2285	2106	2181	2209	2206
GM0081	Leeuwarderadeel	488	491	494	494	505	508	512	512	517	518	518	546	547	547
GM0082	Lemsterland	560	567	568	575	578	580	581	597	599	601	null	null	null	null
GM0083	Menaldumadeel	248	247	248	248	247	249	262	null	null	null	null	null	null	null
GM0085	Ooststellingwerf	405	408	415	421	418	421	422	433	442	438	440	476	477	479
GM0086	Opsterland	328	329	329	333	343	358	360	366	370	359	363	392	394	399
GM0088	Schiermonnikoog	234	234	236	237	237	237	237	246	246	255	255	305	308	311
