code	name	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
GM0003	Appingedam	2384	2384	2384	2384	2384	2380	2380	2377	2377	2377	2377	2377	2378	2378
GM0005	Bedum	4458	4458	4458	4458	4458	4458	4458	4457	4457	4454	4454	4454	4454	4454
GM0007	Bellingwedde	10840	10840	10832	10832	10832	10833	10833	10839	10839	10836	10836	10836	10837	10837
GM0009	Ten Boer	4525	4525	4527	4527	4527	4527	4527	4530	4530	4531	4531	4531	4531	4531
GM0010	Delfzijl	13247	13247	13299	13299	13299	13315	13315	13306	13306	13313	13313	13313	13313	13313
GM0014	Groningen	7959	7959	7806	7806	7806	7828	7828	7805	7805	7827	7827	7827	7885	9534
GM0015	Grootegast	8688	8688	8688	8688	8688	8682	8682	8678	8678	8670	8670	8670	8671	8671
GM0017	Haren	4569	4569	4568	4568	4568	4564	4564	4558	4558	4551	4551	4551	4542	4542
GM0018	Hoogezand-Sappemeer	6753	6753	6713	6713	6713	6662	6662	6671	6671	6662	6662	6662	6646	6646
GM0022	Leek	6357	6357	6335	6335	6335	6332	6332	6333	6333	6322	6322	6322	6318	6318
GM0024	Loppersum	11102	11102	11104	11104	11104	11103	11103	11104	11104	11104	11104	11104	11104	11104
GM0025	Marum	6451	6451	6452	6452	6452	6450	6450	6452	6452	6446	6446	6446	6446	6446
GM0034	Almere	13047	13047	13033	13033	13033	12981	12981	12960	12960	12930	12930	12930	12924	12924
GM0037	Stadskanaal	11785	11785	11785	11785	11785	11768	11768	11767	11767	11763	11763	11763	11764	11764
GM0039	Scheemda	11444	11444	11439	11439	11439	10932	null	null	null	null	null	null	null	null
GM0040	Slochteren	15228	15228	15162	15162	15162	15110	15110	15103	15103	15059	15059	15059	15052	13402
GM0047	Veendam	7624	7624	7614	7614	7614	7610	7610	7607	7607	7600	7600	7600	7600	7600
GM0048	Vlagtwedde	16774	16774	16767	16767	16767	16761	16761	16762	16762	16733	16733	16733	16740	16740
GM0050	Zeewolde	24876	24876	24875	24875	24875	24863	24863	24854	24854	24774	24774	24774	24748	24748
GM0051	Skarsterlân	18641	18641	18600	18600	18600	18527	18527	18526	18526	18518	null	null	null	null
GM0052	Winschoten	2166	2166	2163	2163	2163	2058	null	null	null	null	null	null	null	null
GM0053	Winsum	10109	10109	10105	10105	10105	10110	10110	10111	10111	10109	10109	10109	10110	10110
GM0055	Boarnsterhim	15187	15187	15171	15171	15171	15166	15166	15154	15154	15126	null	null	null	null
GM0056	Zuidhorn	12562	12562	12561	12561	12561	12556	12556	12556	12556	12550	12550	12550	12548	12548
GM0058	Dongeradeel	16727	16727	16727	16727	16727	16729	16729	16721	16721	16683	16683	16683	16651	16651
GM0059	Achtkarspelen	10261	10261	10261	10261	10261	10255	10255	10240	10240	10228	10228	10228	10226	10226
GM0060	Ameland	6002	6002	5918	5918	5918	5883	5883	5883	5883	5868	5868	5868	5865	5865
GM0063	het Bildt	9228	9228	9230	9230	9230	9238	9238	9237	9237	9234	9234	9234	9233	9233
GM0064	Bolsward	911	911	911	911	911	906	906	null	null	null	null	null	null	null
GM0065	Dantumadeel	8578	8578	8567	8567	8567	null	null	null	null	null	null	null	null	null
GM0070	Franekeradeel	10272	10272	10275	10275	10275	10272	10272	10273	10273	10261	10261	10261	10259	10259
GM0072	Harlingen	2518	2518	2502	2502	2502	2504	2504	2503	2503	2496	2496	2496	2496	2496
GM0074	Heerenveen	13518	13518	13521	13521	13521	13507	13507	13504	13504	13487	19016	19016	19013	19013
GM0079	Kollumerland c.a.	10989	10989	10989	10989	10989	10981	10981	10975	10975	10961	10961	10961	10960	10960
GM0080	Leeuwarden	7974	7974	7916	7916	7916	7910	7910	7890	7890	7872	15440	15440	15441	15441
GM0081	Leeuwarderadeel	4079	4079	4080	4080	4080	4079	4079	4091	4091	4089	4089	4089	4090	4090
GM0082	Lemsterland	7628	7628	7624	7624	7624	7614	7614	7593	7593	7577	null	null	null	null
GM0083	Menaldumadeel	6902	6902	6896	6896	6896	6888	6888	null	null	null	null	null	null	null
GM0085	Ooststellingwerf	22438	22438	22416	22416	22416	22411	22411	22416	22416	22400	22400	22400	22397	22397
GM0086	Opsterland	22507	22507	22486	22486	22486	22471	22471	22463	22463	22450	22450	22450	22448	22448
GM0088	Schiermonnikoog	3994	3994	4079	4079	4079	4399	4399	4399	4399	3705	3705	3705	3704	3704
GM0090	Smallingerland	11848	11848	11846	11846	11846	11828	11828	11824	11824	11771	11771	11771	11766	11766
GM0091	Sneek	3018	3018	3010	3010	3010	3009	3009	null	null	null	null	null	null	null
GM0093	Terschelling	8810	8810	8711	8711	8711	8608	8608	8616	8616	8346	8346	8346	8345	8345
GM0096	Vlieland	4001	4001	3616	3616	3616	3614	3614	3613	3613	3575	3575	3575	3544	3544
GM0098	Weststellingwerf	22215	22215	22153	22153	22153	22131	22131	22119	22119	22077	22077	22077	22071	22071
GM0104	Nijefurd	9668	9668	9661	9661	9661	9650	9650	null	null	null	null	null	null	null
GM0106	Assen	8209	8209	8206	8206	8206	8198	8198	8194	8194	8188	8188	8188	8188	8188
GM0109	Coevorden	29668	29668	29666	29666	29666	29630	29630	29654	29654	29597	29597	29597	29596	29596
GM0114	Emmen	33748	33748	33723	33723	33723	33658	33658	33640	33640	33562	33563	33563	33517	33517
GM0118	Hoogeveen	12777	12777	12769	12769	12769	12765	12765	12767	12767	12755	12755	12755	12752	12752
GM0119	Meppel	5568	5568	5564	5564	5564	5566	5566	5569	5569	5555	5555	5555	5555	5555
GM0140	Littenseradiel	13074	13074	13074	13074	13074	13071	13071	13075	13075	13066	13066	13066	13067	13067
GM0141	Almelo	6743	6743	6743	6743	6743	6739	6739	6742	6742	6730	6730	6730	6731	6731
GM0144	Bathmen	2622	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0147	Borne	2600	2600	2600	2600	2600	2599	2599	2600	2600	2600	2600	2600	2600	2600
GM0148	Dalfsen	16518	16518	16514	16514	16514	16511	16511	16513	16513	16512	16512	16512	16512	16512
GM0150	Deventer	10508	13131	13131	13131	13131	13130	13125	13123	13123	13124	13124	13124	13125	13125
GM0153	Enschede	14109	14109	14095	14095	14095	14103	14103	14100	14100	14099	14099	14099	14099	14099
GM0158	Haaksbergen	10492	10492	10490	10490	10490	10486	10486	10489	10489	10482	10482	10482	10482	10482
GM0160	Hardenberg	31287	31287	31288	31288	31288	31285	31285	31247	31247	31225	31225	31225	31226	31226
GM0163	Hellendoorn	13816	13815	13815	13815	13815	13809	13809	13807	13807	13795	13795	13795	13798	13798
GM0164	Hengelo (O.)	6106	6106	6103	6103	6103	6084	6084	6090	6090	6089	6089	6089	6089	6089
GM0166	Kampen	14134	14134	14145	14145	14145	14254	14254	14264	14264	14223	14223	14223	14227	14227
GM0168	Losser	9895	9895	9890	9890	9890	9887	9887	9882	9882	9875	9875	9875	9876	9876
GM0171	Noordoostpolder	46005	46005	46004	46004	46004	46032	46032	46031	46031	46001	46001	46001	46005	46005
GM0173	Oldenzaal	2159	2159	2159	2159	2159	2159	2159	2155	2155	2155	2155	2155	2155	2155
GM0175	Ommen	17999	17999	18000	18000	18000	17998	17998	18000	18000	17995	17995	17995	17996	17996
GM0177	Raalte	17128	17128	17125	17125	17125	17119	17119	17108	17108	17105	17105	17105	17103	17103
GM0180	Staphorst	13429	13429	13428	13428	13428	13424	13424	13422	13422	13418	13418	13418	13418	13418
GM0183	Tubbergen	14698	14698	14698	14698	14698	14700	14700	14703	14703	14701	14701	14701	14701	14701
GM0184	Urk	1154	1154	1152	1152	1152	1153	1153	1153	1153	1151	1151	1151	1151	1151
GM0189	Wierden	9468	9468	9468	9468	9468	9475	9475	9477	9477	9472	9472	9472	9473	9473
GM0193	Zwolle	11211	11211	11165	11165	11165	11137	11137	11138	11138	11131	11131	11131	11131	11131
GM0196	Rijnwaarden	3730	4042	4004	4004	4004	3985	3985	3984	3984	3964	3964	3964	3960	3960
GM0197	Aalten	8290	9657	9657	9657	9657	9657	9657	9651	9651	9652	9652	9652	9654	9654
GM0199	Angerlo	2612	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0200	Apeldoorn	33996	33996	33992	33992	33992	33987	33987	33991	33991	33988	33988	33988	33990	33990
GM0202	Arnhem	9825	9825	9814	9814	9814	9794	9794	9799	9799	9796	9796	9796	9791	9791
GM0203	Barneveld	17602	17602	17601	17601	17601	17602	17602	17596	17596	17600	17597	17597	17594	17594
GM0207	Bergh	7436	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0209	Beuningen	4386	4386	4385	4385	4385	4374	4374	4370	4370	4364	4364	4364	4365	4365
GM0211	Borculo	5512	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0213	Brummen	8401	8401	8405	8405	8405	8403	8403	8397	8397	8396	8396	8396	8396	8396
GM0214	Buren	13466	13466	13437	13437	13437	13434	13434	13426	13426	13426	13426	13426	13405	13405
GM0216	Culemborg	2958	2958	2942	2942	2942	2942	2942	2942	2942	2941	2941	2941	2929	2929
GM0218	Didam	3481	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0219	Dinxperlo	1367	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0221	Doesburg	1164	1164	1152	1152	1152	1159	1159	1157	1157	1156	1156	1156	1155	1155
GM0222	Doetinchem	5226	7914	7910	7910	7910	7907	7907	7906	7906	7907	7907	7907	7905	7905
GM0225	Druten	3802	3802	3791	3791	3791	3777	3777	3771	3771	3768	3768	3768	3770	3770
GM0226	Duiven	3406	3406	3402	3402	3402	3389	3389	3392	3392	3391	3391	3391	3390	3390
GM0228	Ede	31833	31833	31825	31825	31825	31829	31829	31825	31825	31825	31825	31825	31822	31822
GM0229	Eibergen	11679	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0230	Elburg	6383	6383	6385	6385	6385	6386	6386	6382	6382	6382	6382	6382	6382	6382
GM0232	Epe	15621	15621	15620	15620	15620	15619	15619	15629	15629	15630	15630	15630	15623	15623
GM0233	Ermelo	8567	8567	8565	8565	8565	8568	8568	8562	8562	8562	8562	8562	8563	8563
GM0236	Geldermalsen	9970	9970	9972	9972	9972	9994	9994	9998	9998	9990	9990	9990	9987	9987
GM0237	Gendringen	6410	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0239	Gorssel	8599	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0240	Groenlo	935	10983	10970	null	null	null	null	null	null	null	null	null	null	null
GM0241	Groesbeek	4412	4412	4412	4412	4412	4412	4412	4414	4414	4414	4414	8648	null	null
GM0243	Harderwijk	3846	3846	3847	3847	3847	3859	3859	3859	3859	3864	3864	3864	3886	3886
GM0244	Hattem	2312	2312	2307	2307	2307	2312	2312	2311	2311	2307	2307	2307	2308	2308
GM0246	Heerde	7873	7873	7870	7870	7870	7869	7869	7875	7875	7874	7874	7874	7874	7874
GM0248	Hengelo (Gld.)	4921	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0252	Heumen	3989	3989	3990	3990	3990	3990	3990	3985	3985	3982	3982	3982	3982	3982
GM0256	Hummelo en Keppel	4252	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0260	Lichtenvoorde	7372	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0262	Lochem	12774	21331	21331	21331	21331	21326	21326	21320	21320	21314	21314	21314	21314	21314
GM0263	Maasdriel	6627	6627	6610	6610	6610	6602	6602	6602	6602	6612	6612	6612	6613	6613
GM0265	Millingen aan de Rijn	867	867	872	872	872	867	867	866	866	864	864	null	null	null
GM0266	Neede	4587	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0267	Nijkerk	6951	6951	6952	6952	6952	6944	6944	6948	6948	6939	6942	6942	6942	6942
GM0268	Nijmegen	5378	5359	5355	5355	5355	5356	5356	5362	5362	5361	5361	5361	5361	5361
GM0269	Oldebroek	9763	9763	9771	9771	9771	9773	9773	9768	9768	9766	9766	9766	9765	9765
GM0273	Putten	8503	8503	8504	8504	8504	8506	8506	8512	8512	8519	8519	8519	8521	8521
GM0274	Renkum	4602	4602	4600	4600	4600	4599	4599	4601	4601	4597	4597	4597	4595	4595
GM0275	Rheden	8179	8179	8173	8173	8173	8173	8173	8176	8176	8176	8176	8176	8177	8177
GM0277	Rozendaal	2792	2792	2792	2792	2792	2792	2792	2790	2790	2790	2790	2790	2790	2790
GM0278	Ruurlo	6496	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0279	Scherpenzeel	1381	1381	1381	1381	1381	1381	1381	1379	1379	1379	1379	1379	1379	1379
GM0280	Steenderen	4873	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0281	Tiel	3231	3231	3228	3228	3228	3229	3229	3227	3227	3225	3295	3295	3289	3289
GM0282	Ubbergen	3402	3402	3394	3394	3394	3379	3379	3377	3377	3371	3371	null	null	null
GM0285	Voorst	12311	12311	12307	12307	12307	12310	12310	12307	12307	12308	12308	12308	12308	12308
GM0286	Vorden	6740	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0289	Wageningen	3053	3053	3047	3047	3047	3045	3045	3049	3049	3047	3047	3047	3042	3042
