code	name	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
GM0003	Appingedam	2462	2462	2462	2462	2462	2462	2462	2458	2458	2458	2458	2458	2458	2458
GM0005	Bedum	4496	4496	4496	4496	4496	4496	4496	4496	4496	4496	4496	4496	4496	4496
GM0007	Bellingwedde	11007	11007	11007	11007	11007	11007	11007	11008	11008	11008	11008	11008	11009	11009
GM0009	Ten Boer	4571	4571	4571	4571	4571	4571	4571	4573	4573	4573	4573	4573	4573	4573
GM0010	Delfzijl	22748	22748	22748	22748	22748	22748	22748	22750	22750	22750	22750	22750	22750	22750
GM0014	Groningen	8369	8369	8369	8369	8369	8372	8372	8375	8375	8375	8375	8375	8378	10150
GM0015	Grootegast	8778	8778	8778	8778	8778	8778	8777	8774	8774	8774	8774	8774	8774	8774
GM0017	Haren	5070	5070	5070	5070	5070	5070	5070	5073	5073	5073	5073	5073	5073	5073
GM0018	Hoogezand-Sappemeer	7305	7305	7305	7305	7305	7305	7305	7299	7299	7299	7299	7299	7299	7299
GM0022	Leek	6427	6427	6427	6427	6427	6427	6427	6428	6428	6428	6428	6428	6428	6428
GM0024	Loppersum	11199	11199	11199	11199	11199	11199	11199	11199	11199	11199	11199	11199	11199	11199
GM0025	Marum	6488	6488	6488	6488	6488	6488	6488	6489	6489	6489	6489	6489	6489	6489
GM0034	Almere	24877	24877	24877	24877	24877	24877	24877	24877	24877	24877	24877	24877	24877	24877
GM0037	Stadskanaal	11996	11996	11996	11996	11996	11996	11996	11994	11994	11994	11994	11994	11994	11994
GM0039	Scheemda	11746	11746	11746	11746	11746	11746	null	null	null	null	null	null	null	null
GM0040	Slochteren	15884	15884	15884	15884	15884	15884	15884	15887	15887	15887	15887	15887	15887	14115
GM0047	Veendam	7871	7871	7871	7871	7871	7871	7871	7868	7868	7868	7868	7868	7868	7868
GM0048	Vlagtwedde	17051	17051	17051	17051	17051	17051	17051	17055	17055	17055	17055	17055	17056	17056
GM0050	Zeewolde	26897	26897	26897	26897	26897	26897	26897	26886	26886	26886	26886	26886	26886	26886
GM0051	Skarsterlân	21689	21689	21689	21689	21689	21689	21689	21680	21680	21680	null	null	null	null
GM0052	Winschoten	2224	2224	2224	2224	2224	2224	null	null	null	null	null	null	null	null
GM0053	Winsum	10253	10253	10253	10253	10253	10253	10253	10253	10253	10253	10253	10253	10253	10253
GM0055	Boarnsterhim	16859	16859	16859	16859	16859	16859	16859	16858	16858	16858	null	null	null	null
GM0056	Zuidhorn	12837	12837	12837	12837	12837	12837	12837	12837	12837	12837	12837	12837	12837	12837
GM0058	Dongeradeel	26694	26694	26694	26694	26694	26694	26694	26692	26692	26692	26692	26692	26692	26692
GM0059	Achtkarspelen	10399	10399	10399	10399	10399	10399	10399	10398	10398	10398	10398	10398	10398	10398
GM0060	Ameland	26850	26850	26850	26850	26850	26850	26850	26850	26850	26850	26850	26850	26850	26850
GM0063	het Bildt	11651	11651	11651	11651	11651	11651	11651	11648	11648	11648	11648	11648	11648	11648
GM0064	Bolsward	942	942	942	942	942	942	942	null	null	null	null	null	null	null
GM0065	Dantumadeel	8749	8749	8749	8749	8749	null	null	null	null	null	null	null	null	null
GM0070	Franekeradeel	10916	10916	10916	10916	10916	10916	10916	10917	10917	10917	10917	10917	10917	10917
GM0072	Harlingen	38767	38767	38767	38767	38767	38767	38767	38767	38767	38767	38767	38767	38767	38767
GM0074	Heerenveen	14015	14015	14015	14015	14015	14015	14015	14007	14007	14007	19816	19816	19817	19817
GM0079	Kollumerland c.a.	11633	11633	11633	11633	11633	11633	11633	11635	11635	11635	11635	11635	11635	11635
GM0080	Leeuwarden	8410	8410	8410	8410	8410	8410	8410	8395	8395	8395	17023	17023	17023	17023
GM0081	Leeuwarderadeel	4138	4138	4138	4138	4138	4138	4138	4146	4146	4146	4146	4146	4146	4146
GM0082	Lemsterland	12438	12438	12438	12438	12438	12438	12438	12434	12434	12434	null	null	null	null
GM0083	Menaldumadeel	7003	7003	7003	7003	7003	7003	7003	null	null	null	null	null	null	null
GM0085	Ooststellingwerf	22608	22608	22608	22608	22608	22608	22608	22611	22611	22611	22611	22611	22611	22611
GM0086	Opsterland	22768	22768	22768	22768	22768	22768	22768	22764	22764	22764	22764	22764	22764	22764
GM0088	Schiermonnikoog	19119	19119	19907	19907	19907	19907	19907	19907	19907	19907	19907	19907	19907	19907
GM0090	Smallingerland	12615	12615	12615	12615	12615	12615	12615	12617	12617	12617	12617	12617	12617	12617
GM0091	Sneek	3404	3404	3404	3404	3404	3404	3404	null	null	null	null	null	null	null
GM0093	Terschelling	67400	67400	67400	67400	67400	67400	67400	67399	67399	67399	67399	67399	67399	67399
GM0096	Vlieland	31579	31579	31579	31579	31579	31579	31579	31580	31580	31580	31580	31580	31580	31580
GM0098	Weststellingwerf	22836	22836	22836	22836	22836	22836	22836	22845	22845	22845	22845	22845	22845	22845
GM0104	Nijefurd	28917	28917	28917	28917	28917	28917	28917	null	null	null	null	null	null	null
GM0106	Assen	8348	8348	8348	8348	8348	8348	8348	8345	8345	8345	8345	8345	8345	8345
GM0109	Coevorden	29968	29968	29968	29968	29968	29968	29968	29969	29969	29969	29969	29969	29969	29969
GM0114	Emmen	34629	34629	34629	34629	34629	34629	34629	34625	34625	34625	34625	34625	34626	34626
GM0118	Hoogeveen	12922	12922	12922	12922	12922	12922	12922	12925	12925	12925	12925	12925	12925	12925
GM0119	Meppel	5698	5698	5698	5698	5698	5698	5698	5703	5703	5703	5703	5703	5703	5703
GM0140	Littenseradiel	13257	13257	13257	13257	13257	13257	13257	13264	13264	13264	13264	13264	13264	13264
GM0141	Almelo	6940	6940	6940	6940	6940	6940	6940	6941	6941	6941	6941	6941	6941	6941
GM0144	Bathmen	2646	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0147	Borne	2615	2615	2615	2615	2615	2615	2615	2616	2616	2616	2616	2616	2616	2616
GM0148	Dalfsen	16650	16650	16650	16650	16650	16650	16650	16652	16652	16652	16652	16652	16652	16652
GM0150	Deventer	10792	13437	13437	13437	13437	13437	13432	13433	13433	13433	13433	13433	13433	13433
GM0153	Enschede	14275	14275	14275	14275	14275	14275	14275	14272	14272	14272	14272	14272	14272	14272
GM0158	Haaksbergen	10548	10548	10548	10548	10548	10548	10548	10550	10550	10550	10550	10550	10550	10550
GM0160	Hardenberg	31724	31724	31724	31724	31724	31724	31724	31714	31714	31714	31714	31714	31715	31715
GM0163	Hellendoorn	13903	13903	13903	13903	13903	13903	13903	13899	13899	13899	13899	13899	13899	13899
GM0164	Hengelo (O.)	6178	6178	6178	6178	6178	6178	6178	6183	6183	6183	6183	6183	6183	6183
GM0166	Kampen	16184	16184	16184	16184	16184	16184	16184	16179	16179	16179	16179	16179	16179	16179
GM0168	Losser	9964	9964	9964	9964	9964	9964	9964	9961	9961	9961	9961	9961	9962	9962
GM0171	Noordoostpolder	59541	59541	59541	59541	59541	59541	59541	59542	59543	59543	59542	59542	59542	59542
GM0173	Oldenzaal	2198	2198	2198	2198	2198	2198	2198	2195	2195	2195	2195	2195	2195	2195
GM0175	Ommen	18198	18198	18198	18198	18198	18198	18198	18201	18201	18201	18201	18201	18201	18201
GM0177	Raalte	17231	17231	17231	17231	17231	17231	17231	17229	17229	17229	17229	17229	17229	17229
GM0180	Staphorst	13570	13570	13570	13570	13570	13570	13570	13569	13569	13569	13569	13569	13569	13569
GM0183	Tubbergen	14740	14740	14740	14740	14740	14740	14740	14744	14744	14744	14744	14744	14744	14744
GM0184	Urk	10990	10990	10990	10990	10990	10990	10990	10991	10991	10991	10991	10991	10991	10991
GM0189	Wierden	9523	9524	9524	9524	9524	9533	9533	9539	9539	9539	9539	9539	9539	9539
GM0193	Zwolle	11928	11928	11928	11928	11928	11928	11928	11936	11936	11936	11936	11936	11936	11936
GM0196	Rijnwaarden	4485	4814	4814	4814	4814	4814	4814	4808	4808	4808	4808	4808	4811	4811
GM0197	Aalten	8337	9709	9709	9709	9709	9709	9709	9703	9703	9703	9703	9703	9705	9705
GM0199	Angerlo	3026	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0200	Apeldoorn	34113	34113	34113	34113	34113	34113	34113	34115	34115	34115	34115	34115	34115	34115
GM0202	Arnhem	10153	10153	10153	10153	10153	10153	10153	10154	10154	10154	10154	10154	10154	10154
GM0203	Barneveld	17674	17674	17674	17674	17674	17674	17674	17669	17669	17669	17666	17666	17666	17666
GM0207	Bergh	7498	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0209	Beuningen	4717	4717	4717	4717	4717	4717	4717	4709	4709	4709	4709	4709	4709	4709
GM0211	Borculo	5588	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0213	Brummen	8510	8510	8510	8510	8510	8510	8510	8501	8501	8501	8501	8501	8501	8501
GM0214	Buren	14293	14293	14293	14293	14293	14293	14293	14292	14292	14292	14292	14292	14292	14292
GM0216	Culemborg	3118	3118	3118	3118	3118	3118	3118	3114	3114	3114	3114	3114	3114	3114
GM0218	Didam	3513	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0219	Dinxperlo	1372	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0221	Doesburg	1290	1290	1290	1290	1290	1290	1290	1296	1296	1296	1296	1296	1296	1296
GM0222	Doetinchem	5277	7967	7967	7967	7967	7967	7967	7966	7966	7966	7966	7966	7966	7966
GM0225	Druten	4243	4243	4243	4243	4243	4243	4243	4246	4246	4246	4246	4246	4246	4246
GM0226	Duiven	3515	3515	3515	3515	3515	3515	3515	3519	3519	3519	3519	3519	3519	3519
GM0228	Ede	31868	31868	31868	31868	31868	31868	31868	31862	31862	31862	31862	31862	31862	31862
GM0229	Eibergen	11756	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0230	Elburg	6595	6595	6595	6595	6595	6595	6595	6591	6591	6591	6591	6591	6591	6591
GM0232	Epe	15725	15725	15725	15725	15725	15725	15725	15737	15737	15737	15737	15737	15737	15737
GM0233	Ermelo	8738	8738	8738	8738	8738	8738	8738	8733	8733	8733	8733	8733	8733	8733
GM0236	Geldermalsen	10167	10167	10167	10167	10167	10167	10167	10173	10173	10173	10173	10173	10173	10173
GM0237	Gendringen	6514	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0239	Gorssel	8768	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0240	Groenlo	946	11030	11019	null	null	null	null	null	null	null	null	null	null	null
GM0241	Groesbeek	4412	4412	4412	4412	4412	4412	4412	4414	4414	4414	4414	9329	null	null
GM0243	Harderwijk	4827	4827	4827	4827	4827	4827	4827	4827	4827	4827	4827	4827	4827	4827
GM0244	Hattem	2420	2420	2420	2420	2420	2420	2420	2416	2416	2416	2416	2416	2416	2416
GM0246	Heerde	8039	8039	8039	8039	8039	8039	8039	8042	8042	8042	8042	8042	8042	8042
GM0248	Hengelo (Gld.)	4929	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0252	Heumen	4158	4158	4158	4158	4158	4158	4158	4154	4154	4154	4154	4154	4154	4154
GM0256	Hummelo en Keppel	4315	null	null	null	null	null	null	null	null	null	null	null	null	null
