code	name	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
GM0003	Appingedam	78	78	78	78	78	82	82	81	81	81	81	81	80	80
GM0005	Bedum	38	38	38	38	38	38	38	39	39	41	41	41	41	41
GM0007	Bellingwedde	168	168	175	175	175	174	174	169	169	172	172	172	172	172
GM0009	Ten Boer	46	46	45	45	45	44	44	43	43	42	42	42	42	42
GM0010	Delfzijl	9502	9502	9449	9449	9449	9434	9434	9444	9444	9437	9437	9437	9436	9437
GM0014	Groningen	410	410	563	563	563	543	543	570	570	548	548	548	493	616
GM0015	Grootegast	90	90	90	90	90	96	95	95	96	104	104	104	103	103
GM0017	Haren	500	500	501	501	501	505	505	515	515	522	522	522	532	532
GM0018	Hoogezand-Sappemeer	552	552	592	592	592	643	643	628	628	637	637	637	653	653
GM0022	Leek	70	70	93	93	93	95	95	95	95	106	106	106	110	110
GM0024	Loppersum	97	97	96	96	96	96	96	95	95	95	95	95	95	95
GM0025	Marum	37	37	36	36	36	38	38	38	38	43	43	43	43	43
GM0034	Almere	11829	11829	11844	11844	11844	11895	11895	11917	11917	11946	11946	11946	11953	11953
GM0037	Stadskanaal	211	211	211	211	211	227	227	228	228	231	231	231	231	231
GM0039	Scheemda	302	302	307	307	307	814	null	null	null	null	null	null	null	null
GM0040	Slochteren	656	656	722	722	722	774	774	783	783	828	828	828	835	713
GM0047	Veendam	247	247	257	257	257	261	261	261	261	268	268	268	268	268
GM0048	Vlagtwedde	278	278	284	284	284	291	291	294	294	322	322	322	316	316
GM0050	Zeewolde	2020	2020	2021	2021	2021	2033	2033	2032	2032	2112	2112	2112	2137	2137
GM0051	Skarsterlân	3047	3047	3089	3089	3089	3162	3162	3154	3154	3162	null	null	null	null
GM0052	Winschoten	58	58	60	60	60	166	null	null	null	null	null	null	null	null
GM0053	Winsum	144	144	148	148	148	144	144	142	142	144	144	144	144	144
GM0055	Boarnsterhim	1672	1672	1688	1688	1688	1693	1693	1704	1704	1732	null	null	null	null
GM0056	Zuidhorn	275	275	276	276	276	280	280	282	282	288	288	288	289	289
GM0058	Dongeradeel	9967	9967	9967	9967	9967	9966	9966	9971	9971	10009	10009	10009	10040	10040
GM0059	Achtkarspelen	138	138	138	138	138	144	145	158	159	170	170	170	172	172
GM0060	Ameland	20848	20848	20932	20932	20932	20967	20967	20967	20967	20981	20981	20981	20984	20984
GM0063	het Bildt	2422	2422	2421	2421	2421	2412	2412	2411	2411	2415	2415	2415	2415	2415
GM0064	Bolsward	31	31	31	31	31	36	36	null	null	null	null	null	null	null
GM0065	Dantumadeel	172	172	183	183	183	null	null	null	null	null	null	null	null	null
GM0070	Franekeradeel	644	644	641	641	641	643	643	644	644	656	656	656	658	658
GM0072	Harlingen	36249	36249	36265	36265	36265	36263	36263	36263	36263	36271	36271	36271	36270	36270
GM0074	Heerenveen	497	497	494	494	494	508	508	503	503	519	800	800	804	804
GM0079	Kollumerland c.a.	644	644	644	644	644	652	652	660	660	674	674	674	675	675
GM0080	Leeuwarden	436	436	495	495	495	501	501	505	505	523	1584	1584	1582	1582
GM0081	Leeuwarderadeel	58	58	58	58	58	59	59	56	56	57	57	57	57	57
GM0082	Lemsterland	4810	4810	4814	4814	4814	4823	4823	4841	4841	4857	null	null	null	null
GM0083	Menaldumadeel	102	102	107	107	107	115	115	null	null	null	null	null	null	null
GM0085	Ooststellingwerf	170	170	192	192	192	197	197	195	195	212	212	212	215	215
GM0086	Opsterland	261	261	282	282	282	297	297	301	301	314	314	314	316	316
GM0088	Schiermonnikoog	15126	15126	15828	15828	15828	15507	15507	15507	15507	16201	16201	16201	16203	16203
GM0090	Smallingerland	767	767	769	769	769	786	786	793	793	846	846	846	851	851
