code	name	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
GM0003	Appingedam	27	28	28	29	29	30	30	30	30	30	30	30	30	30
GM0005	Bedum	28	29	29	30	31	31	32	32	31	31	31	31	31	30
GM0007	Bellingwedde	32	32	32	33	34	34	34	34	34	34	34	33	33	33
GM0009	Ten Boer	27	28	29	29	30	29	30	30	30	30	29	30	30	30
GM0010	Delfzijl	28	28	29	29	29	30	30	30	30	30	30	31	31	31
GM0014	Groningen	21	21	21	22	22	22	22	22	22	22	21	21	21	21
GM0015	Grootegast	24	25	25	25	26	26	27	28	28	28	28	29	29	30
GM0017	Haren	29	29	29	30	30	30	30	31	30	30	30	29	29	29
GM0018	Hoogezand-Sappemeer	27	28	28	28	28	29	29	29	29	29	29	29	29	29
GM0022	Leek	27	28	29	29	29	29	29	30	30	30	30	30	30	30
GM0024	Loppersum	28	29	30	31	31	32	32	33	32	32	32	32	33	33
GM0025	Marum	25	27	27	28	29	29	29	29	29	30	30	31	32	32
GM0034	Almere	21	22	23	24	25	26	27	27	28	28	29	29	29	30
GM0037	Stadskanaal	27	27	27	28	28	28	29	29	29	29	29	29	29	29
GM0039	Scheemda	29	30	30	31	31	32	null	null	null	null	null	null	null	null
GM0040	Slochteren	28	29	29	30	30	30	31	32	32	32	32	32	32	33
GM0047	Veendam	28	28	28	29	29	29	30	30	30	30	30	30	30	30
GM0048	Vlagtwedde	28	29	30	30	31	31	31	32	32	32	32	31	31	31
GM0050	Zeewolde	19	21	22	23	24	25	26	27	28	29	29	30	30	31
GM0051	Skarsterlân	27	27	27	28	28	29	29	29	29	29	null	null	null	null
GM0052	Winschoten	27	27	28	28	28	28	null	null	null	null	null	null	null	null
GM0053	Winsum	28	29	30	31	31	32	32	32	32	31	31	31	31	31
GM0055	Boarnsterhim	27	28	28	28	29	29	29	30	30	30	null	null	null	null
GM0056	Zuidhorn	27	27	28	28	28	29	28	28	28	28	28	29	29	28
GM0058	Dongeradeel	25	25	26	26	27	27	27	27	27	27	27	28	28	29
GM0059	Achtkarspelen	26	26	27	27	27	28	27	28	28	28	28	28	28	28
GM0060	Ameland	28	29	29	30	30	30	30	30	30	29	29	29	29	28
GM0063	het Bildt	26	27	27	28	28	29	29	29	29	29	29	30	30	30
GM0064	Bolsward	25	25	26	26	27	27	27	null	null	null	null	null	null	null
GM0065	Dantumadeel	25	26	27	28	28	null	null	null	null	null	null	null	null	null
GM0070	Franekeradeel	27	27	28	29	29	29	29	30	30	29	29	30	30	30
GM0072	Harlingen	28	28	29	29	29	29	30	30	29	29	29	29	29	29
GM0074	Heerenveen	26	26	26	27	27	27	28	28	28	28	28	28	29	29
GM0079	Kollumerland c.a.	25	25	26	27	27	28	28	28	28	29	29	29	29	29
GM0080	Leeuwarden	23	23	24	24	24	25	25	25	25	25	25	26	26	26
GM0081	Leeuwarderadeel	29	29	30	30	31	32	32	32	32	32	32	32	31	31
GM0082	Lemsterland	27	28	28	28	29	29	29	29	29	29	null	null	null	null
GM0083	Menaldumadeel	28	28	29	29	30	30	31	null	null	null	null	null	null	null
GM0085	Ooststellingwerf	27	27	28	29	29	30	30	31	31	31	30	31	31	31
GM0086	Opsterland	27	27	28	29	29	29	29	30	30	30	30	31	31	31
GM0088	Schiermonnikoog	29	30	31	32	32	31	31	30	30	29	30	31	31	31
GM0090	Smallingerland	26	26	26	27	27	27	27	28	27	27	28	28	28	28
GM0091	Sneek	25	26	26	26	26	26	27	null	null	null	null	null	null	null
GM0093	Terschelling	27	27	28	29	29	29	29	29	29	28	28	28	28	28
GM0096	Vlieland	25	26	27	28	27	29	28	29	30	31	31	32	33	34
GM0098	Weststellingwerf	27	27	28	29	29	29	30	30	29	29	30	30	30	30
GM0104	Nijefurd	28	29	29	29	29	29	29	null	null	null	null	null	null	null
GM0106	Assen	25	25	26	26	27	27	27	28	28	28	28	29	29	29
GM0109	Coevorden	27	28	29	29	30	30	30	31	31	30	31	31	31	31
GM0114	Emmen	27	27	28	28	29	29	29	30	30	30	30	30	30	30
GM0118	Hoogeveen	26	26	26	27	27	27	27	27	27	27	27	27	27	27
GM0119	Meppel	25	26	27	27	27	27	27	28	28	28	28	28	28	29
GM0140	Littenseradiel	27	27	28	28	29	29	30	30	30	30	31	31	31	31
