code	name	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
GM0003	Appingedam	18	19	19	19	20	20	20	20	21	22	22	23	24	24
GM0005	Bedum	12	13	13	14	14	15	15	16	17	18	19	20	20	21
GM0007	Bellingwedde	18	18	18	19	19	20	21	21	22	23	24	25	26	27
GM0009	Ten Boer	12	12	12	12	12	13	13	14	15	16	18	18	19	20
GM0010	Delfzijl	17	17	18	18	19	20	20	21	22	22	23	24	24	24
GM0014	Groningen	12	12	11	11	11	11	11	11	11	12	12	12	12	12
GM0015	Grootegast	13	13	13	13	14	14	14	14	15	16	16	17	17	17
GM0017	Haren	22	22	22	23	23	24	25	25	26	26	26	27	27	26
GM0018	Hoogezand-Sappemeer	16	16	16	17	17	17	18	18	19	20	21	21	21	22
GM0022	Leek	13	14	15	15	16	16	16	17	18	19	20	20	21	21
GM0024	Loppersum	13	14	14	14	15	15	16	16	17	18	19	19	20	21
GM0025	Marum	12	13	13	13	13	14	14	15	15	16	17	17	18	18
GM0034	Almere	7	7	7	7	7	7	8	8	8	9	9	10	10	10
GM0037	Stadskanaal	18	18	18	18	19	19	20	20	21	22	23	23	24	24
GM0039	Scheemda	15	15	15	15	15	15	null	null	null	null	null	null	null	null
GM0040	Slochteren	13	14	14	14	14	14	14	15	16	16	17	18	18	19
GM0047	Veendam	16	16	17	17	17	17	18	18	19	19	20	21	21	22
GM0048	Vlagtwedde	19	19	19	19	20	20	20	21	22	23	23	24	24	25
GM0050	Zeewolde	7	8	8	8	8	9	9	9	10	10	11	11	11	12
GM0051	Skarsterlân	14	15	15	15	15	16	16	17	18	18	null	null	null	null
GM0052	Winschoten	20	20	20	21	21	21	null	null	null	null	null	null	null	null
GM0053	Winsum	13	13	13	13	14	14	15	15	17	18	19	20	21	21
GM0055	Boarnsterhim	13	13	13	13	14	14	15	16	16	17	null	null	null	null
GM0056	Zuidhorn	12	12	13	13	14	14	15	15	16	17	18	18	19	19
GM0058	Dongeradeel	15	15	16	16	16	17	17	18	19	19	20	20	20	21
GM0059	Achtkarspelen	13	14	14	14	14	15	15	15	16	17	17	18	18	19
GM0060	Ameland	13	14	15	15	15	16	17	18	19	20	20	21	22	22
GM0063	het Bildt	14	14	14	15	15	15	16	16	17	17	18	19	20	20
GM0064	Bolsward	16	17	17	17	18	18	19	null	null	null	null	null	null	null
GM0065	Dantumadeel	15	15	15	15	16	null	null	null	null	null	null	null	null	null
GM0070	Franekeradeel	14	14	15	15	15	16	16	17	18	18	19	20	21	21
GM0072	Harlingen	15	15	16	16	17	17	18	19	20	21	21	22	23	23
GM0074	Heerenveen	17	17	17	18	18	18	18	19	19	20	20	20	21	21
GM0079	Kollumerland c.a.	14	14	14	14	14	15	15	16	17	17	17	18	19	19
GM0080	Leeuwarden	14	14	15	15	15	15	15	15	15	16	16	17	17	17
GM0081	Leeuwarderadeel	12	12	13	13	14	15	15	16	17	18	19	21	21	22
GM0082	Lemsterland	13	13	13	14	14	15	15	16	17	18	null	null	null	null
GM0083	Menaldumadeel	12	13	13	13	14	14	15	null	null	null	null	null	null	null
GM0085	Ooststellingwerf	16	16	17	17	17	17	18	18	19	20	21	22	22	23
GM0086	Opsterland	14	14	15	15	15	16	16	16	17	18	19	19	20	20
GM0088	Schiermonnikoog	19	19	19	19	21	22	22	23	25	25	25	26	27	28
GM0090	Smallingerland	15	15	16	16	16	17	17	17	18	19	19	20	20	20
GM0091	Sneek	15	16	16	16	16	17	17	null	null	null	null	null	null	null
GM0093	Terschelling	15	16	16	17	17	17	18	18	19	20	21	21	22	22
GM0096	Vlieland	12	13	13	14	16	16	16	17	18	18	19	20	20	19
GM0098	Weststellingwerf	17	17	18	18	18	18	19	19	20	21	21	22	22	23
GM0104	Nijefurd	17	17	18	18	19	19	20	null	null	null	null	null	null	null
GM0106	Assen	14	14	14	14	14	15	15	15	16	17	17	18	18	19
GM0109	Coevorden	16	17	17	17	18	18	19	19	20	21	21	22	22	23
GM0114	Emmen	16	16	16	16	17	17	17	18	18	19	20	20	21	22
GM0118	Hoogeveen	16	16	16	16	16	17	17	17	18	19	20	20	20	21
GM0119	Meppel	14	14	15	15	15	15	15	15	16	17	17	18	19	19
GM0140	Littenseradiel	11	12	12	12	12	13	14	14	15	16	16	17	18	19
GM0141	Almelo	14	14	15	15	15	15	15	16	16	17	18	18	19	19
GM0144	Bathmen	16	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0147	Borne	14	14	15	15	16	16	17	17	18	19	19	20	20	21
GM0148	Dalfsen	14	14	15	15	15	16	16	17	17	18	19	19	20	20
GM0150	Deventer	14	14	14	14	14	14	14	15	15	16	16	17	17	17
GM0153	Enschede	14	14	14	14	14	14	15	15	15	16	16	17	17	17
GM0158	Haaksbergen	15	15	16	16	17	17	18	18	19	20	21	21	22	22
GM0160	Hardenberg	13	14	14	14	14	14	15	15	16	16	17	17	17	18
GM0163	Hellendoorn	15	15	15	16	16	16	17	17	18	19	19	20	20	21
GM0164	Hengelo (O.)	15	15	15	15	16	16	16	17	17	18	18	18	19	19
GM0166	Kampen	13	13	13	13	13	14	14	14	15	15	16	16	16	16
GM0168	Losser	15	15	16	16	16	17	17	18	19	20	20	21	22	22
GM0171	Noordoostpolder	13	13	13	13	13	14	14	14	14	15	15	16	16	17
GM0173	Oldenzaal	15	15	15	16	16	17	17	17	18	19	20	20	21	22
GM0175	Ommen	15	15	16	16	16	16	17	17	18	19	20	20	20	21
GM0177	Raalte	14	14	14	15	15	16	16	17	17	18	19	19	20	21
GM0180	Staphorst	11	11	11	11	11	12	12	12	13	14	14	15	15	15
GM0183	Tubbergen	13	13	13	14	14	14	15	15	15	16	16	16	17	17
GM0184	Urk	7	7	7	7	7	7	7	8	8	8	8	9	9	9
GM0189	Wierden	13	14	14	14	15	16	16	16	17	18	19	19	20	20
GM0193	Zwolle	13	13	13	13	13	13	13	13	13	14	14	15	15	15
GM0196	Rijnwaarden	12	12	13	13	14	14	15	15	16	17	18	19	20	20
GM0197	Aalten	15	15	16	16	16	17	17	17	18	19	20	20	21	21
GM0199	Angerlo	11	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0200	Apeldoorn	15	15	16	16	16	16	17	17	18	18	19	19	20	20
GM0202	Arnhem	13	13	13	13	13	13	13	13	13	14	14	14	14	15
GM0203	Barneveld	12	12	12	13	13	13	14	14	14	15	15	16	16	16
GM0207	Bergh	15	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0209	Beuningen	11	11	12	12	12	13	13	14	14	15	16	17	17	18
GM0211	Borculo	16	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0213	Brummen	16	16	17	17	18	18	19	19	20	21	22	23	23	24
GM0214	Buren	12	12	12	13	13	14	14	15	16	16	17	18	18	19
GM0216	Culemborg	11	11	12	12	12	12	13	13	14	15	16	16	17	17
GM0218	Didam	13	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0219	Dinxperlo	15	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0221	Doesburg	13	13	14	14	15	16	17	17	18	20	21	21	22	23
GM0222	Doetinchem	14	14	15	15	15	16	16	16	17	18	18	19	20	20
GM0225	Druten	11	11	12	12	13	13	13	14	15	15	16	17	18	18
GM0226	Duiven	11	11	12	12	12	12	13	13	14	15	15	16	17	17
GM0228	Ede	14	14	14	14	14	15	15	15	16	16	17	17	17	18
GM0229	Eibergen	14	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0230	Elburg	12	13	13	13	14	14	15	15	16	17	18	18	18	19
GM0232	Epe	17	18	18	18	19	19	20	20	21	22	23	23	24	24
GM0233	Ermelo	16	16	17	17	17	18	19	19	20	21	21	22	22	23
GM0236	Geldermalsen	12	12	12	13	13	14	14	15	16	16	17	18	18	19
GM0237	Gendringen	13	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0239	Gorssel	22	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0240	Groenlo	16	14	15	null	null	null	null	null	null	null	null	null	null	null
GM0241	Groesbeek	18	18	18	19	19	19	20	20	21	22	22	23	null	null
GM0243	Harderwijk	13	13	13	13	14	14	14	14	15	15	16	16	17	17
GM0244	Hattem	16	17	17	17	17	18	18	19	20	20	21	21	21	22
GM0246	Heerde	16	16	16	17	17	17	18	18	20	20	21	22	22	22
GM0248	Hengelo (Gld.)	16	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0252	Heumen	13	14	14	15	16	16	17	18	19	20	21	21	22	22
GM0256	Hummelo en Keppel	18	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0260	Lichtenvoorde	12	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0262	Lochem	19	20	21	21	21	22	22	23	24	24	25	26	26	27
GM0263	Maasdriel	13	13	13	13	14	14	14	14	15	16	17	17	18	18
GM0265	Millingen aan de Rijn	13	13	14	14	14	15	15	15	16	17	18	null	null	null
GM0266	Neede	16	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0267	Nijkerk	12	12	13	13	13	14	14	15	16	16	17	17	18	18
GM0268	Nijmegen	13	13	13	13	13	13	13	13	14	14	14	15	15	15
GM0269	Oldebroek	12	13	13	13	14	14	14	15	15	16	16	17	18	18
GM0273	Putten	14	14	15	15	15	16	16	16	17	17	18	19	19	20
GM0274	Renkum	22	22	22	22	23	23	23	23	24	25	25	26	26	27
GM0275	Rheden	21	21	22	22	23	23	23	23	24	24	25	25	25	26
GM0277	Rozendaal	25	25	25	25	25	25	25	25	26	27	27	28	27	27
GM0278	Ruurlo	16	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0279	Scherpenzeel	12	13	13	14	14	15	15	15	16	17	17	18	18	18
GM0280	Steenderen	13	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0281	Tiel	11	12	12	12	12	13	13	13	14	15	15	16	16	17
GM0282	Ubbergen	18	18	19	19	20	20	20	21	22	23	24	null	null	null
GM0285	Voorst	16	17	17	17	18	18	18	19	19	20	21	21	22	22
GM0286	Vorden	20	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0289	Wageningen	13	13	13	13	13	13	13	14	14	14	15	15	15	15
GM0291	Warnsveld	14	null	null	null	null	null	null	null	null	null	null	null	null	null
