code	name	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
GM0003	Appingedam	31	32	32	32	32	32	33	35	35	35	35	36	36	37
GM0005	Bedum	26	26	26	26	27	27	28	29	29	29	28	28	28	29
GM0007	Bellingwedde	28	29	30	28	28	27	29	31	30	29	29	31	29	30
GM0009	Ten Boer	22	22	23	24	24	24	25	25	25	26	26	26	27	27
GM0010	Delfzijl	30	31	31	31	31	31	33	34	34	34	34	35	35	36
GM0014	Groningen	57	57	58	58	58	59	59	61	60	61	61	62	62	62
GM0015	Grootegast	23	22	23	23	23	24	24	24	24	26	26	25	26	26
GM0017	Haren	33	33	34	34	34	34	34	35	35	36	36	36	36	36
GM0018	Hoogezand-Sappemeer	32	32	32	32	32	32	33	34	34	35	35	36	36	37
GM0022	Leek	26	26	26	26	27	27	27	27	29	30	30	29	30	30
GM0024	Loppersum	27	27	27	28	28	28	29	31	30	31	31	31	31	32
GM0025	Marum	24	23	23	24	24	24	24	25	24	25	25	26	26	26
GM0034	Almere	27	27	28	28	28	29	29	30	30	31	31	31	31	32
GM0037	Stadskanaal	29	29	30	30	30	31	32	32	32	33	33	33	34	35
GM0039	Scheemda	24	25	25	25	26	26	null	null	null	null	null	null	null	null
GM0040	Slochteren	24	24	25	25	26	25	25	26	25	25	26	26	26	28
GM0047	Veendam	29	28	29	30	30	30	30	31	31	31	31	32	33	33
GM0048	Vlagtwedde	29	27	28	29	29	30	30	31	31	32	32	33	37	33
GM0050	Zeewolde	22	20	21	21	22	22	23	24	24	24	27	30	30	31
GM0051	Skarsterlân	26	26	27	27	28	28	28	29	28	28	null	null	null	null
GM0052	Winschoten	36	36	36	37	38	38	null	null	null	null	null	null	null	null
GM0053	Winsum	27	27	27	27	27	27	29	30	30	30	30	30	30	31
GM0055	Boarnsterhim	28	28	29	29	29	30	30	31	32	32	null	null	null	null
GM0056	Zuidhorn	24	24	25	25	26	26	26	27	28	28	27	27	27	28
GM0058	Dongeradeel	30	30	31	30	30	31	30	31	31	32	32	32	33	34
GM0059	Achtkarspelen	25	25	25	26	26	27	27	28	27	28	29	29	29	29
GM0060	Ameland	34	32	34	34	33	33	34	36	35	35	34	36	36	36
GM0063	het Bildt	30	30	30	30	30	32	33	34	33	35	33	33	33	34
GM0064	Bolsward	33	33	33	33	33	34	34	null	null	null	null	null	null	null
GM0065	Dantumadeel	24	24	24	25	26	null	null	null	null	null	null	null	null	null
GM0070	Franekeradeel	31	32	31	31	31	31	32	34	32	33	33	33	34	34
GM0072	Harlingen	34	34	33	33	33	34	34	35	35	36	37	38	39	39
GM0074	Heerenveen	34	34	33	33	34	34	35	35	35	35	34	35	34	35
GM0079	Kollumerland c.a.	26	27	27	27	27	28	28	28	29	29	29	29	30	30
GM0080	Leeuwarden	47	47	47	47	46	47	47	49	48	49	47	47	47	48
GM0081	Leeuwarderadeel	21	22	22	23	23	23	24	25	25	26	26	27	27	27
GM0082	Lemsterland	28	28	29	28	28	28	28	29	29	29	null	null	null	null
GM0083	Menaldumadeel	25	25	26	26	27	27	27	null	null	null	null	null	null	null
GM0085	Ooststellingwerf	28	28	27	28	29	30	30	30	30	31	31	31	31	32
GM0086	Opsterland	26	26	26	27	27	27	27	28	28	28	29	29	29	30
GM0088	Schiermonnikoog	44	41	42	43	47	45	44	45	44	46	47	49	50	48
GM0090	Smallingerland	31	32	32	32	32	33	33	34	34	35	34	34	35	35
GM0091	Sneek	34	34	34	34	34	35	35	null	null	null	null	null	null	null
GM0093	Terschelling	42	43	42	36	37	37	37	40	40	40	47	48	49	49
GM0096	Vlieland	40	40	41	39	38	39	41	43	44	46	48	48	47	48
GM0098	Weststellingwerf	30	31	29	29	29	29	29	30	30	30	31	31	31	32
GM0104	Nijefurd	31	30	31	31	31	31	32	null	null	null	null	null	null	null
GM0106	Assen	33	33	33	34	34	34	35	35	35	36	36	36	37	38
GM0109	Coevorden	27	27	27	28	28	28	29	30	29	30	30	30	30	31
GM0114	Emmen	28	29	29	30	30	31	31	32	32	32	32	33	33	34
GM0118	Hoogeveen	28	29	29	30	30	30	31	31	31	31	32	32	33	33
GM0119	Meppel	33	33	33	33	33	33	33	34	34	34	34	34	34	35
GM0140	Littenseradiel	24	24	25	25	25	26	26	26	26	26	27	27	28	29
GM0141	Almelo	31	32	32	33	33	33	34	34	34	34	34	34	35	36
GM0144	Bathmen	22	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0147	Borne	24	25	25	26	26	27	28	28	28	27	27	27	28	28
GM0148	Dalfsen	21	21	22	22	23	23	24	25	24	25	25	25	25	26
GM0150	Deventer	38	37	38	37	37	37	38	38	38	38	37	37	37	38
GM0153	Enschede	42	42	42	43	43	43	44	45	44	44	44	44	44	45
GM0158	Haaksbergen	22	22	23	24	25	25	26	27	27	27	27	27	27	28
GM0160	Hardenberg	23	23	23	23	24	24	25	25	26	26	26	26	27	27
GM0163	Hellendoorn	23	23	23	24	24	25	25	25	26	26	26	27	27	27
GM0164	Hengelo (O.)	35	35	36	36	36	36	36	36	36	36	37	37	37	38
GM0166	Kampen	30	30	29	29	29	30	29	29	30	30	29	30	30	31
GM0168	Losser	22	22	23	23	23	24	25	25	26	26	25	25	26	27
GM0171	Noordoostpolder	28	28	28	29	29	29	30	31	30	30	29	29	29	30
GM0173	Oldenzaal	28	28	29	29	30	30	30	30	30	31	31	31	32	33
GM0175	Ommen	25	25	26	26	26	27	28	28	28	29	28	29	31	30
GM0177	Raalte	24	25	25	25	25	26	26	26	26	27	27	28	27	27
GM0180	Staphorst	18	19	19	20	20	20	20	20	21	22	21	22	22	23
GM0183	Tubbergen	18	19	20	20	20	21	22	23	23	23	24	24	24	24
GM0184	Urk	18	18	18	18	18	18	19	18	19	19	19	19	19	19
GM0189	Wierden	20	21	22	22	21	22	22	23	23	23	23	24	24	24
GM0193	Zwolle	39	39	39	39	40	40	40	40	40	40	39	40	40	41
GM0196	Rijnwaarden	21	22	22	23	24	25	26	27	27	28	28	29	29	29
GM0197	Aalten	27	26	27	27	27	28	29	29	29	29	29	29	29	30
GM0199	Angerlo	21	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0200	Apeldoorn	32	32	32	33	33	33	33	33	33	34	34	34	35	35
GM0202	Arnhem	45	45	46	46	47	47	47	47	47	47	47	47	47	47
GM0203	Barneveld	24	24	25	25	25	25	25	26	26	26	26	27	27	28
GM0207	Bergh	23	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0209	Beuningen	22	23	23	24	24	24	25	25	25	26	26	26	27	27
GM0211	Borculo	23	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0213	Brummen	23	24	24	25	24	25	26	27	28	28	28	29	28	28
GM0214	Buren	21	21	21	22	22	22	22	23	22	23	23	24	25	25
GM0216	Culemborg	29	29	28	29	29	30	31	31	31	31	31	31	31	32
GM0218	Didam	20	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0219	Dinxperlo	23	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0221	Doesburg	29	29	29	30	30	30	31	32	32	33	33	34	34	34
GM0222	Doetinchem	31	30	31	31	31	31	32	32	32	32	32	33	33	34
GM0225	Druten	22	22	22	22	22	23	24	24	25	24	25	26	27	27
GM0226	Duiven	21	21	22	22	22	23	24	24	25	26	26	26	26	27
GM0228	Ede	30	30	31	31	31	32	32	33	33	34	34	34	34	35
GM0229	Eibergen	25	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0230	Elburg	21	22	23	24	24	24	24	25	25	25	26	26	26	26
GM0232	Epe	27	26	27	27	28	29	29	29	29	30	29	29	30	30
GM0233	Ermelo	29	31	32	33	33	32	33	34	34	34	32	32	32	33
GM0236	Geldermalsen	23	23	23	23	23	24	24	25	25	25	25	25	26	26
GM0237	Gendringen	23	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0239	Gorssel	25	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0240	Groenlo	28	23	24	null	null	null	null	null	null	null	null	null	null	null
GM0241	Groesbeek	26	25	26	27	28	29	30	30	30	31	32	33	null	null
GM0243	Harderwijk	29	29	30	30	30	31	31	32	31	31	31	32	32	33
GM0244	Hattem	25	25	26	26	26	27	27	26	27	27	27	28	28	28
GM0246	Heerde	26	26	26	24	25	25	25	25	25	25	25	26	26	26
GM0248	Hengelo (Gld.)	22	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0252	Heumen	23	23	24	25	25	25	26	26	27	27	28	28	29	30
GM0256	Hummelo en Keppel	24	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0260	Lichtenvoorde	23	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0262	Lochem	26	25	26	26	27	27	27	28	28	29	29	29	30	30
GM0263	Maasdriel	22	22	22	23	24	25	24	26	25	26	26	27	27	27
GM0265	Millingen aan de Rijn	24	24	24	25	25	25	26	27	28	28	29	null	null	null
GM0266	Neede	24	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0267	Nijkerk	24	24	25	25	25	26	26	26	26	27	28	28	28	28
GM0268	Nijmegen	51	51	52	52	52	53	53	54	53	54	54	54	54	55
GM0269	Oldebroek	19	19	19	20	20	21	23	23	22	23	23	24	24	25
GM0273	Putten	25	25	25	25	25	25	25	25	26	27	27	28	28	28
GM0274	Renkum	34	34	35	35	35	35	35	35	35	35	35	36	36	37
GM0275	Rheden	35	36	36	36	36	37	37	37	38	39	39	39	40	40
GM0277	Rozendaal	21	21	22	21	21	23	22	22	21	22	23	23	22	24
GM0278	Ruurlo	22	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0279	Scherpenzeel	23	24	25	25	26	26	27	27	27	27	28	28	29	30
GM0280	Steenderen	22	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0281	Tiel	28	29	30	30	30	31	31	32	32	32	31	31	32	33
GM0282	Ubbergen	31	31	32	33	33	34	34	36	35	37	36	null	null	null
GM0285	Voorst	24	24	24	24	25	25	25	25	25	26	26	27	27	27
GM0286	Vorden	24	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0289	Wageningen	58	58	59	59	60	60	61	60	60	59	58	58	59	61
GM0291	Warnsveld	21	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0292	Wehl	19	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0293	Westervoort	23	23	24	25	25	26	26	27	28	28	28	29	29	30
GM0294	Winterswijk	29	29	30	30	30	30	31	32	32	32	32	33	33	33
GM0295	Wisch	26	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0296	Wijchen	25	25	25	25	26	26	27	28	28	28	28	29	29	29
GM0297	Zaltbommel	23	23	23	24	24	24	25	26	26	26	26	26	27	28
GM0298	Zelhem	22	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0299	Zevenaar	29	28	29	29	30	30	30	31	30	31	32	32	32	33
GM0301	Zutphen	36	31	33	34	34	34	35	36	36	37	37	37	38	38
GM0302	Nunspeet	25	25	25	26	26	27	26	26	27	27	28	28	28	28
GM0303	Dronten	27	28	28	28	29	30	31	32	32	32	30	31	31	31
GM0304	Neerijnen	22	21	21	21	21	22	22	22	22	23	23	23	24	24
GM0305	Abcoude	27	27	27	27	27	27	28	null	null	null	null	null	null	null
GM0306	Amerongen	27	27	null	null	null	null	null	null	null	null	null	null	null	null
GM0307	Amersfoort	35	35	35	36	36	36	36	36	36	36	36	36	36	36
GM0308	Baarn	37	37	37	37	37	37	37	39	39	39	37	38	38	38
GM0310	De Bilt	35	35	36	36	36	36	37	37	37	37	37	37	37	38
GM0311	Breukelen	30	30	31	32	33	33	33	null	null	null	null	null	null	null
GM0312	Bunnik	26	27	27	28	29	29	29	30	30	31	31	30	31	30
GM0313	Bunschoten	20	20	20	20	21	21	22	23	23	23	24	24	24	25
GM0315	Doorn	38	39	null	null	null	null	null	null	null	null	null	null	null	null
GM0316	Driebergen-Rijsenburg	34	34	null	null	null	null	null	null	null	null	null	null	null	null
GM0317	Eemnes	25	25	25	26	26	26	27	27	27	27	27	28	28	29
GM0321	Houten	23	23	24	24	24	24	25	25	25	26	26	26	26	27
GM0326	Leersum	30	31	null	null	null	null	null	null	null	null	null	null	null	null
GM0327	Leusden	27	27	28	29	29	29	29	29	29	28	29	29	29	30
GM0329	Loenen	27	28	28	29	29	30	29	null	null	null	null	null	null	null
GM0331	Lopik	21	22	22	23	24	24	25	25	25	26	25	26	25	26
GM0332	Maarn	28	27	null	null	null	null	null	null	null	null	null	null	null	null
GM0333	Maarssen	27	27	27	28	28	28	29	null	null	null	null	null	null	null
GM0335	Montfoort	24	24	24	25	25	25	26	26	26	25	25	26	26	27
GM0339	Renswoude	22	22	22	22	22	22	23	23	22	23	23	22	23	24
GM0340	Rhenen	26	27	25	27	26	27	27	28	28	28	29	29	30	30
GM0342	Soest	32	33	33	33	34	34	34	34	34	34	34	34	34	34
GM0344	Utrecht	52	52	53	53	53	53	53	54	53	53	52	53	52	52
GM0345	Veenendaal	27	28	28	29	29	29	29	30	30	30	30	30	31	32
GM0351	Woudenberg	25	25	25	24	25	25	26	26	26	27	26	27	27	27
GM0352	Wijk bij Duurstede	24	24	24	25	25	25	25	26	26	26	26	27	27	27
GM0353	IJsselstein	26	27	27	27	27	28	29	29	29	29	30	30	29	30
GM0355	Zeist	40	40	40	41	41	41	41	42	41	41	41	42	41	41
GM0356	Nieuwegein	32	32	32	33	33	33	33	34	34	34	34	35	35	36
GM0358	Aalsmeer	28	28	28	27	28	27	28	28	28	28	28	28	29	29
GM0361	Alkmaar	38	38	39	39	40	40	40	41	40	40	40	39	40	40
GM0362	Amstelveen	44	44	44	44	44	44	44	44	44	44	43	44	44	44
GM0363	Amsterdam	55	55	56	56	55	56	55	56	55	55	55	55	55	55
GM0364	Andijk	24	25	26	26	27	27	27	null	null	null	null	null	null	null
GM0365	Graft-De Rijp	24	25	26	26	26	26	27	27	27	27	27	null	null	null
GM0366	Anna Paulowna	24	24	24	25	25	25	26	26	null	null	null	null	null	null
GM0370	Beemster	25	26	26	27	27	28	28	28	27	28	27	28	28	28
GM0372	Bennebroek	29	29	29	30	29	null	null	null	null	null	null	null	null	null
GM0373	Bergen (NH.)	32	33	33	34	34	34	34	35	35	35	36	36	36	36
GM0375	Beverwijk	35	35	36	36	37	37	38	38	37	38	37	38	39	39
GM0376	Blaricum	27	28	29	29	30	30	30	31	31	32	32	32	31	31
GM0377	Bloemendaal	33	33	33	33	32	32	32	33	32	32	33	32	32	32
GM0381	Bussum	41	41	41	41	41	41	41	42	41	41	41	41	null	null
GM0383	Castricum	28	28	29	30	30	30	31	31	31	32	31	32	32	32
GM0384	Diemen	41	41	41	41	42	44	43	45	44	45	46	48	47	47
GM0385	Edam-Volendam	25	25	25	25	26	26	26	26	26	26	27	28	27	27
GM0388	Enkhuizen	33	33	33	34	34	34	34	35	35	35	35	35	36	36
GM0392	Haarlem	44	44	44	45	45	45	45	45	44	44	44	44	44	44
GM0393	Haarlemmerliede c.a.	27	27	27	27	27	27	28	29	28	28	29	29	29	29
GM0394	Haarlemmermeer	27	27	27	27	28	28	28	29	29	29	29	30	30	30
GM0395	Harenkarspel	26	26	27	27	27	27	28	28	29	null	null	null	null	null
GM0396	Heemskerk	30	31	31	31	31	32	32	33	32	32	33	33	33	34
GM0397	Heemstede	35	35	35	35	35	35	35	35	35	35	35	36	36	36
GM0398	Heerhugowaard	25	25	26	27	27	27	27	28	28	28	29	30	30	30
GM0399	Heiloo	29	29	30	30	30	30	30	31	31	31	32	32	33	35
GM0400	Den Helder	35	35	36	36	36	37	37	39	39	39	38	38	38	40
GM0402	Hilversum	40	41	41	41	42	41	42	43	42	42	42	42	42	42
GM0405	Hoorn	32	33	33	34	34	34	34	35	35	35	35	35	36	36
GM0406	Huizen	29	30	31	32	32	32	33	33	33	33	33	33	33	34
GM0412	Niedorp	21	22	23	24	24	24	24	25	null	null	null	null	null	null
GM0415	Landsmeer	25	25	26	26	27	27	27	28	28	28	28	29	29	29
GM0416	Langedijk	23	22	23	23	24	24	25	26	25	25	26	26	27	26
GM0417	Laren	38	37	35	36	36	41	39	41	41	37	36	37	37	36
GM0420	Medemblik	32	33	33	25	26	27	27	28	27	28	28	29	29	30
GM0424	Muiden	28	28	28	28	28	29	30	30	30	30	30	31	null	null
GM0425	Naarden	32	32	32	32	33	34	34	34	34	34	34	34	null	null
GM0429	Obdam	23	23	24	null	null	null	null	null	null	null	null	null	null	null
GM0431	Oostzaan	24	24	25	25	25	25	25	26	26	28	27	27	27	27
GM0432	Opmeer	23	24	24	25	25	25	26	27	27	28	28	29	29	29
GM0437	Ouder-Amstel	33	33	34	34	34	34	35	35	35	35	35	35	36	35
GM0439	Purmerend	30	31	31	31	31	31	32	32	32	33	33	33	34	34
GM0441	Schagen	31	32	33	32	32	33	32	33	33	31	31	32	32	32
GM0448	Texel	32	32	32	32	32	33	33	34	34	34	35	35	35	36
GM0450	Uitgeest	24	25	25	26	26	27	27	27	27	27	27	27	28	28
GM0451	Uithoorn	29	30	30	31	32	32	32	33	32	32	32	32	33	33
GM0453	Velsen	32	33	33	34	34	34	34	35	34	35	35	35	35	35
GM0454	Venhuizen	27	26	null	null	null	null	null	null	null	null	null	null	null	null
GM0457	Weesp	39	40	40	40	40	40	40	40	40	40	40	40	39	39
GM0458	Schermer	23	23	23	23	23	23	24	25	26	27	27	null	null	null
GM0459	Wervershoof	25	25	25	26	26	26	27	null	null	null	null	null	null	null
GM0462	Wieringen	29	29	29	29	30	30	30	31	null	null	null	null	null	null
GM0463	Wieringermeer	24	25	25	25	26	27	28	28	null	null	null	null	null	null
GM0466	Wognum	21	21	23	null	null	null	null	null	null	null	null	null	null	null
GM0473	Zandvoort	42	42	42	42	42	42	42	43	43	43	43	43	43	43
GM0476	Zijpe	25	25	25	26	26	27	27	28	28	null	null	null	null	null
GM0478	Zeevang	20	21	22	22	22	22	23	24	25	25	26	27	null	null
GM0479	Zaanstad	32	32	33	33	34	34	34	35	34	35	35	35	35	36
GM0480	Ter Aar	19	20	21	null	null	null	null	null	null	null	null	null	null	null
GM0482	Alblasserdam	26	28	28	28	28	28	28	29	29	29	29	29	29	29
GM0483	Alkemade	24	25	25	25	25	null	null	null	null	null	null	null	null	null
GM0484	Alphen aan den Rijn	30	30	30	30	31	32	32	33	32	32	31	31	32	32
GM0489	Barendrecht	21	21	22	22	23	24	24	24	24	25	24	24	24	24
GM0491	Bergambacht	23	23	24	24	24	25	25	26	27	27	26	null	null	null
GM0492	Bergschenhoek	18	18	19	null	null	null	null	null	null	null	null	null	null	null
GM0493	Berkel en Rodenrijs	22	22	23	null	null	null	null	null	null	null	null	null	null	null
GM0495	Bleiswijk	19	20	21	null	null	null	null	null	null	null	null	null	null	null
GM0497	Bodegraven	25	25	25	26	26	27	27	null	null	null	null	null	null	null
GM0498	Drechterland	22	23	24	24	24	24	25	26	26	26	27	27	27	28
GM0499	Boskoop	27	27	27	27	28	28	28	29	29	29	null	null	null	null
GM0501	Brielle	27	27	28	28	28	28	29	31	30	31	31	31	31	32
