code	name	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
GM0003	Appingedam	34	34	34	33	33	32	32	31	32	32	32	31	31	31
GM0005	Bedum	42	41	41	40	39	38	38	38	38	38	38	37	36	36
GM0007	Bellingwedde	35	34	34	34	34	33	32	31	31	31	31	30	30	30
GM0009	Ten Boer	45	45	44	44	44	43	41	41	41	41	41	40	40	40
GM0010	Delfzijl	35	35	35	35	35	34	33	33	32	32	32	32	31	31
GM0014	Groningen	20	20	20	19	19	19	19	18	18	18	18	18	18	18
GM0015	Grootegast	45	46	45	46	45	45	44	44	44	43	43	43	42	42
GM0017	Haren	32	32	32	32	32	31	32	31	31	31	31	31	32	32
GM0018	Hoogezand-Sappemeer	35	35	35	35	35	35	34	34	34	33	33	33	33	32
GM0022	Leek	41	40	40	40	39	39	39	39	38	37	37	37	37	36
GM0024	Loppersum	40	40	40	38	38	37	37	36	36	36	35	35	34	33
GM0025	Marum	43	44	44	43	43	43	43	43	43	42	42	41	41	40
GM0034	Almere	47	47	47	47	47	46	46	46	45	45	45	45	45	44
GM0037	Stadskanaal	36	36	36	35	35	35	34	34	34	33	33	32	32	32
GM0039	Scheemda	41	41	40	39	39	39	null	null	null	null	null	null	null	null
GM0040	Slochteren	41	40	40	40	40	40	40	39	40	39	38	38	38	37
GM0047	Veendam	37	37	36	37	36	35	35	35	35	35	36	35	34	34
GM0048	Vlagtwedde	35	35	35	35	34	34	34	33	33	32	32	31	29	30
GM0050	Zeewolde	49	51	50	50	49	49	48	47	47	47	45	43	42	41
GM0051	Skarsterlân	41	40	40	39	38	38	38	37	38	38	null	null	null	null
GM0052	Winschoten	31	31	31	31	30	30	null	null	null	null	null	null	null	null
GM0053	Winsum	41	41	40	40	39	39	38	38	38	37	37	37	36	36
GM0055	Boarnsterhim	38	38	38	38	38	37	37	36	36	36	null	null	null	null
GM0056	Zuidhorn	43	43	43	43	42	42	41	41	40	41	41	41	40	40
GM0058	Dongeradeel	39	39	38	38	37	37	37	37	36	36	36	36	35	35
GM0059	Achtkarspelen	44	43	43	43	42	42	41	41	40	40	40	39	39	39
GM0060	Ameland	37	38	37	35	34	34	34	33	33	32	33	32	32	30
GM0063	het Bildt	39	39	39	39	38	37	37	36	37	35	36	35	35	34
GM0064	Bolsward	35	35	35	35	34	34	33	null	null	null	null	null	null	null
GM0065	Dantumadeel	44	44	44	43	42	null	null	null	null	null	null	null	null	null
GM0070	Franekeradeel	38	37	37	36	36	36	35	34	34	34	34	33	33	33
GM0072	Harlingen	35	36	35	35	34	34	33	33	33	33	32	31	30	31
GM0074	Heerenveen	33	33	34	34	33	33	33	33	33	33	34	34	34	34
GM0079	Kollumerland c.a.	41	41	41	40	40	40	40	40	39	39	39	39	39	38
GM0080	Leeuwarden	26	26	26	26	26	26	26	25	26	26	27	27	27	26
GM0081	Leeuwarderadeel	44	43	42	42	40	40	39	39	38	38	37	36	36	36
GM0082	Lemsterland	38	38	38	38	37	37	38	37	37	37	null	null	null	null
GM0083	Menaldumadeel	42	41	41	40	40	39	38	null	null	null	null	null	null	null
GM0085	Ooststellingwerf	38	38	38	37	37	36	35	35	36	35	34	34	34	34
GM0086	Opsterland	40	40	40	39	39	39	39	39	38	38	38	37	37	37
GM0088	Schiermonnikoog	26	27	23	24	22	24	24	23	23	22	22	21	21	21
GM0090	Smallingerland	37	36	36	35	35	35	35	35	35	34	35	35	35	34
GM0091	Sneek	35	35	35	35	35	34	34	null	null	null	null	null	null	null
GM0093	Terschelling	30	29	28	30	29	28	28	28	27	27	23	23	23	23
GM0096	Vlieland	32	32	32	33	33	31	30	29	26	24	21	21	21	21
GM0098	Weststellingwerf	36	35	36	36	35	35	36	36	36	35	35	34	34	34
GM0104	Nijefurd	36	36	35	34	34	34	33	null	null	null	null	null	null	null
GM0106	Assen	36	36	36	36	36	35	35	35	35	35	35	34	34	34
GM0109	Coevorden	38	38	38	37	37	36	36	35	35	35	35	35	34	34
GM0114	Emmen	38	37	37	37	36	36	36	35	35	35	35	35	34	34
GM0118	Hoogeveen	39	39	39	38	37	37	37	37	37	36	36	36	36	35
GM0119	Meppel	35	36	35	35	35	35	35	35	35	35	35	35	35	34
GM0140	Littenseradiel	44	45	44	43	42	41	40	41	40	39	39	39	38	38
GM0141	Almelo	38	38	37	37	37	37	36	37	37	36	37	37	36	36
GM0144	Bathmen	41	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0147	Borne	42	41	41	40	39	38	38	38	38	38	38	39	38	38
GM0148	Dalfsen	46	46	46	45	44	43	42	41	41	41	40	40	40	40
GM0150	Deventer	33	33	33	33	33	33	33	33	33	34	35	34	34	34
GM0153	Enschede	30	30	30	30	29	29	29	29	29	29	29	29	30	29
GM0158	Haaksbergen	43	43	42	42	41	40	40	39	40	39	39	39	38	38
GM0160	Hardenberg	46	46	46	45	44	44	43	43	42	42	42	42	41	41
GM0163	Hellendoorn	44	44	43	43	43	42	42	42	41	40	40	39	39	39
GM0164	Hengelo (O.)	34	34	34	34	34	34	34	34	34	34	34	34	34	33
GM0166	Kampen	41	41	41	41	40	40	40	40	40	40	40	40	39	39
GM0168	Losser	45	44	43	42	41	41	40	39	39	39	39	39	38	38
GM0171	Noordoostpolder	41	41	40	40	40	39	39	38	38	38	39	39	38	38
GM0173	Oldenzaal	38	38	38	37	37	37	37	37	36	36	36	36	36	36
GM0175	Ommen	43	42	41	41	39	38	38	38	38	37	37	36	35	36
GM0177	Raalte	44	43	43	43	42	41	41	40	40	39	38	38	38	38
GM0180	Staphorst	54	55	55	54	54	53	53	52	52	51	50	49	49	49
GM0183	Tubbergen	54	53	53	52	51	51	49	48	47	47	47	46	46	46
GM0184	Urk	65	63	63	62	63	62	61	61	60	60	59	59	58	58
GM0189	Wierden	48	47	46	46	46	45	45	44	44	44	44	43	43	42
GM0193	Zwolle	33	32	32	32	32	32	32	32	33	33	33	33	32	32
GM0196	Rijnwaarden	44	43	42	42	41	41	40	39	38	38	38	38	37	37
GM0197	Aalten	41	41	40	40	40	39	38	38	38	38	37	37	36	36
GM0199	Angerlo	45	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0200	Apeldoorn	36	36	36	36	36	35	35	35	35	35	35	34	34	34
GM0202	Arnhem	28	28	28	28	28	28	28	28	28	28	29	29	29	29
GM0203	Barneveld	47	47	46	46	45	45	45	45	44	44	44	43	43	42
GM0207	Bergh	42	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0209	Beuningen	47	47	46	45	44	44	43	43	43	42	41	41	40	39
GM0211	Borculo	40	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0213	Brummen	41	41	40	39	38	38	37	37	36	36	35	35	35	35
GM0214	Buren	45	44	43	43	43	43	42	42	42	42	41	41	40	40
GM0216	Culemborg	43	42	42	42	42	41	41	40	40	40	40	39	39	39
GM0218	Didam	46	null	null	null	null	null	null	null	null	null	null	null	null	null
