code	name	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
GM0003	Appingedam	35	34	35	35	35	35	35	34	34	33	33	33	33	32
GM0005	Bedum	32	33	33	34	34	34	34	33	33	33	34	35	35	35
GM0007	Bellingwedde	38	37	37	38	39	40	39	38	38	40	40	38	40	40
GM0009	Ten Boer	32	33	33	33	32	33	34	34	34	33	34	34	33	33
GM0010	Delfzijl	34	34	34	34	34	35	34	34	34	34	34	34	34	33
GM0014	Groningen	24	24	23	23	23	22	22	21	21	21	21	21	21	21
GM0015	Grootegast	32	32	32	31	32	31	32	32	32	32	32	32	32	32
GM0017	Haren	35	35	34	35	34	34	35	34	33	33	33	33	33	32
GM0018	Hoogezand-Sappemeer	33	33	33	33	33	33	33	32	32	32	32	31	31	31
GM0022	Leek	34	34	34	34	34	34	34	34	33	33	33	33	33	34
GM0024	Loppersum	32	33	33	34	34	34	34	33	33	34	34	34	34	35
GM0025	Marum	33	34	33	33	33	33	33	33	33	33	33	33	33	33
GM0034	Almere	26	26	25	25	25	25	25	24	24	24	24	24	24	24
GM0037	Stadskanaal	35	34	34	34	34	34	34	34	34	34	35	34	34	34
GM0039	Scheemda	35	35	35	35	35	35	null	null	null	null	null	null	null	null
GM0040	Slochteren	35	35	35	35	35	35	35	35	35	35	36	36	35	35
GM0047	Veendam	34	35	34	34	34	35	35	34	34	34	34	33	33	33
GM0048	Vlagtwedde	36	37	36	36	37	36	36	36	36	36	36	36	34	37
GM0050	Zeewolde	29	29	28	29	28	29	29	29	28	29	28	27	27	28
GM0051	Skarsterlân	33	34	34	34	34	34	34	34	34	34	null	null	null	null
GM0052	Winschoten	33	33	33	32	32	32	null	null	null	null	null	null	null	null
GM0053	Winsum	32	32	33	34	34	33	33	32	32	32	33	33	33	33
GM0055	Boarnsterhim	34	33	33	33	33	33	33	33	32	32	null	null	null	null
GM0056	Zuidhorn	33	33	33	32	32	33	33	32	32	32	32	32	32	32
GM0058	Dongeradeel	31	31	31	32	32	32	33	32	32	32	32	32	31	31
GM0059	Achtkarspelen	31	32	32	32	32	32	32	31	32	32	31	32	32	32
GM0060	Ameland	29	30	30	31	32	33	32	31	32	33	33	32	32	34
GM0063	het Bildt	31	30	31	31	32	31	31	30	30	30	31	32	32	32
GM0064	Bolsward	32	32	32	32	33	32	32	null	null	null	null	null	null	null
GM0065	Dantumadeel	31	32	32	32	32	null	null	null	null	null	null	null	null	null
GM0070	Franekeradeel	31	31	32	33	33	33	33	33	33	33	33	33	33	32
GM0072	Harlingen	31	31	32	32	32	33	33	32	32	32	31	31	31	30
GM0074	Heerenveen	33	33	33	33	33	32	33	32	32	32	32	32	32	31
GM0079	Kollumerland c.a.	33	32	32	33	32	32	32	32	32	32	32	32	31	32
GM0080	Leeuwarden	28	28	27	28	28	28	27	26	26	26	26	26	26	26
GM0081	Leeuwarderadeel	35	35	36	36	36	37	37	36	37	36	37	37	37	37
GM0082	Lemsterland	34	34	33	34	35	35	34	34	34	33	null	null	null	null
GM0083	Menaldumadeel	33	33	33	33	33	34	35	null	null	null	null	null	null	null
GM0085	Ooststellingwerf	34	34	35	35	34	34	34	35	34	35	35	35	35	34
GM0086	Opsterland	34	34	34	34	34	34	34	33	34	34	34	34	34	33
GM0088	Schiermonnikoog	30	32	34	33	30	32	32	32	33	31	31	30	29	31
GM0090	Smallingerland	32	32	32	32	32	32	32	31	31	31	31	31	31	30
GM0091	Sneek	31	31	31	31	31	31	31	null	null	null	null	null	null	null
GM0093	Terschelling	28	29	30	34	34	35	35	32	33	33	30	29	28	28
GM0096	Vlieland	28	28	27	28	29	30	29	28	30	30	30	31	32	31
GM0098	Weststellingwerf	34	34	35	35	35	35	35	35	34	34	34	34	35	35
GM0104	Nijefurd	33	34	34	35	35	35	35	null	null	null	null	null	null	null
GM0106	Assen	31	31	30	30	30	31	30	29	30	29	29	29	29	29
GM0109	Coevorden	35	35	35	35	35	35	35	35	35	35	35	36	36	35
GM0114	Emmen	34	34	34	33	33	33	33	33	33	33	33	33	33	33
GM0118	Hoogeveen	33	32	32	32	33	33	32	32	32	32	32	32	32	31
GM0119	Meppel	32	32	31	31	31	32	32	31	31	31	31	31	31	30
GM0140	Littenseradiel	32	32	31	32	33	33	34	33	35	35	35	34	34	34
GM0141	Almelo	31	31	30	30	30	30	30	29	29	29	29	29	29	28
GM0144	Bathmen	37	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0147	Borne	34	34	34	34	34	35	34	34	34	35	35	34	34	34
GM0148	Dalfsen	33	33	33	33	34	34	34	34	35	34	34	35	34	35
GM0150	Deventer	29	30	29	29	30	29	29	29	29	29	29	29	28	28
GM0153	Enschede	28	28	28	28	28	28	27	27	27	27	27	26	26	26
GM0158	Haaksbergen	35	35	34	34	34	34	34	34	34	34	34	34	34	34
GM0160	Hardenberg	31	32	32	32	32	32	32	32	32	32	33	32	32	32
GM0163	Hellendoorn	33	33	33	33	33	33	33	33	33	33	34	34	34	34
GM0164	Hengelo (O.)	31	31	30	30	30	31	30	30	30	30	29	29	29	29
GM0166	Kampen	29	30	30	30	30	30	31	31	31	31	30	31	31	30
GM0168	Losser	33	34	35	35	35	36	36	35	35	35	36	36	36	36
GM0171	Noordoostpolder	31	32	31	32	31	32	31	31	31	31	32	32	32	32
GM0173	Oldenzaal	34	34	34	33	33	33	33	33	33	33	33	32	32	32
