code	name	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
GM0003	Appingedam	4	4	4	4	5	5	5	5	5	5	5	6	6	6
GM0005	Bedum	1	1	1	1	2	2	2	2	2	2	2	3	3	3
GM0007	Bellingwedde	3	3	4	3	2	2	3	4	4	2	2	4	3	3
GM0009	Ten Boer	2	2	2	2	2	2	2	2	2	2	3	3	3	3
GM0010	Delfzijl	9	9	9	9	9	8	8	9	9	9	9	9	9	10
GM0014	Groningen	9	9	9	9	9	10	10	10	10	11	11	11	11	12
GM0015	Grootegast	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GM0017	Haren	3	4	4	3	3	3	3	3	3	3	4	4	5	5
GM0018	Hoogezand-Sappemeer	10	10	10	10	10	11	11	11	11	11	11	12	12	12
GM0022	Leek	4	4	2	2	2	3	3	3	3	3	3	3	3	3
GM0024	Loppersum	1	1	2	2	2	2	2	2	2	2	2	2	2	2
GM0025	Marum	4	1	1	1	2	2	2	2	2	2	2	2	2	2
GM0034	Almere	23	24	25	26	26	27	27	28	28	29	29	29	30	30
GM0037	Stadskanaal	3	3	3	3	3	3	3	3	3	3	3	3	4	3
GM0039	Scheemda	1	1	1	1	1	1	null	null	null	null	null	null	null	null
GM0040	Slochteren	1	1	1	1	2	2	2	2	2	2	2	2	2	2
GM0047	Veendam	6	6	6	6	6	6	6	6	7	7	7	7	7	7
GM0048	Vlagtwedde	3	1	2	2	2	2	2	3	3	3	2	5	7	4
GM0050	Zeewolde	5	3	3	4	4	4	4	4	5	5	4	5	5	6
GM0051	Skarsterlân	1	1	1	1	2	2	2	2	2	2	null	null	null	null
GM0052	Winschoten	4	4	4	4	4	4	null	null	null	null	null	null	null	null
GM0053	Winsum	3	3	2	2	2	2	2	2	2	2	2	2	2	3
GM0055	Boarnsterhim	2	2	2	2	1	2	2	2	2	2	null	null	null	null
GM0056	Zuidhorn	1	2	2	2	2	2	2	2	2	2	2	2	2	3
GM0058	Dongeradeel	4	3	3	3	3	3	2	2	2	2	2	2	2	2
GM0059	Achtkarspelen	1	1	1	1	1	1	1	1	1	1	1	2	2	2
GM0060	Ameland	1	1	1	2	1	1	1	1	1	1	2	2	2	2
GM0063	het Bildt	3	3	4	4	3	4	4	5	4	4	5	5	4	4
GM0064	Bolsward	4	4	4	3	4	4	4	null	null	null	null	null	null	null
GM0065	Dantumadeel	1	1	1	1	1	null	null	null	null	null	null	null	null	null
GM0070	Franekeradeel	4	4	4	3	3	3	3	3	3	3	3	3	3	3
GM0072	Harlingen	5	5	4	3	4	3	4	4	4	4	4	4	4	4
GM0074	Heerenveen	6	5	5	5	5	5	6	6	6	6	5	5	6	6
GM0079	Kollumerland c.a.	1	1	1	1	1	1	1	1	1	1	2	2	2	2
GM0080	Leeuwarden	9	9	9	9	9	9	9	9	9	9	9	9	9	10
GM0081	Leeuwarderadeel	2	2	2	2	3	3	3	3	3	3	3	3	3	4
GM0082	Lemsterland	4	4	4	4	4	4	4	4	4	4	null	null	null	null
GM0083	Menaldumadeel	1	1	1	1	1	1	1	null	null	null	null	null	null	null
GM0085	Ooststellingwerf	3	3	2	2	2	3	3	2	2	2	2	2	2	2
GM0086	Opsterland	1	1	1	1	2	2	2	2	2	2	2	2	2	3
GM0088	Schiermonnikoog	1	2	2	2	2	2	2	2	2	2	2	2	2	2
GM0090	Smallingerland	5	5	5	4	4	4	5	5	5	5	5	5	5	5
GM0091	Sneek	4	4	4	4	4	4	4	null	null	null	null	null	null	null
GM0093	Terschelling	1	1	1	1	1	1	1	1	1	1	1	1	1	2
GM0096	Vlieland	2	0	1	1	1	1	1	2	2	2	2	2	2	2
GM0098	Weststellingwerf	4	4	3	3	3	3	3	3	3	3	3	3	3	4
GM0104	Nijefurd	1	1	1	1	1	1	1	null	null	null	null	null	null	null
GM0106	Assen	6	6	6	6	6	6	6	6	6	6	6	6	7	7
GM0109	Coevorden	3	2	2	2	2	2	3	3	3	3	3	3	3	3
GM0114	Emmen	4	4	4	4	4	4	4	4	4	4	4	4	4	5
GM0118	Hoogeveen	3	3	3	3	3	3	3	3	3	4	4	4	4	5
GM0119	Meppel	6	5	5	5	5	5	5	5	5	5	5	5	5	6
GM0140	Littenseradiel	1	1	1	1	1	1	1	1	1	1	1	1	1	2
GM0141	Almelo	13	13	13	13	14	14	14	14	15	15	15	15	15	15
GM0144	Bathmen	1	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0147	Borne	4	4	4	4	4	4	5	5	4	4	4	4	4	5
GM0148	Dalfsen	1	1	1	1	1	1	1	2	2	2	2	2	2	2
GM0150	Deventer	13	12	12	12	12	12	12	12	12	12	12	12	13	13
GM0153	Enschede	14	14	14	14	14	15	15	15	15	15	15	15	16	16
GM0158	Haaksbergen	4	4	4	4	4	5	5	5	5	5	5	5	5	5
GM0160	Hardenberg	2	2	2	2	2	2	2	2	2	2	2	2	2	3
GM0163	Hellendoorn	2	2	2	2	2	2	2	2	2	2	2	2	2	3
GM0164	Hengelo (O.)	10	10	11	11	11	11	11	11	11	12	12	12	12	13
GM0166	Kampen	4	4	4	4	4	4	4	4	4	5	5	5	5	5
GM0168	Losser	2	2	2	2	2	2	2	2	3	3	3	3	3	3
GM0171	Noordoostpolder	6	6	6	6	6	6	6	7	6	6	7	7	7	7
GM0173	Oldenzaal	6	6	6	6	6	7	7	7	7	7	7	7	7	8
GM0175	Ommen	2	2	2	2	2	2	2	2	2	2	2	2	4	3
GM0177	Raalte	3	3	3	3	2	2	2	2	2	2	2	2	3	3
GM0180	Staphorst	1	1	1	1	1	1	1	1	1	1	1	1	2	2
GM0183	Tubbergen	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GM0184	Urk	1	1	1	1	1	1	1	2	2	2	2	2	2	2
GM0189	Wierden	1	2	2	2	2	2	2	2	2	2	2	2	2	2
GM0193	Zwolle	8	8	8	8	9	9	9	9	9	9	9	9	9	10
GM0196	Rijnwaarden	2	2	2	2	2	2	2	2	2	2	2	2	2	3
GM0197	Aalten	4	3	3	3	3	3	3	3	3	3	3	3	3	4
GM0199	Angerlo	2	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0200	Apeldoorn	7	7	7	7	7	7	7	7	8	8	8	8	8	9
GM0202	Arnhem	17	17	17	17	18	18	18	18	18	18	18	18	19	20
GM0203	Barneveld	4	3	3	3	3	3	3	4	4	4	4	4	4	4
GM0207	Bergh	2	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0209	Beuningen	3	3	3	3	3	3	4	4	4	4	4	4	4	5
GM0211	Borculo	3	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0213	Brummen	5	5	5	5	5	5	5	5	5	5	5	5	6	6
GM0214	Buren	1	1	1	1	2	2	2	2	2	2	2	2	2	2
GM0216	Culemborg	13	13	12	12	12	12	13	13	13	13	13	13	13	14
GM0218	Didam	2	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0219	Dinxperlo	1	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0221	Doesburg	10	10	9	10	10	10	10	10	10	10	10	10	10	10
GM0222	Doetinchem	6	6	6	5	5	5	6	6	6	6	6	6	7	7
GM0225	Druten	5	5	5	5	5	5	6	6	6	6	6	6	6	6
GM0226	Duiven	4	3	4	4	4	4	4	4	4	4	5	5	5	5
GM0228	Ede	7	7	7	7	7	7	7	7	7	7	8	8	8	8
GM0229	Eibergen	2	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0230	Elburg	2	2	2	2	2	2	2	2	2	2	2	2	2	3
GM0232	Epe	5	4	5	5	5	5	5	5	5	5	5	5	5	5
GM0233	Ermelo	3	3	3	3	3	3	4	4	4	4	4	4	4	4
GM0236	Geldermalsen	3	3	3	3	3	3	3	3	3	3	3	4	4	4
GM0237	Gendringen	6	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0239	Gorssel	1	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0240	Groenlo	4	3	3	null	null	null	null	null	null	null	null	null	null	null
GM0241	Groesbeek	2	2	2	2	2	2	2	2	2	2	3	3	null	null
GM0243	Harderwijk	10	10	10	10	10	10	10	10	10	10	11	11	11	11
GM0244	Hattem	2	2	2	2	2	2	3	3	3	3	3	3	3	3
GM0246	Heerde	3	4	3	2	2	2	2	2	2	2	2	2	2	3
GM0248	Hengelo (Gld.)	1	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0252	Heumen	3	3	3	3	3	3	3	3	3	3	3	3	4	4
GM0256	Hummelo en Keppel	1	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0260	Lichtenvoorde	3	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0262	Lochem	5	3	3	3	3	4	4	4	4	4	4	4	4	4
GM0263	Maasdriel	2	2	2	2	2	2	2	2	2	2	2	3	3	3
GM0265	Millingen aan de Rijn	1	1	2	2	2	2	2	2	2	3	3	null	null	null
GM0266	Neede	2	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0267	Nijkerk	5	5	5	5	5	5	5	5	5	5	5	6	6	6
GM0268	Nijmegen	12	12	12	12	12	12	12	12	13	13	13	13	13	14
GM0269	Oldebroek	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GM0273	Putten	2	2	2	2	2	2	2	2	2	3	3	3	3	3
GM0274	Renkum	5	5	4	4	4	4	5	5	5	5	5	5	5	5
GM0275	Rheden	5	5	5	5	5	5	5	5	6	6	6	6	7	7
GM0277	Rozendaal	3	3	3	3	4	4	4	4	4	4	4	4	4	5
GM0278	Ruurlo	2	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0279	Scherpenzeel	2	2	2	2	1	2	2	2	2	2	2	2	2	3
