code	name	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
GM0003	Appingedam	1	1	1	1	1	1	1	1	2	2	2	2	2	2
GM0005	Bedum	1	1	1	1	1	1	1	1	2	2	2	2	2	2
GM0007	Bellingwedde	2	2	3	2	2	1	2	4	3	1	1	3	3	2
GM0009	Ten Boer	1	1	1	1	1	1	1	1	2	2	2	2	2	2
GM0010	Delfzijl	3	3	3	3	3	3	3	3	3	3	3	4	3	4
GM0014	Groningen	4	4	4	4	5	5	5	5	6	6	6	6	7	7
GM0015	Grootegast	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GM0017	Haren	3	3	3	2	2	2	2	2	2	2	3	3	4	4
GM0018	Hoogezand-Sappemeer	2	2	2	2	2	2	2	2	2	2	2	2	3	3
GM0022	Leek	3	3	1	1	1	1	1	2	2	2	2	2	2	2
GM0024	Loppersum	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GM0025	Marum	3	1	1	1	1	1	1	1	1	1	1	1	1	2
GM0034	Almere	7	7	8	8	8	8	9	9	9	9	10	10	10	11
GM0037	Stadskanaal	2	2	2	2	2	2	3	2	2	2	3	3	3	3
GM0039	Scheemda	1	1	1	1	1	1	null	null	null	null	null	null	null	null
GM0040	Slochteren	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GM0047	Veendam	1	1	1	1	2	1	2	2	2	2	2	2	2	2
GM0048	Vlagtwedde	3	1	2	2	1	1	2	2	2	2	2	4	6	3
GM0050	Zeewolde	3	2	2	2	2	2	3	3	3	3	3	3	3	4
GM0051	Skarsterlân	1	1	1	1	1	1	1	1	1	1	null	null	null	null
GM0052	Winschoten	3	3	3	2	2	2	null	null	null	null	null	null	null	null
GM0053	Winsum	3	3	1	1	1	1	1	1	1	1	1	2	2	2
GM0055	Boarnsterhim	1	1	1	1	1	1	1	1	1	1	null	null	null	null
GM0056	Zuidhorn	1	1	1	1	1	1	1	1	1	1	1	2	2	2
GM0058	Dongeradeel	3	3	3	3	3	3	2	1	1	1	1	2	2	2
GM0059	Achtkarspelen	1	1	1	1	1	1	1	1	1	1	1	1	2	2
