code	name	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
GM0003	Appingedam	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GM0005	Bedum	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0007	Bellingwedde	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0009	Ten Boer	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0010	Delfzijl	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GM0014	Groningen	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GM0015	Grootegast	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0017	Haren	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0018	Hoogezand-Sappemeer	4	4	4	4	4	4	4	4	4	4	4	4	4	4
GM0022	Leek	1	1	1	1	1	1	1	1	0	0	1	1	1	1
GM0024	Loppersum	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0025	Marum	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0034	Almere	10	10	10	11	11	11	11	11	11	11	11	11	11	11
GM0037	Stadskanaal	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0039	Scheemda	0	0	0	0	0	0	null	null	null	null	null	null	null	null
GM0040	Slochteren	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0047	Veendam	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GM0048	Vlagtwedde	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0050	Zeewolde	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GM0051	Skarsterlân	0	0	0	0	0	0	0	0	0	0	null	null	null	null
GM0052	Winschoten	1	1	1	1	1	1	null	null	null	null	null	null	null	null
GM0053	Winsum	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0055	Boarnsterhim	0	0	0	0	0	0	0	0	0	0	null	null	null	null
GM0056	Zuidhorn	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0058	Dongeradeel	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0059	Achtkarspelen	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0060	Ameland	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0063	het Bildt	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0064	Bolsward	0	0	0	0	0	0	0	null	null	null	null	null	null	null
GM0065	Dantumadeel	0	0	0	0	0	null	null	null	null	null	null	null	null	null
GM0070	Franekeradeel	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0072	Harlingen	0	0	0	0	0	0	0	1	1	0	1	1	1	1
GM0074	Heerenveen	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GM0079	Kollumerland c.a.	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0080	Leeuwarden	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GM0081	Leeuwarderadeel	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0082	Lemsterland	1	0	1	1	1	1	1	1	1	1	null	null	null	null
GM0083	Menaldumadeel	0	0	0	0	0	0	0	null	null	null	null	null	null	null
GM0085	Ooststellingwerf	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0086	Opsterland	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0088	Schiermonnikoog	-999999999	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0090	Smallingerland	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GM0091	Sneek	1	1	1	1	1	1	1	null	null	null	null	null	null	null
GM0093	Terschelling	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0096	Vlieland	-999999999	-99999999	0	0	0	0	0	0	0	0	0	0	0	0
GM0098	Weststellingwerf	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0104	Nijefurd	0	0	0	0	0	0	0	null	null	null	null	null	null	null
GM0106	Assen	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GM0109	Coevorden	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0114	Emmen	0	0	0	0	0	0	0	0	0	0	0	0	0	0
