code	name	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
GM0003	Appingedam	8	8	8	8	8	8	8	7	8	8	8	7	7	7
GM0005	Bedum	4	4	4	4	4	4	4	4	4	4	4	4	4	4
GM0007	Bellingwedde	9	9	9	8	8	8	8	8	8	8	8	8	8	8
GM0009	Ten Boer	4	4	4	4	4	4	4	4	4	4	4	4	4	4
GM0010	Delfzijl	8	8	8	8	8	7	8	8	8	8	8	8	8	8
GM0014	Groningen	9	9	9	10	10	10	10	11	11	11	11	12	12	12
GM0015	Grootegast	2	2	2	2	2	2	2	3	3	3	3	3	2	2
GM0017	Haren	8	8	8	8	8	8	8	8	8	8	8	8	8	8
GM0018	Hoogezand-Sappemeer	7	7	7	7	7	7	7	7	7	7	7	7	7	7
GM0022	Leek	5	5	4	4	5	5	5	5	5	6	6	5	5	5
GM0024	Loppersum	4	4	4	4	4	4	4	4	4	4	4	4	4	4
GM0025	Marum	5	4	4	4	4	4	4	4	4	4	4	4	4	4
GM0034	Almere	10	10	10	10	10	10	10	10	10	10	10	10	10	10
GM0037	Stadskanaal	5	5	5	5	5	5	5	5	5	5	5	5	5	5
GM0039	Scheemda	5	5	5	5	6	6	null	null	null	null	null	null	null	null
GM0040	Slochteren	4	4	4	4	4	4	4	4	4	4	4	4	4	4
GM0047	Veendam	5	5	5	5	5	5	5	5	5	5	5	5	5	5
GM0048	Vlagtwedde	6	6	6	6	6	6	6	6	6	6	6	6	5	5
GM0050	Zeewolde	8	7	7	7	7	7	7	7	8	8	9	11	12	12
GM0051	Skarsterlân	4	4	4	4	4	4	4	4	4	4	null	null	null	null
GM0052	Winschoten	8	8	8	8	8	7	null	null	null	null	null	null	null	null
GM0053	Winsum	5	5	4	4	4	4	4	4	4	5	5	5	5	5
GM0055	Boarnsterhim	4	4	4	4	4	4	4	4	4	4	null	null	null	null
GM0056	Zuidhorn	4	4	4	4	4	4	4	4	4	4	4	4	4	4
GM0058	Dongeradeel	4	4	4	4	4	3	3	3	3	3	3	3	3	3
GM0059	Achtkarspelen	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GM0060	Ameland	4	4	4	4	4	4	4	4	5	5	5	5	5	5
GM0063	het Bildt	5	4	5	5	4	4	4	5	5	5	5	5	5	5
GM0064	Bolsward	5	5	4	4	4	5	5	null	null	null	null	null	null	null
GM0065	Dantumadeel	2	2	2	2	2	null	null	null	null	null	null	null	null	null
GM0070	Franekeradeel	5	5	5	5	5	5	5	5	5	6	6	6	6	6
GM0072	Harlingen	8	8	8	7	7	8	8	8	8	8	8	8	8	8
GM0074	Heerenveen	6	5	5	5	6	6	6	6	6	6	5	5	5	6
GM0079	Kollumerland c.a.	2	2	2	2	2	2	2	2	3	2	2	2	2	2
GM0080	Leeuwarden	7	7	7	7	7	8	8	8	8	8	8	8	8	8
GM0081	Leeuwarderadeel	4	4	4	4	4	4	4	4	4	4	4	4	4	4
GM0082	Lemsterland	6	6	6	6	6	6	6	6	6	6	null	null	null	null
GM0083	Menaldumadeel	3	3	3	3	3	4	4	null	null	null	null	null	null	null
GM0085	Ooststellingwerf	5	5	5	5	4	4	4	4	4	5	5	5	4	4
GM0086	Opsterland	3	3	3	3	3	3	3	3	3	3	3	4	4	4
GM0088	Schiermonnikoog	5	5	5	5	5	5	6	6	6	6	7	7	7	7
GM0090	Smallingerland	5	5	5	5	5	5	5	5	5	5	5	5	5	5
GM0091	Sneek	6	6	6	6	7	7	7	null	null	null	null	null	null	null
GM0093	Terschelling	5	5	5	5	5	5	5	5	5	5	5	5	5	5
GM0096	Vlieland	10	10	10	10	9	9	9	9	8	10	10	9	9	9
GM0098	Weststellingwerf	4	4	4	4	4	4	4	4	4	4	4	4	4	4
GM0104	Nijefurd	5	4	4	4	4	4	4	null	null	null	null	null	null	null
GM0106	Assen	8	8	8	8	8	8	8	8	8	8	8	8	8	8
GM0109	Coevorden	5	5	5	5	5	5	5	5	5	5	5	5	5	5
GM0114	Emmen	7	7	7	7	7	7	7	7	7	7	7	7	7	7
GM0118	Hoogeveen	5	5	5	5	5	5	5	5	5	5	5	5	6	6
GM0119	Meppel	5	5	5	5	5	5	5	5	5	5	5	5	5	5
GM0140	Littenseradiel	4	4	4	4	4	4	4	4	4	4	4	4	3	3
GM0141	Almelo	10	10	10	10	10	10	10	10	10	10	10	10	10	10
GM0144	Bathmen	4	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0147	Borne	7	7	7	7	7	7	7	7	7	7	7	7	7	7
GM0148	Dalfsen	2	2	2	2	2	3	3	3	3	3	3	3	3	3
GM0150	Deventer	9	9	9	9	9	9	9	9	9	9	9	9	9	9
GM0153	Enschede	12	12	12	12	12	13	13	13	13	13	13	13	12	12
GM0158	Haaksbergen	8	7	7	7	7	7	7	7	7	7	7	7	7	7
GM0160	Hardenberg	4	4	4	4	4	4	4	4	4	4	4	4	4	4
GM0163	Hellendoorn	4	4	4	4	4	4	4	4	4	4	4	4	4	4
GM0164	Hengelo (O.)	10	10	10	10	10	10	10	10	10	10	10	10	10	10
GM0166	Kampen	4	4	4	4	4	4	4	4	4	4	4	4	4	4
GM0168	Losser	13	13	12	12	12	12	12	12	12	12	12	12	11	11
GM0171	Noordoostpolder	5	5	5	5	5	5	5	5	6	6	6	6	6	7
GM0173	Oldenzaal	9	9	8	8	8	8	8	8	8	8	8	8	8	8
GM0175	Ommen	3	3	3	3	3	4	4	4	4	4	4	4	4	5
GM0177	Raalte	3	3	3	3	3	3	3	3	3	3	3	3	3	3
GM0180	Staphorst	1	1	1	1	1	1	1	2	2	2	2	2	2	2
GM0183	Tubbergen	4	4	4	4	4	4	4	4	4	4	4	3	3	3
GM0184	Urk	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GM0189	Wierden	5	5	5	5	5	5	5	5	5	5	5	5	5	5
GM0193	Zwolle	7	7	7	7	7	7	7	7	7	7	7	7	7	7
GM0196	Rijnwaarden	10	10	10	10	10	10	10	10	10	10	10	10	9	9
GM0197	Aalten	7	9	9	9	9	9	9	9	9	8	8	8	8	8
GM0199	Angerlo	7	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0200	Apeldoorn	8	8	8	8	8	8	8	8	8	8	8	8	8	8
GM0202	Arnhem	11	11	11	11	11	12	11	12	12	12	11	11	12	12
GM0203	Barneveld	4	4	4	4	4	4	4	4	4	4	4	4	4	4
GM0207	Bergh	11	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0209	Beuningen	8	8	8	8	8	8	8	8	8	8	8	8	8	7
GM0211	Borculo	4	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0213	Brummen	6	6	6	6	6	6	6	6	6	6	6	6	6	6
GM0214	Buren	4	4	4	4	4	5	5	5	5	5	5	5	5	6
GM0216	Culemborg	8	8	8	8	8	8	8	9	9	8	9	9	9	9
GM0218	Didam	6	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0219	Dinxperlo	16	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0221	Doesburg	10	10	10	10	10	10	10	10	9	10	10	10	10	9
GM0222	Doetinchem	8	8	8	7	7	7	7	7	7	7	7	7	7	7
GM0225	Druten	6	6	6	6	6	6	6	5	6	6	6	6	6	6
GM0226	Duiven	8	8	8	8	8	8	8	8	8	8	8	8	8	8
GM0228	Ede	7	7	7	7	7	7	7	7	7	7	7	7	7	7
GM0229	Eibergen	6	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0230	Elburg	3	3	3	3	3	3	3	3	3	3	3	3	4	3
GM0232	Epe	6	6	6	6	6	6	6	6	6	6	6	6	6	6
GM0233	Ermelo	5	5	5	5	6	6	6	6	6	6	6	6	6	6
GM0236	Geldermalsen	4	4	4	4	4	4	5	5	5	5	5	5	5	5
GM0237	Gendringen	9	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0239	Gorssel	6	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0240	Groenlo	8	6	6	null	null	null	null	null	null	null	null	null	null	null
GM0241	Groesbeek	10	10	10	10	10	10	10	10	10	10	10	10	null	null
GM0243	Harderwijk	6	6	6	6	6	6	6	6	6	6	6	7	7	7
GM0244	Hattem	4	4	4	4	4	4	4	4	4	4	4	5	5	4
GM0246	Heerde	3	3	4	3	3	3	3	3	3	3	3	3	3	3
GM0248	Hengelo (Gld.)	3	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0252	Heumen	9	9	9	9	9	9	9	9	9	9	9	9	9	9
GM0256	Hummelo en Keppel	5	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0260	Lichtenvoorde	5	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0262	Lochem	5	6	6	6	6	6	6	6	6	6	6	6	6	6
GM0263	Maasdriel	4	4	4	5	5	6	6	6	6	6	7	7	7	7
GM0265	Millingen aan de Rijn	13	13	13	13	13	13	13	13	13	12	12	null	null	null
GM0266	Neede	6	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0267	Nijkerk	4	4	4	4	4	4	5	5	5	5	5	5	5	5
GM0268	Nijmegen	12	12	12	12	12	12	12	12	12	12	12	12	12	12
GM0269	Oldebroek	2	2	2	2	2	2	2	3	3	3	3	3	3	3
GM0273	Putten	3	4	4	4	4	4	4	4	4	5	4	5	5	5
GM0274	Renkum	9	9	9	9	9	9	9	9	9	9	10	9	9	10
GM0275	Rheden	9	9	9	9	9	9	9	9	9	9	9	9	9	9
GM0277	Rozendaal	10	10	10	10	10	10	11	10	11	10	10	10	10	10
GM0278	Ruurlo	4	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0279	Scherpenzeel	4	4	4	4	4	4	4	4	4	4	4	4	4	4
GM0280	Steenderen	4	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0281	Tiel	9	9	9	8	8	8	8	8	9	9	9	9	9	9
GM0282	Ubbergen	11	11	11	11	11	11	11	11	11	11	11	null	null	null
GM0285	Voorst	5	5	5	5	5	5	5	5	5	5	5	5	5	5
GM0286	Vorden	4	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0289	Wageningen	11	12	12	13	13	13	13	13	14	14	13	13	13	14
GM0291	Warnsveld	7	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0292	Wehl	4	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0293	Westervoort	10	10	9	10	10	9	9	9	10	10	10	9	9	9
GM0294	Winterswijk	9	9	9	9	9	9	9	9	9	9	9	9	9	9
GM0295	Wisch	6	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0296	Wijchen	7	7	7	7	7	7	7	7	7	7	8	7	7	7
GM0297	Zaltbommel	4	4	4	4	4	4	5	5	5	5	5	6	6	6
GM0298	Zelhem	4	null	null	null	null	null	null	null	null	null	null	null	null	null
GM0299	Zevenaar	11	10	10	10	10	10	10	10	10	10	10	10	10	10
GM0301	Zutphen	9	9	9	9	9	9	9	9	9	9	9	9	9	9
GM0302	Nunspeet	3	3	3	3	3	3	3	3	3	3	3	4	4	4
GM0303	Dronten	7	7	7	7	7	7	7	7	7	7	7	7	7	7
GM0304	Neerijnen	4	4	4	4	4	4	4	4	4	4	4	4	5	5
GM0305	Abcoude	11	11	10	11	11	11	11	null	null	null	null	null	null	null
GM0306	Amerongen	7	7	null	null	null	null	null	null	null	null	null	null	null	null
GM0307	Amersfoort	9	9	8	8	8	9	9	9	9	9	9	9	9	9
