code	name	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
GM0003	Appingedam	4	4	4	4	4	4	4	4	3	3	4	3	3	3
GM0005	Bedum	4	4	4	4	4	4	4	4	4	4	4	4	4	4
GM0007	Bellingwedde	5	5	5	5	5	5	5	5	5	5	5	5	5	5
GM0009	Ten Boer	5	5	5	5	5	5	5	5	5	5	5	5	5	5
GM0010	Delfzijl	4	4	4	4	4	4	4	4	4	4	4	4	4	4
GM0014	Groningen	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GM0015	Grootegast	5	5	5	5	5	5	5	5	5	5	5	5	5	5
GM0017	Haren	4	4	4	4	4	4	4	4	4	4	4	4	4	4
GM0018	Hoogezand-Sappemeer	3	3	3	3	3	3	3	3	3	3	3	3	3	3
GM0022	Leek	4	4	4	4	4	4	4	4	4	4	4	4	4	4
GM0024	Loppersum	5	5	5	5	5	5	5	5	5	5	5	5	5	5
GM0025	Marum	5	5	5	5	5	5	5	5	5	5	5	5	5	5
GM0034	Almere	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GM0037	Stadskanaal	4	4	4	4	4	4	4	4	4	4	4	4	4	4
GM0039	Scheemda	5	5	5	5	5	5	null	null	null	null	null	null	null	null
GM0040	Slochteren	5	5	5	5	5	5	5	5	5	5	5	5	5	5
GM0047	Veendam	4	4	4	4	4	4	4	4	4	4	4	4	4	4
GM0048	Vlagtwedde	5	5	5	5	5	5	5	5	5	5	5	5	5	5
GM0050	Zeewolde	4	4	4	4	4	4	4	4	4	4	4	4	4	4
GM0051	Skarsterlân	4	4	4	4	4	4	4	4	4	4	null	null	null	null
GM0052	Winschoten	3	3	3	3	3	3	null	null	null	null	null	null	null	null
GM0053	Winsum	5	5	5	5	5	5	5	5	5	5	5	5	5	5
GM0055	Boarnsterhim	5	5	5	5	5	5	5	5	5	5	null	null	null	null
GM0056	Zuidhorn	5	5	5	5	5	5	5	5	5	5	5	5	5	5
GM0058	Dongeradeel	5	5	5	5	5	5	5	5	5	5	5	4	4	4
GM0059	Achtkarspelen	5	5	5	5	5	5	5	5	5	5	5	5	5	5
GM0060	Ameland	5	5	5	5	5	5	5	5	5	5	5	5	5	5
GM0063	het Bildt	5	5	5	5	5	5	5	5	5	5	5	5	5	5
GM0064	Bolsward	4	4	4	4	4	4	4	null	null	null	null	null	null	null
GM0065	Dantumadeel	5	5	5	5	5	null	null	null	null	null	null	null	null	null
GM0070	Franekeradeel	4	4	4	4	4	4	4	4	4	4	4	4	4	4
GM0072	Harlingen	4	4	4	4	3	3	3	3	3	4	4	3	3	3
