Code	State	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
AL	Alabama	169678.4	172686.8	168348	174753	181349.8	186299	191481	194059.7	200317.5	203354.7
AZ	Arizona	262322	259366.7	243929.4	248210	257947.8	268288.8	275199.1	284573.8	297116.4	310928.9
AR	Arkansas	96948.2	98955.3	97058.9	101690	106085.4	108745.2	114251.5	117339.1	118435.8	119947.3
CA	California	1955856	1990678.2	1920061.8	1974614.5	2050056.8	2144497.3	2262771.2	2396552.1	2557131.9	2665348.9
CO	Colorado	246043.5	255566.8	248593.6	255140.5	264431.6	273519.5	288305.2	306362	317977.9	328513.8
CT	Connecticut	237542.7	240910.9	236393.2	237653.4	236523.7	243801	246632	248954.2	259776	263239.9
DE	Delaware	56278.5	54787.5	56871.2	57447.4	60357.4	61975.8	60666.1	67178.9	70917.7	70484.1
FL	Florida	768661	750501.6	724582.2	737791.1	746787.5	769309.1	800704.1	839706	895004.2	938086.1
GA	Georgia	415131.9	412911.9	407024.5	416883.8	429574	444132.2	460585.1	484915.4	513100.5	538360.6
ID	Idaho	53852.1	55546	53775	55170.7	56488.1	57764.4	61017.7	63614.9	66273.6	69203.4
IL	Illinois	647862.1	646366.6	644690.1	662637.8	688288.9	720702.3	739627.9	765910.2	791625.9	803680.2
IN	Indiana	269053.6	272845.6	261238.3	280120.7	288749.1	297552.7	308681.7	325040.6	330026.5	338711
IA	Iowa	136977	136553.6	136251.2	141482	147227	157250.8	160299.8	171512.5	177875.4	180179.3
KS	Kansas	122453.3	127682.4	124340.7	127744.8	135315.3	140477.8	143220.7	148276.1	151679.9	155580.4
KY	Kentucky	154531.7	158099	155779.7	164605.5	169940.7	176302.3	182359.2	186694.5	191916.4	195034.8
LA	Louisiana	206641.1	215068.9	206884.9	225677	228987.5	233623.1	228967.4	237876.9	234440.9	227983.9
ME	Maine	49148.6	49973.8	50556.5	51710.7	51866.7	52874	53719	55875.1	57515.1	59447.3
MD	Maryland	287872.8	296435.4	302507.3	316451.5	328058.4	334821.6	341255.3	352524.3	367276.7	384376.8
MA	Massachusetts	379877.2	388583.2	391265.1	409762.5	425593.2	444329.8	454345.7	473454.4	502816.9	519564.2
MI	Michigan	403735.8	386053.9	365591.7	386625.9	401105.4	418857.4	432717.6	448964.4	473729.6	490185
MN	Minnesota	258827.2	264688	259958.7	271821.2	283807.3	294296.6	306153	319338.9	328455	338364.2
MS	Mississippi	91057.6	96843.6	93205.6	95208.4	96371.6	99614.6	101638.1	103658.1	105706.7	106848.6
MO	Missouri	240158.8	250581.1	251780	258544.1	260093.5	268761.5	277851.1	284729.4	294750.3	295960.5
MT	Montana	36074.1	36862.5	35983.9	38054.6	40579.3	42005.8	43141	44529.2	46100.7	45595.5
NE	Nebraska	83122.8	85200.6	86830.3	91812.8	99613.4	102269	107604.3	111330.7	115269.6	116283.1
NV	Nevada	131599.8	129372.4	121109.5	123598.1	126657.1	128043	130621.4	135026.5	144378.9	149739.6
NH	New Hampshire	60732.7	60918.7	61937.4	64151.6	65430.5	67689.2	70181.9	72368.7	75892.9	78418.2
NJ	New Jersey	480539	495121.8	486512.8	495149	499114.9	519745.8	533686.7	546831.5	569391.3	582070.9
NM	New Mexico	80572.8	83724.2	82017.4	83989.2	86625	87601.6	88411.2	92495.9	90849.4	90880
NY	New York	1108896	1099234.4	1152812.1	1213946.9	1236061.4	1322447.9	1355581.4	1427812.7	1488200.7	1540969.7
NC	North Carolina	396347.6	413363.3	406477.4	415206.4	427205.6	439571	455521.6	475227.2	503467.3	518384
ND	North Dakota	28679.7	31722.1	32002.5	35426.3	41179.2	51345.1	53881.7	58547.4	54932.7	51099.2
OH	Ohio	490965	495742.6	480322	497208.2	525388.4	540819.3	561045.5	593030	609633.9	620931.2
OK	Oklahoma	144893.3	159660	145736.4	152911.4	165035.6	173483.7	182618.4	195689	185460.5	178969.9
OR	Oregon	161512	165189.1	160640.7	163827.6	170621.3	174493.1	179382.7	189344.3	203173.3	215336.1
PA	Pennsylvania	560753.4	582240.2	577379.8	599312.8	618987.7	641317.3	663900.8	690675.4	710040.5	724668.3
RI	Rhode Island	47845.6	47107.8	47901.4	49571.8	50175.9	51642	53209.9	54573.3	56843.8	57860
SC	South Carolina	159362.5	161804.7	159835.6	163856.8	170087.2	175374.8	183014.9	191967.4	203920.5	212460.2
SD	South Dakota	34701.6	36668.5	36193.1	37484.4	41541.5	43444.6	44814.9	46057	47778.2	48492.9
TN	Tennessee	244252.4	251609	250544.4	255935.8	267659.1	283721.8	292803.9	304150.4	322893.1	334618.1
TX	Texas	1178583.1	1237394.9	1163401.3	1237196.8	1331220.6	1411378.7	1502249.8	1565390.2	1568641.9	1565698.8
UT	Utah	114652.7	115985.4	113332.9	117960.5	124539.4	128721	134252.1	141342.9	149576.7	157474.7
VT	Vermont	24696.8	25678	25867.8	27108.4	28135.1	28887.4	29098.8	29714.4	30672.9	31552.2
VA	Virginia	392917.3	399032.1	408918.7	422902	432392.7	444950	455070	463781.7	484690.5	493699.5
WA	Washington	346442.8	355677.8	353632	365551.9	379539	400863.3	419345	442442.4	469944	492251.4
WV	West Virginia	58635.8	62066.7	62957.8	65274.1	68524.9	69399	71037.6	72027.1	70413.6	70191.4
WI	Wisconsin	243766.7	244759.9	245539	254354.1	263881.6	274343.9	282384.6	293519.4	304763.9	312203.7
WY	Wyoming	36602.5	42540.4	36042.2	37401.2	39370.7	38431.7	38922.5	39372.3	37764.1	35984.2
