Code	States	1998	2000	2002	2004	2006	2008	2010	2012	2014	2016
AL	Alabama	0.412	0.516	0.415	0.572	0.375	0.608	0.43	0.586	0.329	0.588281798
AZ	Arizona	0.315	0.456	0.359	0.541	0.389	0.567	0.41	0.526	0.334	0.549469793
AR	Arkansas	0.375	0.479	0.413	0.536	0.387	0.525	0.375	0.507	0.401	0.528310088
CA	California	0.435	0.557	0.361	0.588	0.402	0.609	0.44	0.551	0.299	0.564894776
CO	Colorado	0.461	0.575	0.463	0.667	0.473	0.71	0.506	0.699	0.537	0.699537843
CT	Connecticut	0.427	0.619	0.423	0.65	0.466	0.666	0.459	0.613	0.423	0.636884401
DE	Delaware	0.334	0.59	0.411	0.642	0.423	0.656	0.475	0.623	0.343	0.641608986
FL	Florida	0.374	0.559	0.456	0.644	0.396	0.661	0.417	0.628	0.428	0.645161037
GA	Georgia	0.337	0.458	0.354	0.562	0.347	0.625	0.398	0.59	0.382	0.591200293
ID	Idaho	0.452	0.572	0.447	0.632	0.454	0.636	0.423	0.598	0.393	0.591627233
IL	Illinois	0.41	0.562	0.414	0.615	0.402	0.636	0.424	0.589	0.402	0.616154846
IN	Indiana	0.365	0.493	0.339	0.548	0.366	0.591	0.371	0.552	0.278	0.563916203
IA	Iowa	0.453	0.632	0.479	0.699	0.481	0.694	0.499	0.703	0.498	0.684293666
KS	Kansas	0.388	0.556	0.44	0.616	0.436	0.62	0.417	0.569	0.425	0.576624792
KY	Kentucky	0.391	0.522	0.372	0.587	0.404	0.579	0.424	0.557	0.442	0.586198252
LA	Louisiana	0.313	0.564	0.394	0.611	0.297	0.612	0.389	0.602	0.439	0.599518733
ME	Maine	0.516	0.672	0.508	0.738	0.542	0.706	0.552	0.682	0.581	0.706676542
MD	Maryland	0.43	0.555	0.463	0.629	0.467	0.67	0.464	0.666	0.417	0.663890385
MA	Massachusetts	0.43	0.599	0.492	0.642	0.488	0.668	0.489	0.659	0.441	0.671994171
MI	Michigan	0.434	0.599	0.445	0.666	0.521	0.692	0.445	0.647	0.427	0.646749005
MN	Minnesota	0.619	0.695	0.641	0.784	0.601	0.778	0.554	0.76	0.504	0.741168405
MS	Mississippi	0.276	0.491	0.301	0.557	0.294	0.61	0.37	0.593	0.29	0.551905119
MO	Missouri	0.396	0.582	0.456	0.653	0.5	0.676	0.445	0.622	0.317	0.621658208
MT	Montana	0.507	0.616	0.484	0.644	0.564	0.663	0.475	0.625	0.469	0.618149473
NE	Nebraska	0.455	0.569	0.399	0.629	0.476	0.629	0.375	0.603	0.405	0.628228985
NV	Nevada	0.353	0.452	0.362	0.553	0.369	0.57	0.413	0.564	0.293	0.573711608
NH	New Hampshire	0.363	0.639	0.481	0.709	0.414	0.717	0.457	0.702	0.476	0.71375075
NJ	New Jersey	0.329	0.569	0.381	0.638	0.395	0.67	0.364	0.615	0.311	0.644208139
NM	New Mexico	0.416	0.485	0.386	0.59	0.425	0.609	0.428	0.546	0.354	0.545108189
NY	New York	0.386	0.551	0.361	0.58	0.349	0.59	0.355	0.531	0.282	0.56756004
NC	North Carolina	0.358	0.507	0.397	0.578	0.31	0.655	0.392	0.648	0.408	0.644891332
ND	North Dakota	0.449	0.603	0.485	0.648	0.449	0.627	0.462	0.598	0.438	0.607569284
OH	Ohio	0.413	0.567	0.388	0.668	0.475	0.669	0.449	0.645	0.351	0.629118449
OK	Oklahoma	0.362	0.499	0.412	0.583	0.364	0.558	0.388	0.492	0.299	0.522994099
OR	Oregon	0.472	0.649	0.508	0.72	0.525	0.677	0.527	0.631	0.509	0.661779353
PA	Pennsylvania	0.333	0.541	0.388	0.626	0.441	0.636	0.417	0.595	0.361	0.636196098
RI	Rhode Island	0.423	0.542	0.447	0.585	0.51	0.618	0.448	0.58	0.417	0.590504924
SC	South Carolina	0.381	0.47	0.369	0.53	0.346	0.58	0.397	0.563	0.348	0.566963173
SD	South Dakota	0.49	0.577	0.607	0.682	0.578	0.647	0.529	0.593	0.443	0.586357295
TN	Tennessee	0.239	0.499	0.396	0.563	0.414	0.57	0.346	0.519	0.286	0.510859524
TX	Texas	0.299	0.492	0.342	0.537	0.309	0.541	0.321	0.496	0.283	0.514027875
UT	Utah	0.358	0.538	0.37	0.589	0.343	0.56	0.363	0.555	0.297	0.568019692
VT	Vermont	0.49	0.641	0.488	0.663	0.549	0.673	0.494	0.607	0.389	0.63666497
VA	Virginia	0.234	0.54	0.29	0.606	0.44	0.67	0.387	0.661	0.366	0.661113362
WA	Washington	0.484	0.607	0.418	0.669	0.473	0.666	0.532	0.648	0.412	0.647473408
WV	West Virginia	0.253	0.466	0.312	0.541	0.328	0.499	0.368	0.463	0.312	0.502043198
WI	Wisconsin	0.463	0.676	0.454	0.748	0.532	0.724	0.52	0.729	0.566	0.694539248
WY	Wyoming	0.499	0.592	0.501	0.657	0.511	0.628	0.455	0.586	0.39	0.595438622
