Code	States	Drugs 2016	GDP 2016	Population 2016	GeneralElections 2016
AL	Alabama	756	203354.7	4842481	0.588281798
AZ	Arizona	1382	310928.9	6733840	0.549469793
AR	Arkansas	401	119947.3	2967726	0.528310088
CA	California	4654	2665348.9	38625139	0.564894776
CO	Colorado	942	328513.8	5351218	0.699537843
CT	Connecticut	971	263239.9	3594783	0.636884401
DE	Delaware	282	70484.1	932596	0.641608986
FL	Florida	4728	938086.1	19860330	0.645161037
GA	Georgia	1394	538360.6	10069001	0.591200293
ID	Idaho	243	69203.4	1631479	0.591627233
IL	Illinois	2411	803680.2	12888962	0.616154846
IN	Indiana	1526	338711	6593533	0.563916203
IA	Iowa	314	180179.3	3109504	0.684293666
KS	Kansas	313	155580.4	2900896	0.576624792
KY	Kentucky	1419	195034.8	4414483	0.586198252
LA	Louisiana	996	227983.9	4644204	0.599518733
ME	Maine	353	59447.3	1330760	0.706676542
MD	Maryland	2044	384376.8	5958165	0.663890385
MA	Massachusetts	2227	519564.2	6763652	0.671994171
MI	Michigan	2347	490185	9930589	0.646749005
MN	Minnesota	672	338364.2	5451522	0.741168405
MS	Mississippi	352	106848.6	2990623	0.551905119
MO	Missouri	1371	295960.5	6056293	0.621658208
MT	Montana	119	45595.5	1021891	0.618149473
NE	Nebraska	120	116283.1	1879522	0.628228985
NV	Nevada	665	149739.6	2819012	0.573711608
NH	New Hampshire	481	78418.2	1333223	0.71375075
NJ	New Jersey	2056	582070.9	8866780	0.644208139
NM	New Mexico	500	90880	2090342	0.545108189
NY	New York	3638	1540969.7	19656330	0.56756004
NC	North Carolina	1956	518384	9933944	0.644891332
ND	North Dakota	77	51099.2	737382	0.607569284
OH	Ohio	4329	620931.2	11602973	0.629118449
OK	Oklahoma	813	178969.9	3878367	0.522994099
OR	Oregon	506	215336.1	3964106	0.661779353
PA	Pennsylvania	4627	724668.3	12789101	0.636196098
RI	Rhode Island	326	57860	1056017	0.590504924
SC	South Carolina	879	212460.2	4823793	0.566963173
SD	South Dakota	69	48492.9	849088	0.586357295
TN	Tennessee	1630	334618.1	6540826	0.510859524
TX	Texas	2831	1565698.8	26977142	0.514027875
UT	Utah	635	157474.7	2937399	0.568019692
VT	Vermont	125	31552.2	625218	0.63666497
VA	Virginia	1405	493699.5	8312076	0.661113362
WA	Washington	1102	492251.4	7052439	0.647473408
WV	West Virginia	884	70191.4	1849467	0.502043198
WI	Wisconsin	1074	312203.7	5751974	0.694539248
WY	Wyoming	99	35984.2	582548	0.595438622
