Code	States	Drugs 2016
AL	Alabama	756
AZ	Arizona	1382
AR	Arkansas	401
CA	California	4654
CO	Colorado	942
CT	Connecticut	971
DE	Delaware	282
FL	Florida	4728
GA	Georgia	1394
ID	Idaho	243
IL	Illinois	2411
IN	Indiana	1526
IA	Iowa	314
KS	Kansas	313
KY	Kentucky	1419
LA	Louisiana	996
ME	Maine	353
MD	Maryland	2044
MA	Massachusetts	2227
MI	Michigan	2347
MN	Minnesota	672
MS	Mississippi	352
MO	Missouri	1371
MT	Montana	119
NE	Nebraska	120
NV	Nevada	665
NH	New Hampshire	481
NJ	New Jersey	2056
NM	New Mexico	500
NY	New York	3638
NC	North Carolina	1956
ND	North Dakota	77
OH	Ohio	4329
OK	Oklahoma	813
OR	Oregon	506
PA	Pennsylvania	4627
RI	Rhode Island	326
SC	South Carolina	879
SD	South Dakota	69
TN	Tennessee	1630
TX	Texas	2831
UT	Utah	635
VT	Vermont	125
VA	Virginia	1405
WA	Washington	1102
WV	West Virginia	884
WI	Wisconsin	1074
WY	Wyoming	99
