code	name	DrugFatalities_2010	GDP_2010	GeneralElectionTurnout_2010	Population_2011
AL	Alabama	547	174753.0	0.43	4780138
AR	Arkansas	350	101690.0	0.375	2916028
AZ	Arizona	1098	248210.0	0.41	6392288
CA	California	4057	1974614.5	0.44	37254523
CO	Colorado	654	255140.5	0.506	5029316
CT	Connecticut	363	237653.4	0.45899999999999996	3574147
DE	Delaware	145	57447.4	0.475	897934
FL	Florida	3061	737791.1	0.41700000000000004	18804580
GA	Georgia	1054	416883.8	0.39799999999999996	9688709
IA	Iowa	253	141482.0	0.499	3046872
ID	Idaho	178	55170.7	0.423	1567657
IL	Illinois	1288	662637.8	0.424	12831572
IN	Indiana	927	280120.7	0.371	6484061
KS	Kansas	269	127744.8	0.41700000000000004	2853126
KY	Kentucky	1007	164605.5	0.424	4339333
LA	Louisiana	591	225677.0	0.389	4533485
MA	Massachusetts	738	409762.5	0.489	6547790
MD	Maryland	650	316451.5	0.46399999999999997	5773798
ME	Maine	135	51710.7	0.552	1328369
MI	Michigan	1394	386625.9	0.445	9884117
MN	Minnesota	397	271821.2	0.5539999999999999	5303925
MO	Missouri	998	258544.1	0.445	5988952
MS	Mississippi	334	95208.4	0.37	2968118
MT	Montana	118	38054.6	0.475	989409
NC	North Carolina	1093	415206.4	0.392	9535736
ND	North Dakota	23	35426.3	0.462	672576
NE	Nebraska	117	91812.8	0.375	1826305
NH	New Hampshire	160	64151.6	0.457	1316464
NJ	New Jersey	868	495149.0	0.364	8791962
NM	New Mexico	478	83989.2	0.428	2059180
NV	Nevada	578	123598.1	0.413	2700679
NY	New York	1557	1213946.9	0.355	19378124
OH	Ohio	1835	497208.2	0.449	11536757
OK	Oklahoma	717	152911.4	0.38799999999999996	3751583
OR	Oregon	503	163827.6	0.527	3831075
PA	Pennsylvania	1916	599312.8	0.41700000000000004	12702873
RI	Rhode Island	167	49571.8	0.44799999999999995	1052957
SC	South Carolina	678	163856.8	0.397	4625381
SD	South Dakota	45	37484.4	0.529	814198
TN	Tennessee	1080	255935.8	0.34600000000000003	6346286
TX	Texas	2399	1237196.8	0.321	25146114
UT	Utah	129	117960.5	0.363	2763891
VA	Virginia	63	422902.0	0.387	8001055
VT	Vermont	433	27108.4	0.494	625744
WA	Washington	558	365551.9	0.532	6724540
WI	Wisconsin	512	254354.1	0.52	5687282
WV	West Virginia	916	65274.1	0.368	1853001
WY	Wyoming	630	37401.2	0.455	563773
