Country Code	20200326T00:00:00Z	20200327T00:00:00Z	20200328T00:00:00Z	20200329T00:00:00Z	20200330T00:00:00Z	20200331T00:00:00Z	20200401T00:00:00Z	20200402T00:00:00Z	20200403T00:00:00Z	20200404T00:00:00Z	20200405T00:00:00Z	20200406T00:00:00Z	20200407T00:00:00Z	20200408T00:00:00Z	20200409T00:00:00Z	20200410T00:00:00Z	20200411T00:00:00Z	20200412T00:00:00Z	20200413T00:00:00Z	20200414T00:00:00Z	20200415T00:00:00Z	20200416T00:00:00Z	20200417T00:00:00Z	20200418T00:00:00Z	20200419T00:00:00Z	20200420T00:00:00Z	20200421T00:00:00Z	20200422T00:00:00Z	20200423T00:00:00Z	20200424T00:00:00Z	20200425T00:00:00Z	20200426T00:00:00Z	20200427T00:00:00Z	20200428T00:00:00Z	20200429T00:00:00Z	20200430T00:00:00Z	20200501T00:00:00Z	20200502T00:00:00Z	20200503T00:00:00Z	20200504T00:00:00Z	20200505T00:00:00Z	20200506T00:00:00Z	20200507T00:00:00Z	20200508T00:00:00Z	20200509T00:00:00Z	20200510T00:00:00Z	20200511T00:00:00Z	20200512T00:00:00Z	20200513T00:00:00Z	20200514T00:00:00Z	20200515T00:00:00Z	20200516T00:00:00Z	20200517T00:00:00Z	20200518T00:00:00Z	20200519T00:00:00Z	20200520T00:00:00Z	20200521T00:00:00Z	20200522T00:00:00Z	20200523T00:00:00Z	20200524T00:00:00Z	20200525T00:00:00Z	20200526T00:00:00Z	20200527T00:00:00Z	20200528T00:00:00Z	20200529T00:00:00Z	20200530T00:00:00Z	20200531T00:00:00Z	20200601T00:00:00Z	20200602T00:00:00Z	20200603T00:00:00Z	20200604T00:00:00Z	20200605T00:00:00Z	20200606T00:00:00Z	20200607T00:00:00Z	20200608T00:00:00Z	20200609T00:00:00Z	20200610T00:00:00Z	20200611T00:00:00Z	20200612T00:00:00Z
AFG	80	91	106	114	114	166	192	235	269	270	299	337	367	423	484	521	521	555	665	714	784	794	845	908	996	996	1092	1176	1176	1226	1463	1463	1703	1827	1827	2171	2171	2469	2469	2469	3224	3392	3563	3563	4041	4402	4664	4967	5226	5339	6053	6402	6664	7072	7655	8145	8676	9216	9866	10582	11094	11831	12379	13016	13659	14443	15094	15750	16492	17267	17891	18969	19551	20342	20917	21222	22142	22890	23546
AUS	2799	2985	3635	3966	4245	4557	4860	4976	5350	5454	5635	5795	5844	5956	6052	6152	6289	6313	6322	6366	6416	6458	6468	6533	6606	6612	6625	6647	6661	6667	6687	6703	6713	6725	6738	6746	6762	6767	6783	6801	6825	6849	6875	6896	6914	6929	6941	6948	6964	6975	6989	7019	7036	7045	7060	7068	7079	7081	7095	7106	7109	7118	7133	7139	7150	7173	7185	7195	7204	7221	7229	7240	7251	7255	7260	7265	7267	7267	7285
BEL	4937	6235	7284	9134	10836	11899	12775	13964	15348	16770	18431	19691	20814	22194	23403	24983	26667	28018	29647	30589	31119	33573	34809	36138	37183	38496	39983	40956	41889	42797	44293	45325	46134	46687	47334	47859	48519	49032	49517	49906	50267	50509	50781	51420	52011	52596	53081	53449	53779	53981	54288	54644	54989	55280	55559	55791	55983	56235	56511	56810	57092	57342	57455	57592	57849	58061	58186	58381	58517	58615	58685	58767	58907	59072	59226	59348	59437	59569	59569
KHM	96	98	102	102	107	107	109	109	110	114	114	114	115	117	117	118	120	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	122	123	124	124	124	124	124	124	124	125	125	125	125	125	125	125	125	126	126	126	126	126	126
CAN	3555	3555	4018	4757	5655	6317	7695	9005	10114	11732	12938	13904	15806	17049	18433	19759	21226	22544	23702	24786	26146	27540	28884	30659	32400	33909	35383	37374	38923	40813	42739	44353	45778	47316	49014	50363	52056	53657	55572	59365	59844	61159	62458	63895	65399	66780	67996	69156	70342	71486	72536	73829	74993	76204	77306	78499	79502	80555	81765	82892	84081	85103	85998	86939	87902	88856	89741	90516	91351	92151	92748	93441	94070	94335	95057	95699	96244	96653	97125
CHN	81961	82093	82213	82341	82455	82545	82638	82724	82802	82875	82930	83005	83071	83161	83249	83305	83383	83485	83597	83696	83747	83797	84149	84180	84223	84239	84253	84288	84303	84312	84324	84338	84341	84347	84369	84373	84385	84391	84393	84401	84404	84406	84409	84415	84416	84430	84450	84451	84458	84464	84469	84478	84484	84494	84500	84505	84507	84520	84522	84525	84536	84543	84544	84547	84547	84565	84570	84588	84597	84602	84603	84614	84620	84629	84634	84638	84641	84652	84659
EGY	456	495	536	576	609	656	710	779	865	985	1070	1173	1322	1450	1560	1699	1794	1939	2065	2190	2350	2505	2673	2844	3032	3144	3333	3490	3659	4092	4092	4319	4782	5042	5268	5537	5895	5895	6193	6465	7201	7588	7588	7981	8476	9400	9746	9746	10431	10829	10829	11228	11719	12229	12764	14229	14229	15003	15786	16513	17265	17967	18756	19666	20793	22082	23449	24985	26384	27536	28615	29767	31115	32612	34079	35444	36829	38284	39726
FIN	880	958	1025	1218	1218	1313	1384	1446	1518	1615	1882	1927	2176	2308	2487	2605	2769	2905	2974	3064	3161	3237	3369	3489	3681	3783	3868	4014	4129	4284	4395	4475	4576	4695	4740	4906	4995	5051	5179	5254	5327	5412	5573	5673	5738	5880	5962	5984	6003	6054	6145	6228	6286	6347	6380	6399	6443	6493	6537	6568	6579	6599	6628	6692	6743	6776	6826	6859	6885	6887	6911	6911	6941	6964	6981	7001	7025	7040	7040
FRA	24920	28786	32542	37145	39642	43977	51477	56261	58327	63536	67757	69607	73488	77226	81095	85351	89683	92787	94382	97050	102533	105155	107778	108163	110721	111463	113513	116151	117961	119583	121338	122875	123279	124439	125464	127066	128121	128722	129458	129708	130242	131292	135468	135980	136578	137008	137073	137491	138161	138609	139152	139646	140008	140036	140497	140959	141312	141590	141949	142173	142204	142482	142704	142852	146122	146657	148436	148524	148775	147935	148263	148941	149495	150022	150315	150413	150748	151145	151145
DEU	36508	42288	48582	52547	57298	61913	67366	73522	79696	85778	91714	95391	99225	103228	108202	113525	117658	120479	123016	125098	127584	130450	133830	137439	139897	141672	143457	145694	148046	150383	152438	154175	155193	156337	157641	159119	159119	161703	162496	163175	163860	164897	166091	167300	168551	169218	169575	170508	171306	172239	173152	173772	174355	174697	175210	176007	176752	177212	177850	178281	178570	179002	179364	179717	180458	181196	181482	181815	182028	182370	182764	183271	183678	183979	184193	184543	184861	185416	185416
