Country Code	Country Name	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
AFG	Afghanistan	6971285594.68013	9747879531.86311	10109225813.6696	12439087076.7667	15856574731.4411	17804292964.1045	19907317065.6667	20561069558.2152	20484885119.7348	19907111418.9938	19046357714.4928
AGO	Angola	52381006892.038	65266452081.386	88538611205.1433	70307163678.1895	83799496611.6049	111789686464.26	128052853643.447	136709862831.308	145712200312.505	116193649124.475	101123851090.473
ALB	Albania	8896072918.9814	10677324144.4289	12881353507.8539	12044208085.864	11926957254.6288	12890866742.6533	12319784886.2038	12776280961.155	13228247844.1247	11386931489.7968	11883682170.8236
ARE	United Arab Emirates	222116541865.214	257916133424.098	315474615738.598	253547358747.447	289787338325.391	350666031313.819	374590605854.323	390107556160.654	403137100068.073	358135057862.492	357045064669.843
ARG	Argentina	232557260817.308	287530508430.568	361558037110.419	332976484577.619	423627422092.49	530163281574.658	545982375701.128	552025140252.246	526319673731.638	594749285413.212	554860945013.62
ARM	Armenia	6384451606.1421	9206301700.39619	11662040713.8753	8647936747.98704	9260284937.79782	10142111334.4961	10619320048.5857	11121465767.4067	11609512939.7543	10553337672.9872	10546135160.031
AUS	Australia	745521862833.184	851962785585.303	1052584601611.46	926448240318.068	1144260547872.81	1394280784777.68	1543411012579.91	1573696522006.77	1464955475993.76	1349034029453.37	1208039015868.39
AUT	Austria	335998557270.104	388691445387.353	430294287388.311	400172297860.517	391892746544.69	431120310088.82	409425234155.263	430068712971.867	441885415805.825	382065930307.978	390799991147.468
AZE	Azerbaijan	20982986344.3027	33050343782.7759	48852482960.0779	44291490420.5026	52902703376.1056	65951627200.2026	69683935845.2138	74164435946.4627	75244294275.1498	53074370486.0433	37867518957.1975
BDI	Burundi	1273375020.26862	1356199364.85882	1611835901.9063	1781455092.07114	2032135246.50004	2235820867.82743	2333308099.46249	2451625332.74584	2705783272.07443	3104394858.11518	2959185295.39019
BEL	Belgium	409813197842.178	471821105940.323	518625897172.99	484552792442.345	483548031197.108	527008453886.929	497884216568.867	520925468952.938	530770977633.615	455039563132.776	467545548764.571
BEN	Benin	5142380779.44103	5969535131.58016	7132787396.66547	7097198711.61023	6970240895.49888	7814081155.64988	8152554487.31321	9157355679.70205	9707432015.61441	8291155880.59505	8573159696.61128
BFA	Burkina Faso	5816310157.71765	6771277870.96412	8369637065.40255	8369175126.25316	8979966766.07232	10724063457.8326	11166063466.5623	11947176341.9966	12377391462.6377	10419303761.3524	10886363726.8422
BGD	Bangladesh	71819083683.7403	79611888213.148	91631278239.3237	102477791472.39	115279077465.226	128637938711.386	133355749482.478	149990451022.29	172885454931.453	195078678697.23	221415188000.475
BGR	Bulgaria	34130122490.8613	44411476557.0329	54409138498.3548	51884481410.3931	50610058210.3696	57418414504.0882	53903022339.0276	55555171009.772	56814543481.2102	50201314894.5817	53240950226.2443
BIH	Bosnia and Herzegovina	12864610993.5219	15778767669.6991	19112739664.4697	17613836209.9581	17176781336.7644	18644723860.9709	17226849297.07	18178503835.4491	18558343508.3435	16209702863.6235	16911088173.7458
BLR	Belarus	36954312354.3124	45277399813.6067	60763483146.0674	50874078052.2735	58665088956.0255	61757788944.7236	65685102554.8759	75527984234.2342	78813839984.3506	56454734396.5842	47749057078.1996
BLZ	Belize	1217442150	1290542550	1368625150	1335217500	1396731700	1486595750	1563827850	1608442150	1692955750	1762500450	1806646250
BOL	Bolivia	11451845341.1964	13120107688.0213	16674276951.8822	17339992165.2422	19649724655.4886	23963162983.7987	27084497539.7974	30659338929.0883	32996187988.4226	33000198263.3864	33941126193.9219
BRA	Brazil	1107640297889.95	1397084345950.39	1695824571927.15	1667019780934.28	2208871646202.82	2616201578192.25	2465188674415.03	2472806919901.67	2455993625159.37	1802214373741.32	1793989048409.29
BRN	Brunei Darussalam	11470703002.0769	12247694247.2298	14393099068.5859	10732366286.2643	13707370737.0737	18525319977.7407	19048495518.5659	18093829923.2737	17098342541.4365	12930394937.8137	11400653949.1783
BTN	Bhutan	897731524.929922	1196091805.02316	1258332337.28382	1264758197.96593	1585472534.10547	1820207625.80217	1823692109.61652	1798333725.83954	1958819095.68324	2059809919.89325	2219675780.89539
BWA	Botswana	10126940513.3125	10939053365.4786	10945070441.9283	10267133177.7334	12786654365.8738	15351972226.5024	14420393568.8596	14901750764.9811	16250750259.0212	14406496463.6055	15648632361.5749
CAF	Central African Republic	1460561215.4447	1697565948.65323	1985240986.18508	1981732633.92013	1986015906.25044	2195599556.73866	2169706564.05899	1518565298.35641	1702899386.14322	1583776805.96568	1755468136.86556
CAN	Canada	1315415197461.21	1464977190205.75	1549131208997.19	1371153004986.44	1613464422811.13	1788647906047.76	1824288757447.57	1842628005830.18	1799268695861.8	1559623393038.66	1535767736946.18
CHE	Switzerland	430921192375.179	479913034321.893	554363487120.303	541506500413.565	583782977866.405	699579638638.226	668043614122.87	688504173431.454	709182559935.301	679289166858.236	668745279604.532
CHL	Chile	154788024805.808	173605968179.255	179638496278.574	172389498444.621	218537551220.071	252251992029.442	267122320056.702	278384332694.359	260584090570.988	243999477737.94	250036180921.053
CHN	China	2752131773355.16	3552182311652.97	4598206091384	5109953609257.25	6100620488867.55	7572553836875.34	8560547314679.28	9607224481532.65	10482372109961.9	11064666282625.5	11190992550229.5
CIV	Cote d'Ivoire	17800887796.4987	20343635319.6174	24224903099.6283	24277493862.0625	24884505034.5564	25381616734.0693	26790579775.295	31273049200.243	35343298113.5131	39633467835.725	35389998638.9371
CMR	Cameroon	19356046327.8995	22365265025.66	26409781215.1844	26017925551.8426	26143818509.6421	29337006833.0825	29104437355.0395	32348149947.3727	34942948737.3967	30916218544.4404	32621535418.9031
COD	Congo, Dem. Rep.	14451902467.9315	16737071816.38	19788515873.8942	18648373312.4241	21565720044.4634	25839749198.8233	29306235826.3886	32679745297.6453	35909040265.9328	37917704900.0794	37134799974.5225
COG	Congo, Rep.	7731261310.93322	8394688284.06224	11859013280.9951	9593537550.75063	12007880438.6232	14425607179.6639	13677930123.5919	14085851348.069	14177437982.2619	8553154580.39951	9035848070.90357
COL	Colombia	161189825603.139	205706860699.301	241710969502.894	232494134119.684	286103648654.545	334454039093.586	370574421703.06	381866608838.8	381112119657.445	293481748240.779	282856115393.175
CRI	Costa Rica	22600431882.9744	26743874205.8521	30612932876.3523	30562361123.0103	37268635287.1516	42262697840.4212	46473128285.4629	49745088111.6217	50577769837.691	54775994478.4981	57157992434.219
CUB	Cuba	52742800000	58603900000	60806300000	62080000000	64328000000	68990000000	73141000000	77148000000	80656000000	87133000000	91370000000
CYP	Cyprus	20072788859.6161	23968765398.3028	27839724622.8212	25942664629.0636	25562264900.6622	27426994717.8204	25041397918.5404	24084559214.0202	23364707443.2798	19680625485.1946	20453761061.9469
CZE	Czech Republic	155463807112.889	189227050759.595	235718586901.129	206179982164.402	207477857918.919	227948349666.354	207376427020.815	209402444996.104	207818330723.835	186829940545.759	195305084919.138
DEU	Germany	3002446368084.31	3439953462907.2	3752365607148.09	3418005001389.27	3417094562648.95	3757698281117.55	3543983909148.01	3752513503278.41	3890606893346.69	3375611100742.22	3477796274496.8
DJI	Djibouti	768873684.032838	847918929.107984	999105339.267729	1049110684.72493	1128611700.3618	1239144501.77525	1353632941.5207	1324733711.82922	1455035088.74594	1633741922.68737	1764268468.93991
DNK	Denmark	282884912894.33	319423370134.284	353361056079.716	321241396034.248	321995350346.501	344003209695.606	327148899962.146	343584385594.132	352993633221.281	301298464861.385	306899653409.601
DOM	Dominican Republic	38116351526.2862	44169678153.1566	48288967303.4896	48376555305.6902	53982886258.2205	57811180659.4545	60657780260.6792	62661773591.7203	66065015410.0468	68802092020.9448	72342967648.3354
