Country Code	Country Name	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
AFG	Afghanistan	269.229693018123	366.230443242864	370.382293977374	444.18440407545	550.514973976336	599.29762975711	648.511069587633	647.966460473683	625.3395388285	590.076473832575	549.582759921642
AGO	Angola	2585.13352204929	3108.26864317894	4068.97845646361	3117.89694392484	3585.90555256868	4615.86747457004	5102.48996931589	5258.40737644433	5412.6923476178	4170.73035829413	3509.60421142273
ALB	Albania	2972.74292399799	3595.03805682893	4370.5399247769	4114.13489916342	4094.36020359235	4437.17779448652	4247.61434236292	4413.08288688408	4578.66793446159	3952.83078116586	4131.87234065272
ARE	United Arab Emirates	42372.2216623658	42672.6132294857	45758.9055356627	33072.5751663719	35037.8926731322	40434.3663503001	42086.689953233	43315.1414921653	44443.0615141941	39122.0497054272	38517.8003858029
ARG	Argentina	5878.76102735208	7193.61763973522	8953.35927526277	8161.30696648652	10276.2604977053	12726.9083594731	12969.7071238969	12976.6364245411	12245.2564487696	13698.2934384857	12654.3549989958
ARM	Armenia	2158.00290895457	3138.80870341248	4010.02699722693	2993.83253109033	3218.38165488465	3526.97814267659	3684.80481032649	3843.5912130934	3994.71235479566	3617.93574555176	3605.74311684256
AUS	Australia	36019.203051188	40905.4708936845	49535.2578737769	42709.8033034787	51936.8887116461	62411.7854473961	67864.6898624672	67990.2900304798	62327.5559390333	56561.4123818054	49896.6811009246
AUT	Austria	40635.2818159724	46855.7717452095	51708.7657541758	47963.1794023217	46858.0432733717	51374.9584066934	48567.69528642	50716.7087062864	51704.5411875921	44206.7842820834	44731.0108553361
AZE	Azerbaijan	2473.08181863536	3851.43786871172	5574.60380218613	4950.29479142375	5842.80578358576	7189.69122920765	7496.29464768263	7875.75695254288	7891.31314749986	5500.31038244408	3880.73873089556
BDI	Burundi	165.904748464318	170.815151502331	196.271807860329	209.853762116211	231.795536921138	247.229379111229	250.362736551083	255.372690981804	273.538284989312	304.374220715324	281.181337625778
BEL	Belgium	38852.3729277437	44403.7668991523	48424.5755963147	44880.5730196227	44380.1766327308	47702.8118941685	44740.5832481477	46582.6695503412	47351.9741788818	40361.1541907535	41260.9775511468
BEN	Benin	625.830091976463	706.053541900699	820.151349819346	793.452430030705	757.695907409377	825.942785363215	837.950500075362	915.328155408233	943.686575031401	783.963077800944	788.532442415695
BFA	Burkina Faso	420.582523292431	475.110012184526	569.761278420207	552.745552106433	575.446452687734	666.840410055466	673.822818226635	699.781537016479	703.821656461717	575.314454176311	583.830898212126
BGD	Bangladesh	494.050146576549	541.065148395087	615.777541053092	681.120536769049	757.671757176894	835.789340127412	856.342857027401	951.889453456343	1084.56542980269	1210.1588492338	1358.77918567012
BGR	Bulgaria	4490.20177692701	5885.94925197955	7261.75449200277	6969.55855668357	6843.26694975885	7813.80669236432	7378.02473005713	7646.83986554542	7864.76067225524	6993.78348267387	7469.45563823624
BIH	Bosnia and Herzegovina	3403.81529715873	4180.91353198174	5078.31457720914	4701.33442641347	4614.8290411405	5054.32534423757	4722.01340306727	5042.58221304612	5204.24371841169	4584.24254781755	4808.63604287112
