Country Code	Country Name	Rural 2016	Capita 2016	GDP 2016	Forest 2016
AFG	Afghanistan	25985093	549.582759921642	19046357714.4928	25985093
AGO	Angola	10329915	3509.60421142273	101123851090.473	10329915
ALB	Albania	1195854	4131.87234065272	11883682170.8236	1195854
ARE	United Arab Emirates	1300990	38517.8003858029	357045064669.843	1300990
ARG	Argentina	3671345	12654.3549989958	554860945013.62	3671345
ARM	Armenia	1079784	3605.74311684256	10546135160.031	1079784
AUS	Australia	3437935	49896.6811009246	1208039015868.39	3437935
AUT	Austria	3677700	44731.0108553361	390799991147.468	3677700
AZE	Azerbaijan	4388966	3880.73873089556	37867518957.1975	4388966
BDI	Burundi	9220389	281.181337625778	2959185295.39019	9220389
BEL	Belgium	235807	41260.9775511468	467545548764.571	235807
BEN	Benin	5846143	788.532442415695	8573159696.61128	5846143
BFA	Burkina Faso	13400446	583.830898212126	10886363726.8422	13400446
BGD	Bangladesh	105783264	1358.77918567012	221415188000.475	105783264
BGR	Bulgaria	1829783	7469.45563823624	53240950226.2443	1829783
BIH	Bosnia and Herzegovina	1845695	4808.63604287112	16911088173.7458	1845695
BLR	Belarus	2122548	5025.40506387702	47749057078.1996	2122548
BLZ	Belize	200008	4923.35892237174	1806646250	200008
BOL	Bolivia	3403770	3117.3304591216	33941126193.9219	3403770
BRA	Brazil	28984187	8639.36574344537	1793989048409.29	28984187
BRN	Brunei Darussalam	97377	26939.4180218582	11400653949.1783	97377
BTN	Bhutan	483222	2782.367966626	2219675780.89539	483222
BWA	Botswana	721591	6954.14412626757	15648632361.5749	721591
CAF	Central African Republic	2728378	382.07028106683	1755468136.86556	2728378
CAN	Canada	6781481	42348.9454605979	1535767736946.18	6781481
CHE	Switzerland	2198922	79866.0318745681	668745279604.532	2198922
CHL	Chile	2252689	13960.894209996	250036180921.053	2252689
CHN	China	596465626	8117.26746543179	11190992550229.5	596465626
CIV	Cote d'Ivoire	11876158	1493.50606064011	35389998638.9371	11876158
CMR	Cameroon	10505679	1391.75188266553	32621535418.9031	10505679
COD	Congo, Dem. Rep.	44637887	471.635945618558	37134799974.5225	44637887
COG	Congo, Rep.	1742728	1762.80991296879	9035848070.90357	1742728
COL	Colombia	9678138	5813.69451945762	282856115393.175	9678138
CRI	Costa Rica	1081472	11767.5042491362	57157992434.219	1081472
CUB	Cuba	2647509	7961.8458795073	91370000000	2647509
CYP	Cyprus	387534	23666.9735713776	20453761061.9469	387534
CZE	Czech Republic	2792682	18483.7164797716	195305084919.138	2792682
DEU	Germany	18755733	42232.5742082948	3477796274496.8	18755733
DJI	Djibouti	211761	1872.23462294105	1764268468.93991	211761
DNK	Denmark	707867	53578.7565680928	306899653409.601	707867
DOM	Dominican Republic	2189817	6793.53812543935	72342967648.3354	2189817
DZA	Algeria	11589373	3943.49754982175	160129866569.935	11589373
ECU	Ecuador	5974979	6099.31530342138	99937696000	5974979
EGY	Egypt, Arab Rep.	54798994	3479.28124621174	332927833278.038	54798994
ERI	Eritrea	2874049	582.775530237486	2607739837.39837	2874049
ESP	Spain	9371187	26616.757796551	1237255019653.86	9371187
EST	Estonia	413645	17736.8026953521	23337907618.5174	413645
ETH	Ethiopia	82059777	712.877949961138	73000980433.9486	82059777
FIN	Finland	809183	43433.032224358	238677672281.611	809183
FRA	France	13427447	36870.2191344563	2465134297438.91	13427447
GAB	Gabon	226507	7078.72954034874	14014369641.7689	226507
GBR	United Kingdom	11226025	40412.0336199885	2650850178102.14	11226025
GEO	Georgia	1568168	3865.78569331828	14378016729.1587	1568168
GHA	Ghana	12763826	1950.23437670724	55009730600.0307	12763826
GIN	Guinea	8000329	701.388642312075	8694360304.56367	8000329
GMB	Gambia, The	817072	707.528984503851	1442298542.44008	817072
GNB	Guinea-Bissau	1043427	648.898936600695	1178204501.38801	1043427
GNQ	Equatorial Guinea	352546	9218.98732353381	11260900825.8233	352546
GRC	Greece	2329011	17881.5266973956	192690813126.86	2329011
GRL	Greenland	7683	48159.6653203159	2705898955.68727	7683
GTM	Guatemala	8238336	4140.73763497611	68663653469.1246	8238336
GUY	Guyana	568517	4531.24352689057	3504024213.07506	568517
HND	Honduras	4026703	2375.09632686503	21643936938.9096	4026703
HRV	Croatia	1819891	12371.0021596835	51640880494.2725	1819891
HTI	Haiti	5055292	734.802591238931	7970649131.23416	5055292
HUN	Hungary	2867756	12820.0881963053	125816640420.569	2867756
IDN	Indonesia	120141832	3570.28461476538	932256495234.247	120141832
IND	India	884784815	1717.47387802989	2274229710530.47	884784815
IRL	Ireland	1771980	64100.4299522762	304819018067.107	1771980
IRN	Iran, Islamic Rep.	20968464	5219.1094080464	418976679728.567	20968464
IRQ	Iraq	11125801	4584.61743095832	170559560067.682	11125801
ISL	Iceland	21015	60529.926756911	20304098101.4115	21015
ISR	Israel	661802	37180.8498115363	317747542489.389	661802
ITA	Italy	18276159	30668.9814289997	1859383610248.72	18276159
JAM	Jamaica	1293786	4883.86027010431	14072135208.5664	1293786
JOR	Jordan	897734	4087.9375167203	38654727746.4789	897734
JPN	Japan	10849141	38972.3406391468	4949273341993.88	10849141
KAZ	Kazakhstan	7604467	7714.84184376024	137278320084.171	7604467
KEN	Kenya	35810675	1462.50374328664	70875223143.0362	35810675
KGZ	Kyrgyz Republic	3894285	1120.66651300848	6813092065.83507	3894285
KHM	Cambodia	12202912	1269.90723818939	20016747754.0192	12202912
KOR	Korea, Rep.	9448683	27608.2474287116	1414804158515.26	9448683
KWT	Kuwait	66543	27368.2866787596	110912280701.754	6250
LAO	Lao PDR	4478355	2338.69215683656	15805707154.2329	4478355
LBN	Lebanon	704822	8571.1262475123	51483909754.8922	704822
LBR	Liberia	2295192	710.436009357099	3277826000	2295192
LBY	Libya	1287600	4166.63052895261	26221660076.2226	1287600
LKA	Sri Lanka	17320519	3857.35131931132	81787420023.358	17320519
LSO	Lesotho	1601803	1054.26875375922	2323419619.1784	1601803
LTU	Lithuania	936019	14912.6865427932	42773029835.3222	936019
LUX	Luxembourg	55524	100738.684223143	58631324559.4484	55524
LVA	Latvia	626640	14070.4226525952	27571513793.3984	626640
MAR	Morocco	13630950	2892.77556054736	103345296966.607	13630950
MDA	Moldova	2041983	1913.23741416708	6795731286.20042	2041983
MDG	Madagascar	15968361	401.742265413689	10001193315.1966	15968361
MEX	Mexico	26047581	8450.49401034813	1077779580638.77	26047581
MKD	Macedonia, FYR	883201	5128.0228198066	10672471860.7184	883201
MLI	Mali	10656003	778.600425102067	14010787737.8424	10656003
MMR	Myanmar	36976290	1196.10320448535	63256184700.2223	36976290
MNE	Montenegro	210706	7028.94013201519	4374130530.97345	210706
MNG	Mongolia	959776	3695.16484928136	11186734674.3847	959776
MOZ	Mozambique	18760493	380.907305791185	10981358030.5316	18760493
MRT	Mauritania	2066123	1101.90162664331	4739298730.42216	2066123
MWI	Malawi	15105380	300.307748766344	5433040159.88747	15105380
MYS	Malaysia	7846716	9515.19431808728	296752886724.682	7846716
NAM	Namibia	1290418	4549.42164162487	11281259987.2185	1290418
NER	Niger	17305357	364.160507797334	7528285443.60769	17305357
NGA	Nigeria	95444304	2175.65627600394	404649527537.713	95444304
NIC	Nicaragua	2577435	2143.92589272044	13184989877.5664	2577435
NLD	Netherlands	1594889	45637.8867460287	777227541581.307	1594889
NOR	Norway	969171	70890.0355687386	371075238095.238	969171
NPL	Nepal	23492855	730.983328253608	21185922407.5922	23492855
NZL	New Zealand	638275	40331.9591048227	189285950470.754	638275
OMN	Oman	774333	15102.3823053534	66824447334.2003	774333
PAK	Pakistan	123198129	1442.28584033183	278654637737.69	123198129
PAN	Panama	1330170	14366.8528896202	57957594212.2216	1330170
PER	Peru	7136722	6031.36609086896	191639655121.33	7136722
PHL	Philippines	55302149	2950.91390303189	304889079564.142	55302149
PNG	Papua New Guinea	7029900	2353.51158866687	19028120012.7673	7029900
POL	Poland	15120448	12430.6296017676	471992087443.889	15120448
PRI	Puerto Rico	217949	30518.1827789063	103960800000	217949
PRK	Korea, Dem. People’s Rep.	9774276	1800	16120000000	9774276
PRT	Portugal	3708283	19871.7189725955	205184480409.024	3708283
PRY	Paraguay	2621122	5360.98593140985	36054281572.3981	2621122
QAT	Qatar	25313	59044.2472877865	151732142857.143	25313
ROU	Romania	9082775	9567.0977819133	188494136775.719	9082775
RUS	Russian Federation	37292301	8759.03611775209	1284727602174.3	37292301
RWA	Rwanda	9884858	711.195791311547	8475681532.52169	9884858
SAU	Saudi Arabia	5357441	19982.0856312059	644935541440	5357441
SDN	Sudan	26074136	2415.03816212562	95584380032.2061	26074136
SEN	Senegal	8276653	1231.14259536964	18973894458.795	8276653
SLE	Sierra Leone	4346889	480.793021078316	3556036534.56923	4346889
SLV	El Salvador	1871630	3768.83770478833	23912227500	1871630
SOM	Somalia	8044423	472.272693325142	6761998533.93861	8044423
SRB	Serbia	3119072	5426.19827887247	38299854688.1277	3119072
SUR	Suriname	189622	5645.33410410962	3152173913.04348	189622
SVK	Slovak Republic	2508703	16529.5409667954	89768598023.3903	2508703
SVN	Slovenia	949506	21650.2127554094	44708598648.8562	949506
SWE	Sweden	1304687	51844.7612618627	514459972806.171	1304687
SWZ	Eswatini	1028021	2842.25722918208	3817430000	1028021
SYR	Syrian Arab Republic	8692723	2058.03520939435	40405006007.2086	8692723
TCD	Chad	11175140	698.210886304957	10090922857.3905	11175140
TGO	Togo	4516056	586.052253668457	4457732624.94515	4516056
THA	Thailand	35500519	5979.29354625548	411755164832.674	35500519
TJK	Tajikistan	6389529	795.960747465436	6952678127.03396	6389529
TKM	Turkmenistan	2790049	6389.35432554696	36180000000	2790049
TLS	Timor-Leste	889973	1987.11880385064	2521000000	889973
TUN	Tunisia	3609584	3666.3571544062	41808379888.2682	3609584
TUR	Turkey	20566684	10862.7264255339	863721731068.508	20566684
