code	name	GDP_2014	GDPCapita_2014	ForestArea_2014	RuralPopulation_2014
-A	Obstacle1	201811712220.0	1380.62990066371	10130831.322	10130831.322
-B	Obstacle2	10797100879860.0	73864.8919393088	542008224.286	542008224.286
-C	Obstacle3	5787011844540.0	39589.979690362	290504650.15400004	290504650.15400004
-D	Obstacle4	2971058782320.0	20325.542786282298	149145433.83200002	149145433.83200002
-E	Obstacle5	7505025539760.0	51343.217653007	376747944.77599996	376747944.77599996
-F	Obstacle6	8960230891260.0	61298.5368849085	449798412.426	449798412.426
-G	Obstacle7	26489965680.0	181.222577634615	1329780.9679999999	1329780.9679999999
-H	Obstacle8	26489965680.0	181.222577634615	1329780.9679999999	1329780.9679999999
-I	Obstacle9	31718248380.0	216.99019164144698	1592237.7380000001	1592237.7380000001
-J	Obstacle10	324676355670.0	2221.1688298242602	16298565.417000001	16298565.417000001
-K	Obstacle11	68490503370.0	468.555743489498	3438183.687	3438183.687
-L	Obstacle12	52979931360.0	362.44515526923	2659561.9359999998	2659561.9359999998
-M	Obstacle13	125827336980.0	860.807243764421	6316459.597999999	6316459.597999999
-N	Obstacle14	814217892480.0	5570.20975466395	40873267.648	40873267.648
-O	Obstacle15	432727531470.0	2960.36618596545	21722671.996999998	21722671.996999998
AFG	Afghanistan	20484885119.7348	625.3395388284999	24703806.0	24703806.0
AGO	Angola	145712200312.505	5412.6923476178	10032988.0	10032988.0
ALB	Albania	13228247844.1247	4578.6679344615895	1258985.0	1258985.0
ARE	United Arab Emirates	403137100068.073	44443.0615141941	1326614.0	1326614.0
ARG	Argentina	526319673731.63794	12245.2564487696	3706296.0	3706296.0
ARM	Armenia	11609512939.7543	3994.7123547956603	1072046.0	1072046.0
AUS	Australia	1464955475993.76	62327.5559390333	3384126.0	3384126.0
AUT	Austria	441885415805.825	51704.5411875921	3629979.0	3629979.0
AZE	Azerbaijan	75244294275.1498	7891.31314749986	4345898.0	4345898.0
BDI	Burundi	2705783272.07443	273.538284989312	8726933.0	8726933.0
BEL	Belgium	530770977633.615	47351.9741788818	242900.0	242900.0
BEN	Benin	9707432015.614408	943.686575031401	5640616.0	5640616.0
BFA	Burkina Faso	12377391462.6377	703.8216564617171	12849370.0	12849370.0
BGD	Bangladesh	172885454931.453	1084.56542980269	105948719.0	105948719.0
BGR	Bulgaria	56814543481.2102	7864.76067225524	1903435.0	1903435.0
BIH	Bosnia and Herzegovina	18558343508.3435	5204.24371841169	1895687.0	1895687.0
BLR	Belarus	78813839984.3506	8318.51268992675	2208224.0	2208224.0
BLZ	Belize	1692955750.0	4813.7180332903	192254.0	192254.0
BOL	Bolivia	32996187988.4226	3124.00030982516	3374927.0	3374927.0
BRA	Brazil	2455993625159.37	12026.619390631298	29627241.0	29627241.0
BRN	Brunei Darussalam	17098342541.4365	41530.6689792581	97442.0	97442.0
BTN	Bhutan	1958819095.68324	2522.7949530209803	482034.0	482034.0
BWA	Botswana	16250750259.0212	7493.752923706591	729334.0	729334.0
CAF	Central African Republic	1702899386.14322	377.13212632330004	2711087.0	2711087.0
CAN	Canada	1799268695861.8	50633.2088224323	6674249.0	6674249.0
CHE	Switzerland	709182559935.3009	86605.5633762421	2153942.0	2153942.0
CHL	Chile	260584090570.988	14794.315829612	2236424.0	2236424.0
CHN	China	10482372109961.9	7683.502613091179	624030741.0	624030741.0
CIV	Cote d'Ivoire	35343298113.5131	1568.62762832733	11487834.0	11487834.0
CMR	Cameroon	34942948737.3967	1571.1825346636701	10235693.0	10235693.0
COD	Congo, Dem. Rep.	35909040265.9328	487.081486881176	42626558.0	42626558.0
COG	Congo, Rep.	14177437982.2619	2910.52022576864	1700745.0	1700745.0
COL	Colombia	381112119657.445	7974.406373025029	9837965.0	9837965.0
CRI	Costa Rica	50577769837.690994	10630.9979007564	1144625.0	1144625.0
CUB	Cuba	80656000000.0	7050.493248682429	2647048.0	2647048.0
CYP	Cyprus	23364707443.2798	27400.802986103998	379905.0	379905.0
