Alpha2,Alpha3,Numericcode,Latitude(average),Longitude(average)
AF,AFG,4,33,65
AL,ALB,8,41,20
DZ,DZA,12,28,3
AS,ASM,16,-14.3333,-170
AD,AND,20,42.5,1.6
AO,AGO,24,-12.5,18.5
AI,AIA,660,18.25,-63.1667
AQ,ATA,10,-90,0
AG,ATG,28,17.05,-61.8
AR,ARG,32,-34,-64
AM,ARM,51,40,45
AW,ABW,533,12.5,-69.9667
AU,AUS,36,-27,133
AT,AUT,40,47.3333,13.3333
AZ,AZE,31,40.5,47.5
BS,BHS,44,24.25,-76
BH,BHR,48,26,50.55
BD,BGD,50,24,90
BB,BRB,52,13.1667,-59.5333
BY,BLR,112,53,28
BE,BEL,56,50.8333,4
BZ,BLZ,84,17.25,-88.75
BJ,BEN,204,9.5,2.25
BM,BMU,60,32.3333,-64.75
BT,BTN,64,27.5,90.5
BO,BOL,68,-17,-65
BO,BOL,68,-17,-65
BA,BIH,70,44,18
BW,BWA,72,-22,24
BV,BVT,74,-54.4333,3.4
BR,BRA,76,-10,-55
IO,IOT,86,-6,71.5
BN,BRN,96,4.5,114.6667
BN,BRN,96,4.5,114.6667
BG,BGR,100,43,25
BF,BFA,854,13,-2
BI,BDI,108,-3.5,30
KH,KHM,116,13,105
CM,CMR,120,6,12
CA,CAN,124,60,-95
CV,CPV,132,16,-24
KY,CYM,136,19.5,-80.5
CF,CAF,140,7,21
TD,TCD,148,15,19
CL,CHL,152,-30,-71
CN,CHN,156,35,105
CX,CXR,162,-10.5,105.6667
CC,CCK,166,-12.5,96.8333
CO,COL,170,4,-72
KM,COM,174,-12.1667,44.25
CG,COG,178,-1,15
CD,COD,180,0,25
CK,COK,184,-21.2333,-159.7667
CR,CRI,188,10,-84
CI,CIV,384,8,-5
CI,CIV,384,8,-5
HR,HRV,191,45.1667,15.5
CU,CUB,192,21.5,-80
CY,CYP,196,35,33
CZ,CZE,203,49.75,15.5
DK,DNK,208,56,10
DJ,DJI,262,11.5,43
DM,DMA,212,15.4167,-61.3333
DO,DOM,214,19,-70.6667
EC,ECU,218,-2,-77.5
EG,EGY,818,27,30
SV,SLV,222,13.8333,-88.9167
GQ,GNQ,226,2,10
ER,ERI,232,15,39
EE,EST,233,59,26
ET,ETH,231,8,38
FK,FLK,238,-51.75,-59
FO,FRO,234,62,-7
FJ,FJI,242,-18,175
FI,FIN,246,64,26
FR,FRA,250,46,2
GF,GUF,254,4,-53
PF,PYF,258,-15,-140
TF,ATF,260,-43,67
GA,GAB,266,-1,11.75
GM,GMB,270,13.4667,-16.5667
GE,GEO,268,42,43.5
DE,DEU,276,51,9
GH,GHA,288,8,-2
GI,GIB,292,36.1833,-5.3667
GR,GRC,300,39,22
GL,GRL,304,72,-40
GD,GRD,308,12.1167,-61.6667
GP,GLP,312,16.25,-61.5833
GU,GUM,316,13.4667,144.7833
GT,GTM,320,15.5,-90.25
GG,GGY,831,49.5,-2.56
GN,GIN,324,11,-10
GW,GNB,624,12,-15
GY,GUY,328,5,-59
HT,HTI,332,19,-72.4167
HM,HMD,334,-53.1,72.5167
VA,VAT,336,41.9,12.45
HN,HND,340,15,-86.5
HK,HKG,344,22.25,114.1667
HU,HUN,348,47,20
IS,ISL,352,65,-18
IN,IND,356,20,77
ID,IDN,360,-5,120
IR,IRN,364,32,53
