Country Code	Country Name	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
AFG	Afghanistan	19962037	20464853	20929063	21415472	21966159	22593984	23280573	23997724	24703806	25368831	25985093
AGO	Angola	8760651	8918978	9077595	9237647	9398363	9559552	9720241	9878849	10032988	10183690	10329915
ALB	Albania	1561661	1517619	1473922	1432259	1393502	1358266	1324613	1291587	1258985	1226200	1195854
ARE	United Arab Emirates	909597	1026101	1145346	1246402	1316114	1350911	1357408	1344995	1326614	1311445	1300990
ARG	Argentina	3876771	3850731	3824212	3798017	3772398	3753285	3737769	3722669	3706296	3689207	3671345
ARM	Armenia	1069823	1063555	1057429	1053178	1051945	1054188	1059395	1065853	1072046	1076792	1079784
AUS	Australia	3166779	3161213	3199492	3240089	3264665	3283984	3319947	3355693	3384126	3410424	3437935
AUT	Austria	3428840	3463449	3497858	3530644	3562894	3598756	3612504	3617832	3629979	3654565	3677700
AZE	Azerbaijan	4022610	4051232	4119674	4188204	4218775	4252916	4286937	4318074	4345898	4369801	4388966
BDI	Burundi	6937201	7156414	7381347	7608209	7833953	8056409	8276462	8497893	8726933	8967402	9220389
BEL	Belgium	268551	265111	261859	258792	255937	254319	251053	247252	242900	239464	235807
BEN	Benin	4843942	4941149	5038210	5136050	5235022	5335135	5436168	5538264	5640616	5743271	5846143
BFA	Burkina Faso	10739877	10974626	11232646	11495274	11761184	12029907	12301311	12574743	12849370	13124769	13400446
BGD	Bangladesh	105367090	105591498	105699746	105756119	105801443	105852920	105905297	105947785	105948719	105896086	105783264
BGR	Bulgaria	2209465	2167172	2126239	2087198	2048433	2010650	1974416	1938841	1903435	1866995	1829783
BIH	Bosnia and Herzegovina	2105844	2090758	2072990	2051654	2026377	1996488	1962768	1927990	1895687	1867942	1845695
BLR	Belarus	2611003	2555356	2503383	2455407	2403775	2350483	2300156	2253002	2208224	2165435	2122548
BLZ	Belize	159050	163291	167589	171892	176151	180305	184357	188329	192254	196150	200008
BOL	Bolivia	3283701	3296763	3308590	3319536	3329554	3338552	3346618	3359389	3374927	3389758	3403770
BRA	Brazil	31861822	31618729	31361022	31097605	30828136	30536157	30238579	29938261	29627241	29308408	28984187
BRN	Brunei Darussalam	98009	97869	97650	97447	97317	97282	97315	97384	97442	97442	97377
BTN	Bhutan	459051	463910	467982	471471	474473	477000	479105	480786	482034	482841	483222
BWA	Botswana	821528	805432	789362	773401	757348	741251	736107	732802	729334	725611	721591
CAF	Central African Republic	2596981	2636501	2672152	2700057	2717871	2724411	2721731	2714956	2711087	2715067	2728378
CAN	Canada	6444726	6447349	6456994	6470810	6482425	6492159	6554995	6616379	6674249	6715371	6781481
CHE	Switzerland	1982943	1998781	2022351	2045843	2065228	2086420	2106933	2129601	2153942	2176779	2198922
CHL	Chile	2147358	2160411	2172884	2184966	2196561	2207294	2217552	2227229	2236424	2245203	2252689
CHN	China	735901746	722214159	708173810	693852712	679206337	665196496	651507733	637792141	624030741	610192900	596465626
CIV	Cote d'Ivoire	10162769	10292857	10433177	10584217	10745381	10917591	11100834	11292222	11487834	11682719	11876158
CMR	Cameroon	9103180	9244419	9387329	9530884	9673907	9816161	9957420	10097410	10235693	10371897	10505679
COD	Congo, Dem. Rep.	35073064	35944326	36842391	37763325	38705570	39665236	40640860	41629308	42626558	43630184	44637887
COG	Congo, Rep.	1481578	1515228	1549626	1582381	1611846	1637579	1660180	1680710	1700745	1721350	1742728
COL	Colombia	10335148	10287801	10235756	10179129	10118512	10054000	9985285	9913147	9837965	9759559	9678138
CRI	Costa Rica	1424703	1390627	1355872	1320671	1284678	1248201	1212585	1178012	1144625	1112441	1081472
CUB	Cuba	2685453	2676713	2667632	2659306	2652274	2646883	2642820	2644541	2647048	2648049	2647509
CYP	Cyprus	333256	340579	347841	354733	361030	366629	371608	375919	379905	383752	387534
CZE	Czech Republic	2709931	2733000	2762927	2786024	2801381	2814526	2817206	2808362	2801426	2797131	2792682
DEU	Germany	19622894	19432962	19234290	19025087	18836498	18334806	18361215	18403327	18472108	18624547	18755733
DJI	Djibouti	184665	187352	190106	192942	195772	198611	201457	204248	206934	209438	211761
DNK	Denmark	755890	748599	742353	737112	732572	726570	718964	713546	710514	708958	707867
DOM	Dominican Republic	2932292	2849405	2765681	2682031	2597924	2524121	2457295	2390504	2323625	2256656	2189817
DZA	Algeria	11959746	11885662	11818828	11765411	11723785	11695364	11677344	11664124	11647553	11623348	11589373
ECU	Ecuador	5320632	5383298	5446731	5509963	5572133	5638236	5707127	5775195	5842644	5909162	5974979
EGY	Egypt, Arab Rep.	44493601	45274195	46096759	46972901	47925355	48961610	50100976	51286331	52480981	53655181	54798994
ERI	Eritrea	2763247	2782026	2793540	2819605	2846362	2874049	2874049	2874049	2874049	2874049	2874049
ESP	Spain	9988509	10067486	10120932	10102486	10041047	9968815	9868179	9728205	9590865	9473817	9371187
EST	Estonia	422804	422596	423176	424069	424820	425245	423607	420151	417118	415458	413645
ETH	Ethiopia	66314218	67946383	69451066	70972365	72513445	74076964	75656319	77262329	78869034	80469700	82059777
FIN	Finland	893317	890197	887391	884704	870472	845258	820704	809047	809669	809601	809183
FRA	France	14393065	14326191	14247473	14159842	14066100	13968978	13868661	13770620	13665094	13548420	13427447
GAB	Gabon	244077	242113	240310	238727	237289	236033	234816	233410	231632	229343	226507
GBR	United Kingdom	12048279	11970758	11893520	11813186	11736055	11658619	11569885	11477670	11394531	11315488	11226025
GEO	Georgia	1902891	1862249	1822970	1784133	1745696	1708139	1671410	1635574	1600113	1581700	1568168
GHA	Ghana	11501635	11652246	11800528	11944505	12081281	12210700	12333078	12449131	12559431	12664376	12763826
GIN	Guinea	6666110	6782779	6905563	7031595	7158909	7286964	7417002	7551291	7692942	7842447	8000329
GMB	Gambia, The	704493	715981	727391	738835	750265	761694	773022	784263	795372	806303	817072
GNB	Guinea-Bissau	868156	882989	898500	914778	931801	949584	968009	986869	1005850	1024727	1043427
GNQ	Equatorial Guinea	321395	322608	323529	324025	323946	323264	321964	330066	337890	345376	352546
GRC	Greece	2774156	2740132	2706538	2673237	2636648	2593105	2539911	2483072	2428790	2375617	2329011
GRL	Greenland	9554	9342	9132	8963	8887	8673	8408	8161	7987	7816	7683
GTM	Guatemala	7072281	7191554	7310343	7429539	7548856	7668646	7788239	7905565	8020060	8130928	8238336
GUY	Guyana	542846	543379	544026	545333	547718	551338	554275	557948	561750	565311	568517
HND	Honduras	3827641	3861309	3891770	3919081	3942917	3963419	3980472	3994875	4006960	4017588	4026703
HRV	Croatia	2020955	2011682	2003555	1993661	1981154	1912496	1898807	1885015	1868155	1843070	1819891
HTI	Haiti	5306557	5297001	5284291	5268527	5248899	5225514	5198418	5167902	5133567	5095573	5055292
HUN	Hungary	3334127	3276073	3217942	3161144	3108907	3055537	3008052	2972574	2937544	2903693	2867756
IDN	Indonesia	122416423	122237753	122011690	121742928	121470632	121391796	121265866	121088901	120842853	120528146	120141832
IND	India	818392527	826885768	835057853	842861327	850238363	857150489	863507600	869383944	874855900	879985357	884784815
IRL	Ireland	1677897	1718227	1744592	1753285	1753744	1752249	1750490	1750530	1754105	1761447	1771980
IRN	Iran, Islamic Rep.	22622687	22427604	22248485	22073110	21903461	21741576	21594312	21453473	21304294	21143221	20968464
IRQ	Iraq	8636486	8837090	9045791	9273321	9504752	9750358	10019142	10302170	10586539	10863226	11125801
ISL	Iceland	20782	20943	20965	20667	20437	20458	20526	20614	20733	20841	21015
ISR	Israel	593922	600185	606484	616589	623153	629651	636004	642262	648712	655408	661802
ITA	Italy	18689801	18715453	18770433	18787007	18774936	18737779	18645458	18685173	18679287	18483353	18276159
JAM	Jamaica	1297386	1299363	1301006	1302300	1303157	1303547	1303106	1301850	1299845	1297166	1293786
JOR	Jordan	1129284	1091798	1058360	1028079	999214	971714	944322	914964	880931	892482	897734
JPN	Japan	16470152	15173239	13955025	12818785	11767072	11416765	11297719	11182024	11067921	10958283	10849141
KAZ	Kazakhstan	6653506	6718746	6789663	6959341	7046642	7136154	7225132	7317450	7413562	7509900	7604467
KEN	Kenya	28883926	29547048	30222577	30909013	31603508	32303169	33007327	33712480	34416474	35116380	35810675
KGZ	Kyrgyz Republic	3376879	3409340	3441997	3483856	3524464	3565079	3620962	3688170	3756020	3825700	3894285
KHM	Cambodia	10874856	11021637	11163955	11282030	11404924	11533923	11668257	11805583	11941910	12074582	12202912
KOR	Korea, Rep.	8947521	8942697	8960824	8956768	8951455	9027046	9110771	9188649	9283086	9369405	9448683
KWT	Kuwait	149400	149400	149400	149400	149400	149400	149400	149400	149400	149400	149400
LAO	Lao PDR	4226277	4265045	4303531	4338723	4368394	4391640	4409531	4424612	4439923	4457661	4478355
LBN	Lebanon	537112	535286	532709	535988	549342	574280	607864	644212	675363	695975	704822
LBR	Liberia	1809584	1870917	1938163	2003149	2060408	2108631	2150034	2186651	2221845	2257910	2295192
LBY	Libya	1337850	1347093	1353952	1356609	1354003	1345414	1331882	1316272	1302304	1292506	1287600
LKA	Sri Lanka	16072874	16190962	16304321	16412989	16517001	16615449	16708467	16838942	16986939	17138447	17320519
LSO	Lesotho	1517098	1520335	1524027	1528683	1534535	1541726	1552733	1564709	1577109	1589492	1601803
LTU	Lithuania	1088684	1073533	1060278	1048760	1029629	1007121	990028	976451	964514	951939	936019
LUX	Luxembourg	61400	60436	59615	58848	58061	57505	57082	56651	56277	55941	55524
LVA	Latvia	710606	706304	700357	689318	674553	661805	653077	645557	638967	633204	626640
MAR	Morocco	13660920	13640402	13622668	13611061	13606215	13609796	13619520	13631382	13639379	13639770	13630950
MDA	Moldova	2052747	2049104	2046315	2044838	2043901	2043824	2044659	2045215	2045071	2043968	2041983
MDG	Madagascar	13324749	13595110	13863552	14130780	14396229	14659770	14921477	15182369	15443299	15705385	15968361
MEX	Mexico	25744002	25811829	25889887	25965575	26027207	26067614	26092873	26101387	26095232	26078310	26047581
MKD	Macedonia, FYR	879251	882694	885355	887289	888575	889218	889243	888645	887423	885619	883201
MLI	Mali	8884354	9078961	9274246	9465075	9648205	9822060	9988322	10150665	10314089	10482315	10656003
MMR	Myanmar	35104984	35246685	35374559	35510382	35668365	35854737	36064801	36293101	36528662	36756982	36976290
MNE	Montenegro	228771	227018	225348	223773	222127	220302	218427	216571	214705	212741	210706
MNG	Mongolia	932779	918384	904576	891742	879794	884707	899708	915331	930881	945754	959776
MOZ	Mozambique	15044008	15451105	15802646	16154445	16511732	16874728	17242868	17615866	17993371	18375013	18760493
MRT	Mauritania	1835837	1858736	1881372	1904405	1927929	1952038	1976403	2000471	2023710	2045625	2066123
MWI	Malawi	11395535	11732297	12084025	12444286	12809522	13178458	13551999	13930440	14315293	14706824	15105380
MYS	Malaysia	8501103	8424417	8343431	8260911	8177303	8129799	8087509	8041610	7987149	7922580	7846716
NAM	Namibia	1282572	1277109	1272314	1269380	1268784	1270947	1274753	1279738	1284461	1287973	1290418
NER	Niger	11837299	12287080	12757088	13248106	13761185	14297435	14856981	15439826	16042569	16664305	17305357
NGA	Nigeria	85649746	86651059	87649521	88645380	89628433	90615032	91601955	92585065	93555829	94508021	95444304
NIC	Nicaragua	2390899	2411614	2432211	2452440	2471983	2490800	2508996	2526645	2543921	2560841	2577435
NLD	Netherlands	2674876	2532774	2400728	2266647	2137737	2023367	1912076	1817063	1738782	1664686	1594889
NOR	Norway	1027679	1024994	1023926	1022966	1021756	1017612	1010038	1001397	991897	981422	969171
NPL	Nepal	21929680	22077882	22211922	22346470	22491897	22652019	22822801	22999727	23173509	23338536	23492855
NZL	New Zealand	569106	576971	584445	592898	602137	609376	610037	612077	618686	627727	638275
OMN	Oman	698260	704913	715136	731575	755468	771020	777328	783791	786442	783265	774333
PAK	Pakistan	103392982	105199274	107039935	108928020	110869235	112867920	114916617	116999289	119085443	121154289	123198129
PAN	Panama	1221900	1234114	1246165	1258118	1270027	1281521	1292571	1303081	1312871	1321919	1330170
PER	Peru	6869817	6845990	6859181	6890468	6923368	6958778	6995674	7033477	7070288	7104620	7136722
PHL	Philippines	47746372	48629235	49500604	50379344	51238471	51905516	52586963	53275284	53962119	54637959	55302149
PNG	Papua New Guinea	5623249	5761454	5901120	6041708	6182817	6324333	6466165	6607463	6748464	6889297	7029900
POL	Poland	14745032	14779722	14824820	14877599	14877776	14928409	14976333	15014846	15051507	15088963	15120448
PRI	Puerto Rico	226182	227018	227833	228763	229804	229075	228028	226867	224429	221450	217949
PRK	Korea, Dem. People’s Rep.	9652350	9690513	9724324	9737506	9743929	9751216	9758191	9765019	9770768	9775202	9774276
PRT	Portugal	4404945	4349078	4290949	4231103	4169291	4099817	4020561	3936962	3855050	3779248	3708283
PRY	Paraguay	2473127	2488724	2502781	2516274	2529842	2543695	2557620	2573558	2589974	2605854	2621122
QAT	Qatar	23532	24780	25856	26471	26677	27290	27488	27343	26878	26180	25313
ROU	Romania	9896426	9723952	9536351	9430554	9348183	9275922	9231911	9205089	9178039	9137513	9082775
RUS	Russian Federation	37896681	37767662	37686835	37635360	37587976	37552961	37531727	37508401	37465023	37393138	37292301
RWA	Rwanda	7649103	7848807	8065061	8288264	8511642	8734859	8960898	9189940	9420390	9652064	9884858
SAU	Saudi Arabia	4619737	4690160	4760391	4834528	4913584	4997565	5084295	5168417	5244353	5307912	5357441
SDN	Sudan	21235838	21672551	22106876	22548270	23007992	23489304	23988903	24502616	25024387	25548517	26074136
SEN	Senegal	6688592	6823140	6962724	7108965	7262408	7423504	7591335	7763493	7936940	8108245	8276653
SLE	Sierra Leone	3666954	3748266	3817783	3882955	3949120	4016735	4083884	4150755	4216915	4282220	4346889
SLV	El Salvador	2290136	2264634	2219384	2174437	2129755	2085345	2041377	1997998	1955083	1912681	1871630
SOM	Somalia	6741821	7240877	7275086	7300517	7315101	7318788	7459406	7601398	7745858	7893559	8044423
SRB	Serbia	3401540	3371315	3340676	3311055	3281657	3239791	3213956	3190260	3167188	3143538	3119072
SUR	Suriname	168363	170512	172683	174866	177065	179273	181489	183704	185808	187781	189622
SVK	Slovak Republic	2395737	2404552	2414684	2426037	2443126	2460583	2472345	2482582	2492579	2500969	2508703
SVN	Slovenia	968153	969042	966007	970209	969840	967238	964643	961339	957645	953743	949506
SWE	Sweden	1413835	1409904	1406363	1403890	1401467	1389318	1368886	1350197	1333506	1317697	1304687
SWZ	Eswatini	875009	889925	903418	917833	932444	947124	962966	979034	995295	1011681	1028021
